iter,funcval,gradnorm,x
0,31776623046.83829,3588.1742762580525,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]"
1,7505.703952478251,3588.174370219869,"[ 1.00000396 -0.99968363 -0.99985062 -0.99978233 -0.99984882 -0.99964784
 -0.99986038 -0.99982654 -0.99979211 -0.99975123 -0.99980614 -0.99983296
 -0.99981564 -0.99982037 -0.99980725 -0.99979205 -0.99986923 -0.99980053
 -0.99948434 -0.99975051 -0.99986049 -0.99970295 -0.99980021 -0.99978754
 -0.9997726  -0.99986175 -0.99970637 -0.99983944 -0.99956119 -0.99985926
 -0.99981561 -0.99981558 -0.99952694 -0.99985631 -0.99975843 -0.99984712
 -0.99980016 -0.99976543 -0.99983511 -0.99973472 -0.99985311 -0.99979759
 -0.99982723 -0.99970657 -0.99984383 -0.99982719 -0.99980016 -0.99986583
 -0.99946492 -0.99987129]"
2,7505.703952478251,930544.7295451865,"[ 1.00000396 -0.99968363 -0.99985062 -0.99978233 -0.99984882 -0.99964784
 -0.99986038 -0.99982654 -0.99979211 -0.99975123 -0.99980614 -0.99983296
 -0.99981564 -0.99982037 -0.99980725 -0.99979205 -0.99986923 -0.99980053
 -0.99948434 -0.99975051 -0.99986049 -0.99970295 -0.99980021 -0.99978754
 -0.9997726  -0.99986175 -0.99970637 -0.99983944 -0.99956119 -0.99985926
 -0.99981561 -0.99981558 -0.99952694 -0.99985631 -0.99975843 -0.99984712
 -0.99980016 -0.99976543 -0.99983511 -0.99973472 -0.99985311 -0.99979759
 -0.99982723 -0.99970657 -0.99984383 -0.99982719 -0.99980016 -0.99986583
 -0.99946492 -0.99987129]"
3,7505.703952478251,947843.6211500971,"[ 1.00000396 -0.99968363 -0.99985062 -0.99978233 -0.99984882 -0.99964784
 -0.99986038 -0.99982654 -0.99979211 -0.99975123 -0.99980614 -0.99983296
 -0.99981564 -0.99982037 -0.99980725 -0.99979205 -0.99986923 -0.99980053
 -0.99948434 -0.99975051 -0.99986049 -0.99970295 -0.99980021 -0.99978754
 -0.9997726  -0.99986175 -0.99970637 -0.99983944 -0.99956119 -0.99985926
 -0.99981561 -0.99981558 -0.99952694 -0.99985631 -0.99975843 -0.99984712
 -0.99980016 -0.99976543 -0.99983511 -0.99973472 -0.99985311 -0.99979759
 -0.99982723 -0.99970657 -0.99984383 -0.99982719 -0.99980016 -0.99986583
 -0.99946492 -0.99987129]"
4,7505.703952478251,657671.985281949,"[ 1.00000396 -0.99968363 -0.99985062 -0.99978233 -0.99984882 -0.99964784
 -0.99986038 -0.99982654 -0.99979211 -0.99975123 -0.99980614 -0.99983296
 -0.99981564 -0.99982037 -0.99980725 -0.99979205 -0.99986923 -0.99980053
 -0.99948434 -0.99975051 -0.99986049 -0.99970295 -0.99980021 -0.99978754
 -0.9997726  -0.99986175 -0.99970637 -0.99983944 -0.99956119 -0.99985926
 -0.99981561 -0.99981558 -0.99952694 -0.99985631 -0.99975843 -0.99984712
 -0.99980016 -0.99976543 -0.99983511 -0.99973472 -0.99985311 -0.99979759
 -0.99982723 -0.99970657 -0.99984383 -0.99982719 -0.99980016 -0.99986583
 -0.99946492 -0.99987129]"
5,7505.703952478251,1526516.3391392606,"[ 1.00000396 -0.99968363 -0.99985062 -0.99978233 -0.99984882 -0.99964784
 -0.99986038 -0.99982654 -0.99979211 -0.99975123 -0.99980614 -0.99983296
 -0.99981564 -0.99982037 -0.99980725 -0.99979205 -0.99986923 -0.99980053
 -0.99948434 -0.99975051 -0.99986049 -0.99970295 -0.99980021 -0.99978754
 -0.9997726  -0.99986175 -0.99970637 -0.99983944 -0.99956119 -0.99985926
 -0.99981561 -0.99981558 -0.99952694 -0.99985631 -0.99975843 -0.99984712
 -0.99980016 -0.99976543 -0.99983511 -0.99973472 -0.99985311 -0.99979759
 -0.99982723 -0.99970657 -0.99984383 -0.99982719 -0.99980016 -0.99986583
 -0.99946492 -0.99987129]"
6,7505.703952478251,1368776.607465313,"[ 1.00000396 -0.99968363 -0.99985062 -0.99978233 -0.99984882 -0.99964784
 -0.99986038 -0.99982654 -0.99979211 -0.99975123 -0.99980614 -0.99983296
 -0.99981564 -0.99982037 -0.99980725 -0.99979205 -0.99986923 -0.99980053
 -0.99948434 -0.99975051 -0.99986049 -0.99970295 -0.99980021 -0.99978754
 -0.9997726  -0.99986175 -0.99970637 -0.99983944 -0.99956119 -0.99985926
 -0.99981561 -0.99981558 -0.99952694 -0.99985631 -0.99975843 -0.99984712
 -0.99980016 -0.99976543 -0.99983511 -0.99973472 -0.99985311 -0.99979759
 -0.99982723 -0.99970657 -0.99984383 -0.99982719 -0.99980016 -0.99986583
 -0.99946492 -0.99987129]"
7,7505.703952478251,2879092.5809219535,"[ 1.00000396 -0.99968363 -0.99985062 -0.99978233 -0.99984882 -0.99964784
 -0.99986038 -0.99982654 -0.99979211 -0.99975123 -0.99980614 -0.99983296
 -0.99981564 -0.99982037 -0.99980725 -0.99979205 -0.99986923 -0.99980053
 -0.99948434 -0.99975051 -0.99986049 -0.99970295 -0.99980021 -0.99978754
 -0.9997726  -0.99986175 -0.99970637 -0.99983944 -0.99956119 -0.99985926
 -0.99981561 -0.99981558 -0.99952694 -0.99985631 -0.99975843 -0.99984712
 -0.99980016 -0.99976543 -0.99983511 -0.99973472 -0.99985311 -0.99979759
 -0.99982723 -0.99970657 -0.99984383 -0.99982719 -0.99980016 -0.99986583
 -0.99946492 -0.99987129]"
8,7505.703952478251,666363.921645088,"[ 1.00000396 -0.99968363 -0.99985062 -0.99978233 -0.99984882 -0.99964784
 -0.99986038 -0.99982654 -0.99979211 -0.99975123 -0.99980614 -0.99983296
 -0.99981564 -0.99982037 -0.99980725 -0.99979205 -0.99986923 -0.99980053
 -0.99948434 -0.99975051 -0.99986049 -0.99970295 -0.99980021 -0.99978754
 -0.9997726  -0.99986175 -0.99970637 -0.99983944 -0.99956119 -0.99985926
 -0.99981561 -0.99981558 -0.99952694 -0.99985631 -0.99975843 -0.99984712
 -0.99980016 -0.99976543 -0.99983511 -0.99973472 -0.99985311 -0.99979759
 -0.99982723 -0.99970657 -0.99984383 -0.99982719 -0.99980016 -0.99986583
 -0.99946492 -0.99987129]"
9,7495.696829789956,422044.02347971697,"[ 0.99983954 -0.99756237 -0.99863577 -1.00184701 -1.00063512 -0.99776147
 -1.00065631 -0.99793529 -1.00013629 -0.99866915 -1.00154569 -0.99835428
 -1.0019829  -1.00198751 -0.99791653 -1.00181818 -1.00193198 -1.0119856
 -1.01164006 -1.00191959 -0.99911147 -0.99528282 -1.0019679  -0.9976637
 -0.99829512 -1.00020572 -1.00005257 -1.00118213 -0.99747545 -0.99626423
 -1.00198288 -1.00198285 -1.00170224 -0.9951653  -0.99790794 -0.99948675
 -1.00196785 -0.99764214 -1.00046705 -0.99788476 -1.00048415 -0.99767351
 -0.99797521 -0.99761685 -1.00018794 -0.99797517 -1.00196786 -1.00192866
 -0.99926205 -0.99801828]"
10,7495.696829789956,997611.8760889249,"[ 0.99983954 -0.99756237 -0.99863577 -1.00184701 -1.00063512 -0.99776147
 -1.00065631 -0.99793529 -1.00013629 -0.99866915 -1.00154569 -0.99835428
 -1.0019829  -1.00198751 -0.99791653 -1.00181818 -1.00193198 -1.0119856
 -1.01164006 -1.00191959 -0.99911147 -0.99528282 -1.0019679  -0.9976637
 -0.99829512 -1.00020572 -1.00005257 -1.00118213 -0.99747545 -0.99626423
 -1.00198288 -1.00198285 -1.00170224 -0.9951653  -0.99790794 -0.99948675
 -1.00196785 -0.99764214 -1.00046705 -0.99788476 -1.00048415 -0.99767351
 -0.99797521 -0.99761685 -1.00018794 -0.99797517 -1.00196786 -1.00192866
 -0.99926205 -0.99801828]"
11,7488.164483413878,68260.01683424895,"[ 0.99622768 -0.99673086 -0.99944354 -1.00169829 -1.00042568 -0.99730254
 -0.99950373 -0.99785228 -1.00052413 -0.99876494 -1.00151957 -0.99773059
 -1.00158132 -1.00162051 -0.99780535 -1.00126164 -1.00194325 -1.01197708
 -1.01071582 -1.00142478 -0.99884494 -0.99503394 -1.00156791 -0.99698617
 -0.99756497 -0.99949956 -1.00031465 -1.00118356 -0.99667565 -0.99669735
 -1.00162047 -1.00160125 -1.00077655 -0.99592428 -0.99709077 -0.99962916
 -1.00155367 -0.9969916  -1.00012082 -0.99705452 -0.99938586 -0.99703717
 -0.99733313 -0.99714433 -0.99943974 -0.99730058 -1.00155185 -1.00198529
 -0.99806091 -0.99742937]"
12,7488.164483413878,56709.074792411244,"[ 0.99622768 -0.99673086 -0.99944354 -1.00169829 -1.00042568 -0.99730254
 -0.99950373 -0.99785228 -1.00052413 -0.99876494 -1.00151957 -0.99773059
 -1.00158132 -1.00162051 -0.99780535 -1.00126164 -1.00194325 -1.01197708
 -1.01071582 -1.00142478 -0.99884494 -0.99503394 -1.00156791 -0.99698617
 -0.99756497 -0.99949956 -1.00031465 -1.00118356 -0.99667565 -0.99669735
 -1.00162047 -1.00160125 -1.00077655 -0.99592428 -0.99709077 -0.99962916
 -1.00155367 -0.9969916  -1.00012082 -0.99705452 -0.99938586 -0.99703717
 -0.99733313 -0.99714433 -0.99943974 -0.99730058 -1.00155185 -1.00198529
 -0.99806091 -0.99742937]"
13,7488.164483413878,56379.40038568915,"[ 0.99622768 -0.99673086 -0.99944354 -1.00169829 -1.00042568 -0.99730254
 -0.99950373 -0.99785228 -1.00052413 -0.99876494 -1.00151957 -0.99773059
 -1.00158132 -1.00162051 -0.99780535 -1.00126164 -1.00194325 -1.01197708
 -1.01071582 -1.00142478 -0.99884494 -0.99503394 -1.00156791 -0.99698617
 -0.99756497 -0.99949956 -1.00031465 -1.00118356 -0.99667565 -0.99669735
 -1.00162047 -1.00160125 -1.00077655 -0.99592428 -0.99709077 -0.99962916
 -1.00155367 -0.9969916  -1.00012082 -0.99705452 -0.99938586 -0.99703717
 -0.99733313 -0.99714433 -0.99943974 -0.99730058 -1.00155185 -1.00198529
 -0.99806091 -0.99742937]"
