iter,funcval,gradnorm,x
0,19546973.856207754,23816.6344484668,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
1,14981.054583983307,23816.741286358825,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
2,14981.054583983307,23816.585385029244,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
3,14981.054583983307,23816.813094925823,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
4,14981.054583983307,23816.587837793344,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
5,14981.054583983307,23816.498798053184,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
6,14981.054583983307,23816.857286895854,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
7,11999.67989342177,23816.80288598449,"[0.79595663 0.88138731 0.90908812 0.95818769 0.91238996 0.90695891
 0.93067934 1.00948595 0.99433391 1.00013068 0.96329723 1.01015529
 1.02750359 1.0638379  1.00530116 1.05877869 0.96224055 1.006529
 0.97636747 0.95404449 0.98665542 0.96581485 0.96451687 0.96613547
 0.96598846 0.96592659 0.96611186 0.96479171 0.9662541  0.96599081
 0.96494307 0.96309672 0.96539504 1.00322072 1.05631484 0.98773052
 0.99008584 1.04786675 1.05814456 0.98996023 1.02201843 1.0618794
 1.02283577 1.06862816 1.0872074  0.98785929 1.0163376  1.01924748
 1.08335036 0.69071382 0.97600444 0.99671241 1.02530683 1.05786752
 0.97653047 0.96558812 0.97218029 1.02775521 0.93632658 0.95870396
 0.9561934  0.96297143 0.98157662 0.95696969 0.96692497 0.96594237
 0.96592483 0.96638705 0.96591437 0.9664804  0.96602267 0.99822143
 0.99812885 1.00270726 0.9958946  0.98129207 0.99081047 0.99744022
 0.99276211 0.97493966 1.00051837 0.99693044 0.98375968 0.99527132
 0.98958119 0.97955317 0.97563047 0.97976856 0.98162637 0.97287514
 0.98066671 0.97941894 0.98703697 0.98764062 0.97811845 0.98987661
 0.9924859  0.98987464 0.9944624  0.9923005  0.98998396 0.99118558
 0.99401072 0.9901017  0.98511513 0.99258828 0.96667417 0.96568528
 0.96636741 0.96480424 0.96573057 0.96686012 0.96690697 0.96584182
 0.96487308 0.96511414 0.96552641 0.9653692  0.96622663 0.96646592
 0.96715122 0.95265969 0.94955113 0.95211652 0.95187881 0.95362112
 0.95314325 0.92794592 0.93747887 0.94467483 0.93242536 0.94300719
 0.93223925 0.94017625]"
8,9469.76726233321,21641.511913651466,"[0.59401018 0.76273489 0.81786997 0.91797472 0.82592938 0.81320268
 0.86045529 1.02056426 0.99762097 1.02725583 0.95340293 1.03415558
 1.06992594 1.05932261 1.04403423 0.87278303 0.92023293 1.04737887
 0.92036135 0.93462608 1.01042784 0.92435075 0.91778756 0.92552906
 0.92280927 0.92446096 0.92262893 0.92196949 0.92244658 0.92437832
 0.92365831 0.91628364 0.92382238 0.96702084 1.10859106 0.93457157
 0.93839593 1.07620764 1.10101641 0.93128834 1.01818518 1.10636825
 1.02946162 1.01784679 0.91354505 0.99292082 1.0696027  1.07856598
 1.20659669 0.7849886  0.98734878 1.0083622  1.08925958 1.14221521
 0.99664131 0.96838877 0.9699275  1.10404876 0.90021659 0.93642938
 0.9259102  0.94506728 0.98532555 0.94297971 0.92600069 0.92149793
 0.92403139 0.92189317 0.92479679 0.92291992 0.92245048 0.99930674
 0.99827118 1.00917525 0.99582858 0.96240363 0.98333904 0.99580655
 0.98663999 0.94952908 1.00398337 0.99658736 0.96799275 0.99317387
 0.98141171 0.95894255 0.95104897 0.95998974 0.96393338 0.94502313
 0.96153953 0.95916357 0.9759113  0.97722047 0.95558589 0.9817381
 0.98630253 0.98087041 0.99141101 0.9862519  0.98163172 0.98395807
 0.99007521 0.98128635 0.97058518 0.98630809 0.93201193 0.92982406
 0.93108918 0.92829458 0.92988521 0.9320802  0.93225217 0.93026383
 0.92823119 0.92849878 0.9295031  0.92939735 0.93104458 0.93141057
 0.93283925 0.9040985  0.89798089 0.90306318 0.9025563  0.90594083
 0.90498417 0.8555073  0.8742453  0.88848972 0.86428002 0.88514699
 0.86394117 0.87966152]"
9,8152.064143182354,19523.119893797168,"[0.38208931 0.63956583 0.75363625 0.91638589 0.73738312 0.7152992
 0.80946684 1.05779294 1.02273532 1.06209366 0.94981041 1.05454908
 1.05905083 1.03768315 1.08307823 0.94946978 0.88298811 1.0946146
 0.93212084 0.95092635 1.03537387 0.87487146 0.86203876 0.87623315
 0.86861127 0.87535076 0.86760596 0.87245241 0.86753976 0.87543804
 0.87532316 0.86192963 0.87498408 0.90749379 1.10074043 0.85254328
 0.87829567 1.06661237 1.12918426 0.8474263  0.95954137 1.12244346
 0.99974003 1.02564674 1.09035878 0.99867301 1.10769143 1.03402763
 1.0478408  0.8701625  1.03487045 1.03351806 1.12319314 1.11842649
 1.03994485 0.9966827  0.98515012 1.11290682 0.92320479 0.9334221
 0.91016512 0.93882552 1.00817561 0.95841838 0.87717851 0.86449303
 0.87498839 0.86644852 0.87566763 0.86616085 0.86650209 1.00121012
 0.99999508 1.01739326 0.99897931 0.9420464  0.97700489 0.99648622
 0.98181744 0.92187623 1.00947218 0.99864248 0.95166582 0.99219078
 0.97481174 0.93701976 0.92463539 0.93929825 0.94572021 0.91440256
 0.94157329 0.93786742 0.96566839 0.96791629 0.93121645 0.97460097
 0.97977091 0.97188362 0.98975771 0.98192343 0.97409853 0.97604893
 0.98700283 0.97392271 0.95582494 0.98159064 0.89317461 0.88975911
 0.89194858 0.88766573 0.89001344 0.89284569 0.89356756 0.89075729
 0.88739153 0.88751893 0.88887408 0.88936858 0.89148004 0.89199278
 0.89450141 0.85014535 0.84086154 0.84868419 0.84789328 0.85297678
 0.85155854 0.77617223 0.80467611 0.82650898 0.78946129 0.82138873
 0.78907903 0.81320671]"
