iter,funcval,gradnorm,x
0,112794644.43913896,7179.322216382548,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
1,1341.6625208673881,4.014306644295136e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
2,1341.6625208673881,1.0015316059946658e+127,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
3,1341.6625208673881,1.203891385041662e+127,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
4,1341.6625208673881,6.049546440985561e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
5,1341.6625208673881,9.870664281953759e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
6,1341.6625208673881,7.33026269136645e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
7,1341.6625208673881,6.45122808059923e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
8,1341.6625208673881,6.958499415977479e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
9,1341.6625208673881,2.2053186737744362e+128,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
