iter,funcval,gradnorm,x
0,704.1073340916507,3159.2963679293866,"[ 1.00000000e+02 -3.50058373e-07  2.00000512e-01  8.99999967e-01
  1.00000001e+02  1.27867354e-06  1.99999156e-01  7.99998884e-01
  1.00000000e+02  4.99975070e-02  2.99999130e-01  7.99998896e-01
  9.99999987e+01  9.99996796e-02  3.00000864e-01  5.99998918e-01
  1.00000001e+02  2.99999137e-01  5.00000643e-01  2.99999493e-01
  1.00000001e+02  6.00001240e-01  5.99999409e-01 -6.29340803e-07
  3.00000000e+02  3.00000001e+02  3.00000000e+02  5.16824807e+02
  3.00000001e+02]"
1,620.3750404962752,3159.2957875723737,"[ 1.00000000e+02 -3.50058373e-07  2.00000512e-01  8.99999967e-01
  1.00000001e+02  1.27867354e-06  1.99999156e-01  7.99998884e-01
  1.00000000e+02  4.99975070e-02  2.99999130e-01  7.99998896e-01
  9.99999987e+01  9.99996796e-02  3.00000864e-01  5.99998918e-01
  1.00000001e+02  2.99999137e-01  5.00000643e-01  2.99999493e-01
  1.00000001e+02  6.00001240e-01  5.99999409e-01 -6.29340803e-07
  3.00000000e+02  3.00000001e+02  3.00000000e+02  5.16824807e+02
  3.00000001e+02]"
2,620.3750404962752,3159.2993379686745,"[ 1.00000000e+02 -3.50058373e-07  2.00000512e-01  8.99999967e-01
  1.00000001e+02  1.27867354e-06  1.99999156e-01  7.99998884e-01
  1.00000000e+02  4.99975070e-02  2.99999130e-01  7.99998896e-01
  9.99999987e+01  9.99996796e-02  3.00000864e-01  5.99998918e-01
  1.00000001e+02  2.99999137e-01  5.00000643e-01  2.99999493e-01
  1.00000001e+02  6.00001240e-01  5.99999409e-01 -6.29340803e-07
  3.00000000e+02  3.00000001e+02  3.00000000e+02  5.16824807e+02
  3.00000001e+02]"
3,620.3750404962752,3159.2955889934465,"[ 1.00000000e+02 -3.50058373e-07  2.00000512e-01  8.99999967e-01
  1.00000001e+02  1.27867354e-06  1.99999156e-01  7.99998884e-01
  1.00000000e+02  4.99975070e-02  2.99999130e-01  7.99998896e-01
  9.99999987e+01  9.99996796e-02  3.00000864e-01  5.99998918e-01
  1.00000001e+02  2.99999137e-01  5.00000643e-01  2.99999493e-01
  1.00000001e+02  6.00001240e-01  5.99999409e-01 -6.29340803e-07
  3.00000000e+02  3.00000001e+02  3.00000000e+02  5.16824807e+02
  3.00000001e+02]"
4,620.3750404962752,3159.2969347354087,"[ 1.00000000e+02 -3.50058373e-07  2.00000512e-01  8.99999967e-01
  1.00000001e+02  1.27867354e-06  1.99999156e-01  7.99998884e-01
  1.00000000e+02  4.99975070e-02  2.99999130e-01  7.99998896e-01
  9.99999987e+01  9.99996796e-02  3.00000864e-01  5.99998918e-01
  1.00000001e+02  2.99999137e-01  5.00000643e-01  2.99999493e-01
  1.00000001e+02  6.00001240e-01  5.99999409e-01 -6.29340803e-07
  3.00000000e+02  3.00000001e+02  3.00000000e+02  5.16824807e+02
  3.00000001e+02]"
5,620.3750404962752,3159.296158272762,"[ 1.00000000e+02 -3.50058373e-07  2.00000512e-01  8.99999967e-01
  1.00000001e+02  1.27867354e-06  1.99999156e-01  7.99998884e-01
  1.00000000e+02  4.99975070e-02  2.99999130e-01  7.99998896e-01
  9.99999987e+01  9.99996796e-02  3.00000864e-01  5.99998918e-01
  1.00000001e+02  2.99999137e-01  5.00000643e-01  2.99999493e-01
  1.00000001e+02  6.00001240e-01  5.99999409e-01 -6.29340803e-07
  3.00000000e+02  3.00000001e+02  3.00000000e+02  5.16824807e+02
  3.00000001e+02]"
6,620.3750404962752,3159.2963640608796,"[ 1.00000000e+02 -3.50058373e-07  2.00000512e-01  8.99999967e-01
  1.00000001e+02  1.27867354e-06  1.99999156e-01  7.99998884e-01
  1.00000000e+02  4.99975070e-02  2.99999130e-01  7.99998896e-01
  9.99999987e+01  9.99996796e-02  3.00000864e-01  5.99998918e-01
  1.00000001e+02  2.99999137e-01  5.00000643e-01  2.99999493e-01
  1.00000001e+02  6.00001240e-01  5.99999409e-01 -6.29340803e-07
  3.00000000e+02  3.00000001e+02  3.00000000e+02  5.16824807e+02
  3.00000001e+02]"
7,377.1120128494542,3159.294241261149,"[9.99984916e+01 7.08188268e-02 2.47032121e-01 9.12683751e-01
 9.99989018e+01 3.91326116e-02 2.13899146e-01 8.00076882e-01
 1.00001249e+02 4.32803464e-02 2.85471179e-01 7.88183913e-01
 9.99989536e+01 9.17357876e-02 2.90281267e-01 5.97672203e-01
 9.99982080e+01 2.73747557e-01 4.91107310e-01 2.99832928e-01
 9.99994221e+01 5.96828375e-01 5.96616734e-01 2.29934817e-02
 2.99999648e+02 3.00000378e+02 3.00000042e+02 5.16810583e+02
 2.99998837e+02]"
8,316.88347616448766,1972.581542873859,"[ 9.99887388e+01  1.43623326e-01  4.10269989e-01  9.56363672e-01
  9.99907977e+01  8.06512970e-02  2.32192336e-01  8.08616392e-01
  1.00005992e+02  5.35319180e-02  2.75218069e-01  7.69436132e-01
  9.99968779e+01  4.45177775e-02  2.69095209e-01  5.81854360e-01
  9.99940386e+01  2.53596872e-01  4.83326451e-01  3.17629418e-01
  9.99974101e+01  5.69610813e-01  5.64928860e-01 -9.98531005e-05
  2.99998763e+02  3.00001495e+02  3.00002614e+02  5.16765152e+02
  2.99994929e+02]"
9,316.88347616448766,1949.2124805371952,"[ 9.99887388e+01  1.43623326e-01  4.10269989e-01  9.56363672e-01
  9.99907977e+01  8.06512970e-02  2.32192336e-01  8.08616392e-01
  1.00005992e+02  5.35319180e-02  2.75218069e-01  7.69436132e-01
  9.99968779e+01  4.45177775e-02  2.69095209e-01  5.81854360e-01
  9.99940386e+01  2.53596872e-01  4.83326451e-01  3.17629418e-01
  9.99974101e+01  5.69610813e-01  5.64928860e-01 -9.98531005e-05
  2.99998763e+02  3.00001495e+02  3.00002614e+02  5.16765152e+02
  2.99994929e+02]"
