iter,funcval,gradnorm,x
0,165339244.59130374,2292.0732972573105,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
1,328144.95630619035,2292.0732955381527,"[1.         1.00014713 1.00031557 1.00044151 1.00063135 1.00073606
 1.00094731 1.00110538 1.00117821 1.00132568 1.00147319 1.00173811
 1.00189642 1.00205479 1.0022132  1.00237166 1.00253017 1.002507
 1.00284734 1.003006   1.00316471 1.00332347 1.00324673 1.00339481
 1.00354293 1.00395901 1.00411803 1.00427709 1.00413585 1.00459536
 1.00475457 1.00491385 1.00472947 1.00487798 1.00502654 1.0055514
 1.00571092 1.00547248 1.0060301  1.00576999 1.00591881 1.00650926
 1.00666908 1.00682895 1.00651453 1.00666357 1.00681266 1.00746894
 1.00711096 1.00726017 1.00740943 1.00810974 1.00827007 1.00843044
 1.00800691 1.0081564  1.00830592 1.0084555  1.00860511 1.00939379
 1.00955452 1.00905422 1.00920401 1.00935385 1.01019797 1.00965365
 1.01052001 1.0106811  1.01084225 1.0102538  1.01116469 1.01132599
 1.01148734 1.01085466 1.01181019 1.01197169 1.01213325 1.01145623
 1.01245651 1.01175728 1.01277999 1.01294179 1.0122092  1.01326557
 1.0125107  1.01266152 1.01375163 1.01296329 1.01407592 1.01423815
 1.01341629 1.01456275 1.01472513 1.01386968 1.01505005 1.01521259
 1.01432349 1.01553781 1.0157005  1.01586324]"
2,328092.7054479038,774.792726401351,"[0.99986174 1.00032057 1.00025848 1.00068557 1.00065554 1.00105083
 1.0010529  1.0012517  1.00159919 1.00178211 1.00196509 1.00204768
 1.00224688 1.00244617 1.00264552 1.00284497 1.00304449 1.0032478
 1.00344378 1.00364355 1.0038434  1.00404333 1.00416601 1.00434985
 1.00453376 1.0048439  1.00504427 1.00524471 1.00527009 1.00564584
 1.00584653 1.00604733 1.00600752 1.00619205 1.00637665 1.00685133
 1.00705256 1.00693088 1.00745527 1.00730072 1.00748575 1.00806001
 1.00826176 1.00846361 1.00822659 1.00841198 1.00859744 1.00927192
 1.00896859 1.00915427 1.00934003 1.0100817  1.01028439 1.01048716
 1.01008381 1.01026995 1.01045615 1.01064245 1.0108288  1.01170581
 1.01190926 1.01138835 1.01157502 1.01176176 1.01272401 1.01213549
 1.01313198 1.01333611 1.01354035 1.01288388 1.01394911 1.01415365
 1.01435828 1.01363355 1.01476787 1.0149728  1.01517785 1.0143845
 1.01558824 1.01476047 1.01599907 1.01620463 1.01532503 1.01661607
 1.01570183 1.01589035 1.01723404 1.01626764 1.01764655 1.01785297
 1.01683422 1.01826613 1.01847287 1.01740156 1.01888669 1.01909378
 1.01796969 1.01950826 1.01971567 1.01992319]"
3,328092.7054479038,2324.451694812121,"[0.99986174 1.00032057 1.00025848 1.00068557 1.00065554 1.00105083
 1.0010529  1.0012517  1.00159919 1.00178211 1.00196509 1.00204768
 1.00224688 1.00244617 1.00264552 1.00284497 1.00304449 1.0032478
 1.00344378 1.00364355 1.0038434  1.00404333 1.00416601 1.00434985
 1.00453376 1.0048439  1.00504427 1.00524471 1.00527009 1.00564584
 1.00584653 1.00604733 1.00600752 1.00619205 1.00637665 1.00685133
 1.00705256 1.00693088 1.00745527 1.00730072 1.00748575 1.00806001
 1.00826176 1.00846361 1.00822659 1.00841198 1.00859744 1.00927192
 1.00896859 1.00915427 1.00934003 1.0100817  1.01028439 1.01048716
 1.01008381 1.01026995 1.01045615 1.01064245 1.0108288  1.01170581
 1.01190926 1.01138835 1.01157502 1.01176176 1.01272401 1.01213549
 1.01313198 1.01333611 1.01354035 1.01288388 1.01394911 1.01415365
 1.01435828 1.01363355 1.01476787 1.0149728  1.01517785 1.0143845
 1.01558824 1.01476047 1.01599907 1.01620463 1.01532503 1.01661607
 1.01570183 1.01589035 1.01723404 1.01626764 1.01764655 1.01785297
 1.01683422 1.01826613 1.01847287 1.01740156 1.01888669 1.01909378
 1.01796969 1.01950826 1.01971567 1.01992319]"
4,328092.7054479038,13154.239290913816,"[0.99986174 1.00032057 1.00025848 1.00068557 1.00065554 1.00105083
 1.0010529  1.0012517  1.00159919 1.00178211 1.00196509 1.00204768
 1.00224688 1.00244617 1.00264552 1.00284497 1.00304449 1.0032478
 1.00344378 1.00364355 1.0038434  1.00404333 1.00416601 1.00434985
 1.00453376 1.0048439  1.00504427 1.00524471 1.00527009 1.00564584
 1.00584653 1.00604733 1.00600752 1.00619205 1.00637665 1.00685133
 1.00705256 1.00693088 1.00745527 1.00730072 1.00748575 1.00806001
 1.00826176 1.00846361 1.00822659 1.00841198 1.00859744 1.00927192
 1.00896859 1.00915427 1.00934003 1.0100817  1.01028439 1.01048716
 1.01008381 1.01026995 1.01045615 1.01064245 1.0108288  1.01170581
 1.01190926 1.01138835 1.01157502 1.01176176 1.01272401 1.01213549
 1.01313198 1.01333611 1.01354035 1.01288388 1.01394911 1.01415365
 1.01435828 1.01363355 1.01476787 1.0149728  1.01517785 1.0143845
 1.01558824 1.01476047 1.01599907 1.01620463 1.01532503 1.01661607
 1.01570183 1.01589035 1.01723404 1.01626764 1.01764655 1.01785297
 1.01683422 1.01826613 1.01847287 1.01740156 1.01888669 1.01909378
 1.01796969 1.01950826 1.01971567 1.01992319]"
5,270828.4659036241,5333.421341576135,"[0.93739507 1.08276284 1.00583348 1.10058901 1.0746234  1.11869029
 1.14373368 1.17839754 1.14627722 1.15557293 1.16494153 1.31764131
 1.35259334 1.38761153 1.42264168 1.4577085  1.49282912 1.23161191
 1.56312409 1.59831234 1.63352232 1.66874578 1.28005899 1.28976579
 1.29951267 1.80972829 1.84496186 1.8802059  1.33842748 1.95063265
 1.98581512 2.02094861 1.37714673 1.38684079 1.39642268 2.16121092
 2.19617958 1.42509788 2.26583244 1.44398833 1.45339665 2.36980279
 2.40424843 2.43860705 1.49050562 1.49960245 1.50869095 2.57493954
 1.52667158 1.5355475  1.54437797 2.70894564 2.74203546 2.77491001
 1.57896463 1.58744091 1.59582104 1.60414754 1.61237989 2.96766558
 2.99892549 1.63661705 1.64454022 1.65238219 3.12103852 1.66783202
 3.18020653 3.20925755 3.23795462 1.69781341 3.29418168 3.32169969
 3.34880466 1.72665988 3.40171457 3.42747269 3.45277607 1.7545325
 3.50191387 1.76818902 3.54903962 3.57178218 1.78841451 3.6156314
 1.80182302 1.80851354 3.67706598 1.82194647 3.71497649 3.73298028
 1.84233156 3.76701255 3.78302449 1.8632824  3.81296979 3.82689361
 1.88518502 3.85253753 3.86423329 3.87518191]"
6,207486.52340920307,5775.475297929921,"[0.8151649  3.27158067 1.10750626 3.30000581 1.30389674 3.19767676
 1.4704605  1.65321367 3.29220614 3.23614402 3.22569237 2.01108796
 2.10550232 2.22814625 2.24406678 2.40467225 2.4213974  3.2351924
 2.56905353 2.60075491 2.72813719 2.83414244 3.24945337 3.28435222
 3.20658557 3.03190423 3.16667322 3.24030965 3.2611551  3.36835489
 3.48274845 3.54244204 3.10328566 3.26014454 3.18807154 3.71917887
 3.80852556 3.13247289 3.95270264 3.09188501 3.02920818 4.17400985
 4.18231761 4.23658143 2.98730136 2.78736482 2.8258015  4.44494133
 2.76548285 2.82150768 2.58278835 4.66500315 4.6900063  4.74102674
 2.57228923 2.52281524 2.30087277 2.53112203 2.42755859 4.99241184
 5.03250321 2.34088018 2.21551297 2.13982197 5.16710502 1.94158063
 5.21378859 5.21662997 5.25267098 1.77731109 5.27968144 5.28196374
 5.30575918 1.77861652 5.32514484 5.32942552 5.31785521 1.67770298
 5.2889162  1.73851028 5.25544382 5.23657358 1.80984553 5.20475309
 1.84635655 1.96842348 5.05099334 2.190422   4.98612149 4.93812544
 2.72728071 4.82274625 4.75050714 3.02630462 4.58800627 4.53359061
 3.76995988 4.31276189 4.21512585 4.10656825]"
7,207486.52340920307,100573.97878953817,"[0.8151649  3.27158067 1.10750626 3.30000581 1.30389674 3.19767676
 1.4704605  1.65321367 3.29220614 3.23614402 3.22569237 2.01108796
 2.10550232 2.22814625 2.24406678 2.40467225 2.4213974  3.2351924
 2.56905353 2.60075491 2.72813719 2.83414244 3.24945337 3.28435222
 3.20658557 3.03190423 3.16667322 3.24030965 3.2611551  3.36835489
 3.48274845 3.54244204 3.10328566 3.26014454 3.18807154 3.71917887
 3.80852556 3.13247289 3.95270264 3.09188501 3.02920818 4.17400985
 4.18231761 4.23658143 2.98730136 2.78736482 2.8258015  4.44494133
 2.76548285 2.82150768 2.58278835 4.66500315 4.6900063  4.74102674
 2.57228923 2.52281524 2.30087277 2.53112203 2.42755859 4.99241184
 5.03250321 2.34088018 2.21551297 2.13982197 5.16710502 1.94158063
 5.21378859 5.21662997 5.25267098 1.77731109 5.27968144 5.28196374
 5.30575918 1.77861652 5.32514484 5.32942552 5.31785521 1.67770298
 5.2889162  1.73851028 5.25544382 5.23657358 1.80984553 5.20475309
 1.84635655 1.96842348 5.05099334 2.190422   4.98612149 4.93812544
 2.72728071 4.82274625 4.75050714 3.02630462 4.58800627 4.53359061
 3.76995988 4.31276189 4.21512585 4.10656825]"
8,207486.52340920307,86576.91273892419,"[0.8151649  3.27158067 1.10750626 3.30000581 1.30389674 3.19767676
 1.4704605  1.65321367 3.29220614 3.23614402 3.22569237 2.01108796
 2.10550232 2.22814625 2.24406678 2.40467225 2.4213974  3.2351924
 2.56905353 2.60075491 2.72813719 2.83414244 3.24945337 3.28435222
 3.20658557 3.03190423 3.16667322 3.24030965 3.2611551  3.36835489
 3.48274845 3.54244204 3.10328566 3.26014454 3.18807154 3.71917887
 3.80852556 3.13247289 3.95270264 3.09188501 3.02920818 4.17400985
 4.18231761 4.23658143 2.98730136 2.78736482 2.8258015  4.44494133
 2.76548285 2.82150768 2.58278835 4.66500315 4.6900063  4.74102674
 2.57228923 2.52281524 2.30087277 2.53112203 2.42755859 4.99241184
 5.03250321 2.34088018 2.21551297 2.13982197 5.16710502 1.94158063
 5.21378859 5.21662997 5.25267098 1.77731109 5.27968144 5.28196374
 5.30575918 1.77861652 5.32514484 5.32942552 5.31785521 1.67770298
 5.2889162  1.73851028 5.25544382 5.23657358 1.80984553 5.20475309
 1.84635655 1.96842348 5.05099334 2.190422   4.98612149 4.93812544
 2.72728071 4.82274625 4.75050714 3.02630462 4.58800627 4.53359061
 3.76995988 4.31276189 4.21512585 4.10656825]"
9,205950.63665701525,81669.41880713876,"[0.84163365 3.15895407 1.1358924  3.19284989 1.33354909 3.09835809
 1.48071431 1.65795357 3.19038183 3.14746702 3.11873053 2.03057752
 2.13299343 2.21451474 2.2456071  2.38560808 2.36298243 3.15482016
 2.56681913 2.59261656 2.69428152 2.81724377 3.16059632 3.1906377
 3.14641506 2.99975747 3.11389744 3.24844556 3.21293152 3.33374572
 3.44126067 3.50152832 3.07784506 3.22930388 3.16013095 3.6284056
 3.75416915 3.13030172 3.88790768 3.10592549 2.99849206 4.11908562
 4.13697556 4.19059235 2.96848249 2.79910628 2.84407217 4.38710954
 2.78766918 2.85688144 2.62359845 4.59165585 4.6335803  4.66970352
 2.62153062 2.62073526 2.34236067 2.57252142 2.49052181 4.91716099
 4.97613919 2.40389422 2.31694529 2.2057535  5.12940591 2.06498111
 5.20987019 5.18707681 5.22136186 1.92973925 5.25378434 5.25348457
 5.29128374 1.95716774 5.3054882  5.3387867  5.30438534 1.8926909
 5.30446512 1.92990448 5.25039087 5.23866843 2.05690469 5.22970062
 2.06650062 2.24504323 5.06138962 2.42331188 5.00224134 4.93790312
 3.01089092 4.84056797 4.74000986 3.28184011 4.56858063 4.54448588
 3.98800808 4.28284872 4.20058701 4.06912364]"
