iter,funcval,gradnorm,x
0,-56.48140005456502,84.77688255961158,"[0.01000118 0.02000071 0.02999949 0.04000015 0.0499999  0.06000086
 0.07000088 0.07999946 0.09000165 0.10000088 0.11000001 0.11999938
 0.12999909 0.14000192 0.15000041 0.16000046 0.17000058 0.17999924
 0.18999823 0.19999996 0.21000036 0.21999958 0.22999895 0.24000023
 0.25000177 0.25999945 0.26999819 0.28000124 0.29000079 0.2999999
 0.30999954 0.32000081 0.33000058 0.33999877 0.34999926 0.36000125
 0.37000041 0.37999988 0.39000014 0.40000043 0.4100007  0.42000093
 0.4300021  0.43999908 0.44999978 0.46000052 0.46999991 0.47999961
 0.48999927 0.50000051 0.51000029 0.52000046 0.52999925 0.54000057
 0.54999961 0.55999983 0.57000062 0.57999926 0.58999825 0.59999976
 0.60999939 0.62000061 0.62999966 0.64000042 0.65000118 0.65999858
 0.66999735 0.67999982 0.68999969 0.69999965 0.71000036 0.72000126
 0.72999891 0.73999923 0.75000118 0.76000102 0.77000106 0.78000073
 0.79000036 0.80000088 0.81000086 0.81999937 0.82999941 0.83999787
 0.84999937 0.86000044 0.87000024 0.87999846 0.88999823 0.89999925
 0.9099992  0.92000057 0.9300011  0.93999962 0.95       0.96000021
 0.97000109 0.97999984 0.99000043 4.52942334]"
1,-499.30851647211745,84.77688255961156,"[-0.0140805   0.02140218  0.18687658  0.2173044   0.2461894   0.1469214
  0.29932939  0.2001057   0.22439663  0.2471717   0.26847177  0.28832679
  0.42231563  0.32383855  0.33955177  0.46435878  0.36709607  0.3789975
  0.38970714  0.39927535  0.50894561  0.41513106  0.42151462  0.42693588
  0.43144096  0.43507653  0.52828045  0.5287188   0.4413302   0.52779085
  0.52656459  0.52492153  0.44088917  0.52066053  0.51818402  0.43605472
  0.51288611  0.43163234  0.50758438  0.5051043   0.42450515  0.50081629
  0.42020708  0.41839349  0.49704615  0.41578296  0.49703785  0.4979619
  0.49958826  0.50196818  0.41826251  0.42081885  0.42420429  0.42848413
  0.43370862  0.43993676  0.44721962  0.55435296  0.5657786   0.47587446
  0.48784667  0.60758924  0.51565661  0.53156229  0.54884114  0.68219957
  0.58758952  0.72817024  0.63208407  0.78018972  0.68238851  0.83845379
  0.86995719  0.7687626   0.80044854  0.83354393  0.86803885  0.90390552
  1.09328525  1.1362876   1.01944701  1.22724844  1.10271042  1.32480017
  1.37603396  1.23608556  1.28258776  1.33001042  1.37830689  1.65591309
  1.71646342  1.7784714   1.8418809   1.63054587  1.68266312  1.73517004
  2.10865438  1.8410618   1.89430787 10.79127968]"
2,-643.7539143373455,108.69644830312896,"[ 0.18581054  0.28478941  0.18135724  0.2759922   0.3650732   0.61884042
  0.52636361  0.75053345  0.80806333  0.86017444  0.90705151  0.94883835
  0.87419633  1.01774765  1.04511949  0.97382926  1.08655228  1.10088932
  1.11119096  1.11763489  1.04040883  1.11951943  1.11530548  1.10789198
  1.09743935  1.08413231  0.9846039   0.96404569  1.02895262  0.91549612
  0.88803298  0.85878859  0.92711881  0.79601739  0.763017    0.83685268
  0.69509735  0.77340832  0.62633104  0.5922696   0.67803455  0.5260092
  0.61715305  0.5882484   0.43485617  0.5347904   0.38225367  0.3590449
  0.33819032  0.31987851  0.43790331  0.42673901  0.41884085  0.41444537
  0.41372429  0.41691377  0.42417918  0.28766604  0.30055058  0.47217222
  0.4974215   0.36570626  0.56254506  0.60264444  0.64786424  0.51983558
  0.75386252  0.6283193   0.88092098  0.7591402   1.02895568  0.91335307
  0.99947342  1.28958924  1.38646462  1.48810437  1.59440338  1.70519387
  1.65003524  1.78160492  2.06273473  2.06520106  2.31992585  2.3764789
  2.54262155  2.72923409  2.87084446  3.01454378  3.16009931  3.47782302
  3.68556243  3.90007259  4.12120979  3.90465731  4.05476124  4.20453894
  5.06928641  4.50190688  4.64893819 21.36017813]"
3,-670.5700811529242,451.6248869286835,"[-6.71488649e-01 -5.66349414e-01  1.52254018e+00  1.57878661e+00
  1.62959687e+00 -1.97041067e-01  1.71534633e+00 -4.39335747e-02
  2.46298476e-02  8.78420585e-02  1.45737419e-01  1.98340624e-01
  1.85544660e+00  2.87874688e-01  3.24943131e-01  1.86682639e+00
  3.84048497e-01  4.06307735e-01  4.23848012e-01  4.36833098e-01
  1.81414658e+00  4.49622984e-01  4.49751270e-01  4.45926603e-01
  4.38336256e-01  4.27137269e-01  1.66075758e+00  1.62833003e+00
  3.73954154e-01  1.55945200e+00  1.52340430e+00  1.48655960e+00
  2.64997769e-01  1.41135387e+00  1.37341439e+00  1.62321238e-01
  1.29795214e+00  8.72858329e-02  1.22447851e+00  1.18902912e+00
 -3.06722946e-02  1.12179244e+00 -1.10256727e-01 -1.49626080e-01
  1.03337093e+00 -2.26522645e-01  9.85107825e-01  9.64782334e-01
  9.47295439e-01  9.32804661e-01 -3.97595311e-01 -4.26497998e-01
 -4.53154532e-01 -4.77371749e-01 -4.98906901e-01 -5.17637717e-01
 -5.33332292e-01  9.45952921e-01  9.66029896e-01 -5.60492060e-01
 -5.62307643e-01  1.05383262e+00 -5.54021975e-01 -5.43633841e-01
 -5.28829290e-01  1.23813829e+00 -4.85528467e-01  1.36000456e+00
 -4.22918300e-01  1.50175905e+00 -3.39967023e-01  1.66330156e+00
  1.75133880e+00 -1.75357564e-01 -1.09312410e-01 -3.75539374e-02
  4.00249348e-02  1.23492597e-01  2.37689666e+00  2.49635253e+00
  4.09914621e-01  2.74707341e+00  6.31358594e-01  3.01255443e+00
  3.15045257e+00  1.00984705e+00  1.14834139e+00  1.29296111e+00
  1.44366411e+00  3.88459413e+00  4.03923438e+00  4.19614714e+00
  4.35510345e+00  2.28608329e+00  2.47156271e+00  2.66236404e+00
  5.00939879e+00  3.05917471e+00  3.26476180e+00  3.16510841e+01]"
4,-670.5700811529242,844.8397728942803,"[-6.71488649e-01 -5.66349414e-01  1.52254018e+00  1.57878661e+00
  1.62959687e+00 -1.97041067e-01  1.71534633e+00 -4.39335747e-02
  2.46298476e-02  8.78420585e-02  1.45737419e-01  1.98340624e-01
  1.85544660e+00  2.87874688e-01  3.24943131e-01  1.86682639e+00
  3.84048497e-01  4.06307735e-01  4.23848012e-01  4.36833098e-01
  1.81414658e+00  4.49622984e-01  4.49751270e-01  4.45926603e-01
  4.38336256e-01  4.27137269e-01  1.66075758e+00  1.62833003e+00
  3.73954154e-01  1.55945200e+00  1.52340430e+00  1.48655960e+00
  2.64997769e-01  1.41135387e+00  1.37341439e+00  1.62321238e-01
  1.29795214e+00  8.72858329e-02  1.22447851e+00  1.18902912e+00
 -3.06722946e-02  1.12179244e+00 -1.10256727e-01 -1.49626080e-01
  1.03337093e+00 -2.26522645e-01  9.85107825e-01  9.64782334e-01
  9.47295439e-01  9.32804661e-01 -3.97595311e-01 -4.26497998e-01
 -4.53154532e-01 -4.77371749e-01 -4.98906901e-01 -5.17637717e-01
 -5.33332292e-01  9.45952921e-01  9.66029896e-01 -5.60492060e-01
 -5.62307643e-01  1.05383262e+00 -5.54021975e-01 -5.43633841e-01
 -5.28829290e-01  1.23813829e+00 -4.85528467e-01  1.36000456e+00
 -4.22918300e-01  1.50175905e+00 -3.39967023e-01  1.66330156e+00
  1.75133880e+00 -1.75357564e-01 -1.09312410e-01 -3.75539374e-02
  4.00249348e-02  1.23492597e-01  2.37689666e+00  2.49635253e+00
  4.09914621e-01  2.74707341e+00  6.31358594e-01  3.01255443e+00
  3.15045257e+00  1.00984705e+00  1.14834139e+00  1.29296111e+00
  1.44366411e+00  3.88459413e+00  4.03923438e+00  4.19614714e+00
  4.35510345e+00  2.28608329e+00  2.47156271e+00  2.66236404e+00
  5.00939879e+00  3.05917471e+00  3.26476180e+00  3.16510841e+01]"
5,-670.5700811529242,304.4321234738809,"[-6.71488649e-01 -5.66349414e-01  1.52254018e+00  1.57878661e+00
  1.62959687e+00 -1.97041067e-01  1.71534633e+00 -4.39335747e-02
  2.46298476e-02  8.78420585e-02  1.45737419e-01  1.98340624e-01
  1.85544660e+00  2.87874688e-01  3.24943131e-01  1.86682639e+00
  3.84048497e-01  4.06307735e-01  4.23848012e-01  4.36833098e-01
  1.81414658e+00  4.49622984e-01  4.49751270e-01  4.45926603e-01
  4.38336256e-01  4.27137269e-01  1.66075758e+00  1.62833003e+00
  3.73954154e-01  1.55945200e+00  1.52340430e+00  1.48655960e+00
  2.64997769e-01  1.41135387e+00  1.37341439e+00  1.62321238e-01
  1.29795214e+00  8.72858329e-02  1.22447851e+00  1.18902912e+00
 -3.06722946e-02  1.12179244e+00 -1.10256727e-01 -1.49626080e-01
  1.03337093e+00 -2.26522645e-01  9.85107825e-01  9.64782334e-01
  9.47295439e-01  9.32804661e-01 -3.97595311e-01 -4.26497998e-01
 -4.53154532e-01 -4.77371749e-01 -4.98906901e-01 -5.17637717e-01
 -5.33332292e-01  9.45952921e-01  9.66029896e-01 -5.60492060e-01
 -5.62307643e-01  1.05383262e+00 -5.54021975e-01 -5.43633841e-01
 -5.28829290e-01  1.23813829e+00 -4.85528467e-01  1.36000456e+00
 -4.22918300e-01  1.50175905e+00 -3.39967023e-01  1.66330156e+00
  1.75133880e+00 -1.75357564e-01 -1.09312410e-01 -3.75539374e-02
  4.00249348e-02  1.23492597e-01  2.37689666e+00  2.49635253e+00
  4.09914621e-01  2.74707341e+00  6.31358594e-01  3.01255443e+00
  3.15045257e+00  1.00984705e+00  1.14834139e+00  1.29296111e+00
  1.44366411e+00  3.88459413e+00  4.03923438e+00  4.19614714e+00
  4.35510345e+00  2.28608329e+00  2.47156271e+00  2.66236404e+00
  5.00939879e+00  3.05917471e+00  3.26476180e+00  3.16510841e+01]"
6,-693.0910875735535,680.4858482516822,"[-6.87422029e-01 -5.77351549e-01  1.52724961e+00  1.58295023e+00
  1.63335470e+00 -1.85386281e-01  1.71889004e+00 -2.06936563e-02
  5.33922913e-02  1.21844436e-01  1.84639918e-01  2.41736875e-01
  1.86442085e+00  3.38864211e-01  3.78967669e-01  1.88163643e+00
  4.42485856e-01  4.66113300e-01  4.84452931e-01  4.97676901e-01
  1.84075956e+00  5.09331773e-01  5.08128898e-01  5.02497224e-01
  4.92657697e-01  4.78814017e-01  1.69925551e+00  1.66809440e+00
  4.15670588e-01  1.60095711e+00  1.56534933e+00  1.52864082e+00
  2.90434253e-01  1.45282082e+00  1.41413451e+00  1.74901798e-01
  1.33635614e+00  9.16529176e-02  1.25959291e+00  1.22219598e+00
 -3.73784451e-02  1.15058191e+00 -1.23165452e-01 -1.65211134e-01
  1.05492639e+00 -2.46578990e-01  1.00181132e+00  9.79159913e-01
  9.59471809e-01  9.42929655e-01 -4.23474169e-01 -4.52680641e-01
 -4.79387316e-01 -5.03427199e-01 -5.24578854e-01 -5.42745722e-01
 -5.57727027e-01  9.48832979e-01  9.69442625e-01 -5.82099103e-01
 -5.82861237e-01  1.06084375e+00 -5.72435454e-01 -5.60996368e-01
 -5.45172898e-01  1.25384557e+00 -4.99946351e-01  1.38101614e+00
 -4.35573858e-01  1.52806738e+00 -3.50891014e-01  1.69425587e+00
  1.78414723e+00 -1.83170400e-01 -1.15761501e-01 -4.23609516e-02
  3.72180394e-02  1.23124262e-01  2.40711181e+00  2.52265646e+00
  4.20520336e-01  2.76129728e+00  6.53472767e-01  3.00795156e+00
  3.13347231e+00  1.05808276e+00  1.20821013e+00  1.36616907e+00
  1.53205822e+00  3.76846327e+00  3.89423339e+00  4.01862370e+00
  4.14110964e+00  2.48315282e+00  2.69783289e+00  2.92058876e+00
  4.60177064e+00  3.38992438e+00  3.63621483e+00  3.16451519e+01]"
7,-695.504586488551,80.71825530706641,"[-7.16676331e-01 -6.08197169e-01  1.51529346e+00  1.56507789e+00
  1.61030787e+00 -2.15519534e-01  1.68778127e+00 -4.74287527e-02
  2.87888668e-02  9.95478059e-02  1.64743684e-01  2.24256477e-01
  1.82622318e+00  3.25971104e-01  3.68135539e-01  1.84767577e+00
  4.35071226e-01  4.59995206e-01  4.79320013e-01  4.93211487e-01
  1.82051679e+00  5.05251591e-01  5.03783592e-01  4.97597905e-01
  4.86950178e-01  4.72069724e-01  1.69853349e+00  1.67037271e+00
  4.04754170e-01  1.60878684e+00  1.57569246e+00  1.54129213e+00
  2.72851074e-01  1.46948660e+00  1.43249087e+00  1.52706840e-01
  1.35746407e+00  6.70138809e-02  1.28265166e+00  1.24595774e+00
 -6.43577810e-02  1.17524750e+00 -1.50683803e-01 -1.92678086e-01
  1.07996674e+00 -2.73339459e-01  1.02667021e+00  1.00385592e+00
  9.83993098e-01  9.67274130e-01 -4.45458611e-01 -4.73367528e-01
 -4.98716417e-01 -5.21383446e-01 -5.41181276e-01 -5.58055216e-01
 -5.71842362e-01  9.73586596e-01  9.94549661e-01 -5.93656784e-01
 -5.94053870e-01  1.08715924e+00 -5.83897270e-01 -5.73168463e-01
 -5.58491506e-01  1.28093750e+00 -5.16977151e-01  1.40731978e+00
 -4.58379353e-01  1.55218375e+00 -3.81609964e-01  1.71428287e+00
  1.80125223e+00 -2.29610462e-01 -1.68358710e-01 -1.01492876e-01
 -2.87393254e-02  5.01057553e-02  2.39010986e+00  2.49654687e+00
  3.26120432e-01  2.71331771e+00  5.46056841e-01  2.93249864e+00
  3.04182751e+00  9.36875974e-01  1.08496312e+00  1.24269177e+00
  1.41052518e+00  3.56221923e+00  3.65577285e+00  3.74355314e+00
  3.82423555e+00  2.42047996e+00  2.66079290e+00  2.91541966e+00
  4.04126551e+00  3.47058096e+00  3.77266298e+00  3.17538586e+01]"
8,-696.9870845310181,213.48457422300564,"[-7.47006698e-01 -6.33420628e-01  1.66460605e+00  1.71622251e+00
  1.76143650e+00 -2.26999950e-01  1.83393275e+00 -5.70095451e-02
  1.90127384e-02  8.89274897e-02  1.52765053e-01  2.10485638e-01
  1.93214292e+00  3.07952206e-01  3.47905107e-01  1.92811539e+00
  4.10688734e-01  4.33882322e-01  4.51796246e-01  4.64617405e-01
  1.86355284e+00  4.75649578e-01  4.74236801e-01  4.68467327e-01
  4.58503662e-01  4.44588525e-01  1.71453218e+00  1.68380930e+00
  3.81131452e-01  1.61851602e+00  1.58415388e+00  1.54885829e+00
  2.54570974e-01  1.47606372e+00  1.43891054e+00  1.36876243e-01
  1.36406336e+00  5.16116786e-02  1.28989445e+00  1.25362591e+00
 -8.12226129e-02  1.18392099e+00 -1.69960552e-01 -2.13566532e-01
  1.09037290e+00 -2.98308160e-01  1.03821804e+00  1.01595184e+00
  9.96599302e-01  9.80352748e-01 -4.85293329e-01 -5.16862034e-01
 -5.46118795e-01 -5.72880846e-01 -5.96917500e-01 -6.18135245e-01
 -6.36350529e-01  9.88754763e-01  1.00987264e+00 -6.71193151e-01
 -6.75601060e-01  1.10335101e+00 -6.72366543e-01 -6.64346556e-01
 -6.51684960e-01  1.30048019e+00 -6.11607448e-01  1.42986034e+00
 -5.50116167e-01  1.57853756e+00 -4.64948775e-01  1.74467703e+00
  1.83351444e+00 -2.87807293e-01 -2.14423216e-01 -1.33372998e-01
 -4.44612836e-02  5.26477032e-02  2.41861103e+00  2.51960864e+00
  3.94611359e-01  2.71908555e+00  6.65911952e-01  2.91130243e+00
  3.00342825e+00  1.13626056e+00  1.30859425e+00  1.48766719e+00
  1.67256158e+00  3.41688827e+00  3.49228011e+00  3.56749607e+00
  3.64449910e+00  2.63532878e+00  2.82151424e+00  2.99938964e+00
  4.03920442e+00  3.31641801e+00  3.44784800e+00  3.17045381e+01]"
9,-757.5232819378217,80.42246720715725,"[-8.19117737e-01 -7.00385646e-01  1.76903717e+00  1.82046219e+00
  1.86558836e+00 -2.72461800e-01  1.93814790e+00 -9.16949751e-02
 -1.04600793e-02  6.44788744e-02  1.33093619e-01  1.95295969e-01
  2.03722449e+00  3.00616604e-01  3.43864373e-01  2.03341291e+00
  4.11804936e-01  4.36819504e-01  4.56027022e-01  4.69619567e-01
  1.96802071e+00  4.80649318e-01  4.78494395e-01  4.71513009e-01
  4.59912041e-01  4.43955481e-01  1.81454413e+00  1.78258597e+00
  3.72344841e-01  1.71437100e+00  1.67832361e+00  1.64118692e+00
  2.31656482e-01  1.56430529e+00  1.52491977e+00  1.02262831e-01
  1.44529646e+00  9.17650878e-03  1.36604639e+00  1.32717398e+00
 -1.34921214e-01  1.25222623e+00 -2.30622576e-01 -2.77498661e-01
  1.15110142e+00 -3.68323157e-01  1.09437509e+00  1.07004087e+00
  1.04880701e+00  1.03088184e+00 -5.67530317e-01 -6.01030436e-01
 -6.32044573e-01 -6.60404329e-01 -6.85881122e-01 -7.08398319e-01
 -7.27773781e-01  1.03566318e+00  1.05773817e+00 -7.65389009e-01
 -7.70524635e-01  1.15596792e+00 -7.68534722e-01 -7.61061017e-01
 -7.48915478e-01  1.36324512e+00 -7.09851014e-01  1.49890664e+00
 -6.49464778e-01  1.65434443e+00 -5.65636052e-01  1.82747849e+00
  1.91981189e+00 -3.91211830e-01 -3.18964085e-01 -2.39175802e-01
 -1.51619303e-01 -5.59669572e-02  2.52309454e+00  2.62603432e+00
  2.81656862e-01  2.82750584e+00  5.50980148e-01  3.01806510e+00
  3.10747102e+00  1.02318254e+00  1.19853460e+00  1.38247230e+00
  1.57455724e+00  3.47947532e+00  3.54013985e+00  3.59889349e+00
  3.65856655e+00  2.62996446e+00  2.85106728e+00  3.07107003e+00
  4.02396083e+00  3.49645624e+00  3.69487395e+00  3.13687798e+01]"
