iter,funcval,gradnorm,x
0,420308.95193148166,8837.030753236962,"[ 1.00000000e+00  1.00000000e+00  9.92114701e-01  1.25333234e-01
  9.68583161e-01  2.48689887e-01  9.29776486e-01  3.68124553e-01
  8.76306680e-01  4.81753674e-01  8.09016994e-01  5.87785252e-01
  7.28968627e-01  6.84547106e-01  6.37423990e-01  7.70513243e-01
  5.35826795e-01  8.44327926e-01  4.25779292e-01  9.04827052e-01
  3.09016994e-01  9.51056516e-01  1.87381315e-01  9.82287251e-01
  6.27905195e-02  9.98026728e-01 -6.27905195e-02  9.98026728e-01
 -1.87381315e-01  9.82287251e-01 -3.09016994e-01  9.51056516e-01
 -4.25779292e-01  9.04827052e-01 -5.35826795e-01  8.44327926e-01
 -6.37423990e-01  7.70513243e-01 -7.28968627e-01  6.84547106e-01
 -8.09016994e-01  5.87785252e-01 -8.76306680e-01  4.81753674e-01
 -9.29776486e-01  3.68124553e-01 -9.68583161e-01  2.48689887e-01
 -9.92114701e-01  1.25333234e-01 -1.00000000e+00 -3.21624530e-16
 -9.92114701e-01 -1.25333234e-01 -9.68583161e-01 -2.48689887e-01
 -9.29776486e-01 -3.68124553e-01 -8.76306680e-01 -4.81753674e-01
 -8.09016994e-01 -5.87785252e-01 -7.28968627e-01 -6.84547106e-01
 -6.37423990e-01 -7.70513243e-01 -5.35826795e-01 -8.44327926e-01
 -4.25779292e-01 -9.04827052e-01 -3.09016994e-01 -9.51056516e-01
 -1.87381315e-01 -9.82287251e-01 -6.27905195e-02 -9.98026728e-01
  6.27905195e-02 -9.98026728e-01  1.87381315e-01 -9.82287251e-01
  3.09016994e-01 -9.51056516e-01  4.25779292e-01 -9.04827052e-01
  5.35826795e-01 -8.44327926e-01  6.37423990e-01 -7.70513243e-01
  7.28968627e-01 -6.84547106e-01  8.09016994e-01 -5.87785252e-01
  8.76306680e-01 -4.81753674e-01  9.29776486e-01 -3.68124553e-01
  9.68583161e-01 -2.48689887e-01  9.92114701e-01 -1.25333234e-01
  1.00000000e+00  6.43249060e-16]"
1,32562.50000467878,8837.030501876836,"[ 1.00000000e+00  1.00000000e+00  9.92114701e-01  1.25333234e-01
  9.68583161e-01  2.48689887e-01  9.29776486e-01  3.68124553e-01
  8.76306680e-01  4.81753674e-01  8.09016994e-01  5.87785252e-01
  7.28968627e-01  6.84547106e-01  6.37423990e-01  7.70513243e-01
  5.35826795e-01  8.44327926e-01  4.25779292e-01  9.04827052e-01
  3.09016994e-01  9.51056516e-01  1.87381315e-01  9.82287251e-01
  6.27905195e-02  9.98026728e-01 -6.27905195e-02  9.98026728e-01
 -1.87381315e-01  9.82287251e-01 -3.09016994e-01  9.51056516e-01
 -4.25779292e-01  9.04827052e-01 -5.35826795e-01  8.44327926e-01
 -6.37423990e-01  7.70513243e-01 -7.28968627e-01  6.84547106e-01
 -8.09016994e-01  5.87785252e-01 -8.76306680e-01  4.81753674e-01
 -9.29776486e-01  3.68124553e-01 -9.68583161e-01  2.48689887e-01
 -9.92114701e-01  1.25333234e-01 -1.00000000e+00 -3.21624530e-16
 -9.92114701e-01 -1.25333234e-01 -9.68583161e-01 -2.48689887e-01
 -9.29776486e-01 -3.68124553e-01 -8.76306680e-01 -4.81753674e-01
 -8.09016994e-01 -5.87785252e-01 -7.28968627e-01 -6.84547106e-01
 -6.37423990e-01 -7.70513243e-01 -5.35826795e-01 -8.44327926e-01
 -4.25779292e-01 -9.04827052e-01 -3.09016994e-01 -9.51056516e-01
 -1.87381315e-01 -9.82287251e-01 -6.27905195e-02 -9.98026728e-01
  6.27905195e-02 -9.98026728e-01  1.87381315e-01 -9.82287251e-01
  3.09016994e-01 -9.51056516e-01  4.25779292e-01 -9.04827052e-01
  5.35826795e-01 -8.44327926e-01  6.37423990e-01 -7.70513243e-01
  7.28968627e-01 -6.84547106e-01  8.09016994e-01 -5.87785252e-01
  8.76306680e-01 -4.81753674e-01  9.29776486e-01 -3.68124553e-01
  9.68583161e-01 -2.48689887e-01  9.92114701e-01 -1.25333234e-01
  1.00000000e+00  6.43249060e-16]"
2,32562.50000467878,8837.00924241088,"[ 1.00000000e+00  1.00000000e+00  9.92114701e-01  1.25333234e-01
  9.68583161e-01  2.48689887e-01  9.29776486e-01  3.68124553e-01
  8.76306680e-01  4.81753674e-01  8.09016994e-01  5.87785252e-01
  7.28968627e-01  6.84547106e-01  6.37423990e-01  7.70513243e-01
  5.35826795e-01  8.44327926e-01  4.25779292e-01  9.04827052e-01
  3.09016994e-01  9.51056516e-01  1.87381315e-01  9.82287251e-01
  6.27905195e-02  9.98026728e-01 -6.27905195e-02  9.98026728e-01
 -1.87381315e-01  9.82287251e-01 -3.09016994e-01  9.51056516e-01
 -4.25779292e-01  9.04827052e-01 -5.35826795e-01  8.44327926e-01
 -6.37423990e-01  7.70513243e-01 -7.28968627e-01  6.84547106e-01
 -8.09016994e-01  5.87785252e-01 -8.76306680e-01  4.81753674e-01
 -9.29776486e-01  3.68124553e-01 -9.68583161e-01  2.48689887e-01
 -9.92114701e-01  1.25333234e-01 -1.00000000e+00 -3.21624530e-16
 -9.92114701e-01 -1.25333234e-01 -9.68583161e-01 -2.48689887e-01
 -9.29776486e-01 -3.68124553e-01 -8.76306680e-01 -4.81753674e-01
 -8.09016994e-01 -5.87785252e-01 -7.28968627e-01 -6.84547106e-01
 -6.37423990e-01 -7.70513243e-01 -5.35826795e-01 -8.44327926e-01
 -4.25779292e-01 -9.04827052e-01 -3.09016994e-01 -9.51056516e-01
 -1.87381315e-01 -9.82287251e-01 -6.27905195e-02 -9.98026728e-01
  6.27905195e-02 -9.98026728e-01  1.87381315e-01 -9.82287251e-01
  3.09016994e-01 -9.51056516e-01  4.25779292e-01 -9.04827052e-01
  5.35826795e-01 -8.44327926e-01  6.37423990e-01 -7.70513243e-01
  7.28968627e-01 -6.84547106e-01  8.09016994e-01 -5.87785252e-01
  8.76306680e-01 -4.81753674e-01  9.29776486e-01 -3.68124553e-01
  9.68583161e-01 -2.48689887e-01  9.92114701e-01 -1.25333234e-01
  1.00000000e+00  6.43249060e-16]"
3,32562.50000467878,8837.040376104474,"[ 1.00000000e+00  1.00000000e+00  9.92114701e-01  1.25333234e-01
  9.68583161e-01  2.48689887e-01  9.29776486e-01  3.68124553e-01
  8.76306680e-01  4.81753674e-01  8.09016994e-01  5.87785252e-01
  7.28968627e-01  6.84547106e-01  6.37423990e-01  7.70513243e-01
  5.35826795e-01  8.44327926e-01  4.25779292e-01  9.04827052e-01
  3.09016994e-01  9.51056516e-01  1.87381315e-01  9.82287251e-01
  6.27905195e-02  9.98026728e-01 -6.27905195e-02  9.98026728e-01
 -1.87381315e-01  9.82287251e-01 -3.09016994e-01  9.51056516e-01
 -4.25779292e-01  9.04827052e-01 -5.35826795e-01  8.44327926e-01
 -6.37423990e-01  7.70513243e-01 -7.28968627e-01  6.84547106e-01
 -8.09016994e-01  5.87785252e-01 -8.76306680e-01  4.81753674e-01
 -9.29776486e-01  3.68124553e-01 -9.68583161e-01  2.48689887e-01
 -9.92114701e-01  1.25333234e-01 -1.00000000e+00 -3.21624530e-16
 -9.92114701e-01 -1.25333234e-01 -9.68583161e-01 -2.48689887e-01
 -9.29776486e-01 -3.68124553e-01 -8.76306680e-01 -4.81753674e-01
 -8.09016994e-01 -5.87785252e-01 -7.28968627e-01 -6.84547106e-01
 -6.37423990e-01 -7.70513243e-01 -5.35826795e-01 -8.44327926e-01
 -4.25779292e-01 -9.04827052e-01 -3.09016994e-01 -9.51056516e-01
 -1.87381315e-01 -9.82287251e-01 -6.27905195e-02 -9.98026728e-01
  6.27905195e-02 -9.98026728e-01  1.87381315e-01 -9.82287251e-01
  3.09016994e-01 -9.51056516e-01  4.25779292e-01 -9.04827052e-01
  5.35826795e-01 -8.44327926e-01  6.37423990e-01 -7.70513243e-01
  7.28968627e-01 -6.84547106e-01  8.09016994e-01 -5.87785252e-01
  8.76306680e-01 -4.81753674e-01  9.29776486e-01 -3.68124553e-01
  9.68583161e-01 -2.48689887e-01  9.92114701e-01 -1.25333234e-01
  1.00000000e+00  6.43249060e-16]"
4,11344.95032909285,8837.035462404525,"[-5.86741359e+00 -6.03185478e+00  2.91401009e+00  2.67058462e-01
  2.82769511e+00  5.93293864e-01  1.54237337e+00  9.09719563e-01
  2.49716549e+00  1.23045049e+00  1.39389350e+00  1.54740344e+00
  1.28788344e+00  1.85167781e+00  1.15886517e+00  2.13410572e+00
  1.00556026e+00  2.38561709e+00  8.26882130e-01  2.59795998e+00
  6.22244541e-01  2.76393806e+00  3.91743671e-01  1.60282878e+00
  1.41684815e-01  2.93581757e+00 -1.36384486e-01  1.62046711e+00
 -4.38951045e-01  2.87785728e+00 -7.50501724e-01  2.76392727e+00
 -1.07003147e+00  1.51280328e+00 -1.38994674e+00  2.38561960e+00
 -1.70169412e+00  2.13408776e+00 -1.28788505e+00  1.85167330e+00
 -2.26425406e+00  1.54739892e+00 -2.49717436e+00  9.19450683e-01
 -1.54238539e+00  7.27825868e-01 -1.58728882e+00  5.10190663e-01
 -2.91401173e+00  2.67064057e-01 -1.62266722e+00 -2.91293413e-06
 -2.91400979e+00 -2.67064729e-01 -1.58728532e+00 -5.93294434e-01
 -1.54238100e+00 -9.09714575e-01 -1.47829359e+00 -1.23045688e+00
 -1.39389369e+00 -1.08532878e+00 -1.28788677e+00 -1.85167589e+00
 -1.70169811e+00 -1.34368703e+00 -1.00556614e+00 -2.38563299e+00
 -8.26888004e-01 -1.51279468e+00 -7.50487608e-01 -1.56718376e+00
 -4.38934713e-01 -1.60282651e+00 -1.41687055e-01 -1.62046962e+00
  1.36374023e-01 -1.62046749e+00  4.38943737e-01 -2.87785026e+00
  7.50493129e-01 -1.56717490e+00  8.26897168e-01 -1.51279112e+00
  1.38993932e+00 -2.38562050e+00  1.15887137e+00 -2.13408429e+00
  1.99619758e+00 -1.22632920e+00  2.26425341e+00 -1.08531876e+00
  1.47825866e+00 -9.19445160e-01  1.54240800e+00 -9.09707472e-01
  2.82768869e+00 -5.93303499e-01  2.91399993e+00 -2.88186253e-01
  1.62267706e+00 -4.04804061e-06]"
5,11344.95032909285,23185.516318364702,"[-5.86741359e+00 -6.03185478e+00  2.91401009e+00  2.67058462e-01
  2.82769511e+00  5.93293864e-01  1.54237337e+00  9.09719563e-01
  2.49716549e+00  1.23045049e+00  1.39389350e+00  1.54740344e+00
  1.28788344e+00  1.85167781e+00  1.15886517e+00  2.13410572e+00
  1.00556026e+00  2.38561709e+00  8.26882130e-01  2.59795998e+00
  6.22244541e-01  2.76393806e+00  3.91743671e-01  1.60282878e+00
  1.41684815e-01  2.93581757e+00 -1.36384486e-01  1.62046711e+00
 -4.38951045e-01  2.87785728e+00 -7.50501724e-01  2.76392727e+00
 -1.07003147e+00  1.51280328e+00 -1.38994674e+00  2.38561960e+00
 -1.70169412e+00  2.13408776e+00 -1.28788505e+00  1.85167330e+00
 -2.26425406e+00  1.54739892e+00 -2.49717436e+00  9.19450683e-01
 -1.54238539e+00  7.27825868e-01 -1.58728882e+00  5.10190663e-01
 -2.91401173e+00  2.67064057e-01 -1.62266722e+00 -2.91293413e-06
 -2.91400979e+00 -2.67064729e-01 -1.58728532e+00 -5.93294434e-01
 -1.54238100e+00 -9.09714575e-01 -1.47829359e+00 -1.23045688e+00
 -1.39389369e+00 -1.08532878e+00 -1.28788677e+00 -1.85167589e+00
 -1.70169811e+00 -1.34368703e+00 -1.00556614e+00 -2.38563299e+00
 -8.26888004e-01 -1.51279468e+00 -7.50487608e-01 -1.56718376e+00
 -4.38934713e-01 -1.60282651e+00 -1.41687055e-01 -1.62046962e+00
  1.36374023e-01 -1.62046749e+00  4.38943737e-01 -2.87785026e+00
  7.50493129e-01 -1.56717490e+00  8.26897168e-01 -1.51279112e+00
  1.38993932e+00 -2.38562050e+00  1.15887137e+00 -2.13408429e+00
  1.99619758e+00 -1.22632920e+00  2.26425341e+00 -1.08531876e+00
  1.47825866e+00 -9.19445160e-01  1.54240800e+00 -9.09707472e-01
  2.82768869e+00 -5.93303499e-01  2.91399993e+00 -2.88186253e-01
  1.62267706e+00 -4.04804061e-06]"
6,11344.95032909285,23185.50486461805,"[-5.86741359e+00 -6.03185478e+00  2.91401009e+00  2.67058462e-01
  2.82769511e+00  5.93293864e-01  1.54237337e+00  9.09719563e-01
  2.49716549e+00  1.23045049e+00  1.39389350e+00  1.54740344e+00
  1.28788344e+00  1.85167781e+00  1.15886517e+00  2.13410572e+00
  1.00556026e+00  2.38561709e+00  8.26882130e-01  2.59795998e+00
  6.22244541e-01  2.76393806e+00  3.91743671e-01  1.60282878e+00
  1.41684815e-01  2.93581757e+00 -1.36384486e-01  1.62046711e+00
 -4.38951045e-01  2.87785728e+00 -7.50501724e-01  2.76392727e+00
 -1.07003147e+00  1.51280328e+00 -1.38994674e+00  2.38561960e+00
 -1.70169412e+00  2.13408776e+00 -1.28788505e+00  1.85167330e+00
 -2.26425406e+00  1.54739892e+00 -2.49717436e+00  9.19450683e-01
 -1.54238539e+00  7.27825868e-01 -1.58728882e+00  5.10190663e-01
 -2.91401173e+00  2.67064057e-01 -1.62266722e+00 -2.91293413e-06
 -2.91400979e+00 -2.67064729e-01 -1.58728532e+00 -5.93294434e-01
 -1.54238100e+00 -9.09714575e-01 -1.47829359e+00 -1.23045688e+00
 -1.39389369e+00 -1.08532878e+00 -1.28788677e+00 -1.85167589e+00
 -1.70169811e+00 -1.34368703e+00 -1.00556614e+00 -2.38563299e+00
 -8.26888004e-01 -1.51279468e+00 -7.50487608e-01 -1.56718376e+00
 -4.38934713e-01 -1.60282651e+00 -1.41687055e-01 -1.62046962e+00
  1.36374023e-01 -1.62046749e+00  4.38943737e-01 -2.87785026e+00
  7.50493129e-01 -1.56717490e+00  8.26897168e-01 -1.51279112e+00
  1.38993932e+00 -2.38562050e+00  1.15887137e+00 -2.13408429e+00
  1.99619758e+00 -1.22632920e+00  2.26425341e+00 -1.08531876e+00
  1.47825866e+00 -9.19445160e-01  1.54240800e+00 -9.09707472e-01
  2.82768869e+00 -5.93303499e-01  2.91399993e+00 -2.88186253e-01
  1.62267706e+00 -4.04804061e-06]"
7,10468.27125177801,23185.537070223803,"[-5.88449822e+00 -6.38008230e+00  2.83479409e+00  2.63146875e-01
  2.75078688e+00  5.86672503e-01  1.56315267e+00  8.94028204e-01
  2.43299912e+00  1.20650481e+00  1.40957250e+00  1.51185724e+00
  1.29818793e+00  1.80864408e+00  1.16518629e+00  2.08190817e+00
  1.00855179e+00  2.32485868e+00  8.27010530e-01  2.53016283e+00
  6.16498752e-01  2.69400333e+00  3.88870740e-01  1.62552527e+00
  1.39847640e-01  2.85628464e+00 -1.35766215e-01  1.64461158e+00
 -4.30903992e-01  2.80081078e+00 -7.40798203e-01  2.68965533e+00
 -1.05006438e+00  1.52910205e+00 -1.36092684e+00  2.32784314e+00
 -1.66682429e+00  2.08257748e+00 -1.29681567e+00  1.80895336e+00
 -2.20898942e+00  1.51479052e+00 -2.43375400e+00  9.19726096e-01
 -1.56178801e+00  7.36070600e-01 -1.61149585e+00  4.97755189e-01
 -2.83462574e+00  2.65388522e-01 -1.64847801e+00  2.11786251e-05
 -2.83463077e+00 -2.65679533e-01 -1.60939189e+00 -5.81321336e-01
 -1.56479714e+00 -8.75561765e-01 -1.49815219e+00 -1.22761331e+00
 -1.39819952e+00 -1.07588620e+00 -1.29927739e+00 -1.81222023e+00
 -1.67372481e+00 -1.36673936e+00 -1.00833855e+00 -2.32883271e+00
 -9.30205001e-01 -1.46003584e+00 -6.38521916e-01 -1.65656882e+00
 -4.28112164e-01 -1.62632821e+00 -1.39160252e-01 -1.64617539e+00
  1.39827780e-01 -1.64608340e+00  4.32789504e-01 -2.80041804e+00
  6.40188279e-01 -1.66479776e+00  9.25283108e-01 -1.45425922e+00
  1.36356643e+00 -2.32811430e+00  1.16333423e+00 -2.08221620e+00
  1.94848378e+00 -1.23390965e+00  2.21267325e+00 -1.08732641e+00
  1.01484665e+00 -9.76127393e-01  1.99038200e+00 -8.40895716e-01
  2.75030865e+00 -5.87190853e-01  2.83527216e+00 -2.82204280e-01
  1.64803408e+00  1.02703236e-03]"
8,8270.82620129892,3880.5912611023086,"[-5.35151751e+00 -6.22866379e+00  2.77376512e+00  2.52129098e-01
  2.68914974e+00  5.81132240e-01  1.52798612e+00  8.75446999e-01
  2.38068441e+00  1.18090820e+00  1.38529243e+00  1.47229056e+00
  1.27227502e+00  1.76768972e+00  1.14186931e+00  2.03536282e+00
  9.88833779e-01  2.27349243e+00  8.10138121e-01  2.47630269e+00
  5.92900191e-01  2.64613168e+00  3.78363050e-01  1.58288111e+00
  1.36213686e-01  2.79611791e+00 -1.35046863e-01  1.60247417e+00
 -4.16266986e-01  2.74289285e+00 -7.32291667e-01  2.63030956e+00
 -1.02561004e+00  1.48520009e+00 -1.32996100e+00  2.28563227e+00
 -1.63980942e+00  2.03838964e+00 -1.26716407e+00  1.76896754e+00
 -2.16375578e+00  1.48364309e+00 -2.38376213e+00  8.98472758e-01
 -1.52236678e+00  7.40292793e-01 -1.57683824e+00  4.64422012e-01
 -2.77335865e+00  2.60610479e-01 -1.61118021e+00 -8.32279039e-04
 -2.77332803e+00 -2.61593867e-01 -1.57445069e+00 -5.56492442e-01
 -1.53092677e+00 -8.17506439e-01 -1.47038369e+00 -1.24211710e+00
 -1.34553062e+00 -1.01358294e+00 -1.27482233e+00 -1.78270611e+00
 -1.66333369e+00 -1.37389916e+00 -9.88347328e-01 -2.28830434e+00
 -9.80799235e-01 -1.37369370e+00 -5.73278610e-01 -1.66122305e+00
 -3.94658795e-01 -1.59275394e+00 -1.33012765e-01 -1.60836629e+00
  1.48500256e-01 -1.60983555e+00  4.23790678e-01 -2.74180406e+00
  5.56376769e-01 -1.68486967e+00  9.73950239e-01 -1.36087173e+00
  1.34149568e+00 -2.28650416e+00  1.13383801e+00 -2.03540723e+00
  1.89801403e+00 -1.21773062e+00  2.18093320e+00 -1.06242465e+00
  5.80538681e-01 -9.90860567e-01  2.29722887e+00 -7.76765293e-01
  2.68777771e+00 -5.81915613e-01  2.77584716e+00 -2.69265884e-01
  1.60862106e+00  3.09151998e-03]"
9,7208.556567767178,3286.844466069116,"[-4.32250028e+00 -6.47844996e+00  3.06156834e+00  2.63976756e-01
  2.96507894e+00  6.15001412e-01  1.49867470e+00  9.35512998e-01
  2.61052357e+00  1.26905584e+00  1.37057744e+00  1.59291598e+00
  1.26878281e+00  1.91923574e+00  1.14670040e+00  2.21976702e+00
  1.00020698e+00  2.48922654e+00  8.25042622e-01  2.72055059e+00
  6.13155937e-01  2.90955153e+00  3.92661626e-01  1.54713372e+00
  1.43249059e-01  3.08705242e+00 -1.40446644e-01  1.56340417e+00
 -4.42637443e-01  3.02490002e+00 -7.77875883e-01  2.89704318e+00
 -1.09999046e+00  1.46338355e+00 -1.43382700e+00  2.49929630e+00
 -1.77335672e+00  2.22257021e+00 -1.26424596e+00  1.92084384e+00
 -2.36349089e+00  1.60254445e+00 -2.61317678e+00  9.13250924e-01
 -1.49668963e+00  7.47901704e-01 -1.53824330e+00  4.90703992e-01
 -3.06128892e+00  2.70949974e-01 -1.56969322e+00 -5.82738581e-04
 -3.06131803e+00 -2.71772581e-01 -1.53814194e+00 -5.91527306e-01
 -1.49904025e+00 -8.98479825e-01 -1.43031710e+00 -1.29797851e+00
 -1.35994311e+00 -1.06097832e+00 -1.26769701e+00 -1.93491124e+00
 -1.79547368e+00 -1.34285338e+00 -9.99804893e-01 -2.50123023e+00
 -9.64184106e-01 -1.36964688e+00 -6.59382264e-01 -1.61729208e+00
 -4.17665351e-01 -1.54698087e+00 -1.36414257e-01 -1.56477916e+00
  1.49665140e-01 -1.56811960e+00  4.48920039e-01 -3.02429703e+00
  6.33929647e-01 -1.62582132e+00  9.67800611e-01 -1.36129054e+00
  1.44366120e+00 -2.49889152e+00  1.14061888e+00 -2.21977998e+00
  2.07157907e+00 -1.20877552e+00  2.36246651e+00 -1.07145627e+00
  9.24444979e-01 -9.89745377e-01  2.01794283e+00 -8.61753667e-01
  2.96335989e+00 -6.12725107e-01  3.06356640e+00 -2.86381707e-01
  1.56735796e+00  2.68918033e-03]"
