iter,funcval,gradnorm,x
0,11899.645225909067,595.9818737849241,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
1,5073.786371010433,595.9818737579374,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
2,4708.083369720273,595.9818737787621,"[ 2.90650277e-01 -2.91119732e-01  2.88057638e+00  1.99098803e+00
  3.47514779e+00  1.13573369e+00 -1.30278369e-01  3.86121809e-01
 -5.76510343e-01 -9.35673152e-01  2.61315858e+00  5.55685886e-01
  4.07400165e+00  2.86599844e+00 -5.53847633e-01 -2.49074931e+00
 -3.42137143e+00 -9.37828654e-01  1.63663477e-01  2.91208506e+00
  3.55791710e+00 -6.04805973e-01  1.43632840e+00 -2.02986789e+00
 -1.42588274e+00  1.11242123e-01  1.84555360e-01  1.55570439e+00
 -9.35130528e-01 -9.29639708e-01 -6.91176637e-07 -2.85607274e-01
  4.71356654e+00  2.34604323e-01 -3.56231658e+00 -1.58336536e+00
 -1.17461669e-01  1.70632766e+00 -3.00900168e-01 -3.12270495e-01
 -2.77857896e-01  2.79326028e+00  6.35011096e-01  3.09965535e+00
  1.97864468e-06 -2.62013079e+00 -3.42315706e+00  2.62097099e+00
 -4.02825743e+00  3.09708775e+00]"
3,4708.083369720273,9747208153.69538,"[ 2.90650277e-01 -2.91119732e-01  2.88057638e+00  1.99098803e+00
  3.47514779e+00  1.13573369e+00 -1.30278369e-01  3.86121809e-01
 -5.76510343e-01 -9.35673152e-01  2.61315858e+00  5.55685886e-01
  4.07400165e+00  2.86599844e+00 -5.53847633e-01 -2.49074931e+00
 -3.42137143e+00 -9.37828654e-01  1.63663477e-01  2.91208506e+00
  3.55791710e+00 -6.04805973e-01  1.43632840e+00 -2.02986789e+00
 -1.42588274e+00  1.11242123e-01  1.84555360e-01  1.55570439e+00
 -9.35130528e-01 -9.29639708e-01 -6.91176637e-07 -2.85607274e-01
  4.71356654e+00  2.34604323e-01 -3.56231658e+00 -1.58336536e+00
 -1.17461669e-01  1.70632766e+00 -3.00900168e-01 -3.12270495e-01
 -2.77857896e-01  2.79326028e+00  6.35011096e-01  3.09965535e+00
  1.97864468e-06 -2.62013079e+00 -3.42315706e+00  2.62097099e+00
 -4.02825743e+00  3.09708775e+00]"
4,4708.083369720273,47760256.13226418,"[ 2.90650277e-01 -2.91119732e-01  2.88057638e+00  1.99098803e+00
  3.47514779e+00  1.13573369e+00 -1.30278369e-01  3.86121809e-01
 -5.76510343e-01 -9.35673152e-01  2.61315858e+00  5.55685886e-01
  4.07400165e+00  2.86599844e+00 -5.53847633e-01 -2.49074931e+00
 -3.42137143e+00 -9.37828654e-01  1.63663477e-01  2.91208506e+00
  3.55791710e+00 -6.04805973e-01  1.43632840e+00 -2.02986789e+00
 -1.42588274e+00  1.11242123e-01  1.84555360e-01  1.55570439e+00
 -9.35130528e-01 -9.29639708e-01 -6.91176637e-07 -2.85607274e-01
  4.71356654e+00  2.34604323e-01 -3.56231658e+00 -1.58336536e+00
 -1.17461669e-01  1.70632766e+00 -3.00900168e-01 -3.12270495e-01
 -2.77857896e-01  2.79326028e+00  6.35011096e-01  3.09965535e+00
  1.97864468e-06 -2.62013079e+00 -3.42315706e+00  2.62097099e+00
 -4.02825743e+00  3.09708775e+00]"
5,4708.083369720273,5934955.962393004,"[ 2.90650277e-01 -2.91119732e-01  2.88057638e+00  1.99098803e+00
  3.47514779e+00  1.13573369e+00 -1.30278369e-01  3.86121809e-01
 -5.76510343e-01 -9.35673152e-01  2.61315858e+00  5.55685886e-01
  4.07400165e+00  2.86599844e+00 -5.53847633e-01 -2.49074931e+00
 -3.42137143e+00 -9.37828654e-01  1.63663477e-01  2.91208506e+00
  3.55791710e+00 -6.04805973e-01  1.43632840e+00 -2.02986789e+00
 -1.42588274e+00  1.11242123e-01  1.84555360e-01  1.55570439e+00
 -9.35130528e-01 -9.29639708e-01 -6.91176637e-07 -2.85607274e-01
  4.71356654e+00  2.34604323e-01 -3.56231658e+00 -1.58336536e+00
 -1.17461669e-01  1.70632766e+00 -3.00900168e-01 -3.12270495e-01
 -2.77857896e-01  2.79326028e+00  6.35011096e-01  3.09965535e+00
  1.97864468e-06 -2.62013079e+00 -3.42315706e+00  2.62097099e+00
 -4.02825743e+00  3.09708775e+00]"
6,4708.083369720273,1152316.0350392952,"[ 2.90650277e-01 -2.91119732e-01  2.88057638e+00  1.99098803e+00
  3.47514779e+00  1.13573369e+00 -1.30278369e-01  3.86121809e-01
 -5.76510343e-01 -9.35673152e-01  2.61315858e+00  5.55685886e-01
  4.07400165e+00  2.86599844e+00 -5.53847633e-01 -2.49074931e+00
 -3.42137143e+00 -9.37828654e-01  1.63663477e-01  2.91208506e+00
  3.55791710e+00 -6.04805973e-01  1.43632840e+00 -2.02986789e+00
 -1.42588274e+00  1.11242123e-01  1.84555360e-01  1.55570439e+00
 -9.35130528e-01 -9.29639708e-01 -6.91176637e-07 -2.85607274e-01
  4.71356654e+00  2.34604323e-01 -3.56231658e+00 -1.58336536e+00
 -1.17461669e-01  1.70632766e+00 -3.00900168e-01 -3.12270495e-01
 -2.77857896e-01  2.79326028e+00  6.35011096e-01  3.09965535e+00
  1.97864468e-06 -2.62013079e+00 -3.42315706e+00  2.62097099e+00
 -4.02825743e+00  3.09708775e+00]"
7,4708.083369720273,768898.9081247556,"[ 2.90650277e-01 -2.91119732e-01  2.88057638e+00  1.99098803e+00
  3.47514779e+00  1.13573369e+00 -1.30278369e-01  3.86121809e-01
 -5.76510343e-01 -9.35673152e-01  2.61315858e+00  5.55685886e-01
  4.07400165e+00  2.86599844e+00 -5.53847633e-01 -2.49074931e+00
 -3.42137143e+00 -9.37828654e-01  1.63663477e-01  2.91208506e+00
  3.55791710e+00 -6.04805973e-01  1.43632840e+00 -2.02986789e+00
 -1.42588274e+00  1.11242123e-01  1.84555360e-01  1.55570439e+00
 -9.35130528e-01 -9.29639708e-01 -6.91176637e-07 -2.85607274e-01
  4.71356654e+00  2.34604323e-01 -3.56231658e+00 -1.58336536e+00
 -1.17461669e-01  1.70632766e+00 -3.00900168e-01 -3.12270495e-01
 -2.77857896e-01  2.79326028e+00  6.35011096e-01  3.09965535e+00
  1.97864468e-06 -2.62013079e+00 -3.42315706e+00  2.62097099e+00
 -4.02825743e+00  3.09708775e+00]"
8,4708.083369720273,607934.740241583,"[ 2.90650277e-01 -2.91119732e-01  2.88057638e+00  1.99098803e+00
  3.47514779e+00  1.13573369e+00 -1.30278369e-01  3.86121809e-01
 -5.76510343e-01 -9.35673152e-01  2.61315858e+00  5.55685886e-01
  4.07400165e+00  2.86599844e+00 -5.53847633e-01 -2.49074931e+00
 -3.42137143e+00 -9.37828654e-01  1.63663477e-01  2.91208506e+00
  3.55791710e+00 -6.04805973e-01  1.43632840e+00 -2.02986789e+00
 -1.42588274e+00  1.11242123e-01  1.84555360e-01  1.55570439e+00
 -9.35130528e-01 -9.29639708e-01 -6.91176637e-07 -2.85607274e-01
  4.71356654e+00  2.34604323e-01 -3.56231658e+00 -1.58336536e+00
 -1.17461669e-01  1.70632766e+00 -3.00900168e-01 -3.12270495e-01
 -2.77857896e-01  2.79326028e+00  6.35011096e-01  3.09965535e+00
  1.97864468e-06 -2.62013079e+00 -3.42315706e+00  2.62097099e+00
 -4.02825743e+00  3.09708775e+00]"
9,4708.083369720273,299476.68857847806,"[ 2.90650277e-01 -2.91119732e-01  2.88057638e+00  1.99098803e+00
  3.47514779e+00  1.13573369e+00 -1.30278369e-01  3.86121809e-01
 -5.76510343e-01 -9.35673152e-01  2.61315858e+00  5.55685886e-01
  4.07400165e+00  2.86599844e+00 -5.53847633e-01 -2.49074931e+00
 -3.42137143e+00 -9.37828654e-01  1.63663477e-01  2.91208506e+00
  3.55791710e+00 -6.04805973e-01  1.43632840e+00 -2.02986789e+00
 -1.42588274e+00  1.11242123e-01  1.84555360e-01  1.55570439e+00
 -9.35130528e-01 -9.29639708e-01 -6.91176637e-07 -2.85607274e-01
  4.71356654e+00  2.34604323e-01 -3.56231658e+00 -1.58336536e+00
 -1.17461669e-01  1.70632766e+00 -3.00900168e-01 -3.12270495e-01
 -2.77857896e-01  2.79326028e+00  6.35011096e-01  3.09965535e+00
  1.97864468e-06 -2.62013079e+00 -3.42315706e+00  2.62097099e+00
 -4.02825743e+00  3.09708775e+00]"
