iter,funcval,gradnorm,x
0,2335.2875000000004,205.4714379594275,"[-1.94665445e-06 -6.94202671e-07 -1.63846506e-07 -5.16425411e-07
 -2.40360363e-07 -9.57763262e-07  2.72507680e-07 -1.69031014e-07
 -3.88848661e-07  1.08798330e-07 -7.52294204e-07  2.07002848e-07
  1.10264647e-06  1.24854291e-07  1.09077985e-06 -8.10663321e-07
  1.05539018e-06  1.36984547e-06 -1.43752568e-07  2.17172395e-07
 -1.14473149e-06  8.39214128e-07  8.86647824e-07 -5.12903030e-07
 -7.02717802e-07 -3.70169424e-08 -5.42068056e-07 -7.41314738e-08
  2.04838309e-06 -9.49579883e-07 -9.75969662e-07 -3.76564671e-07
  9.89064612e-07 -5.72256592e-07  3.47517244e-07 -1.93614350e-06
 -1.80157292e-07 -6.89663460e-07 -9.04734602e-07  2.12402381e-06
 -1.50540989e-06  4.10925044e-07  2.35457550e-07 -7.73988976e-07
 -1.20304608e-06 -2.56328482e-07 -2.74029141e-07 -5.17966430e-08
 -1.03090117e+01  2.44637390e-07]"
1,2242.35490485334,205.47143795780732,"[-1.15903875e+00 -1.70921737e+00 -8.62304500e-01 -1.36162951e+00
  4.25128495e+00 -1.30494185e-01  8.93865465e-01  2.07462019e+00
  9.06749048e-01 -2.22629217e+00  4.13463722e+00 -1.15820375e+00
  3.55800149e-01  4.15798409e+00 -1.77569838e+00 -4.03265463e+00
 -4.41505404e+00  6.11037826e-01 -2.11412736e+00  7.25542942e-02
  4.41864279e+00 -2.47945740e-01  2.60863216e-03  1.36668562e+00
  1.92944088e-01 -1.96121090e+00 -3.61083218e-01  2.54259398e+00
  9.30099273e-01 -2.85176695e+00  1.19732485e+00 -1.30446372e+00
  4.23377169e+00  3.06387702e+00 -4.31813900e+00 -6.43512164e-01
  1.18165885e+00 -1.54477944e+00  5.75312373e-01 -3.83646741e-01
  1.79969968e+00 -1.12405918e+00 -1.32834301e+00  4.22498450e+00
  2.58795058e+00  4.85853564e-01 -4.36494992e+00 -9.64712439e-01
  1.96862712e+00  3.63133036e+00]"
2,2242.35490485334,208.45540429954923,"[-1.15903875e+00 -1.70921737e+00 -8.62304500e-01 -1.36162951e+00
  4.25128495e+00 -1.30494185e-01  8.93865465e-01  2.07462019e+00
  9.06749048e-01 -2.22629217e+00  4.13463722e+00 -1.15820375e+00
  3.55800149e-01  4.15798409e+00 -1.77569838e+00 -4.03265463e+00
 -4.41505404e+00  6.11037826e-01 -2.11412736e+00  7.25542942e-02
  4.41864279e+00 -2.47945740e-01  2.60863216e-03  1.36668562e+00
  1.92944088e-01 -1.96121090e+00 -3.61083218e-01  2.54259398e+00
  9.30099273e-01 -2.85176695e+00  1.19732485e+00 -1.30446372e+00
  4.23377169e+00  3.06387702e+00 -4.31813900e+00 -6.43512164e-01
  1.18165885e+00 -1.54477944e+00  5.75312373e-01 -3.83646741e-01
  1.79969968e+00 -1.12405918e+00 -1.32834301e+00  4.22498450e+00
  2.58795058e+00  4.85853564e-01 -4.36494992e+00 -9.64712439e-01
  1.96862712e+00  3.63133036e+00]"
3,1568.815474403112,208.45540429935693,"[-0.85080128 -1.35595908 -1.12236231 -1.89677109  3.06980111  0.72741638
  0.78125155  1.89761174  0.44312819 -2.44825024  2.57564061 -0.4987275
 -0.88942056  2.47409428 -1.62418866 -2.38349899 -2.65926367 -0.00687264
 -2.9568976  -0.46064803  3.68661739  0.28485539  0.3916066   2.21767993
 -0.18923976 -1.28787016 -0.07633628  2.43298521  0.95630552 -2.10271965
  1.05292311 -1.42700751  3.83771689  3.13049718 -3.84040724 -0.25094668
  1.19868244 -1.79422075  0.05753686  0.43288748  1.79332667 -0.32766384
 -1.3871533   3.54321798  2.99154306  0.49067543 -3.69962722 -0.14978466
  0.48482351  3.669025  ]"
4,1462.3863513147421,85.66141900562937,"[-1.80305437e-01 -9.22308173e-01 -1.68123179e+00 -3.57136387e+00
  2.73148665e+00  5.33962674e+00  5.94279390e-01  1.67890029e+00
 -6.45472471e-01 -3.27130289e+00  2.95229399e+00  1.25368967e+00
  1.44168286e+00  2.42532627e+00 -1.69412521e+00 -2.90662389e+00
 -2.49963345e+00 -5.32370849e-01 -5.08080578e+00 -1.58592421e+00
  4.47296084e+00  2.69820455e+00  1.97079630e+00  4.45418197e+00
 -1.72936328e+00  1.81014101e-01  1.13012891e+00  3.21736911e+00
  9.00849800e-01 -1.29594210e+00  1.04316309e+00 -2.19517353e+00
  4.85707852e+00  4.08758225e+00 -4.71242409e+00  1.09895182e+00
  1.50920316e+00 -2.93912976e+00 -1.84602485e+00  5.20812507e+00
  2.08967765e+00 -2.16809338e-01 -2.14536710e+00  4.32667131e+00
  2.59518724e+00  2.43497142e-03 -4.81394983e+00 -3.50414191e-01
 -2.17066091e+00  3.77132597e+00]"
5,1462.3863513147421,98.58992611921585,"[-1.80305437e-01 -9.22308173e-01 -1.68123179e+00 -3.57136387e+00
  2.73148665e+00  5.33962674e+00  5.94279390e-01  1.67890029e+00
 -6.45472471e-01 -3.27130289e+00  2.95229399e+00  1.25368967e+00
  1.44168286e+00  2.42532627e+00 -1.69412521e+00 -2.90662389e+00
 -2.49963345e+00 -5.32370849e-01 -5.08080578e+00 -1.58592421e+00
  4.47296084e+00  2.69820455e+00  1.97079630e+00  4.45418197e+00
 -1.72936328e+00  1.81014101e-01  1.13012891e+00  3.21736911e+00
  9.00849800e-01 -1.29594210e+00  1.04316309e+00 -2.19517353e+00
  4.85707852e+00  4.08758225e+00 -4.71242409e+00  1.09895182e+00
  1.50920316e+00 -2.93912976e+00 -1.84602485e+00  5.20812507e+00
  2.08967765e+00 -2.16809338e-01 -2.14536710e+00  4.32667131e+00
  2.59518724e+00  2.43497142e-03 -4.81394983e+00 -3.50414191e-01
 -2.17066091e+00  3.77132597e+00]"
6,1328.1285151042912,98.58992611944126,"[-0.17663418 -0.7156504  -1.50088883 -3.57344851  2.97893776  6.51618415
  0.4631897   1.98949553 -0.19884097 -2.58777947  1.70695625  0.18004889
 -0.49064533  1.18258995 -1.31169331 -2.07379991 -0.99999674 -0.10739637
 -5.30249391 -0.70993308  4.77684643  2.506738    2.00115435  4.72589747
 -1.77717556  0.69813115  1.30211371  3.22989982  0.49699595 -1.25336091
  1.14083021 -2.19195425  4.61805043  3.58584557 -4.36753391  0.89276128
  1.36380267 -2.71624296 -1.42857971  3.35101137  3.15981487  0.49113708
 -2.57682389  3.72851593  1.3975285   0.42390021 -4.51172967 -1.69189343
 -2.39983042  2.50152333]"
7,1328.1285151042912,51.154629814927105,"[-0.17663418 -0.7156504  -1.50088883 -3.57344851  2.97893776  6.51618415
  0.4631897   1.98949553 -0.19884097 -2.58777947  1.70695625  0.18004889
 -0.49064533  1.18258995 -1.31169331 -2.07379991 -0.99999674 -0.10739637
 -5.30249391 -0.70993308  4.77684643  2.506738    2.00115435  4.72589747
 -1.77717556  0.69813115  1.30211371  3.22989982  0.49699595 -1.25336091
  1.14083021 -2.19195425  4.61805043  3.58584557 -4.36753391  0.89276128
  1.36380267 -2.71624296 -1.42857971  3.35101137  3.15981487  0.49113708
 -2.57682389  3.72851593  1.3975285   0.42390021 -4.51172967 -1.69189343
 -2.39983042  2.50152333]"
8,1258.5517378218271,51.15462981494352,"[-0.17074355 -0.62065892 -1.08979251 -3.3190436   2.64304364  6.55849904
  0.38273879  2.22127861  0.25187629 -2.06237497  1.99489783 -0.04599847
  0.02704125  1.38630773 -1.34797805 -2.51503832 -1.4161448  -0.0705429
 -5.25736552 -0.30927992  4.40212186  1.99519295  2.02643647  4.44736847
 -1.79457624  0.69138174  1.15442265  2.95094161  0.37715808 -1.10221494
  1.05749985 -2.10272578  4.31599576  3.15277497 -3.99848565  0.68936756
  1.18071037 -2.44860827 -1.08402521  4.26209823  2.08996708  0.58095974
 -2.08569184  3.45716275  1.33886365  0.11780603 -4.21871939 -0.80854916
 -2.84165945  2.51345718]"
9,1258.5517378218271,28.479977670009657,"[-0.17074355 -0.62065892 -1.08979251 -3.3190436   2.64304364  6.55849904
  0.38273879  2.22127861  0.25187629 -2.06237497  1.99489783 -0.04599847
  0.02704125  1.38630773 -1.34797805 -2.51503832 -1.4161448  -0.0705429
 -5.25736552 -0.30927992  4.40212186  1.99519295  2.02643647  4.44736847
 -1.79457624  0.69138174  1.15442265  2.95094161  0.37715808 -1.10221494
  1.05749985 -2.10272578  4.31599576  3.15277497 -3.99848565  0.68936756
  1.18071037 -2.44860827 -1.08402521  4.26209823  2.08996708  0.58095974
 -2.08569184  3.45716275  1.33886365  0.11780603 -4.21871939 -0.80854916
 -2.84165945  2.51345718]"
