problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,15.801128385580013,63.224071295069635,1000,1103,101,False,Max iteration
QING,100,21580.6454099038,27052.469776592512,1000,1101,101,False,Max iteration
LUKSAN21LS,100,96.56525000148183,1.147319474006425,1000,1101,101,False,Max iteration
VANDANMSLS,22,11.79084478616992,0.006700421155889406,1000,1023,101,False,Max iteration
SENSORS,100,-2055.374999326116,0.009929469026944906,878,978,88,False,TR radius too small
COATING,134,70.95622653692001,44.56382062519479,1000,1135,101,False,Max iteration
DMN15333LS,99,11958.045317847313,356693.6020386612,1000,1100,101,False,Max iteration
DIAMON3DLS,99,1643462.303572187,1.8232388020320768e-07,2,101,1,True,First order condition met
LUKSAN22LS,100,24867.972188666376,1678713.477684781,77,177,8,False,TR radius too small
CHNROSNB,50,4180.757301739283,33397.77677872708,1000,1051,101,False,Max iteration
HYDCAR6LS,29,5.276153811770204,20.278023422245866,1000,1030,101,False,Max iteration
TOINTQOR,50,1175.4722221496143,0.00014371716672140471,498,548,50,False,TR radius too small
STRTCHDV,10,1.3544305042292185e-09,9.158996715151872e-07,551,561,56,True,First order condition met
STRATEC,10,,,1,12,1,False,Objective is NaN
HILBERTB,10,2.1924888495955803e-14,6.77531495891805e-07,81,91,9,True,First order condition met
DMN15332LS,66,1754.8130664402465,9035.364284096904,1000,1067,101,False,Max iteration
LUKSAN15LS,100,27015.846760787113,2525280219689907.5,27,127,3,False,TR radius too small
METHANL8LS,31,8.88231172408603,179.01258808980128,1000,1032,101,False,Max iteration
LUKSAN17LS,100,125.31310727098038,4234.728666227886,1000,1101,101,False,Max iteration
TOINTPSP,50,275.8719603338734,268.87596210745056,1000,1051,101,False,Max iteration
METHANB8LS,31,0.002740868337698859,0.7619899372870313,1000,1032,101,False,Max iteration
WATSON,12,0.00512804250968879,0.08439380313748573,1000,1013,101,False,Max iteration
LUKSAN13LS,98,62656.17856364962,121389.16197169769,64,162,7,False,TR radius too small
DMN37143LS,99,569.1190813029987,1.683480972235097e-07,1,100,1,True,First order condition met
LUKSAN11LS,100,411.5571986124824,82.51845169540503,1000,1101,101,False,Max iteration
HATFLDGLS,25,0.011901134080767222,0.06394852641094473,1000,1026,101,False,Max iteration
DIAMON2DLS,66,1661984.2584325927,2.427419697691841e-07,2,68,1,True,First order condition met
ERRINRSM,50,152873.0724054592,97689941301.28828,28,78,3,False,TR radius too small
LUKSAN16LS,100,,,1,102,1,False,Objective is NaN
ERRINROS,50,110181.77598561517,1667451963867.993,29,79,3,False,TR radius too small
TOINTGOR,50,1374.3116505075266,4.410800006497904,1000,1051,101,False,Max iteration
OSBORNEB,11,0.28002574042532247,0.13186969314130043,1000,1012,101,False,Max iteration
HYDC20LS,99,1341.6625208673881,1.4917433600928258e+131,26,125,3,False,TR radius too small
LUKSAN14LS,98,26472.617501258883,11499651.274515769,63,161,7,False,TR radius too small
MANCINO,100,3.833707299379332e-09,509.2726561333545,766,866,77,False,TR radius too small
DMN15103LS,99,1643407.7070124198,1.0765313687126072e-07,2,101,1,True,First order condition met
DMN37142LS,66,371.0070305871824,113.88626988365053,1000,1067,101,False,Max iteration
TRIGON1,10,0.08777094814778542,0.02985426211549877,1000,1011,101,False,Max iteration
PARKCH,15,,,1,17,1,False,Objective is NaN
CHNRSNBM,50,4568.531409673851,4153.2142388268685,1000,1051,101,False,Max iteration
TRIGON2,10,5.6740887344243065,1.9054029449418626,1000,1011,101,False,Max iteration
LUKSAN12LS,98,32160.0,132175288.01954374,26,124,3,False,TR radius too small
