iter,funcval,gradnorm,x
0,36475717077.83878,3588.1742762580525,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]"
1,7505.722517077975,3588.174969287907,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
2,7505.722517077975,930839.1525786541,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
3,7505.722517077975,944584.1774480606,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
4,7505.722517077975,659680.6403066971,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
5,7505.722517077975,1521601.6455233546,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
6,7505.722517077975,1360355.9187248303,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
7,7505.722517077975,2847038.715404992,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
8,7505.722517077975,660481.8471267278,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
9,7505.722517077975,427742.16481232626,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
10,7505.722517077975,1003177.6615570654,"[ 1.00000158 -0.99968438 -0.99985058 -0.99978156 -0.99984867 -0.99966212
 -0.99985409 -0.9998336  -0.99979987 -0.99975227 -0.99979885 -0.99983264
 -0.99980743 -0.99981236 -0.99980479 -0.99979307 -0.99986876 -0.99980072
 -0.99948429 -0.99974988 -0.99986661 -0.99968941 -0.99979132 -0.99979714
 -0.99977212 -0.99985726 -0.99970695 -0.99983987 -0.99958166 -0.99986544
 -0.99981515 -0.99981514 -0.99952574 -0.999857   -0.99975822 -0.99985379
 -0.99979129 -0.99977602 -0.99983522 -0.99973451 -0.99984638 -0.99980675
 -0.99982703 -0.99970866 -0.99983511 -0.99982707 -0.99979968 -0.9998593
 -0.99948826 -0.99987119]"
