iter,funcval,gradnorm,x
0,174243268912.19418,4419.038880205537,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]"
1,8258.670836274638,4419.040221579112,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
2,8258.670836274638,1368529.6299665852,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
3,8258.670836274638,1374753.5008124525,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
4,8258.670836274638,1030858.1445346174,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
5,8258.670836274638,1445153.8398950943,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
6,8258.670836274638,1624610.2418167007,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
7,8258.670836274638,1447464.101843123,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
8,8258.670836274638,1271887.69224151,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
9,8258.670836274638,1438920.609867604,"[ 0.99999728 -0.99990117 -0.99990746 -0.99989273 -0.9996948  -0.9997847
 -0.99986039 -0.99989512 -0.99990426 -0.99990027 -0.99974491 -0.99974781
 -0.9998464  -0.99988939 -0.99990278 -0.99990486 -0.99982736 -0.99971985
 -0.99983229 -0.99987738 -0.99990221 -0.99991055 -0.99988164 -0.99968693
 -0.99980868 -0.99987153 -0.99989804 -0.99990936 -0.99990204 -0.99973329
 -0.99976612 -0.99985932 -0.99989265 -0.99990419 -0.99991118 -0.99979134
 -0.99973021 -0.99983758 -0.9998859  -0.99990123 -0.99990548 -0.99985865
 -0.99969777 -0.99981523 -0.99987286 -0.99989976 -0.9999072  -0.99988441
 -0.99969053 -0.99991749]"
