iter,funcval,gradnorm,x
0,259954437.30824307,23816.6344484668,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
1,14981.054583983307,23816.620463065025,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
2,14981.054583983307,23816.670471027523,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
3,14981.054583983307,23816.785481098766,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
4,14981.054583983307,23816.16267072043,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
5,14981.054583983307,23815.050923219726,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
6,7845.723279754723,23816.322612940006,"[ 0.86108535  0.49924658 -0.21665717  0.12295856  0.70403882  0.5258164
 -0.05309763  0.22733451  0.89518804  0.89307564  0.88990607  0.89257469
  0.89669665  0.89561109  0.89370104  0.89815427  0.88854849  0.89454656
  0.89589749  0.89332641  0.89369341  0.86601948  0.88718241  0.86917219
  0.86572232  0.87098525  0.87356364  0.87973095  0.8706012   0.8752566
  0.87855366  0.89040881  0.88136535  0.90058055  0.90208998  0.90301384
  0.90200868  0.90413499  0.90464458  0.90100014  0.90210396  0.90645785
  0.90393601  0.90854529  0.90946649  0.90931987  0.90552696  0.90835869
  0.90768614  0.91073799  0.90500113  0.90776438  0.90610201  0.90716288
  0.90384769  0.90499773  0.90372747  0.90658694  0.9080014   0.90693985
  0.90381106  0.90564271  0.90870658  0.90787769  0.89021778  0.89771746
  0.89399764  0.89267312  0.89372834  0.89436824  0.89240949  0.93519623
  0.92915509  0.92442651  0.93105987  0.95073757  0.93699809  0.93206932
  0.93960952  0.95647406  0.93091695  0.93451351  0.94463779  0.93452444
  0.92138459  0.94640876  0.94123141  0.93105944  0.93227017  0.95058915
  0.93892837  0.93422375  0.92611274  0.92940107  0.95003135  0.92781457
  0.94439715  0.95049252  0.945943    0.94751312  0.9506271   0.95383234
  0.94466952  0.94984821  0.9575136   0.9498607   0.99635878  0.99981689
  0.99650885  0.99821649  0.99828354  0.99396094  0.99785842  0.99442521
  1.00071632  0.99713834  0.99618301  0.99635891  0.99359351  0.99402556
  0.99182719  1.03687688  1.04565673  1.03336496  1.03828654  1.03562543
  1.03481153  1.10817961  1.07892267  1.05320641  1.09267525  1.06067995
  1.09268605  1.06737756]"
7,2778.810445199202,15692.622893834803,"[ 0.92991816 -0.95150474  1.31012227  0.78692064  0.29345514 -0.76342094
  1.16883302  0.81769853  0.40256758  0.39166467  0.38532261  0.38926125
  0.40957478  0.4015993   0.39506528  0.41184502  0.39109078  0.40072664
  0.40440336  0.39782081  0.39908172  0.39410539  0.44129388  0.40716319
  0.39630239  0.40674702  0.41849155  0.42411342  0.4093854   0.41171249
  0.41906807  0.44727761  0.42132295  0.40270338  0.41100674  0.41681964
  0.40934591  0.42231147  0.42632999  0.40521498  0.40956537  0.43815149
  0.42295634  0.48021051  0.4828734   0.48279252  0.47121777  0.48102624
  0.47894399  0.48722194  0.46813473  0.47963001  0.4737344   0.4740188
  0.46467612  0.47058207  0.46424457  0.47652235  0.49531044  0.49575392
  0.48363479  0.4907892   0.49914972  0.49651952  0.55644067  0.56595653
  0.54988329  0.55874763  0.55218232  0.56067005  0.54926732  0.9104608
  0.89794029  0.88527867  0.90248963  0.95670894  0.91822571  0.90510022
  0.92172998  0.97761299  0.90107094  0.91122681  0.94123673  0.91145388
  0.89195882  0.9507517   0.94690315  0.9209256   0.9213015   0.97031667
  0.93573577  0.92769861  0.90120123  0.90929883  0.96220436  0.90291814
  0.92900127  0.94421718  0.93093937  0.93706079  0.94158342  0.94861304
  0.92836221  0.94315097  0.9600297   0.93941543  1.07079678  1.07915421
  1.07183063  1.07772447  1.07605757  1.06655313  1.07317957  1.06814264
  1.08145997  1.0751948   1.07154482  1.07348393  1.06613792  1.06674975
  1.06095842  1.16386362  1.1808108   1.15717129  1.16621387  1.15992684
  1.15925399  1.28540106  1.24334799  1.19846841  1.26418667  1.21107429
  1.26452728  1.22223504]"
8,2778.810445199202,7448.741758890422,"[ 0.92991816 -0.95150474  1.31012227  0.78692064  0.29345514 -0.76342094
  1.16883302  0.81769853  0.40256758  0.39166467  0.38532261  0.38926125
  0.40957478  0.4015993   0.39506528  0.41184502  0.39109078  0.40072664
  0.40440336  0.39782081  0.39908172  0.39410539  0.44129388  0.40716319
  0.39630239  0.40674702  0.41849155  0.42411342  0.4093854   0.41171249
  0.41906807  0.44727761  0.42132295  0.40270338  0.41100674  0.41681964
  0.40934591  0.42231147  0.42632999  0.40521498  0.40956537  0.43815149
  0.42295634  0.48021051  0.4828734   0.48279252  0.47121777  0.48102624
  0.47894399  0.48722194  0.46813473  0.47963001  0.4737344   0.4740188
  0.46467612  0.47058207  0.46424457  0.47652235  0.49531044  0.49575392
  0.48363479  0.4907892   0.49914972  0.49651952  0.55644067  0.56595653
  0.54988329  0.55874763  0.55218232  0.56067005  0.54926732  0.9104608
  0.89794029  0.88527867  0.90248963  0.95670894  0.91822571  0.90510022
  0.92172998  0.97761299  0.90107094  0.91122681  0.94123673  0.91145388
  0.89195882  0.9507517   0.94690315  0.9209256   0.9213015   0.97031667
  0.93573577  0.92769861  0.90120123  0.90929883  0.96220436  0.90291814
  0.92900127  0.94421718  0.93093937  0.93706079  0.94158342  0.94861304
  0.92836221  0.94315097  0.9600297   0.93941543  1.07079678  1.07915421
  1.07183063  1.07772447  1.07605757  1.06655313  1.07317957  1.06814264
  1.08145997  1.0751948   1.07154482  1.07348393  1.06613792  1.06674975
  1.06095842  1.16386362  1.1808108   1.15717129  1.16621387  1.15992684
  1.15925399  1.28540106  1.24334799  1.19846841  1.26418667  1.21107429
  1.26452728  1.22223504]"
9,1091.770450970556,7448.710162041797,"[ 0.53190699 -1.84891611  0.69248389  0.50399997 -0.02014589 -1.3278015
  0.89538667  0.68197323  0.25315947  0.23138738  0.22182376  0.22902704
  0.25461255  0.24855603  0.24180839  0.27035105  0.21499406  0.24872891
  0.25113441  0.23452554  0.24354527  0.18255912  0.25976904  0.19646607
  0.1816362   0.19854158  0.21142507  0.22941677  0.20272106  0.21184613
  0.224711    0.27092979  0.23209522  0.29338573  0.30751567  0.30717183
  0.29961606  0.31848501  0.3328225   0.29612784  0.30061841  0.34495049
  0.32227935  0.34243901  0.35249269  0.34732245  0.3285096   0.34160441
  0.34359289  0.36137319  0.32038662  0.33824291  0.33250845  0.33750446
  0.31826047  0.3265746   0.31783132  0.33807434  0.34927269  0.34460921
  0.32348217  0.33782859  0.35085315  0.34976802  0.36663239  0.39159477
  0.37493974  0.37643132  0.37378229  0.37903542  0.36769819  0.77516921
  0.76081229  0.74712226  0.76002586  0.80331674  0.78019351  0.76279828
  0.78812572  0.80775934  0.76634209  0.7752241   0.78978922  0.76720456
  0.70972544  0.78263429  0.75482843  0.72992271  0.73813866  0.78323185
  0.76531526  0.74710481  0.73479833  0.74002781  0.79457308  0.74425684
  0.80374053  0.82165659  0.81305228  0.80962855  0.8198193   0.8314052
  0.80402002  0.81616832  0.83670939  0.81740664  0.89931555  0.90903463
  0.90405391  0.89964214  0.90533712  0.8982541   0.90761203  0.89131631
  0.9050497   0.89776391  0.90153038  0.89502619  0.89348668  0.88978886
  0.89000465  0.96228366  0.97136844  0.95313387  0.95852168  0.95981015
  0.95862422  1.01652995  0.99996168  0.9722759   1.01089889  0.9804884
  1.01026903  0.98741766]"
