iter,funcval,gradnorm,x
0,1118996538.0062692,7179.322216382548,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
1,1341.6625208673881,3.568228129099936e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
2,1341.6625208673881,6.095002614046054e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
3,1341.6625208673881,6.984826308929545e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
4,1341.6625208673881,1.114949563934092e+127,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
5,1341.6625208673881,7.807879141924359e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
6,1341.6625208673881,1.2455241025334123e+127,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
7,1341.6625208673881,9.753966165564531e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
8,1341.6625208673881,7.548943398572436e+126,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
9,1341.6625208673881,1.8283713554560802e+127,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
