iter,funcval,gradnorm,x
0,704.1073340916507,3153.3992524625114,"[ 1.00000000e+02  1.55746984e-06  2.00000677e-01  9.00001851e-01
  9.99999991e+01 -1.06485472e-06  1.99998207e-01  8.00001035e-01
  1.00000001e+02  5.00008118e-02  3.00002301e-01  7.99998004e-01
  1.00000001e+02  1.00000060e-01  3.00000323e-01  6.00000140e-01
  1.00000001e+02  3.00000647e-01  5.00001460e-01  2.99998319e-01
  1.00000001e+02  5.99998616e-01  5.99999717e-01 -1.29379554e-06
  2.99999999e+02  3.00000001e+02  3.00000003e+02  3.00000001e+02
  8.31751936e+01]"
1,543.0447582249443,3153.3999630062985,"[ 1.00000000e+02  1.55746984e-06  2.00000677e-01  9.00001851e-01
  9.99999991e+01 -1.06485472e-06  1.99998207e-01  8.00001035e-01
  1.00000001e+02  5.00008118e-02  3.00002301e-01  7.99998004e-01
  1.00000001e+02  1.00000060e-01  3.00000323e-01  6.00000140e-01
  1.00000001e+02  3.00000647e-01  5.00001460e-01  2.99998319e-01
  1.00000001e+02  5.99998616e-01  5.99999717e-01 -1.29379554e-06
  2.99999999e+02  3.00000001e+02  3.00000003e+02  3.00000001e+02
  8.31751936e+01]"
2,543.0447582249443,3153.4031510095488,"[ 1.00000000e+02  1.55746984e-06  2.00000677e-01  9.00001851e-01
  9.99999991e+01 -1.06485472e-06  1.99998207e-01  8.00001035e-01
  1.00000001e+02  5.00008118e-02  3.00002301e-01  7.99998004e-01
  1.00000001e+02  1.00000060e-01  3.00000323e-01  6.00000140e-01
  1.00000001e+02  3.00000647e-01  5.00001460e-01  2.99998319e-01
  1.00000001e+02  5.99998616e-01  5.99999717e-01 -1.29379554e-06
  2.99999999e+02  3.00000001e+02  3.00000003e+02  3.00000001e+02
  8.31751936e+01]"
3,543.0447582249443,3153.4041512789354,"[ 1.00000000e+02  1.55746984e-06  2.00000677e-01  9.00001851e-01
  9.99999991e+01 -1.06485472e-06  1.99998207e-01  8.00001035e-01
  1.00000001e+02  5.00008118e-02  3.00002301e-01  7.99998004e-01
  1.00000001e+02  1.00000060e-01  3.00000323e-01  6.00000140e-01
  1.00000001e+02  3.00000647e-01  5.00001460e-01  2.99998319e-01
  1.00000001e+02  5.99998616e-01  5.99999717e-01 -1.29379554e-06
  2.99999999e+02  3.00000001e+02  3.00000003e+02  3.00000001e+02
  8.31751936e+01]"
4,543.0447582249443,3153.4001608972635,"[ 1.00000000e+02  1.55746984e-06  2.00000677e-01  9.00001851e-01
  9.99999991e+01 -1.06485472e-06  1.99998207e-01  8.00001035e-01
  1.00000001e+02  5.00008118e-02  3.00002301e-01  7.99998004e-01
  1.00000001e+02  1.00000060e-01  3.00000323e-01  6.00000140e-01
  1.00000001e+02  3.00000647e-01  5.00001460e-01  2.99998319e-01
  1.00000001e+02  5.99998616e-01  5.99999717e-01 -1.29379554e-06
  2.99999999e+02  3.00000001e+02  3.00000003e+02  3.00000001e+02
  8.31751936e+01]"
5,543.0447582249443,3153.399126241618,"[ 1.00000000e+02  1.55746984e-06  2.00000677e-01  9.00001851e-01
  9.99999991e+01 -1.06485472e-06  1.99998207e-01  8.00001035e-01
  1.00000001e+02  5.00008118e-02  3.00002301e-01  7.99998004e-01
  1.00000001e+02  1.00000060e-01  3.00000323e-01  6.00000140e-01
  1.00000001e+02  3.00000647e-01  5.00001460e-01  2.99998319e-01
  1.00000001e+02  5.99998616e-01  5.99999717e-01 -1.29379554e-06
  2.99999999e+02  3.00000001e+02  3.00000003e+02  3.00000001e+02
  8.31751936e+01]"
6,289.8737873174019,3153.399148508431,"[ 9.99836973e+01  1.13451056e-01  4.66814494e-01  1.03762977e+00
  9.99959316e+01  4.28820911e-02  1.94140139e-01  8.33926461e-01
  1.00008912e+02 -1.02834566e-02  1.75392989e-01  9.35311873e-01
  9.99918886e+01  1.00298831e-01  3.25756675e-01  5.54936587e-01
  9.99918698e+01  2.90743150e-01  5.01500516e-01  3.07534967e-01
  1.00000046e+02  5.96905082e-01  6.09188667e-01  8.18284266e-03
  2.99999791e+02  2.99999996e+02  3.00000248e+02  3.00000035e+02
  8.33550521e+01]"
7,289.8737873174019,2946.4241455645756,"[ 9.99836973e+01  1.13451056e-01  4.66814494e-01  1.03762977e+00
  9.99959316e+01  4.28820911e-02  1.94140139e-01  8.33926461e-01
  1.00008912e+02 -1.02834566e-02  1.75392989e-01  9.35311873e-01
  9.99918886e+01  1.00298831e-01  3.25756675e-01  5.54936587e-01
  9.99918698e+01  2.90743150e-01  5.01500516e-01  3.07534967e-01
  1.00000046e+02  5.96905082e-01  6.09188667e-01  8.18284266e-03
  2.99999791e+02  2.99999996e+02  3.00000248e+02  3.00000035e+02
  8.33550521e+01]"
8,289.8737873174019,2946.4198242126145,"[ 9.99836973e+01  1.13451056e-01  4.66814494e-01  1.03762977e+00
  9.99959316e+01  4.28820911e-02  1.94140139e-01  8.33926461e-01
  1.00008912e+02 -1.02834566e-02  1.75392989e-01  9.35311873e-01
  9.99918886e+01  1.00298831e-01  3.25756675e-01  5.54936587e-01
  9.99918698e+01  2.90743150e-01  5.01500516e-01  3.07534967e-01
  1.00000046e+02  5.96905082e-01  6.09188667e-01  8.18284266e-03
  2.99999791e+02  2.99999996e+02  3.00000248e+02  3.00000035e+02
  8.33550521e+01]"
9,181.53191361224464,2946.4361532767157,"[ 9.99818204e+01  9.34885614e-02  4.59439501e-01  1.03861738e+00
  9.99958841e+01  8.01725543e-02  2.12742867e-01  8.43498474e-01
  1.00009872e+02 -6.25271783e-03  1.73470368e-01  9.23379528e-01
  9.99910662e+01  8.51431506e-02  3.18469053e-01  5.47881724e-01
  9.99912225e+01  2.93339281e-01  5.03900907e-01  3.09672943e-01
  1.00000049e+02  5.96560268e-01  6.09908187e-01  8.83972089e-03
  2.99999753e+02  3.00000001e+02  3.00000273e+02  3.00000033e+02
  8.33538363e+01]"
10,147.3988552823077,1362.9393680585192,"[9.99897331e+01 8.94325696e-02 4.63779104e-01 1.07384159e+00
 9.99983082e+01 1.19029505e-01 2.43422048e-01 8.12292455e-01
 1.00007849e+02 3.54026409e-02 1.90521569e-01 9.08742526e-01
 9.99943295e+01 4.90099734e-02 2.93267329e-01 5.16540890e-01
 9.99952448e+01 2.91238734e-01 5.04101192e-01 3.12828408e-01
 1.00000023e+02 5.98103789e-01 6.05507387e-01 5.03151174e-03
 2.99999910e+02 3.00000048e+02 3.00000202e+02 3.00000009e+02
 8.33192731e+01]"
11,147.3988552823077,1401.8483589738635,"[9.99897331e+01 8.94325696e-02 4.63779104e-01 1.07384159e+00
 9.99983082e+01 1.19029505e-01 2.43422048e-01 8.12292455e-01
 1.00007849e+02 3.54026409e-02 1.90521569e-01 9.08742526e-01
 9.99943295e+01 4.90099734e-02 2.93267329e-01 5.16540890e-01
 9.99952448e+01 2.91238734e-01 5.04101192e-01 3.12828408e-01
 1.00000023e+02 5.98103789e-01 6.05507387e-01 5.03151174e-03
 2.99999910e+02 3.00000048e+02 3.00000202e+02 3.00000009e+02
 8.33192731e+01]"
12,125.3992793702933,1401.607706556081,"[9.99889881e+01 9.05413427e-02 4.58115637e-01 1.06204426e+00
 9.99984720e+01 1.44041641e-01 2.56204024e-01 8.07395211e-01
 1.00008618e+02 2.39836982e-02 1.83660148e-01 9.01872754e-01
 9.99940450e+01 7.83684702e-02 3.12717007e-01 5.06263336e-01
 9.99945980e+01 2.81200518e-01 4.94855248e-01 3.06088319e-01
 1.00000025e+02 5.97957803e-01 6.06295056e-01 5.81405146e-03
 2.99999913e+02 3.00000067e+02 3.00000220e+02 3.00000015e+02
 8.33226832e+01]"
13,115.25422090470454,900.95309467524,"[ 1.00016726e+02  1.16091916e-01  4.89742116e-01  1.10325183e+00
  1.00005846e+02  1.39204879e-01  2.88010075e-01  7.83101174e-01
  9.99959895e+01  7.04819403e-02  1.85909952e-01  9.08488212e-01
  1.00005574e+02  7.59952678e-02  3.08650848e-01  4.70833498e-01
  1.00006567e+02  2.66234961e-01  4.80624021e-01  2.97687977e-01
  9.99999467e+01  6.02329260e-01  5.92484197e-01 -6.16012656e-03
  3.00000265e+02  3.00000129e+02  2.99999919e+02  2.99999955e+02
  8.32975009e+01]"
14,115.25422090470454,1373.0796036309314,"[ 1.00016726e+02  1.16091916e-01  4.89742116e-01  1.10325183e+00
  1.00005846e+02  1.39204879e-01  2.88010075e-01  7.83101174e-01
  9.99959895e+01  7.04819403e-02  1.85909952e-01  9.08488212e-01
  1.00005574e+02  7.59952678e-02  3.08650848e-01  4.70833498e-01
  1.00006567e+02  2.66234961e-01  4.80624021e-01  2.97687977e-01
  9.99999467e+01  6.02329260e-01  5.92484197e-01 -6.16012656e-03
  3.00000265e+02  3.00000129e+02  2.99999919e+02  2.99999955e+02
  8.32975009e+01]"
15,93.37400763815211,1370.8150564845143,"[ 1.00022947e+02  1.15499654e-01  4.91353391e-01  1.10596850e+00
  1.00007988e+02  1.64975792e-01  3.09055780e-01  7.91976289e-01
  9.99928906e+01  6.65054333e-02  1.74911516e-01  9.08001122e-01
  1.00008257e+02  9.83868062e-02  3.25518376e-01  4.52023001e-01
  1.00009127e+02  2.56781795e-01  4.70290504e-01  2.90714773e-01
  9.99999265e+01  6.02988926e-01  5.89323626e-01 -8.80735768e-03
  3.00000312e+02  3.00000152e+02  2.99999854e+02  2.99999943e+02
  8.32981542e+01]"
16,83.27608456078606,553.7338089842177,"[ 1.00035500e+02  1.40538475e-01  5.25714331e-01  1.15029058e+00
  1.00011858e+02  1.89323282e-01  3.55028233e-01  7.56992263e-01
  9.99907776e+01  1.10673652e-01  1.57779782e-01  9.20241087e-01
  1.00011794e+02  9.00081501e-02  3.15941499e-01  4.66482948e-01
  1.00013944e+02  2.41054817e-01  4.62903810e-01  2.94632912e-01
  9.99998869e+01  6.04250198e-01  5.83696265e-01 -1.36190003e-02
  3.00000448e+02  3.00000200e+02  2.99999785e+02  2.99999889e+02
  8.32857043e+01]"
17,83.27608456078606,444.52423316686605,"[ 1.00035500e+02  1.40538475e-01  5.25714331e-01  1.15029058e+00
  1.00011858e+02  1.89323282e-01  3.55028233e-01  7.56992263e-01
  9.99907776e+01  1.10673652e-01  1.57779782e-01  9.20241087e-01
  1.00011794e+02  9.00081501e-02  3.15941499e-01  4.66482948e-01
  1.00013944e+02  2.41054817e-01  4.62903810e-01  2.94632912e-01
  9.99998869e+01  6.04250198e-01  5.83696265e-01 -1.36190003e-02
  3.00000448e+02  3.00000200e+02  2.99999785e+02  2.99999889e+02
  8.32857043e+01]"
18,80.24164020670615,445.08494293448314,"[ 1.00051864e+02  1.39184753e-01  5.04673514e-01  1.15601552e+00
  1.00015372e+02  1.99342592e-01  3.75089767e-01  7.68571937e-01
  9.99824504e+01  1.25076631e-01  1.71305646e-01  9.20597053e-01
  1.00019917e+02  1.05524610e-01  3.23852888e-01  4.71254536e-01
  1.00021292e+02  2.37135396e-01  4.54837601e-01  2.82851590e-01
  9.99998365e+01  6.06631831e-01  5.74726076e-01 -2.13628982e-02
  3.00000687e+02  3.00000256e+02  2.99999597e+02  2.99999891e+02
  8.32740250e+01]"
19,80.24164020670615,329.5232586313618,"[ 1.00051864e+02  1.39184753e-01  5.04673514e-01  1.15601552e+00
  1.00015372e+02  1.99342592e-01  3.75089767e-01  7.68571937e-01
  9.99824504e+01  1.25076631e-01  1.71305646e-01  9.20597053e-01
  1.00019917e+02  1.05524610e-01  3.23852888e-01  4.71254536e-01
  1.00021292e+02  2.37135396e-01  4.54837601e-01  2.82851590e-01
  9.99998365e+01  6.06631831e-01  5.74726076e-01 -2.13628982e-02
  3.00000687e+02  3.00000256e+02  2.99999597e+02  2.99999891e+02
  8.32740250e+01]"
20,78.68615964404447,327.6539941121659,"[ 1.00054778e+02  1.48420190e-01  5.17393062e-01  1.16258770e+00
  1.00015170e+02  1.94731968e-01  3.69500764e-01  7.75755066e-01
  9.99790639e+01  1.30519955e-01  1.72191152e-01  9.14875716e-01
  1.00022104e+02  9.86808722e-02  3.23590135e-01  4.71065274e-01
  1.00023149e+02  2.45830386e-01  4.63015933e-01  2.85863680e-01
  9.99998151e+01  6.06403720e-01  5.71746171e-01 -2.40399825e-02
  3.00000787e+02  3.00000259e+02  2.99999551e+02  2.99999904e+02
  8.32735939e+01]"
21,77.43971877636233,406.05542674487003,"[ 1.00060233e+02  1.46133207e-01  4.96579143e-01  1.13873701e+00
  1.00015102e+02  1.99847570e-01  3.65794964e-01  7.82122725e-01
  9.99823227e+01  1.24596817e-01  1.81978692e-01  8.99067885e-01
  1.00020271e+02  1.14718980e-01  3.38534456e-01  4.81299791e-01
  1.00023118e+02  2.60311208e-01  4.77040401e-01  2.98131867e-01
  9.99997457e+01  5.99952323e-01  5.66195810e-01 -2.80709340e-02
  3.00000694e+02  3.00000247e+02  2.99999660e+02  2.99999892e+02
  8.32812777e+01]"
22,76.6468434501845,534.873132987083,"[ 1.00065383e+02  1.59542596e-01  5.09871189e-01  1.13555667e+00
  1.00014619e+02  1.89748992e-01  3.52836746e-01  7.88908695e-01
  9.99830599e+01  1.37398823e-01  1.91071776e-01  8.77432521e-01
  1.00020005e+02  1.00282267e-01  3.40284885e-01  4.92387603e-01
  1.00024270e+02  2.78432938e-01  4.96983939e-01  3.12976815e-01
  9.99996742e+01  5.94484295e-01  5.59861643e-01 -3.30685797e-02
  3.00000706e+02  3.00000221e+02  2.99999725e+02  2.99999884e+02
  8.32806964e+01]"
23,76.22895096645414,712.556542937123,"[ 1.00079233e+02  1.57493112e-01  4.90982317e-01  1.13000963e+00
  1.00017817e+02  2.00815230e-01  3.69760119e-01  8.01597690e-01
  9.99779507e+01  1.38873124e-01  1.94355815e-01  8.60173942e-01
  1.00025671e+02  1.20141640e-01  3.57537217e-01  5.11079232e-01
  1.00030147e+02  2.81404230e-01  4.95797291e-01  3.09054584e-01
  9.99995969e+01  5.93155922e-01  5.50156348e-01 -4.11354598e-02
  3.00000864e+02  3.00000275e+02  2.99999623e+02  2.99999879e+02
  8.32833126e+01]"
24,72.60905788030742,843.921142313903,"[ 1.00090534e+02  1.74623107e-01  4.79695652e-01  1.12752080e+00
  1.00020022e+02  1.90249759e-01  3.65345742e-01  8.14165313e-01
  9.99756274e+01  1.60760429e-01  2.20837456e-01  8.44903435e-01
  1.00029252e+02  1.08921061e-01  3.49927141e-01  5.17533987e-01
  1.00034080e+02  2.94160612e-01  4.99011253e-01  3.03472055e-01
  9.99995504e+01  5.92784176e-01  5.44011634e-01 -4.61213185e-02
  3.00000973e+02  3.00000266e+02  2.99999564e+02  2.99999853e+02
  8.32795918e+01]"
25,72.60905788030742,670.0616906754452,"[ 1.00090534e+02  1.74623107e-01  4.79695652e-01  1.12752080e+00
  1.00020022e+02  1.90249759e-01  3.65345742e-01  8.14165313e-01
  9.99756274e+01  1.60760429e-01  2.20837456e-01  8.44903435e-01
  1.00029252e+02  1.08921061e-01  3.49927141e-01  5.17533987e-01
  1.00034080e+02  2.94160612e-01  4.99011253e-01  3.03472055e-01
  9.99995504e+01  5.92784176e-01  5.44011634e-01 -4.61213185e-02
  3.00000973e+02  3.00000266e+02  2.99999564e+02  2.99999853e+02
  8.32795918e+01]"
26,68.60744291993691,697.6908494970548,"[ 1.00093536e+02  1.76850398e-01  4.71356868e-01  1.12607950e+00
  1.00021450e+02  1.93512665e-01  3.69705864e-01  8.20950256e-01
  9.99713178e+01  1.54588335e-01  2.22260007e-01  8.35005484e-01
  1.00033048e+02  1.16077303e-01  3.50889604e-01  5.26828485e-01
  1.00036602e+02  2.94659239e-01  4.92554529e-01  2.90548038e-01
  9.99995544e+01  5.95829526e-01  5.42832753e-01 -4.73584471e-02
  3.00001108e+02  3.00000293e+02  2.99999450e+02  2.99999862e+02
  8.32798819e+01]"
27,67.46646012702641,222.2581123499513,"[ 1.00087336e+02  1.84799152e-01  4.86141650e-01  1.10664528e+00
  1.00022159e+02  1.83154317e-01  3.52213145e-01  8.31981320e-01
  9.99742539e+01  1.47108853e-01  2.21311345e-01  8.09198621e-01
  1.00030616e+02  1.08225644e-01  3.45989159e-01  5.23423066e-01
  1.00035435e+02  3.15732150e-01  5.05421363e-01  2.87368675e-01
  9.99995283e+01  5.92957521e-01  5.42949491e-01 -4.69953210e-02
  3.00000972e+02  3.00000224e+02  2.99999526e+02  2.99999807e+02
  8.32901123e+01]"
28,67.46646012702641,359.8283533097482,"[ 1.00087336e+02  1.84799152e-01  4.86141650e-01  1.10664528e+00
  1.00022159e+02  1.83154317e-01  3.52213145e-01  8.31981320e-01
  9.99742539e+01  1.47108853e-01  2.21311345e-01  8.09198621e-01
  1.00030616e+02  1.08225644e-01  3.45989159e-01  5.23423066e-01
  1.00035435e+02  3.15732150e-01  5.05421363e-01  2.87368675e-01
  9.99995283e+01  5.92957521e-01  5.42949491e-01 -4.69953210e-02
  3.00000972e+02  3.00000224e+02  2.99999526e+02  2.99999807e+02
  8.32901123e+01]"
29,64.63437258952524,338.8251535721944,"[ 1.00090580e+02  1.81066902e-01  4.85601433e-01  1.10988067e+00
  1.00021517e+02  1.94016137e-01  3.59195688e-01  8.28589184e-01
  9.99715476e+01  1.52755857e-01  2.19802275e-01  8.12972221e-01
  1.00032217e+02  1.20499444e-01  3.56332546e-01  5.24496683e-01
  1.00037116e+02  3.16829089e-01  5.14570964e-01  2.94047651e-01
  9.99994928e+01  5.91042082e-01  5.38515521e-01 -5.07195765e-02
  3.00001023e+02  3.00000237e+02  2.99999516e+02  2.99999829e+02
  8.32903342e+01]"
30,63.71565864388125,220.72711669678318,"[ 1.00103001e+02  1.88734171e-01  4.75752680e-01  1.12299655e+00
  1.00020001e+02  1.89068325e-01  3.60732998e-01  8.37105361e-01
  9.99598755e+01  1.68431421e-01  2.38153323e-01  7.87722823e-01
  1.00040396e+02  1.14850906e-01  3.64629651e-01  5.36550186e-01
  1.00041711e+02  3.29141232e-01  5.23606839e-01  3.08625483e-01
  9.99994686e+01  5.93282136e-01  5.32852734e-01 -5.64440428e-02
  3.00001463e+02  3.00000310e+02  2.99999360e+02  2.99999927e+02
  8.32868272e+01]"
31,63.71565864388125,435.0781423812248,"[ 1.00103001e+02  1.88734171e-01  4.75752680e-01  1.12299655e+00
  1.00020001e+02  1.89068325e-01  3.60732998e-01  8.37105361e-01
  9.99598755e+01  1.68431421e-01  2.38153323e-01  7.87722823e-01
  1.00040396e+02  1.14850906e-01  3.64629651e-01  5.36550186e-01
  1.00041711e+02  3.29141232e-01  5.23606839e-01  3.08625483e-01
  9.99994686e+01  5.93282136e-01  5.32852734e-01 -5.64440428e-02
  3.00001463e+02  3.00000310e+02  2.99999360e+02  2.99999927e+02
  8.32868272e+01]"
32,61.37223722504902,471.1708764356475,"[ 1.00107598e+02  1.87592368e-01  4.76207712e-01  1.13357643e+00
  1.00021508e+02  1.93233905e-01  3.68409970e-01  8.36601344e-01
  9.99567523e+01  1.64160434e-01  2.36694703e-01  7.80090214e-01
  1.00041711e+02  1.24288668e-01  3.68662838e-01  5.41902100e-01
  1.00043275e+02  3.32790293e-01  5.26621494e-01  2.95620818e-01
  9.99994412e+01  5.92927668e-01  5.30251101e-01 -5.84167082e-02
  3.00001468e+02  3.00000315e+02  2.99999333e+02  2.99999909e+02
  8.32944628e+01]"
33,61.37223722504902,281.9492014432029,"[ 1.00107598e+02  1.87592368e-01  4.76207712e-01  1.13357643e+00
  1.00021508e+02  1.93233905e-01  3.68409970e-01  8.36601344e-01
  9.99567523e+01  1.64160434e-01  2.36694703e-01  7.80090214e-01
  1.00041711e+02  1.24288668e-01  3.68662838e-01  5.41902100e-01
  1.00043275e+02  3.32790293e-01  5.26621494e-01  2.95620818e-01
  9.99994412e+01  5.92927668e-01  5.30251101e-01 -5.84167082e-02
  3.00001468e+02  3.00000315e+02  2.99999333e+02  2.99999909e+02
  8.32944628e+01]"
34,60.8930134849198,333.09345006244774,"[ 1.00109071e+02  1.93389905e-01  4.76395992e-01  1.12931195e+00
  1.00020730e+02  1.92456341e-01  3.62348149e-01  8.38689109e-01
  9.99563118e+01  1.67448084e-01  2.39679302e-01  7.79183124e-01
  1.00041613e+02  1.19611804e-01  3.68517828e-01  5.41014282e-01
  1.00043014e+02  3.35022213e-01  5.26363850e-01  3.00532567e-01
  9.99994444e+01  5.92791365e-01  5.30218049e-01 -5.84219327e-02
  3.00001515e+02  3.00000332e+02  2.99999333e+02  2.99999931e+02
  8.32919868e+01]"
35,59.31661193094625,240.7022223251573,"[ 1.00110566e+02  1.86677453e-01  4.70545037e-01  1.14022111e+00
  1.00021016e+02  1.89594024e-01  3.67616579e-01  8.41552248e-01
  9.99533866e+01  1.69861007e-01  2.43273654e-01  7.73808688e-01
  1.00043843e+02  1.27310511e-01  3.74519548e-01  5.48012655e-01
  1.00043629e+02  3.45307669e-01  5.35631138e-01  2.97491301e-01
  9.99994325e+01  5.93214610e-01  5.30234334e-01 -5.89569192e-02
  3.00001541e+02  3.00000328e+02  2.99999321e+02  2.99999930e+02
  8.32989578e+01]"
36,59.27891092839621,194.10608759256496,"[ 1.00118874e+02  1.83114022e-01  4.68954153e-01  1.17309028e+00
  1.00019453e+02  1.98349450e-01  3.85456514e-01  8.26761258e-01
  9.99440063e+01  1.80030945e-01  2.42185634e-01  7.87170472e-01
  1.00049686e+02  1.36572007e-01  3.87555098e-01  5.55203626e-01
  1.00047487e+02  3.40375437e-01  5.41798184e-01  3.10477815e-01
  9.99994188e+01  5.94603701e-01  5.24550442e-01 -6.42084783e-02
  3.00001827e+02  3.00000385e+02  2.99999190e+02  3.00000011e+02
  8.32999133e+01]"
