iter,funcval,gradnorm,x
0,61456381795.38994,8382.878264653495,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1.]"
1,64338.239735965864,8383.083419543833,"[-0.99997574 -0.99996918 -0.99926475 -0.99997549 -0.99996946 -0.99927303
 -0.99997596 -0.99997004 -0.9992728  -0.99997595 -0.99996947 -0.99926463
 -0.9999755  -0.99996947 -0.99926484 -0.9999755  -0.99996947 -0.9992728
 -0.99997595 -0.99996946 -0.99926466 -0.99997595 -0.99997004 -0.99927299
 -0.99997595 -0.99997004 -0.99927307 -0.9999755  -0.99996946 -0.99926468
 -0.9999755  -0.99996947 -0.99926459 -0.99997595 -0.99997004 -0.99927282
 -0.99997595 -0.99996947 -0.99926488 -0.99997596 -0.99996947 -0.99927277
 -0.99997595 -0.99997005 -0.9992648  -0.99997595 -0.99996947 -0.99926485
 -0.99997595 -0.99997004 -0.99926469 -0.99997549 -0.99997004 -0.99926494
 -0.9999755  -0.99996947 -0.99927282 -0.99997594 -0.99997004 -0.99927261
 -0.9999755  -0.99996947 -0.99926492 -0.99997549 -0.99997005 -0.99927323
 -0.99997595 -0.99996946 -0.99926458 -0.9999755  -0.99996947 -0.99926477
 -0.99997593 -0.99997003 -0.99926442 -0.99997595 -0.99996946 -0.99926476
 -0.9999755  -0.99996946 -0.99927305 -0.99997549 -0.99996947 -0.99926486
 -0.9999755  -0.99997004 -0.99926482 -0.99997595 -0.99997004 -0.99927298
 -0.9999755  -0.99996947 -0.99927299 -0.99997595 -0.99997004 -0.99927294
 -0.99996299 -1.00004131]"
2,64338.239735965864,24.526947441640726,"[-0.99997574 -0.99996918 -0.99926475 -0.99997549 -0.99996946 -0.99927303
 -0.99997596 -0.99997004 -0.9992728  -0.99997595 -0.99996947 -0.99926463
 -0.9999755  -0.99996947 -0.99926484 -0.9999755  -0.99996947 -0.9992728
 -0.99997595 -0.99996946 -0.99926466 -0.99997595 -0.99997004 -0.99927299
 -0.99997595 -0.99997004 -0.99927307 -0.9999755  -0.99996946 -0.99926468
 -0.9999755  -0.99996947 -0.99926459 -0.99997595 -0.99997004 -0.99927282
 -0.99997595 -0.99996947 -0.99926488 -0.99997596 -0.99996947 -0.99927277
 -0.99997595 -0.99997005 -0.9992648  -0.99997595 -0.99996947 -0.99926485
 -0.99997595 -0.99997004 -0.99926469 -0.99997549 -0.99997004 -0.99926494
 -0.9999755  -0.99996947 -0.99927282 -0.99997594 -0.99997004 -0.99927261
 -0.9999755  -0.99996947 -0.99926492 -0.99997549 -0.99997005 -0.99927323
 -0.99997595 -0.99996946 -0.99926458 -0.9999755  -0.99996947 -0.99926477
 -0.99997593 -0.99997003 -0.99926442 -0.99997595 -0.99996946 -0.99926476
 -0.9999755  -0.99996946 -0.99927305 -0.99997549 -0.99996947 -0.99926486
 -0.9999755  -0.99997004 -0.99926482 -0.99997595 -0.99997004 -0.99927298
 -0.9999755  -0.99996947 -0.99927299 -0.99997595 -0.99997004 -0.99927294
 -0.99996299 -1.00004131]"
3,64338.239735965864,39025.544378338935,"[-0.99997574 -0.99996918 -0.99926475 -0.99997549 -0.99996946 -0.99927303
 -0.99997596 -0.99997004 -0.9992728  -0.99997595 -0.99996947 -0.99926463
 -0.9999755  -0.99996947 -0.99926484 -0.9999755  -0.99996947 -0.9992728
 -0.99997595 -0.99996946 -0.99926466 -0.99997595 -0.99997004 -0.99927299
 -0.99997595 -0.99997004 -0.99927307 -0.9999755  -0.99996946 -0.99926468
 -0.9999755  -0.99996947 -0.99926459 -0.99997595 -0.99997004 -0.99927282
 -0.99997595 -0.99996947 -0.99926488 -0.99997596 -0.99996947 -0.99927277
 -0.99997595 -0.99997005 -0.9992648  -0.99997595 -0.99996947 -0.99926485
 -0.99997595 -0.99997004 -0.99926469 -0.99997549 -0.99997004 -0.99926494
 -0.9999755  -0.99996947 -0.99927282 -0.99997594 -0.99997004 -0.99927261
 -0.9999755  -0.99996947 -0.99926492 -0.99997549 -0.99997005 -0.99927323
 -0.99997595 -0.99996946 -0.99926458 -0.9999755  -0.99996947 -0.99926477
 -0.99997593 -0.99997003 -0.99926442 -0.99997595 -0.99996946 -0.99926476
 -0.9999755  -0.99996946 -0.99927305 -0.99997549 -0.99996947 -0.99926486
 -0.9999755  -0.99997004 -0.99926482 -0.99997595 -0.99997004 -0.99927298
 -0.9999755  -0.99996947 -0.99927299 -0.99997595 -0.99997004 -0.99927294
 -0.99996299 -1.00004131]"
4,64239.30258226875,1792.6584717846151,"[-0.9999755  -0.99996936 -0.99354745 -0.99997524 -0.99996921 -0.99039591
 -0.99997602 -0.99997009 -0.99352961 -0.99997605 -0.99996918 -0.9953423
 -0.99997523 -0.9999692  -0.99296992 -0.99997524 -0.9999692  -0.99150687
 -0.99997603 -0.9999692  -0.99436546 -0.99997604 -0.9999701  -0.99118063
 -0.99997603 -0.99997009 -0.99130349 -0.99997525 -0.9999692  -0.99499504
 -0.99997524 -0.99996919 -0.9951276  -0.99997602 -0.9999701  -0.99080586
 -0.99997605 -0.99996919 -0.99374648 -0.999976   -0.99996918 -0.99279868
 -0.99997603 -0.99997009 -0.99338606 -0.99997604 -0.9999692  -0.99454064
 -0.99997603 -0.99997009 -0.99459621 -0.99997523 -0.9999701  -0.99372891
 -0.99997523 -0.99996919 -0.99141534 -0.99997604 -0.99997009 -0.99262455
 -0.99997524 -0.9999692  -0.99292233 -0.99997525 -0.99997009 -0.99219908
 -0.99997604 -0.9999692  -0.99489388 -0.99997526 -0.9999692  -0.99504045
 -0.99997605 -0.99997011 -0.99641366 -0.99997603 -0.9999692  -0.99568725
 -0.99997525 -0.9999692  -0.99155729 -0.99997525 -0.99996919 -0.99328362
 -0.99997525 -0.9999701  -0.99394997 -0.99997601 -0.9999701  -0.99293937
 -0.99997525 -0.99996919 -0.99215492 -0.99997603 -0.99997009 -0.99219668
 -0.99957072 -1.04006058]"
5,64184.62178352096,4360.5237127145365,"[-0.99996058 -0.99998418 -0.99036375 -0.99996033 -0.99995428 -0.98549313
 -0.99999085 -0.99998489 -0.9903661  -0.99999086 -0.99995425 -0.99315632
 -0.99996032 -0.99995427 -0.98947637 -0.99996033 -0.99995427 -0.98722514
 -0.99999084 -0.99995427 -0.99163907 -0.99999086 -0.9999849  -0.98671469
 -0.99999084 -0.9999849  -0.98690662 -0.99996035 -0.99995427 -0.99261523
 -0.99996033 -0.99995426 -0.99282083 -0.99999083 -0.9999849  -0.98613352
 -0.99999087 -0.99995426 -0.99067862 -0.9999908  -0.99995424 -0.98922993
 -0.99999086 -0.99998488 -0.99012174 -0.99999085 -0.99995427 -0.99191134
 -0.99999084 -0.99998489 -0.99199522 -0.99996033 -0.9999849  -0.9906525
 -0.99996033 -0.99995427 -0.98708025 -0.99999086 -0.9999849  -0.98895974
 -0.99996033 -0.99995427 -0.98940621 -0.99996035 -0.99998488 -0.98829772
 -0.99999085 -0.99995428 -0.99245862 -0.99996035 -0.99995428 -0.9926858
 -0.99999088 -0.99998491 -0.99481866 -0.99999084 -0.99995428 -0.99368966
 -0.99996033 -0.99995427 -0.98730058 -0.99996035 -0.99995427 -0.98996356
 -0.99996034 -0.9999849  -0.99099449 -0.99999084 -0.99998489 -0.98944857
 -0.99996033 -0.99995427 -0.98822937 -0.99999085 -0.99998489 -0.98829435
 -0.99933861 -1.06172467]"
6,64184.62178352096,21029.008754789233,"[-0.99996058 -0.99998418 -0.99036375 -0.99996033 -0.99995428 -0.98549313
 -0.99999085 -0.99998489 -0.9903661  -0.99999086 -0.99995425 -0.99315632
 -0.99996032 -0.99995427 -0.98947637 -0.99996033 -0.99995427 -0.98722514
 -0.99999084 -0.99995427 -0.99163907 -0.99999086 -0.9999849  -0.98671469
 -0.99999084 -0.9999849  -0.98690662 -0.99996035 -0.99995427 -0.99261523
 -0.99996033 -0.99995426 -0.99282083 -0.99999083 -0.9999849  -0.98613352
 -0.99999087 -0.99995426 -0.99067862 -0.9999908  -0.99995424 -0.98922993
 -0.99999086 -0.99998488 -0.99012174 -0.99999085 -0.99995427 -0.99191134
 -0.99999084 -0.99998489 -0.99199522 -0.99996033 -0.9999849  -0.9906525
 -0.99996033 -0.99995427 -0.98708025 -0.99999086 -0.9999849  -0.98895974
 -0.99996033 -0.99995427 -0.98940621 -0.99996035 -0.99998488 -0.98829772
 -0.99999085 -0.99995428 -0.99245862 -0.99996035 -0.99995428 -0.9926858
 -0.99999088 -0.99998491 -0.99481866 -0.99999084 -0.99995428 -0.99368966
 -0.99996033 -0.99995427 -0.98730058 -0.99996035 -0.99995427 -0.98996356
 -0.99996034 -0.9999849  -0.99099449 -0.99999084 -0.99998489 -0.98944857
 -0.99996033 -0.99995427 -0.98822937 -0.99999085 -0.99998489 -0.98829435
 -0.99933861 -1.06172467]"
7,64184.62178352096,61838.68452153227,"[-0.99996058 -0.99998418 -0.99036375 -0.99996033 -0.99995428 -0.98549313
 -0.99999085 -0.99998489 -0.9903661  -0.99999086 -0.99995425 -0.99315632
 -0.99996032 -0.99995427 -0.98947637 -0.99996033 -0.99995427 -0.98722514
 -0.99999084 -0.99995427 -0.99163907 -0.99999086 -0.9999849  -0.98671469
 -0.99999084 -0.9999849  -0.98690662 -0.99996035 -0.99995427 -0.99261523
 -0.99996033 -0.99995426 -0.99282083 -0.99999083 -0.9999849  -0.98613352
 -0.99999087 -0.99995426 -0.99067862 -0.9999908  -0.99995424 -0.98922993
 -0.99999086 -0.99998488 -0.99012174 -0.99999085 -0.99995427 -0.99191134
 -0.99999084 -0.99998489 -0.99199522 -0.99996033 -0.9999849  -0.9906525
 -0.99996033 -0.99995427 -0.98708025 -0.99999086 -0.9999849  -0.98895974
 -0.99996033 -0.99995427 -0.98940621 -0.99996035 -0.99998488 -0.98829772
 -0.99999085 -0.99995428 -0.99245862 -0.99996035 -0.99995428 -0.9926858
 -0.99999088 -0.99998491 -0.99481866 -0.99999084 -0.99995428 -0.99368966
 -0.99996033 -0.99995427 -0.98730058 -0.99996035 -0.99995427 -0.98996356
 -0.99996034 -0.9999849  -0.99099449 -0.99999084 -0.99998489 -0.98944857
 -0.99996033 -0.99995427 -0.98822937 -0.99999085 -0.99998489 -0.98829435
 -0.99933861 -1.06172467]"
8,58345.88394097195,19914.89898937105,"[-9.99852975e-01 -1.00005322e+00 -8.19032400e-01 -9.99863187e-01
 -9.99853124e-01  5.26287867e-02 -1.00007449e+00 -1.00006776e+00
 -4.13977970e-01 -1.00007586e+00 -9.99855245e-01 -9.51530025e-01
 -9.99862447e-01 -9.99850609e-01 -6.54103321e-01 -9.99858491e-01
 -9.99851892e-01 -1.05741340e-01 -1.00007153e+00 -9.99852477e-01
 -8.69193518e-01 -1.00007002e+00 -1.00006496e+00 -6.52942807e-02
 -1.00006818e+00 -1.00006462e+00 -8.24348944e-02 -9.99857006e-01
 -9.99850384e-01 -9.31875406e-01 -9.99859862e-01 -9.99853162e-01
 -9.49530263e-01 -1.00006957e+00 -1.00006542e+00  5.80370846e-04
 -1.00007092e+00 -9.99853807e-01 -7.97966176e-01 -1.00006967e+00
 -9.99860295e-01 -3.15176344e-01 -1.00006966e+00 -1.00006481e+00
 -7.19788572e-01 -1.00006940e+00 -9.99856387e-01 -8.82994390e-01
 -1.00007299e+00 -1.00006554e+00 -9.01839033e-01 -9.99859185e-01
 -1.00006841e+00 -7.65316088e-01 -9.99860636e-01 -9.99854785e-01
 -1.00324893e-01 -1.00006847e+00 -1.00006596e+00 -2.86846868e-01
 -9.99863500e-01 -9.99853084e-01 -6.18252861e-01 -9.99854790e-01
 -1.00006754e+00 -2.27408480e-01 -1.00006530e+00 -9.99854302e-01
 -9.00323944e-01 -9.99852877e-01 -9.99850208e-01 -9.47149040e-01
 -1.00007044e+00 -1.00006563e+00 -9.94659773e-01 -1.00006955e+00
 -9.99851131e-01 -9.42145679e-01 -9.99859049e-01 -9.99853307e-01
 -1.33474435e-01 -9.99855642e-01 -9.99851897e-01 -7.17627393e-01
 -9.99859703e-01 -1.00006514e+00 -8.16574761e-01 -1.00007004e+00
 -1.00006695e+00 -4.63451120e-01 -9.99858927e-01 -9.99852594e-01
 -2.22150968e-01 -1.00007010e+00 -1.00006497e+00 -2.28530752e-01
 -1.10851615e+00 -1.95622837e+00]"
9,58345.88394097195,15206186.713588702,"[-9.99852975e-01 -1.00005322e+00 -8.19032400e-01 -9.99863187e-01
 -9.99853124e-01  5.26287867e-02 -1.00007449e+00 -1.00006776e+00
 -4.13977970e-01 -1.00007586e+00 -9.99855245e-01 -9.51530025e-01
 -9.99862447e-01 -9.99850609e-01 -6.54103321e-01 -9.99858491e-01
 -9.99851892e-01 -1.05741340e-01 -1.00007153e+00 -9.99852477e-01
 -8.69193518e-01 -1.00007002e+00 -1.00006496e+00 -6.52942807e-02
 -1.00006818e+00 -1.00006462e+00 -8.24348944e-02 -9.99857006e-01
 -9.99850384e-01 -9.31875406e-01 -9.99859862e-01 -9.99853162e-01
 -9.49530263e-01 -1.00006957e+00 -1.00006542e+00  5.80370846e-04
 -1.00007092e+00 -9.99853807e-01 -7.97966176e-01 -1.00006967e+00
 -9.99860295e-01 -3.15176344e-01 -1.00006966e+00 -1.00006481e+00
 -7.19788572e-01 -1.00006940e+00 -9.99856387e-01 -8.82994390e-01
 -1.00007299e+00 -1.00006554e+00 -9.01839033e-01 -9.99859185e-01
 -1.00006841e+00 -7.65316088e-01 -9.99860636e-01 -9.99854785e-01
 -1.00324893e-01 -1.00006847e+00 -1.00006596e+00 -2.86846868e-01
 -9.99863500e-01 -9.99853084e-01 -6.18252861e-01 -9.99854790e-01
 -1.00006754e+00 -2.27408480e-01 -1.00006530e+00 -9.99854302e-01
 -9.00323944e-01 -9.99852877e-01 -9.99850208e-01 -9.47149040e-01
 -1.00007044e+00 -1.00006563e+00 -9.94659773e-01 -1.00006955e+00
 -9.99851131e-01 -9.42145679e-01 -9.99859049e-01 -9.99853307e-01
 -1.33474435e-01 -9.99855642e-01 -9.99851897e-01 -7.17627393e-01
 -9.99859703e-01 -1.00006514e+00 -8.16574761e-01 -1.00007004e+00
 -1.00006695e+00 -4.63451120e-01 -9.99858927e-01 -9.99852594e-01
 -2.22150968e-01 -1.00007010e+00 -1.00006497e+00 -2.28530752e-01
 -1.10851615e+00 -1.95622837e+00]"
