iter,funcval,gradnorm,x
0,5202897542844841.0,55260.22519707279,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
1,4345.0997644961435,145233.82055576795,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
2,4345.0997644961435,85724.00706889406,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
3,4345.0997644961435,113434.15600014546,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
4,4345.0997644961435,65576.64416344972,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
5,4345.0997644961435,172026.0686648292,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
6,4345.0997644961435,5180443.039115486,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
7,4345.0997644961435,23760102.39205798,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
8,4345.0997644961435,18418452.328739855,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
9,4345.0997644961435,6436748.446154476,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
10,4345.0997644961435,2626936.9069057875,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
11,4345.0997644961435,322587211.98345935,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
12,4345.0997644961435,315476034.4084956,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
13,4345.0997644961435,488731619.47378516,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
14,4345.0997644961435,4560307000.745198,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
15,4345.0997644961435,652918544.5052612,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
16,4345.0997644961435,748259843.0363954,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
17,4345.0997644961435,2637014978.890972,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
18,4345.0997644961435,3973066713.979681,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
19,4345.0997644961435,1028272311.7330599,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
20,4345.0997644961435,31509553387.37238,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
21,4345.0997644961435,3055602163.512151,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
22,4345.0997644961435,21788787365.829834,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
23,4345.0997644961435,1616128391.3658981,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
24,4345.0997644961435,9474930.27522034,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
25,4345.099764432137,1152118.490513565,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
26,4345.099764432137,476590772.2997526,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
27,4345.099764432137,52887058.93486351,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
28,4345.099764432137,29381008.921197552,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
