iter,funcval,gradnorm,x
0,176257727.9131465,2292.0732972573105,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
1,328146.32184338075,2292.0732982312925,"[1.         1.00015776 1.00031557 1.0004415  1.00058875 1.00073605
 1.00088339 1.00103077 1.00126349 1.00132567 1.00147318 1.00162074
 1.00189643 1.00191598 1.00221321 1.0022114  1.00235917 1.00268874
 1.00265485 1.00280275 1.00295069 1.00309869 1.00324672 1.00364116
 1.00354292 1.00369108 1.00411804 1.00398754 1.00443622 1.00428418
 1.00443256 1.00458099 1.00507318 1.00523254 1.00502653 1.00555143
 1.00532378 1.0058705  1.00603012 1.00576998 1.00634951 1.00650928
 1.00621657 1.00682897 1.00698889 1.00666356 1.00681264 1.00696177
 1.00762908 1.00778925 1.00740942 1.00755873 1.00827008 1.00785747
 1.00859089 1.0081564  1.00830593 1.00907247 1.00860511 1.00875477
 1.00955453 1.00971532 1.00920401 1.01003704 1.01019797 1.01035897
 1.00980363 1.0106811  1.0101037  1.01100343 1.01116468 1.01055415
 1.01148732 1.01164873 1.01181018 1.01115537 1.01130579 1.01145625
 1.01160676 1.01261821 1.01277996 1.01205854 1.01220923 1.01326555
 1.01251074 1.01358953 1.0137516  1.01391372 1.01311428 1.01326528
 1.01341633 1.01456272 1.01371856 1.01488752 1.01505    1.01521254
 1.01432355 1.0144749  1.01570045 1.01477776]"
2,328094.10009571497,777.9358901049321,"[1.00013635 1.00006207 1.00026066 1.00068423 1.00086699 1.0010498
 1.00123269 1.00141563 1.00145384 1.00178172 1.00196485 1.00214806
 1.00225087 1.00251466 1.00264988 1.00288153 1.00306506 1.00324899
 1.00343233 1.00361606 1.00379986 1.00398373 1.00416766 1.00444945
 1.00453573 1.00471987 1.00505082 1.00508835 1.00545216 1.00545711
 1.00564159 1.00582614 1.00625587 1.00645702 1.00638022 1.00685957
 1.00674996 1.00726247 1.00746405 1.00730511 1.0078675  1.00806936
 1.00786089 1.00847334 1.00867547 1.00841734 1.00860296 1.00878867
 1.00948491 1.0096875  1.00934621 1.00953221 1.01029583 1.00990443
 1.01070187 1.01027696 1.01046334 1.01131161 1.01083631 1.01102292
 1.01192225 1.01212599 1.0115832  1.01253375 1.01273778 1.01294191
 1.01233133 1.01335047 1.01270587 1.01375942 1.01396406 1.01326827
 1.01437362 1.01457856 1.0147836  1.01401927 1.01420722 1.01439526
 1.01458338 1.01581035 1.01601601 1.01514822 1.01533667 1.01663363
 1.01571381 1.01704591 1.01725221 1.01745862 1.0164691  1.01665814
 1.01684727 1.01828535 1.01722577 1.01869936 1.01890653 1.01911382
 1.01798382 1.01817355 1.01973635 1.01855327]"
3,328094.10009571497,2323.997555241831,"[1.00013635 1.00006207 1.00026066 1.00068423 1.00086699 1.0010498
 1.00123269 1.00141563 1.00145384 1.00178172 1.00196485 1.00214806
 1.00225087 1.00251466 1.00264988 1.00288153 1.00306506 1.00324899
 1.00343233 1.00361606 1.00379986 1.00398373 1.00416766 1.00444945
 1.00453573 1.00471987 1.00505082 1.00508835 1.00545216 1.00545711
 1.00564159 1.00582614 1.00625587 1.00645702 1.00638022 1.00685957
 1.00674996 1.00726247 1.00746405 1.00730511 1.0078675  1.00806936
 1.00786089 1.00847334 1.00867547 1.00841734 1.00860296 1.00878867
 1.00948491 1.0096875  1.00934621 1.00953221 1.01029583 1.00990443
 1.01070187 1.01027696 1.01046334 1.01131161 1.01083631 1.01102292
 1.01192225 1.01212599 1.0115832  1.01253375 1.01273778 1.01294191
 1.01233133 1.01335047 1.01270587 1.01375942 1.01396406 1.01326827
 1.01437362 1.01457856 1.0147836  1.01401927 1.01420722 1.01439526
 1.01458338 1.01581035 1.01601601 1.01514822 1.01533667 1.01663363
 1.01571381 1.01704591 1.01725221 1.01745862 1.0164691  1.01665814
 1.01684727 1.01828535 1.01722577 1.01869936 1.01890653 1.01911382
 1.01798382 1.01817355 1.01973635 1.01855327]"
4,328094.10009571497,37449.34920426038,"[1.00013635 1.00006207 1.00026066 1.00068423 1.00086699 1.0010498
 1.00123269 1.00141563 1.00145384 1.00178172 1.00196485 1.00214806
 1.00225087 1.00251466 1.00264988 1.00288153 1.00306506 1.00324899
 1.00343233 1.00361606 1.00379986 1.00398373 1.00416766 1.00444945
 1.00453573 1.00471987 1.00505082 1.00508835 1.00545216 1.00545711
 1.00564159 1.00582614 1.00625587 1.00645702 1.00638022 1.00685957
 1.00674996 1.00726247 1.00746405 1.00730511 1.0078675  1.00806936
 1.00786089 1.00847334 1.00867547 1.00841734 1.00860296 1.00878867
 1.00948491 1.0096875  1.00934621 1.00953221 1.01029583 1.00990443
 1.01070187 1.01027696 1.01046334 1.01131161 1.01083631 1.01102292
 1.01192225 1.01212599 1.0115832  1.01253375 1.01273778 1.01294191
 1.01233133 1.01335047 1.01270587 1.01375942 1.01396406 1.01326827
 1.01437362 1.01457856 1.0147836  1.01401927 1.01420722 1.01439526
 1.01458338 1.01581035 1.01601601 1.01514822 1.01533667 1.01663363
 1.01571381 1.01704591 1.01725221 1.01745862 1.0164691  1.01665814
 1.01684727 1.01828535 1.01722577 1.01869936 1.01890653 1.01911382
 1.01798382 1.01817355 1.01973635 1.01855327]"
5,272263.0989667174,5624.875416157425,"[0.85715998 1.15525506 1.18857712 0.90134791 0.9162264  0.93103794
 0.94601397 0.96093623 1.38949475 0.9908871  1.00593254 1.02105663
 1.52424482 1.05120471 1.59185834 1.08145542 1.09653986 1.69345149
 1.12676503 1.14201112 1.15707212 1.17224338 1.18734583 1.89708031
 1.21746636 1.23252919 1.99911731 1.262573   2.06712813 1.29241916
 1.30739132 1.32208251 2.20302275 2.23693521 1.36638444 2.30476264
 1.39568214 2.37257171 2.40614542 1.43905453 2.47361941 2.507183
 1.4817533  2.57424149 2.60741014 1.52364452 1.53764489 1.55141537
 2.73990443 2.77269263 1.59216737 1.60556893 2.87013421 1.63207778
 2.93424255 1.65819598 1.67110638 3.0288244  1.69661348 1.70921326
 3.12128284 3.15155209 1.74640801 3.21118471 3.24051962 3.26952793
 1.79458087 3.32645288 1.81807256 3.38182075 3.40890237 1.85262306
 3.46172499 3.4874649  3.51271431 1.89752465 1.90856514 1.91954603
 1.93046881 3.63119353 3.65322535 1.9629541  1.97371391 3.71572094
 1.99518576 3.75422204 3.77248592 3.79006829 2.03819405 2.04903473
 2.05993355 3.85331464 2.08197532 3.88048025 3.89290133 3.90454955
 2.12752081 2.13932871 3.93461233 2.1636139 ]"
6,240679.62240853498,556892.3253298132,"[ 3.11419957 -1.04584254 -0.94760756  3.05163166  3.03151102  3.01157458
  2.99204825  2.97266024 -0.34381361  2.9346193   2.9158688   2.89743265
  0.06934955  2.8606321   0.27808821  2.82429513  2.80609565  0.59247471
  2.76986851  2.75184527  2.73358642  2.71545279  2.69708549  1.22109372
  2.65995458  2.64117764  1.53272159  2.60300394  1.73843361  2.56376894
  2.54386029  2.52334171  2.14330005  2.24283782  2.46017668  2.43969968
  2.41613172  2.63307256  2.72819673  2.34610718  2.91586048  3.00795689
  2.27116508  3.18887333  3.27706092  2.19046182  2.16240697  2.13351148
  3.61808503  3.69972018  2.04204662  2.00995873  3.93519183  1.9431412
  4.08398861  1.87270428  1.83607077  4.29360177  1.75974858  1.72003646
  4.48619389  4.54630058  1.59448926  4.66011785  4.71374257  4.76517292
  1.41098784  4.86100544  1.31183442  4.94716424  4.9865937   1.15341915
  5.05761213  5.08927509  5.11820081  0.92301824  0.86180709  0.79915385
  0.73499223  5.22088746  5.23274008  0.53327525  0.46290886  5.25024622
  0.31739359  5.24648248  5.23989894  5.23011735  0.00657126 -0.07526064
 -0.1588108   5.1585999  -0.33099918  5.10307392  5.07028852  5.03424737
 -0.695887   -0.7913822   4.90592153 -0.98740039]"
7,240679.62240853498,747171.1057451086,"[ 3.11419957 -1.04584254 -0.94760756  3.05163166  3.03151102  3.01157458
  2.99204825  2.97266024 -0.34381361  2.9346193   2.9158688   2.89743265
  0.06934955  2.8606321   0.27808821  2.82429513  2.80609565  0.59247471
  2.76986851  2.75184527  2.73358642  2.71545279  2.69708549  1.22109372
  2.65995458  2.64117764  1.53272159  2.60300394  1.73843361  2.56376894
  2.54386029  2.52334171  2.14330005  2.24283782  2.46017668  2.43969968
  2.41613172  2.63307256  2.72819673  2.34610718  2.91586048  3.00795689
  2.27116508  3.18887333  3.27706092  2.19046182  2.16240697  2.13351148
  3.61808503  3.69972018  2.04204662  2.00995873  3.93519183  1.9431412
  4.08398861  1.87270428  1.83607077  4.29360177  1.75974858  1.72003646
  4.48619389  4.54630058  1.59448926  4.66011785  4.71374257  4.76517292
  1.41098784  4.86100544  1.31183442  4.94716424  4.9865937   1.15341915
  5.05761213  5.08927509  5.11820081  0.92301824  0.86180709  0.79915385
  0.73499223  5.22088746  5.23274008  0.53327525  0.46290886  5.25024622
  0.31739359  5.24648248  5.23989894  5.23011735  0.00657126 -0.07526064
 -0.1588108   5.1585999  -0.33099918  5.10307392  5.07028852  5.03424737
 -0.695887   -0.7913822   4.90592153 -0.98740039]"
8,226145.37023591422,279908.12617363455,"[ 2.84076245 -0.67354363 -0.55918543  2.81737302  2.81039352  2.80337519
  2.796983    2.79050996  0.12961026  2.77818191  2.77228098  2.76668445
  0.58697075  2.75502417  0.8138969   2.74350685  2.73744601  1.15054632
  2.72515909  2.71915969  2.7123948   2.70581916  2.69872019  1.80658615
  2.68341328  2.67531131  2.12436947  2.65779829  2.3317796   2.63806051
  2.62772094  2.61600443  2.73505431  2.83330854  2.57846432  3.02697633
  2.54997059  3.2166347   3.30901321  2.50043689  3.49200957  3.58157328
  2.4425083   3.7574954   3.84294876  2.37502089  2.35097793  2.32533658
  4.17483614  4.25439469  2.24103592  2.21046074  4.48488246  2.14530572
  4.63131036  2.07470805  2.03730125  4.83926203  1.95808841  1.91625493
  5.0319759   5.09258838  1.78169536  5.20778929  5.26226983  5.31469174
  1.58024719  5.41257354  1.46978436  5.50039518  5.54040852  1.29185502
  5.61150093  5.64245652  5.67006618  1.0316901   0.96257474  0.89187519
  0.81957939  5.75202365  5.75583951  0.59335178  0.51494752  5.73788401
  0.35386464  5.69876962  5.67041617  5.6356768   0.01563498 -0.0719233
 -0.16060155  5.42850039 -0.34111719  5.27985726  5.19350793  5.09885379
 -0.71257508 -0.80718152  4.76236159 -0.99819053]"
9,226145.37023591422,262052.93357383867,"[ 2.84076245 -0.67354363 -0.55918543  2.81737302  2.81039352  2.80337519
  2.796983    2.79050996  0.12961026  2.77818191  2.77228098  2.76668445
  0.58697075  2.75502417  0.8138969   2.74350685  2.73744601  1.15054632
  2.72515909  2.71915969  2.7123948   2.70581916  2.69872019  1.80658615
  2.68341328  2.67531131  2.12436947  2.65779829  2.3317796   2.63806051
  2.62772094  2.61600443  2.73505431  2.83330854  2.57846432  3.02697633
  2.54997059  3.2166347   3.30901321  2.50043689  3.49200957  3.58157328
  2.4425083   3.7574954   3.84294876  2.37502089  2.35097793  2.32533658
  4.17483614  4.25439469  2.24103592  2.21046074  4.48488246  2.14530572
  4.63131036  2.07470805  2.03730125  4.83926203  1.95808841  1.91625493
  5.0319759   5.09258838  1.78169536  5.20778929  5.26226983  5.31469174
  1.58024719  5.41257354  1.46978436  5.50039518  5.54040852  1.29185502
  5.61150093  5.64245652  5.67006618  1.0316901   0.96257474  0.89187519
  0.81957939  5.75202365  5.75583951  0.59335178  0.51494752  5.73788401
  0.35386464  5.69876962  5.67041617  5.6356768   0.01563498 -0.0719233
 -0.16060155  5.42850039 -0.34111719  5.27985726  5.19350793  5.09885379
 -0.71257508 -0.80718152  4.76236159 -0.99819053]"
