iter,funcval,gradnorm,x
0,-56.48140005456502,84.83290547228162,"[0.01000029 0.01999905 0.02999963 0.0400003  0.04999838 0.0600021
 0.06999862 0.07999938 0.09000057 0.09999951 0.10999858 0.12000156
 0.12999989 0.1399985  0.15000062 0.16000058 0.16999902 0.18000023
 0.19000011 0.19999949 0.20999975 0.22       0.23000024 0.23999943
 0.25000008 0.2599997  0.27000022 0.27999954 0.28999988 0.30000028
 0.30999882 0.32000075 0.32999852 0.34000035 0.34999965 0.36000082
 0.36999852 0.37999985 0.38999941 0.40000044 0.40999911 0.41999872
 0.42999898 0.44000107 0.4499979  0.45999938 0.47000037 0.47999969
 0.48999947 0.49999981 0.50999958 0.51999865 0.53000192 0.54000138
 0.54999892 0.55999921 0.56999916 0.57999934 0.58999982 0.60000028
 0.61000115 0.62000123 0.62999979 0.64000098 0.65000046 0.65999795
 0.67000032 0.67999968 0.68999999 0.69999989 0.70999976 0.72000024
 0.7299988  0.73999979 0.75000034 0.76000101 0.76999957 0.78000012
 0.79000072 0.79999859 0.80999768 0.82000102 0.82999915 0.84000107
 0.85000051 0.86000037 0.87000047 0.87999995 0.88999905 0.89999894
 0.90999922 0.92000204 0.92999985 0.93999953 0.95000138 0.96000063
 0.97000153 0.97999886 4.51942345 1.00000196]"
1,-502.57761552423125,84.8329054722812,"[ 0.0293023   0.06470998  0.09847106  0.13059597  0.16108968  0.19000515
  0.21731631  0.24308712  0.30156136  0.32280395  0.3113247   0.33115076
  0.37767573  0.36657931  0.38226665  0.41983321  0.43121993  0.42162234
  0.45026653  0.45801428  0.4646517   0.47023063  0.46401224  0.46941056
  0.47389536  0.47751435  0.48429763  0.4847841   0.48464757  0.48443423
  0.48277328  0.48117527  0.48326588  0.47699725  0.47455662  0.4719768
  0.47632165  0.46666627  0.47168608  0.4616151   0.46697282  0.46475645
  0.46272241  0.45442521  0.45947054  0.45331528  0.45359913  0.45451709
  0.45613337  0.45922635  0.46166848  0.46569771  0.46707565  0.47653892
  0.47665481  0.48292206  0.49024212  0.510668    0.50824415  0.51901581
  0.5485525   0.56373134  0.5589026   0.5748413   0.59214734  0.61084036
  0.63096679  0.65251399  0.70913129  0.69995793  0.72586562  0.79392862
  0.82534843  0.81232525  0.84403442  0.92931633  0.91168811  0.94759333
  0.98484876  1.09085369  1.06325423  1.10436472  1.22930773  1.19009877
  1.3297662   1.38239865  1.32683641  1.49237848  1.42276966  1.47199424
  1.52197107  1.73048467  1.79357294  1.67573081  1.92378617  1.99078077
  2.05897917  1.88706868 10.68580931  2.27008904]"
2,-693.8968937364293,101.87923769109244,"[ 0.15211098  0.25065708  0.34270672  0.42835289  0.50772048  0.58105582
  0.64835344  0.70992347  0.63643905  0.70566237  0.86139155  0.90139093
  0.87796844  0.96646954  0.9919628   0.99871036  1.02799182  1.04202147
  1.07098592  1.0850422   1.09438178  1.09921033  1.04781347  1.03890567
  1.02707912  1.01250903  1.06347418  1.04603488  1.02575453  0.93074686
  0.9777389   0.9505357   0.85053606  0.89108803  0.85937671  0.82670606
  0.7296635   0.75954778  0.66744384  0.69173583  0.60663352  0.57738026
  0.54923584  0.56225204  0.49726246  0.50450174  0.47819802  0.4538911
  0.43181189  0.40436474  0.3951801   0.38102125  0.38378518  0.36205773
  0.38852046  0.39705937  0.40996941  0.36664102  0.44957607  0.47658346
  0.4129537   0.43745032  0.588047    0.63571801  0.68873929  0.74718835
  0.81115227  0.88057948  0.75235025  1.03587548  1.12167274  0.97240241
  1.05812402  1.41088188  1.51755384  1.35433396  1.74545617  1.86638009
  1.99166806  1.84433007  2.25443787  2.3915562   2.28646264  2.67565676
  2.61773032  2.79439924  3.12241876  3.16986088  3.43034347  3.58635249
  3.74327786  4.00851194  4.23597985  4.2160015   4.71174605  4.95960493
  5.21394873  4.83787851 20.12395173  6.01335387]"
3,-693.8968937364293,387.07408604835706,"[ 0.15211098  0.25065708  0.34270672  0.42835289  0.50772048  0.58105582
  0.64835344  0.70992347  0.63643905  0.70566237  0.86139155  0.90139093
  0.87796844  0.96646954  0.9919628   0.99871036  1.02799182  1.04202147
  1.07098592  1.0850422   1.09438178  1.09921033  1.04781347  1.03890567
  1.02707912  1.01250903  1.06347418  1.04603488  1.02575453  0.93074686
  0.9777389   0.9505357   0.85053606  0.89108803  0.85937671  0.82670606
  0.7296635   0.75954778  0.66744384  0.69173583  0.60663352  0.57738026
  0.54923584  0.56225204  0.49726246  0.50450174  0.47819802  0.4538911
  0.43181189  0.40436474  0.3951801   0.38102125  0.38378518  0.36205773
  0.38852046  0.39705937  0.40996941  0.36664102  0.44957607  0.47658346
  0.4129537   0.43745032  0.588047    0.63571801  0.68873929  0.74718835
  0.81115227  0.88057948  0.75235025  1.03587548  1.12167274  0.97240241
  1.05812402  1.41088188  1.51755384  1.35433396  1.74545617  1.86638009
  1.99166806  1.84433007  2.25443787  2.3915562   2.28646264  2.67565676
  2.61773032  2.79439924  3.12241876  3.16986088  3.43034347  3.58635249
  3.74327786  4.00851194  4.23597985  4.2160015   4.71174605  4.95960493
  5.21394873  4.83787851 20.12395173  6.01335387]"
4,-693.8968937364293,710.6506883096794,"[ 0.15211098  0.25065708  0.34270672  0.42835289  0.50772048  0.58105582
  0.64835344  0.70992347  0.63643905  0.70566237  0.86139155  0.90139093
  0.87796844  0.96646954  0.9919628   0.99871036  1.02799182  1.04202147
  1.07098592  1.0850422   1.09438178  1.09921033  1.04781347  1.03890567
  1.02707912  1.01250903  1.06347418  1.04603488  1.02575453  0.93074686
  0.9777389   0.9505357   0.85053606  0.89108803  0.85937671  0.82670606
  0.7296635   0.75954778  0.66744384  0.69173583  0.60663352  0.57738026
  0.54923584  0.56225204  0.49726246  0.50450174  0.47819802  0.4538911
  0.43181189  0.40436474  0.3951801   0.38102125  0.38378518  0.36205773
  0.38852046  0.39705937  0.40996941  0.36664102  0.44957607  0.47658346
  0.4129537   0.43745032  0.588047    0.63571801  0.68873929  0.74718835
  0.81115227  0.88057948  0.75235025  1.03587548  1.12167274  0.97240241
  1.05812402  1.41088188  1.51755384  1.35433396  1.74545617  1.86638009
  1.99166806  1.84433007  2.25443787  2.3915562   2.28646264  2.67565676
  2.61773032  2.79439924  3.12241876  3.16986088  3.43034347  3.58635249
  3.74327786  4.00851194  4.23597985  4.2160015   4.71174605  4.95960493
  5.21394873  4.83787851 20.12395173  6.01335387]"
5,-693.8968937364293,262.45624899633987,"[ 0.15211098  0.25065708  0.34270672  0.42835289  0.50772048  0.58105582
  0.64835344  0.70992347  0.63643905  0.70566237  0.86139155  0.90139093
  0.87796844  0.96646954  0.9919628   0.99871036  1.02799182  1.04202147
  1.07098592  1.0850422   1.09438178  1.09921033  1.04781347  1.03890567
  1.02707912  1.01250903  1.06347418  1.04603488  1.02575453  0.93074686
  0.9777389   0.9505357   0.85053606  0.89108803  0.85937671  0.82670606
  0.7296635   0.75954778  0.66744384  0.69173583  0.60663352  0.57738026
  0.54923584  0.56225204  0.49726246  0.50450174  0.47819802  0.4538911
  0.43181189  0.40436474  0.3951801   0.38102125  0.38378518  0.36205773
  0.38852046  0.39705937  0.40996941  0.36664102  0.44957607  0.47658346
  0.4129537   0.43745032  0.588047    0.63571801  0.68873929  0.74718835
  0.81115227  0.88057948  0.75235025  1.03587548  1.12167274  0.97240241
  1.05812402  1.41088188  1.51755384  1.35433396  1.74545617  1.86638009
  1.99166806  1.84433007  2.25443787  2.3915562   2.28646264  2.67565676
  2.61773032  2.79439924  3.12241876  3.16986088  3.43034347  3.58635249
  3.74327786  4.00851194  4.23597985  4.2160015   4.71174605  4.95960493
  5.21394873  4.83787851 20.12395173  6.01335387]"
6,-717.6596166164251,440.3139447356368,"[ 0.15322507  0.25696424  0.35081998  0.43765725  0.51656944  0.59055255
  0.65819468  0.71924186  0.66982037  0.73786208  0.87349856  0.91536193
  0.90776626  0.98244823  1.00990229  1.03035448  1.05852445  1.0616022
  1.10210561  1.11408323  1.12220584  1.12694735  1.06948446  1.06048158
  1.047793    1.03247838  1.08128813  1.063331    1.04106701  0.94850982
  0.98951385  0.96031798  0.86419112  0.89838452  0.86527921  0.83130556
  0.74036591  0.76267657  0.6779281   0.69330869  0.61570012  0.58683908
  0.55755529  0.56380098  0.50432328  0.50637172  0.48034125  0.45437539
  0.43339222  0.40786459  0.39696139  0.38265129  0.38301786  0.36403477
  0.38634509  0.39334154  0.40433103  0.36926227  0.44213944  0.46779159
  0.41655186  0.44062484  0.57639765  0.62024518  0.67257246  0.72839667
  0.79095001  0.85958562  0.75663922  1.01540008  1.10388597  0.98269913
  1.07258562  1.40448484  1.51548237  1.38613726  1.74738117  1.86582378
  1.98427071  1.87881082  2.22543086  2.35126573  2.28676825  2.62292506
  2.61127968  2.79698133  3.09354664  3.2019789   3.42505674  3.58770761
  3.74644126  4.05332887  4.28435277  4.21951911  4.78417974  5.03226142
  5.27228486  4.87212788 20.08205206  6.03823653]"
7,-805.6662306479145,250.47469523669793,"[ 0.17467793  0.28838095  0.38525884  0.47113384  0.54635368  0.61647829
  0.68045585  0.73831357  0.68817695  0.75470479  0.89144     0.93507043
  0.92859099  1.00608119  1.03614161  1.06237595  1.0931789   1.09269847
  1.14214736  1.15488036  1.16356545  1.16893424  1.10196283  1.09201068
  1.07778188  1.06077435  1.11454804  1.09456378  1.06942106  0.96973652
  1.01247835  0.98064868  0.88031162  0.91510135  0.88067371  0.84586985
  0.75539645  0.77740642  0.69507921  0.70955705  0.6353757   0.60844318
  0.58036927  0.58634545  0.52988685  0.53178684  0.50698478  0.48108498
  0.46121671  0.43742996  0.42555691  0.41123299  0.4124214   0.39274229
  0.41605054  0.42274006  0.43317877  0.39749664  0.47045862  0.49527604
  0.44358428  0.46639293  0.59957231  0.63973773  0.68968971  0.74226433
  0.80264212  0.87048813  0.76744213  1.03191421  1.12867128  1.00241884
  1.10234682  1.47132615  1.59704767  1.46274246  1.84071949  1.94952618
  2.04543316  1.94418054  2.21197471  2.29738096  2.22485113  2.52264571
  2.51576736  2.72603636  3.06110216  3.22446355  3.4604944   3.6387725
  3.79874008  4.10148172  4.34628817  4.25616792  4.91879899  5.16635078
  5.35596613  4.98083122 20.03871433  6.00139599]"
8,-879.0937483225961,207.88026590050214,"[ 0.19820159  0.32157827  0.42601054  0.51460264  0.59078306  0.65459519
  0.71687041  0.77625541  0.76615804  0.83212782  0.93073101  0.97727628
  1.00616615  1.05460073  1.08533226  1.15085717  1.18430087  1.15287362
  1.23487798  1.2463932   1.25189251  1.25595715  1.16109341  1.14849734
  1.13266889  1.1144227   1.18065177  1.15343923  1.12468737  1.01098326
  1.05661391  1.01843083  0.91506524  0.94837119  0.9082758   0.87001125
  0.78612369  0.79801709  0.72073075  0.72881204  0.66466729  0.63498991
  0.60750381  0.60590525  0.55525037  0.55049197  0.52301773  0.50286093
  0.48009972  0.4583997   0.44204854  0.42762556  0.43086481  0.40568979
  0.43240779  0.43789878  0.44786242  0.4143081   0.48045537  0.5035531
  0.45757187  0.48436693  0.5970032   0.6361472   0.67946968  0.73053811
  0.78897728  0.85612771  0.7812467   1.02791088  1.13454739  1.03321954
  1.14866053  1.54786354  1.70033558  1.57526997  1.96629231  2.06251129
  2.12563428  2.06152321  2.19594377  2.23155116  2.20407226  2.41421045
  2.44918621  2.70306146  3.04858953  3.34848011  3.54332061  3.74565093
  3.91141081  4.29017956  4.5641379   4.36117163  5.24686852  5.50526426
  5.63384393  5.17377918 19.82099125  6.13452504]"
9,-879.0937483225961,190.19450360336052,"[ 0.19820159  0.32157827  0.42601054  0.51460264  0.59078306  0.65459519
  0.71687041  0.77625541  0.76615804  0.83212782  0.93073101  0.97727628
  1.00616615  1.05460073  1.08533226  1.15085717  1.18430087  1.15287362
  1.23487798  1.2463932   1.25189251  1.25595715  1.16109341  1.14849734
  1.13266889  1.1144227   1.18065177  1.15343923  1.12468737  1.01098326
  1.05661391  1.01843083  0.91506524  0.94837119  0.9082758   0.87001125
  0.78612369  0.79801709  0.72073075  0.72881204  0.66466729  0.63498991
  0.60750381  0.60590525  0.55525037  0.55049197  0.52301773  0.50286093
  0.48009972  0.4583997   0.44204854  0.42762556  0.43086481  0.40568979
  0.43240779  0.43789878  0.44786242  0.4143081   0.48045537  0.5035531
  0.45757187  0.48436693  0.5970032   0.6361472   0.67946968  0.73053811
  0.78897728  0.85612771  0.7812467   1.02791088  1.13454739  1.03321954
  1.14866053  1.54786354  1.70033558  1.57526997  1.96629231  2.06251129
  2.12563428  2.06152321  2.19594377  2.23155116  2.20407226  2.41421045
  2.44918621  2.70306146  3.04858953  3.34848011  3.54332061  3.74565093
  3.91141081  4.29017956  4.5641379   4.36117163  5.24686852  5.50526426
  5.63384393  5.17377918 19.82099125  6.13452504]"
