iter,funcval,gradnorm,x
0,421213.8243272783,8837.030753236962,"[ 1.00000000e+00  1.00000000e+00  9.92114701e-01  1.25333234e-01
  9.68583161e-01  2.48689887e-01  9.29776486e-01  3.68124553e-01
  8.76306680e-01  4.81753674e-01  8.09016994e-01  5.87785252e-01
  7.28968627e-01  6.84547106e-01  6.37423990e-01  7.70513243e-01
  5.35826795e-01  8.44327926e-01  4.25779292e-01  9.04827052e-01
  3.09016994e-01  9.51056516e-01  1.87381315e-01  9.82287251e-01
  6.27905195e-02  9.98026728e-01 -6.27905195e-02  9.98026728e-01
 -1.87381315e-01  9.82287251e-01 -3.09016994e-01  9.51056516e-01
 -4.25779292e-01  9.04827052e-01 -5.35826795e-01  8.44327926e-01
 -6.37423990e-01  7.70513243e-01 -7.28968627e-01  6.84547106e-01
 -8.09016994e-01  5.87785252e-01 -8.76306680e-01  4.81753674e-01
 -9.29776486e-01  3.68124553e-01 -9.68583161e-01  2.48689887e-01
 -9.92114701e-01  1.25333234e-01 -1.00000000e+00 -3.21624530e-16
 -9.92114701e-01 -1.25333234e-01 -9.68583161e-01 -2.48689887e-01
 -9.29776486e-01 -3.68124553e-01 -8.76306680e-01 -4.81753674e-01
 -8.09016994e-01 -5.87785252e-01 -7.28968627e-01 -6.84547106e-01
 -6.37423990e-01 -7.70513243e-01 -5.35826795e-01 -8.44327926e-01
 -4.25779292e-01 -9.04827052e-01 -3.09016994e-01 -9.51056516e-01
 -1.87381315e-01 -9.82287251e-01 -6.27905195e-02 -9.98026728e-01
  6.27905195e-02 -9.98026728e-01  1.87381315e-01 -9.82287251e-01
  3.09016994e-01 -9.51056516e-01  4.25779292e-01 -9.04827052e-01
  5.35826795e-01 -8.44327926e-01  6.37423990e-01 -7.70513243e-01
  7.28968627e-01 -6.84547106e-01  8.09016994e-01 -5.87785252e-01
  8.76306680e-01 -4.81753674e-01  9.29776486e-01 -3.68124553e-01
  9.68583161e-01 -2.48689887e-01  9.92114701e-01 -1.25333234e-01
  1.00000000e+00  6.43249060e-16]"
1,32562.50000467878,8837.035123462429,"[ 1.00000000e+00  1.00000000e+00  9.92114701e-01  1.25333234e-01
  9.68583161e-01  2.48689887e-01  9.29776486e-01  3.68124553e-01
  8.76306680e-01  4.81753674e-01  8.09016994e-01  5.87785252e-01
  7.28968627e-01  6.84547106e-01  6.37423990e-01  7.70513243e-01
  5.35826795e-01  8.44327926e-01  4.25779292e-01  9.04827052e-01
  3.09016994e-01  9.51056516e-01  1.87381315e-01  9.82287251e-01
  6.27905195e-02  9.98026728e-01 -6.27905195e-02  9.98026728e-01
 -1.87381315e-01  9.82287251e-01 -3.09016994e-01  9.51056516e-01
 -4.25779292e-01  9.04827052e-01 -5.35826795e-01  8.44327926e-01
 -6.37423990e-01  7.70513243e-01 -7.28968627e-01  6.84547106e-01
 -8.09016994e-01  5.87785252e-01 -8.76306680e-01  4.81753674e-01
 -9.29776486e-01  3.68124553e-01 -9.68583161e-01  2.48689887e-01
 -9.92114701e-01  1.25333234e-01 -1.00000000e+00 -3.21624530e-16
 -9.92114701e-01 -1.25333234e-01 -9.68583161e-01 -2.48689887e-01
 -9.29776486e-01 -3.68124553e-01 -8.76306680e-01 -4.81753674e-01
 -8.09016994e-01 -5.87785252e-01 -7.28968627e-01 -6.84547106e-01
 -6.37423990e-01 -7.70513243e-01 -5.35826795e-01 -8.44327926e-01
 -4.25779292e-01 -9.04827052e-01 -3.09016994e-01 -9.51056516e-01
 -1.87381315e-01 -9.82287251e-01 -6.27905195e-02 -9.98026728e-01
  6.27905195e-02 -9.98026728e-01  1.87381315e-01 -9.82287251e-01
  3.09016994e-01 -9.51056516e-01  4.25779292e-01 -9.04827052e-01
  5.35826795e-01 -8.44327926e-01  6.37423990e-01 -7.70513243e-01
  7.28968627e-01 -6.84547106e-01  8.09016994e-01 -5.87785252e-01
  8.76306680e-01 -4.81753674e-01  9.29776486e-01 -3.68124553e-01
  9.68583161e-01 -2.48689887e-01  9.92114701e-01 -1.25333234e-01
  1.00000000e+00  6.43249060e-16]"
2,32562.50000467878,8837.034692755766,"[ 1.00000000e+00  1.00000000e+00  9.92114701e-01  1.25333234e-01
  9.68583161e-01  2.48689887e-01  9.29776486e-01  3.68124553e-01
  8.76306680e-01  4.81753674e-01  8.09016994e-01  5.87785252e-01
  7.28968627e-01  6.84547106e-01  6.37423990e-01  7.70513243e-01
  5.35826795e-01  8.44327926e-01  4.25779292e-01  9.04827052e-01
  3.09016994e-01  9.51056516e-01  1.87381315e-01  9.82287251e-01
  6.27905195e-02  9.98026728e-01 -6.27905195e-02  9.98026728e-01
 -1.87381315e-01  9.82287251e-01 -3.09016994e-01  9.51056516e-01
 -4.25779292e-01  9.04827052e-01 -5.35826795e-01  8.44327926e-01
 -6.37423990e-01  7.70513243e-01 -7.28968627e-01  6.84547106e-01
 -8.09016994e-01  5.87785252e-01 -8.76306680e-01  4.81753674e-01
 -9.29776486e-01  3.68124553e-01 -9.68583161e-01  2.48689887e-01
 -9.92114701e-01  1.25333234e-01 -1.00000000e+00 -3.21624530e-16
 -9.92114701e-01 -1.25333234e-01 -9.68583161e-01 -2.48689887e-01
 -9.29776486e-01 -3.68124553e-01 -8.76306680e-01 -4.81753674e-01
 -8.09016994e-01 -5.87785252e-01 -7.28968627e-01 -6.84547106e-01
 -6.37423990e-01 -7.70513243e-01 -5.35826795e-01 -8.44327926e-01
 -4.25779292e-01 -9.04827052e-01 -3.09016994e-01 -9.51056516e-01
 -1.87381315e-01 -9.82287251e-01 -6.27905195e-02 -9.98026728e-01
  6.27905195e-02 -9.98026728e-01  1.87381315e-01 -9.82287251e-01
  3.09016994e-01 -9.51056516e-01  4.25779292e-01 -9.04827052e-01
  5.35826795e-01 -8.44327926e-01  6.37423990e-01 -7.70513243e-01
  7.28968627e-01 -6.84547106e-01  8.09016994e-01 -5.87785252e-01
  8.76306680e-01 -4.81753674e-01  9.29776486e-01 -3.68124553e-01
  9.68583161e-01 -2.48689887e-01  9.92114701e-01 -1.25333234e-01
  1.00000000e+00  6.43249060e-16]"
3,32562.50000467878,8837.003125131016,"[ 1.00000000e+00  1.00000000e+00  9.92114701e-01  1.25333234e-01
  9.68583161e-01  2.48689887e-01  9.29776486e-01  3.68124553e-01
  8.76306680e-01  4.81753674e-01  8.09016994e-01  5.87785252e-01
  7.28968627e-01  6.84547106e-01  6.37423990e-01  7.70513243e-01
  5.35826795e-01  8.44327926e-01  4.25779292e-01  9.04827052e-01
  3.09016994e-01  9.51056516e-01  1.87381315e-01  9.82287251e-01
  6.27905195e-02  9.98026728e-01 -6.27905195e-02  9.98026728e-01
 -1.87381315e-01  9.82287251e-01 -3.09016994e-01  9.51056516e-01
 -4.25779292e-01  9.04827052e-01 -5.35826795e-01  8.44327926e-01
 -6.37423990e-01  7.70513243e-01 -7.28968627e-01  6.84547106e-01
 -8.09016994e-01  5.87785252e-01 -8.76306680e-01  4.81753674e-01
 -9.29776486e-01  3.68124553e-01 -9.68583161e-01  2.48689887e-01
 -9.92114701e-01  1.25333234e-01 -1.00000000e+00 -3.21624530e-16
 -9.92114701e-01 -1.25333234e-01 -9.68583161e-01 -2.48689887e-01
 -9.29776486e-01 -3.68124553e-01 -8.76306680e-01 -4.81753674e-01
 -8.09016994e-01 -5.87785252e-01 -7.28968627e-01 -6.84547106e-01
 -6.37423990e-01 -7.70513243e-01 -5.35826795e-01 -8.44327926e-01
 -4.25779292e-01 -9.04827052e-01 -3.09016994e-01 -9.51056516e-01
 -1.87381315e-01 -9.82287251e-01 -6.27905195e-02 -9.98026728e-01
  6.27905195e-02 -9.98026728e-01  1.87381315e-01 -9.82287251e-01
  3.09016994e-01 -9.51056516e-01  4.25779292e-01 -9.04827052e-01
  5.35826795e-01 -8.44327926e-01  6.37423990e-01 -7.70513243e-01
  7.28968627e-01 -6.84547106e-01  8.09016994e-01 -5.87785252e-01
  8.76306680e-01 -4.81753674e-01  9.29776486e-01 -3.68124553e-01
  9.68583161e-01 -2.48689887e-01  9.92114701e-01 -1.25333234e-01
  1.00000000e+00  6.43249060e-16]"
4,2760.7875238648476,8836.875458236575,"[ 7.70769235e-01 -5.28958088e+00  4.44896732e+00  2.25627953e-01
  2.64451583e+00  5.47078409e-01  8.98676549e-01  8.47943872e-01
  4.24615449e-01  5.99416411e-01  2.12396674e+00  1.45377861e+00
  4.78592733e-01  1.73944048e+00  5.72480999e-01  4.22689041e-01
  1.30444553e+00  2.23653097e+00  5.74483037e-01  5.87624977e-01
  4.77152528e-01  2.58579279e+00  4.01481582e-01  3.36016863e+00
  1.26669722e-01  2.74411956e+00 -1.17837387e-01  3.48811196e+00
 -3.22204231e-01  3.36057449e+00 -4.77156575e-01  2.58577119e+00
 -5.74531813e-01  2.43279005e+00 -6.07448970e-01  2.23652090e+00
 -5.72369988e-01  2.00309933e+00 -4.78555370e-01  1.73948580e+00
 -2.12400080e+00  5.98384412e-01 -4.24407024e-01  1.15311519e+00
 -2.51499882e+00  8.47755394e-01 -2.18041231e+00  4.06412087e-01
 -2.72402708e+00  2.25666378e-01 -2.75089904e+00 -1.61621748e-05
 -4.44831390e+00 -2.25659133e-01 -2.18024398e+00 -4.06395574e-01
 -2.51503032e+00 -5.33535655e-01 -2.33968178e+00 -5.99427428e-01
 -2.12405188e+00 -5.98382562e-01 -4.78544182e-01 -5.31235661e-01
 -1.59873788e+00 -4.22630943e-01 -6.07452142e-01 -3.67687577e-01
 -1.00045165e+00 -2.43277585e+00 -4.77147866e-01 -1.40371962e+00
 -3.22215797e-01 -2.69071211e+00 -1.17884240e-01 -2.74411571e+00
  1.17874129e-01 -2.74410613e+00  4.01472330e-01 -2.69076009e+00
  4.77156044e-01 -1.40376056e+00  1.00046784e+00 -2.43273744e+00
  1.30440803e+00 -2.23652280e+00  5.72472415e-01 -4.22596774e-01
  4.78557324e-01 -5.31234125e-01  2.12401817e+00 -5.98394065e-01
  4.24396144e-01 -5.99414027e-01  2.51502530e+00 -8.47760959e-01
  2.64452451e+00 -4.06384399e-01  2.72402677e+00 -2.25644962e-01
 -4.59173328e+00 -1.79517285e-05]"
5,2760.7875238648476,2995.533229679743,"[ 7.70769235e-01 -5.28958088e+00  4.44896732e+00  2.25627953e-01
  2.64451583e+00  5.47078409e-01  8.98676549e-01  8.47943872e-01
  4.24615449e-01  5.99416411e-01  2.12396674e+00  1.45377861e+00
  4.78592733e-01  1.73944048e+00  5.72480999e-01  4.22689041e-01
  1.30444553e+00  2.23653097e+00  5.74483037e-01  5.87624977e-01
  4.77152528e-01  2.58579279e+00  4.01481582e-01  3.36016863e+00
  1.26669722e-01  2.74411956e+00 -1.17837387e-01  3.48811196e+00
 -3.22204231e-01  3.36057449e+00 -4.77156575e-01  2.58577119e+00
 -5.74531813e-01  2.43279005e+00 -6.07448970e-01  2.23652090e+00
 -5.72369988e-01  2.00309933e+00 -4.78555370e-01  1.73948580e+00
 -2.12400080e+00  5.98384412e-01 -4.24407024e-01  1.15311519e+00
 -2.51499882e+00  8.47755394e-01 -2.18041231e+00  4.06412087e-01
 -2.72402708e+00  2.25666378e-01 -2.75089904e+00 -1.61621748e-05
 -4.44831390e+00 -2.25659133e-01 -2.18024398e+00 -4.06395574e-01
 -2.51503032e+00 -5.33535655e-01 -2.33968178e+00 -5.99427428e-01
 -2.12405188e+00 -5.98382562e-01 -4.78544182e-01 -5.31235661e-01
 -1.59873788e+00 -4.22630943e-01 -6.07452142e-01 -3.67687577e-01
 -1.00045165e+00 -2.43277585e+00 -4.77147866e-01 -1.40371962e+00
 -3.22215797e-01 -2.69071211e+00 -1.17884240e-01 -2.74411571e+00
  1.17874129e-01 -2.74410613e+00  4.01472330e-01 -2.69076009e+00
  4.77156044e-01 -1.40376056e+00  1.00046784e+00 -2.43273744e+00
  1.30440803e+00 -2.23652280e+00  5.72472415e-01 -4.22596774e-01
  4.78557324e-01 -5.31234125e-01  2.12401817e+00 -5.98394065e-01
  4.24396144e-01 -5.99414027e-01  2.51502530e+00 -8.47760959e-01
  2.64452451e+00 -4.06384399e-01  2.72402677e+00 -2.25644962e-01
 -4.59173328e+00 -1.79517285e-05]"
6,2760.7875238648476,3277.07591249229,"[ 7.70769235e-01 -5.28958088e+00  4.44896732e+00  2.25627953e-01
  2.64451583e+00  5.47078409e-01  8.98676549e-01  8.47943872e-01
  4.24615449e-01  5.99416411e-01  2.12396674e+00  1.45377861e+00
  4.78592733e-01  1.73944048e+00  5.72480999e-01  4.22689041e-01
  1.30444553e+00  2.23653097e+00  5.74483037e-01  5.87624977e-01
  4.77152528e-01  2.58579279e+00  4.01481582e-01  3.36016863e+00
  1.26669722e-01  2.74411956e+00 -1.17837387e-01  3.48811196e+00
 -3.22204231e-01  3.36057449e+00 -4.77156575e-01  2.58577119e+00
 -5.74531813e-01  2.43279005e+00 -6.07448970e-01  2.23652090e+00
 -5.72369988e-01  2.00309933e+00 -4.78555370e-01  1.73948580e+00
 -2.12400080e+00  5.98384412e-01 -4.24407024e-01  1.15311519e+00
 -2.51499882e+00  8.47755394e-01 -2.18041231e+00  4.06412087e-01
 -2.72402708e+00  2.25666378e-01 -2.75089904e+00 -1.61621748e-05
 -4.44831390e+00 -2.25659133e-01 -2.18024398e+00 -4.06395574e-01
 -2.51503032e+00 -5.33535655e-01 -2.33968178e+00 -5.99427428e-01
 -2.12405188e+00 -5.98382562e-01 -4.78544182e-01 -5.31235661e-01
 -1.59873788e+00 -4.22630943e-01 -6.07452142e-01 -3.67687577e-01
 -1.00045165e+00 -2.43277585e+00 -4.77147866e-01 -1.40371962e+00
 -3.22215797e-01 -2.69071211e+00 -1.17884240e-01 -2.74411571e+00
  1.17874129e-01 -2.74410613e+00  4.01472330e-01 -2.69076009e+00
  4.77156044e-01 -1.40376056e+00  1.00046784e+00 -2.43273744e+00
  1.30440803e+00 -2.23652280e+00  5.72472415e-01 -4.22596774e-01
  4.78557324e-01 -5.31234125e-01  2.12401817e+00 -5.98394065e-01
  4.24396144e-01 -5.99414027e-01  2.51502530e+00 -8.47760959e-01
  2.64452451e+00 -4.06384399e-01  2.72402677e+00 -2.25644962e-01
 -4.59173328e+00 -1.79517285e-05]"
7,2216.244886228221,8316.055405661027,"[ 7.93812932e-01 -4.36539457e+00  4.23922745e+00  2.13609606e-01
  2.55245690e+00  5.23381246e-01  7.60424588e-01  8.12505906e-01
  3.04107326e-01  5.57189474e-01  2.04609203e+00  1.39668018e+00
  4.04936489e-01  1.67301640e+00  5.14101508e-01  3.38768095e-01
  1.25237964e+00  2.15529648e+00  5.37188313e-01  4.58028447e-01
  4.49631903e-01  2.49519583e+00  3.83817049e-01  3.11132012e+00
  1.21125560e-01  2.64949669e+00 -1.11304960e-01  4.31984286e+00
 -3.04749738e-01  3.11137604e+00 -4.49512063e-01  2.49494285e+00
 -5.37212754e-01  2.34625792e+00 -5.60510997e-01  2.15529787e+00
 -5.14123202e-01  1.92866539e+00 -4.04863316e-01  1.67339130e+00
 -2.04617123e+00  5.46009697e-01 -3.04138040e-01  1.10626568e+00
 -2.42628845e+00  8.12266687e-01 -1.99420375e+00  3.83640995e-01
 -2.63001398e+00  2.13523872e-01 -2.65602233e+00  4.59399113e-04
 -4.23873182e+00 -2.13778755e-01 -1.99414445e+00 -3.83658813e-01
 -2.42616194e+00 -5.00922926e-01 -2.25546937e+00 -5.57304837e-01
 -2.04610547e+00 -5.46095077e-01 -4.05039708e-01 -4.65970608e-01
 -1.53686061e+00 -3.38744801e-01 -5.60295003e-01 -2.59216145e-01
 -9.59167387e-01 -2.34613024e+00 -4.49411200e-01 -1.25144226e+00
 -3.04851650e-01 -2.59753592e+00 -1.11701364e-01 -2.64946631e+00
  1.11510311e-01 -2.64972966e+00  3.83855868e-01 -2.59735620e+00
  4.49441097e-01 -1.25104867e+00  9.59225396e-01 -2.34596813e+00
  1.25237217e+00 -2.15546999e+00  5.14152379e-01 -3.38688895e-01
  4.04829992e-01 -4.66002446e-01  2.04603458e+00 -5.46013489e-01
  3.04124479e-01 -5.57305339e-01  2.42639722e+00 -8.12221443e-01
  2.55231460e+00 -3.83967680e-01  2.62996448e+00 -2.13619352e-01
 -5.41961752e+00  2.51313265e-04]"
8,2216.244886228221,4301.183300805483,"[ 7.93812932e-01 -4.36539457e+00  4.23922745e+00  2.13609606e-01
  2.55245690e+00  5.23381246e-01  7.60424588e-01  8.12505906e-01
  3.04107326e-01  5.57189474e-01  2.04609203e+00  1.39668018e+00
  4.04936489e-01  1.67301640e+00  5.14101508e-01  3.38768095e-01
  1.25237964e+00  2.15529648e+00  5.37188313e-01  4.58028447e-01
  4.49631903e-01  2.49519583e+00  3.83817049e-01  3.11132012e+00
  1.21125560e-01  2.64949669e+00 -1.11304960e-01  4.31984286e+00
 -3.04749738e-01  3.11137604e+00 -4.49512063e-01  2.49494285e+00
 -5.37212754e-01  2.34625792e+00 -5.60510997e-01  2.15529787e+00
 -5.14123202e-01  1.92866539e+00 -4.04863316e-01  1.67339130e+00
 -2.04617123e+00  5.46009697e-01 -3.04138040e-01  1.10626568e+00
 -2.42628845e+00  8.12266687e-01 -1.99420375e+00  3.83640995e-01
 -2.63001398e+00  2.13523872e-01 -2.65602233e+00  4.59399113e-04
 -4.23873182e+00 -2.13778755e-01 -1.99414445e+00 -3.83658813e-01
 -2.42616194e+00 -5.00922926e-01 -2.25546937e+00 -5.57304837e-01
 -2.04610547e+00 -5.46095077e-01 -4.05039708e-01 -4.65970608e-01
 -1.53686061e+00 -3.38744801e-01 -5.60295003e-01 -2.59216145e-01
 -9.59167387e-01 -2.34613024e+00 -4.49411200e-01 -1.25144226e+00
 -3.04851650e-01 -2.59753592e+00 -1.11701364e-01 -2.64946631e+00
  1.11510311e-01 -2.64972966e+00  3.83855868e-01 -2.59735620e+00
  4.49441097e-01 -1.25104867e+00  9.59225396e-01 -2.34596813e+00
  1.25237217e+00 -2.15546999e+00  5.14152379e-01 -3.38688895e-01
  4.04829992e-01 -4.66002446e-01  2.04603458e+00 -5.46013489e-01
  3.04124479e-01 -5.57305339e-01  2.42639722e+00 -8.12221443e-01
  2.55231460e+00 -3.83967680e-01  2.62996448e+00 -2.13619352e-01
 -5.41961752e+00  2.51313265e-04]"
9,2216.244886228221,101135.26150755951,"[ 7.93812932e-01 -4.36539457e+00  4.23922745e+00  2.13609606e-01
  2.55245690e+00  5.23381246e-01  7.60424588e-01  8.12505906e-01
  3.04107326e-01  5.57189474e-01  2.04609203e+00  1.39668018e+00
  4.04936489e-01  1.67301640e+00  5.14101508e-01  3.38768095e-01
  1.25237964e+00  2.15529648e+00  5.37188313e-01  4.58028447e-01
  4.49631903e-01  2.49519583e+00  3.83817049e-01  3.11132012e+00
  1.21125560e-01  2.64949669e+00 -1.11304960e-01  4.31984286e+00
 -3.04749738e-01  3.11137604e+00 -4.49512063e-01  2.49494285e+00
 -5.37212754e-01  2.34625792e+00 -5.60510997e-01  2.15529787e+00
 -5.14123202e-01  1.92866539e+00 -4.04863316e-01  1.67339130e+00
 -2.04617123e+00  5.46009697e-01 -3.04138040e-01  1.10626568e+00
 -2.42628845e+00  8.12266687e-01 -1.99420375e+00  3.83640995e-01
 -2.63001398e+00  2.13523872e-01 -2.65602233e+00  4.59399113e-04
 -4.23873182e+00 -2.13778755e-01 -1.99414445e+00 -3.83658813e-01
 -2.42616194e+00 -5.00922926e-01 -2.25546937e+00 -5.57304837e-01
 -2.04610547e+00 -5.46095077e-01 -4.05039708e-01 -4.65970608e-01
 -1.53686061e+00 -3.38744801e-01 -5.60295003e-01 -2.59216145e-01
 -9.59167387e-01 -2.34613024e+00 -4.49411200e-01 -1.25144226e+00
 -3.04851650e-01 -2.59753592e+00 -1.11701364e-01 -2.64946631e+00
  1.11510311e-01 -2.64972966e+00  3.83855868e-01 -2.59735620e+00
  4.49441097e-01 -1.25104867e+00  9.59225396e-01 -2.34596813e+00
  1.25237217e+00 -2.15546999e+00  5.14152379e-01 -3.38688895e-01
  4.04829992e-01 -4.66002446e-01  2.04603458e+00 -5.46013489e-01
  3.04124479e-01 -5.57305339e-01  2.42639722e+00 -8.12221443e-01
  2.55231460e+00 -3.83967680e-01  2.62996448e+00 -2.13619352e-01
 -5.41961752e+00  2.51313265e-04]"
