iter,funcval,gradnorm,x
0,13496.021743276393,595.9818737849241,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
1,5073.786371010433,595.9818737653999,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
2,4603.636348757003,595.9818737867761,"[ 2.55248300e-01 -2.86857311e-01  2.51540422e+00 -1.02295642e-01
  2.87093259e+00 -2.44583936e+00 -1.84391052e-01  3.71156561e-01
 -5.38836152e-01 -9.04797780e-01  2.32837720e+00  5.39761099e-01
  3.39236959e+00  2.77198715e+00 -4.93012052e-01 -2.33458650e+00
 -4.03701137e+00 -9.06201423e-01 -1.50558755e+00  2.87816982e+00
  3.56213225e+00  8.32587812e-01 -2.42679924e+00  1.01722945e-01
 -1.29093811e+00  1.07169707e-01 -2.08072260e+00  1.48618203e+00
 -8.98169248e-01 -9.05591837e-01 -1.98311307e-06 -9.48909322e-02
  3.57055513e+00  1.50205596e+00 -3.56672782e+00  4.29729348e-01
 -9.34407731e-02 -4.09898073e-01  3.00093101e+00 -1.15011824e+00
 -2.61173175e-01  2.65497167e+00  5.82787900e-01  3.53849958e+00
 -7.45965980e-06 -2.50909135e+00 -4.04016404e+00  2.51085812e+00
 -4.01012261e+00  3.03431710e+00]"
3,4603.636348757003,8493069487.789414,"[ 2.55248300e-01 -2.86857311e-01  2.51540422e+00 -1.02295642e-01
  2.87093259e+00 -2.44583936e+00 -1.84391052e-01  3.71156561e-01
 -5.38836152e-01 -9.04797780e-01  2.32837720e+00  5.39761099e-01
  3.39236959e+00  2.77198715e+00 -4.93012052e-01 -2.33458650e+00
 -4.03701137e+00 -9.06201423e-01 -1.50558755e+00  2.87816982e+00
  3.56213225e+00  8.32587812e-01 -2.42679924e+00  1.01722945e-01
 -1.29093811e+00  1.07169707e-01 -2.08072260e+00  1.48618203e+00
 -8.98169248e-01 -9.05591837e-01 -1.98311307e-06 -9.48909322e-02
  3.57055513e+00  1.50205596e+00 -3.56672782e+00  4.29729348e-01
 -9.34407731e-02 -4.09898073e-01  3.00093101e+00 -1.15011824e+00
 -2.61173175e-01  2.65497167e+00  5.82787900e-01  3.53849958e+00
 -7.45965980e-06 -2.50909135e+00 -4.04016404e+00  2.51085812e+00
 -4.01012261e+00  3.03431710e+00]"
4,4603.636348757003,2317372964.773729,"[ 2.55248300e-01 -2.86857311e-01  2.51540422e+00 -1.02295642e-01
  2.87093259e+00 -2.44583936e+00 -1.84391052e-01  3.71156561e-01
 -5.38836152e-01 -9.04797780e-01  2.32837720e+00  5.39761099e-01
  3.39236959e+00  2.77198715e+00 -4.93012052e-01 -2.33458650e+00
 -4.03701137e+00 -9.06201423e-01 -1.50558755e+00  2.87816982e+00
  3.56213225e+00  8.32587812e-01 -2.42679924e+00  1.01722945e-01
 -1.29093811e+00  1.07169707e-01 -2.08072260e+00  1.48618203e+00
 -8.98169248e-01 -9.05591837e-01 -1.98311307e-06 -9.48909322e-02
  3.57055513e+00  1.50205596e+00 -3.56672782e+00  4.29729348e-01
 -9.34407731e-02 -4.09898073e-01  3.00093101e+00 -1.15011824e+00
 -2.61173175e-01  2.65497167e+00  5.82787900e-01  3.53849958e+00
 -7.45965980e-06 -2.50909135e+00 -4.04016404e+00  2.51085812e+00
 -4.01012261e+00  3.03431710e+00]"
5,4603.636348757003,7474740.912099043,"[ 2.55248300e-01 -2.86857311e-01  2.51540422e+00 -1.02295642e-01
  2.87093259e+00 -2.44583936e+00 -1.84391052e-01  3.71156561e-01
 -5.38836152e-01 -9.04797780e-01  2.32837720e+00  5.39761099e-01
  3.39236959e+00  2.77198715e+00 -4.93012052e-01 -2.33458650e+00
 -4.03701137e+00 -9.06201423e-01 -1.50558755e+00  2.87816982e+00
  3.56213225e+00  8.32587812e-01 -2.42679924e+00  1.01722945e-01
 -1.29093811e+00  1.07169707e-01 -2.08072260e+00  1.48618203e+00
 -8.98169248e-01 -9.05591837e-01 -1.98311307e-06 -9.48909322e-02
  3.57055513e+00  1.50205596e+00 -3.56672782e+00  4.29729348e-01
 -9.34407731e-02 -4.09898073e-01  3.00093101e+00 -1.15011824e+00
 -2.61173175e-01  2.65497167e+00  5.82787900e-01  3.53849958e+00
 -7.45965980e-06 -2.50909135e+00 -4.04016404e+00  2.51085812e+00
 -4.01012261e+00  3.03431710e+00]"
6,4408.320315310279,460.59452168030003,"[ 2.83789429e-01 -2.94363557e-01  2.44952765e+00 -1.44028736e-01
  2.81784708e+00 -2.37057629e+00 -1.81350841e-01  3.73077265e-01
 -5.53391452e-01 -9.16445318e-01  2.22143147e+00  5.42346082e-01
  3.29848658e+00  2.67409664e+00 -4.66340439e-01 -2.24197671e+00
 -3.91098621e+00 -9.08645501e-01 -1.55853965e+00  2.81678511e+00
  3.54472710e+00  8.52962594e-01 -2.33849832e+00  1.86941443e-01
 -1.36693025e+00  5.24165605e-02 -2.04791799e+00  1.49744182e+00
 -8.85404726e-01 -8.60051850e-01 -3.10254243e-03 -1.18515595e-01
  3.55413157e+00  1.50728168e+00 -3.54793799e+00  4.34474725e-01
 -5.35725989e-02 -4.20757267e-01  2.93259623e+00 -1.05562582e+00
 -2.48258400e-01  2.54410269e+00  4.92292659e-01  3.42576934e+00
 -1.29332991e-02 -2.39095645e+00 -3.94333369e+00  2.38019735e+00
 -3.93738028e+00  2.90920021e+00]"
7,4058.5978633714813,417.75337483474647,"[ 3.25610716e-01 -3.34150738e-01  2.35624163e+00 -2.48498390e-01
  2.75033308e+00 -2.22066247e+00 -1.80391828e-01  3.54430889e-01
 -6.04547558e-01 -9.66028016e-01  2.04678102e+00  5.68179481e-01
  3.15011865e+00  2.51734289e+00 -3.95956878e-01 -2.09622213e+00
 -3.63467323e+00 -9.38651962e-01 -1.69521657e+00  2.73215958e+00
  3.55067796e+00  9.17536287e-01 -2.16050065e+00  3.85664950e-01
 -1.54944278e+00 -1.77669034e-01 -1.98739509e+00  1.54576519e+00
 -8.46485764e-01 -7.50499411e-01 -1.12204584e-02 -1.83160934e-01
  3.56201388e+00  1.54310627e+00 -3.55097265e+00  4.58866588e-01
  1.19276709e-01 -4.58061802e-01  2.79907670e+00 -8.62219023e-01
 -1.96394252e-01  2.36203947e+00  3.29452343e-01  3.17542940e+00
  2.23347252e-03 -2.19288140e+00 -3.73049009e+00  2.15688696e+00
 -3.77509986e+00  2.69732462e+00]"
8,3496.5948872457852,366.2205391827369,"[ 0.37784143 -0.41787601  2.22834694 -0.44312796  2.6468579  -1.86674946
 -0.16130074  0.2632107  -0.72087059 -1.08437717  1.79757501  0.64190128
  2.89882501  2.2783017  -0.21960463 -1.89551274 -2.93065857 -1.02391822
 -1.92982373  2.60020727  3.53127814  1.05334818 -1.75354102  0.74462791
 -1.8598479  -0.31936407 -1.80884698  1.63636243 -0.69871069 -0.47844299
 -0.03932367 -0.31192185  3.54490094  1.61302553 -3.52659178  0.52242271
  0.18965092 -0.54422582  2.45612468 -0.47042834 -0.07948974  2.08821736
  0.08997038  2.53424117  0.17167434 -1.89290927 -3.13760826  1.81258687
 -3.26818667  2.35264876]"
9,3091.8580373973355,290.2093944542398,"[ 0.00342439 -0.68316734  2.01207075 -0.64032108  2.34305078 -1.2168682
 -0.22128019 -0.14395939 -0.81980132 -1.11890378  1.63209667  0.74158009
  2.48050939  2.00519695  0.0997307  -1.73318822 -1.73410162 -1.05677067
 -1.78873512  2.29217627  3.06591958  1.07080337 -1.0730718   0.92511575
 -1.72770584 -1.76037068 -1.31087091  1.50775086 -0.3034777  -0.0798641
 -0.0997412  -0.49718497  3.07662852  1.48290278 -3.05956744  0.58018343
  1.51078347 -0.60702     1.6927796  -0.10534769  0.3663955   1.84604028
  0.19905238  1.46108756  0.49451331 -1.66964262 -1.94814646  1.58001316
 -2.08287356  1.99943676]"
