iter,funcval,gradnorm,x
0,2335.2875000000004,193.0659198831864,"[ 1.88039306e-07 -1.21883598e-07  7.75941813e-07  8.63970080e-07
 -9.59837405e-07  7.86521770e-07  7.98241889e-07 -1.71379936e-06
 -4.46055185e-07  1.91986752e-07  1.35831279e-06  3.71175405e-07
 -2.57185418e-07 -3.12581493e-07 -6.02525492e-08 -1.17949330e-06
  1.68323879e-06 -1.59917201e-06  1.96441912e-06 -2.46242539e-06
  7.44111186e-07 -1.14546672e-06 -1.23662511e-06 -2.07309518e-07
 -4.85822784e-07  1.52163549e-06 -1.75292289e-07  4.89223981e-07
 -3.66687748e-07  1.58356807e-07 -1.27395566e-06  1.03352097e-06
 -2.53824716e-07  1.20914475e-06 -1.03090128e+01 -1.70151146e-06
  1.72743800e-06  6.30642556e-07  6.45535345e-08 -3.26828029e-07
 -8.46008721e-07 -1.26837091e-07 -2.07703360e-08 -3.67574896e-07
 -1.81530514e-07 -1.37944678e-07  8.37377324e-07 -8.55750921e-07
 -1.25144561e-06 -8.26860322e-07]"
1,2271.593105847792,193.06591988317297,"[ 1.88039306e-07 -1.21883598e-07  7.75941813e-07  8.63970080e-07
 -9.59837405e-07  7.86521770e-07  7.98241889e-07 -1.71379936e-06
 -4.46055185e-07  1.91986752e-07  1.35831279e-06  3.71175405e-07
 -2.57185418e-07 -3.12581493e-07 -6.02525492e-08 -1.17949330e-06
  1.68323879e-06 -1.59917201e-06  1.96441912e-06 -2.46242539e-06
  7.44111186e-07 -1.14546672e-06 -1.23662511e-06 -2.07309518e-07
 -4.85822784e-07  1.52163549e-06 -1.75292289e-07  4.89223981e-07
 -3.66687748e-07  1.58356807e-07 -1.27395566e-06  1.03352097e-06
 -2.53824716e-07  1.20914475e-06 -1.03090128e+01 -1.70151146e-06
  1.72743800e-06  6.30642556e-07  6.45535345e-08 -3.26828029e-07
 -8.46008721e-07 -1.26837091e-07 -2.07703360e-08 -3.67574896e-07
 -1.81530514e-07 -1.37944678e-07  8.37377324e-07 -8.55750921e-07
 -1.25144561e-06 -8.26860322e-07]"
2,1647.6701944106342,193.06591987961144,"[  0.01622733  -0.01194815  -0.85473857  -0.34344862   0.96885756
   0.57424003  -0.0752344    0.30258186  -0.3277447   -0.24427126
   0.74053319   0.08590545   1.53084358   1.30475395  -0.33268201
  -0.74965276  -1.13459945  -0.26286252  -0.74298191   1.35857919
   1.18447916   0.32642123   0.4588657    0.17775389  -0.66103873
   0.24128573   0.12588393   0.75469206  -0.5088199   -0.19688807
   0.10379937  -0.34226038  -0.46547726   0.46429753 -10.32751757
   0.35992124  -0.16340624  -0.40415759  -0.16217039   0.64708935
  -0.30786254   0.84578409   0.39926754   1.40511259  -0.21652171
  -1.22257466  -1.53084306   1.22183911  -1.16561361   1.01154656]"
3,1647.6701944106342,82.94194478311192,"[  0.01622733  -0.01194815  -0.85473857  -0.34344862   0.96885756
   0.57424003  -0.0752344    0.30258186  -0.3277447   -0.24427126
   0.74053319   0.08590545   1.53084358   1.30475395  -0.33268201
  -0.74965276  -1.13459945  -0.26286252  -0.74298191   1.35857919
   1.18447916   0.32642123   0.4588657    0.17775389  -0.66103873
   0.24128573   0.12588393   0.75469206  -0.5088199   -0.19688807
   0.10379937  -0.34226038  -0.46547726   0.46429753 -10.32751757
   0.35992124  -0.16340624  -0.40415759  -0.16217039   0.64708935
  -0.30786254   0.84578409   0.39926754   1.40511259  -0.21652171
  -1.22257466  -1.53084306   1.22183911  -1.16561361   1.01154656]"
4,1483.0498143265181,82.94194478311918,"[ 0.10200026 -0.03645551 -0.99591332 -0.65518461  1.44328413  1.0208567
 -0.02424956  0.57781012 -0.31850659 -0.60749218  0.49327311  0.3294024
  1.58592815  1.12415233 -0.43216892 -0.60149285 -1.15258318 -0.54590703
 -1.46784686  1.69067957  1.9231652   0.78928241  1.01250502  0.72841721
 -1.12875077  0.20724421  0.33957516  1.18102715 -0.6542708  -0.40094648
  0.04504032 -0.63368947 -0.34093591  1.01844431 -9.11365548  0.50340156
 -0.08639368 -0.62915341 -0.48570668  1.20833909 -0.07950481  1.16861195
  0.15040481  1.42164015 -0.06001445 -0.98815844 -1.77258607  1.08952535
 -1.7321788   1.16047508]"
5,1357.7000104681777,60.67070033294332,"[ 0.28428274 -0.06521904 -0.32880308 -1.17557424  1.27320124  1.66391675
  0.2028668   0.71841095  0.06449144 -1.02413411  0.5258934   0.67428461
  1.50823573  0.77909504 -0.36948128 -0.94185345 -1.39843305 -0.62389885
 -2.2449382   1.04289953  2.29330107  1.95935801  2.19606282  2.62695597
 -1.5054281   0.15634274  0.87450759  1.46829949 -0.50263919 -0.62691917
 -0.13115541 -1.04755734  0.77243203  2.18482104 -6.25591708  0.57383489
  0.27136029 -0.85433605 -1.32145582  2.01274396  0.56302595  1.17345003
 -0.73685847  1.22606794 -0.13786719 -0.2070229  -2.01232631 -0.23161567
 -2.06714327  0.75598375]"
6,1357.7000104681777,66.9582242887978,"[ 0.28428274 -0.06521904 -0.32880308 -1.17557424  1.27320124  1.66391675
  0.2028668   0.71841095  0.06449144 -1.02413411  0.5258934   0.67428461
  1.50823573  0.77909504 -0.36948128 -0.94185345 -1.39843305 -0.62389885
 -2.2449382   1.04289953  2.29330107  1.95935801  2.19606282  2.62695597
 -1.5054281   0.15634274  0.87450759  1.46829949 -0.50263919 -0.62691917
 -0.13115541 -1.04755734  0.77243203  2.18482104 -6.25591708  0.57383489
  0.27136029 -0.85433605 -1.32145582  2.01274396  0.56302595  1.17345003
 -0.73685847  1.22606794 -0.13786719 -0.2070229  -2.01232631 -0.23161567
 -2.06714327  0.75598375]"
7,1288.7034779817304,66.95822428875977,"[ 0.35147815 -0.21011504 -0.28158414 -1.23341686  1.9429086   1.83464373
  0.1672388   0.70812274 -0.09443288 -1.06936878  0.82058227  0.64579449
  1.63663068  1.00896404 -0.48474054 -1.2150931  -1.77891359 -0.84162606
 -2.50105968  1.57506838  3.08633602  1.83367512  2.10559062  2.24937172
 -1.55448712  0.27698772  0.87948156  1.62445048 -0.63770938 -0.75272203
 -0.05910813 -1.11397972  0.92167501  2.09083969 -5.68858321  0.68938082
  0.15790124 -0.97599512 -1.22987285  2.1515668   0.30542736  1.87621841
 -0.43040555  1.7444468   0.04656988 -0.82286544 -2.48099609  0.62676812
 -2.99489699  1.68518381]"
8,1249.0721932463362,38.23240017485557,"[ 0.40987787 -0.25685675  0.91618282 -2.10510203  1.78393882  2.64381315
  0.13651879  0.56709109 -0.00849746 -1.08615169  1.22469056  0.42860983
  0.32964135  0.57842335 -0.57645214 -1.85567671 -1.76401233 -0.89254362
 -3.31556502  0.13881798  4.47459944  2.70549573  3.1493368   3.88117016
 -1.58485301  0.63526622  1.45168637  1.60819274 -0.54087222 -0.56939538
  0.18409806 -1.85843266  2.23963413  2.08918722 -3.76855353  1.03677784
  0.11293663 -1.51446833 -1.74390623  2.68380227 -0.01921461  1.32706935
 -0.54755136  1.46401167 -0.99854359 -0.97808316 -2.3098343  -0.72370096
 -3.8697665   1.19753675]"
9,1249.0721932463362,38.80793617269846,"[ 0.40987787 -0.25685675  0.91618282 -2.10510203  1.78393882  2.64381315
  0.13651879  0.56709109 -0.00849746 -1.08615169  1.22469056  0.42860983
  0.32964135  0.57842335 -0.57645214 -1.85567671 -1.76401233 -0.89254362
 -3.31556502  0.13881798  4.47459944  2.70549573  3.1493368   3.88117016
 -1.58485301  0.63526622  1.45168637  1.60819274 -0.54087222 -0.56939538
  0.18409806 -1.85843266  2.23963413  2.08918722 -3.76855353  1.03677784
  0.11293663 -1.51446833 -1.74390623  2.68380227 -0.01921461  1.32706935
 -0.54755136  1.46401167 -0.99854359 -0.97808316 -2.3098343  -0.72370096
 -3.8697665   1.19753675]"
10,1222.8758026265498,38.80793617269094,"[ 6.82219960e-01 -6.22356823e-01  2.74560991e-01 -2.42685015e+00
  1.69680370e+00  2.91753118e+00 -1.80038263e-03  1.25104771e+00
 -1.30450596e-01 -1.55708552e+00  1.14672530e+00  4.10614120e-01
  6.94088406e-01  1.05019909e+00 -9.34977607e-01 -2.21809409e+00
 -2.16036794e+00 -1.06764931e+00 -3.97444333e+00  4.31124556e-03
  4.58989454e+00  2.42538605e+00  2.98304343e+00  3.56310982e+00
 -1.67497309e+00  9.93491725e-01  1.43712592e+00  1.98340422e+00
 -9.38201081e-01 -6.02428577e-01  5.18691680e-01 -2.11036857e+00
  2.24943143e+00  1.67448517e+00 -4.94710491e+00  1.10002575e+00
  2.96902559e-02 -1.63033152e+00 -1.54665405e+00  2.81406483e+00
  8.64914139e-02  1.92576991e+00 -4.62768801e-01  1.20291987e+00
 -5.94644605e-01 -1.16105092e+00 -2.42567815e+00 -6.48510271e-02
 -4.34891516e+00  1.44077484e+00]"
11,1222.8758026265498,24.774466727405628,"[ 6.82219960e-01 -6.22356823e-01  2.74560991e-01 -2.42685015e+00
  1.69680370e+00  2.91753118e+00 -1.80038263e-03  1.25104771e+00
 -1.30450596e-01 -1.55708552e+00  1.14672530e+00  4.10614120e-01
  6.94088406e-01  1.05019909e+00 -9.34977607e-01 -2.21809409e+00
 -2.16036794e+00 -1.06764931e+00 -3.97444333e+00  4.31124556e-03
  4.58989454e+00  2.42538605e+00  2.98304343e+00  3.56310982e+00
 -1.67497309e+00  9.93491725e-01  1.43712592e+00  1.98340422e+00
 -9.38201081e-01 -6.02428577e-01  5.18691680e-01 -2.11036857e+00
  2.24943143e+00  1.67448517e+00 -4.94710491e+00  1.10002575e+00
  2.96902559e-02 -1.63033152e+00 -1.54665405e+00  2.81406483e+00
  8.64914139e-02  1.92576991e+00 -4.62768801e-01  1.20291987e+00
 -5.94644605e-01 -1.16105092e+00 -2.42567815e+00 -6.48510271e-02
 -4.34891516e+00  1.44077484e+00]"
12,1215.92115803191,24.774466727515247,"[ 0.71098406 -0.71913808  0.07778571 -2.52238501  1.98673441  3.18370575
  0.0271105   1.33285127 -0.17013069 -1.45257344  0.95702504  0.43244333
  0.40669478  0.77291594 -1.0133057  -2.16742407 -1.95580449 -1.12132391
 -4.4035231   0.30003336  4.76076254  2.33785792  2.92483422  3.4659953
 -1.76796966  1.06331147  1.43821404  2.04058921 -0.88796554 -0.5659513
  0.56687266 -2.23840734  2.33361916  1.76641125 -5.08458845  1.0219343
  0.15071713 -1.60245637 -1.54194171  3.17287921  0.15858519  1.89338176
 -0.53867917  1.65044116 -0.93896652 -1.24231953 -2.87413661 -0.32332172
 -4.21328797  1.34531487]"
13,1215.92115803191,23.647333970224476,"[ 0.71098406 -0.71913808  0.07778571 -2.52238501  1.98673441  3.18370575
  0.0271105   1.33285127 -0.17013069 -1.45257344  0.95702504  0.43244333
  0.40669478  0.77291594 -1.0133057  -2.16742407 -1.95580449 -1.12132391
 -4.4035231   0.30003336  4.76076254  2.33785792  2.92483422  3.4659953
 -1.76796966  1.06331147  1.43821404  2.04058921 -0.88796554 -0.5659513
  0.56687266 -2.23840734  2.33361916  1.76641125 -5.08458845  1.0219343
  0.15071713 -1.60245637 -1.54194171  3.17287921  0.15858519  1.89338176
 -0.53867917  1.65044116 -0.93896652 -1.24231953 -2.87413661 -0.32332172
 -4.21328797  1.34531487]"
14,1205.2485250455204,23.647333970330884,"[ 0.6878583  -0.69665998  0.02357397 -2.56601018  1.84202943  3.25879788
  0.04309992  1.36936662 -0.1256473  -1.43472333  1.04278825  0.4330369
  0.56834507  0.8748001  -0.97670144 -2.36659859 -2.00673353 -1.02628164
 -4.50037793  0.22559011  4.54812987  2.31849934  2.90026811  3.488644
 -1.81646618  1.07429092  1.43267631  2.06127176 -0.86049822 -0.5431814
  0.58290677 -2.27078066  2.38370784  1.82312224 -4.88565698  0.99598118
  0.19171068 -1.58893581 -1.54248796  3.28720821  0.26694742  1.96431453
 -0.63532675  1.50597904 -0.72771645 -1.00635923 -2.80499622 -0.315074
 -4.17013713  1.32956483]"
15,1200.205571012023,14.020822972437536,"[ 0.57230382 -0.57771879  0.1403022  -2.6950141   1.88384327  3.48054565
  0.08145879  1.39907655 -0.02460151 -1.2955018   0.99244608  0.42496217
  0.24732774  0.6350112  -0.885061   -2.49435347 -1.73739339 -0.87724357
 -4.85650784  0.19856683  4.63823205  2.47120466  3.05273405  3.81781893
 -1.91999033  1.07744976  1.50926211  2.08740083 -0.79030222 -0.54003459
  0.60708567 -2.38848131  2.69285201  1.97189179 -4.19164143  1.06476089
  0.21322402 -1.68100517 -1.62709644  3.55280238  0.32385419  1.94963429
 -0.76897879  1.77011963 -0.79145907 -0.83409774 -2.89634714 -0.59680403
 -4.1405025   1.25275015]"
16,1200.205571012023,19.10484794649155,"[ 0.57230382 -0.57771879  0.1403022  -2.6950141   1.88384327  3.48054565
  0.08145879  1.39907655 -0.02460151 -1.2955018   0.99244608  0.42496217
  0.24732774  0.6350112  -0.885061   -2.49435347 -1.73739339 -0.87724357
 -4.85650784  0.19856683  4.63823205  2.47120466  3.05273405  3.81781893
 -1.91999033  1.07744976  1.50926211  2.08740083 -0.79030222 -0.54003459
  0.60708567 -2.38848131  2.69285201  1.97189179 -4.19164143  1.06476089
  0.21322402 -1.68100517 -1.62709644  3.55280238  0.32385419  1.94963429
 -0.76897879  1.77011963 -0.79145907 -0.83409774 -2.89634714 -0.59680403
 -4.1405025   1.25275015]"
