iter,funcval,gradnorm,x
0,79790.26939058345,213.59297908937924,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,30.0,213.59297908937245,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2,30.0,213.59297908935977,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,25.963865823018203,213.59297908940138,"[-0.02812367  0.02839786  0.03883572  0.30242836  0.74828058  0.04853984
  0.04875307  0.04835109  0.04756267  0.38094018  0.04531367 -0.98545103]"
4,25.963865823018203,3052.6356462014633,"[-0.02812367  0.02839786  0.03883572  0.30242836  0.74828058  0.04853984
  0.04875307  0.04835109  0.04756267  0.38094018  0.04531367 -0.98545103]"
5,25.963865823018203,3615.962205905121,"[-0.02812367  0.02839786  0.03883572  0.30242836  0.74828058  0.04853984
  0.04875307  0.04835109  0.04756267  0.38094018  0.04531367 -0.98545103]"
6,25.963865823018203,7046.338702402787,"[-0.02812367  0.02839786  0.03883572  0.30242836  0.74828058  0.04853984
  0.04875307  0.04835109  0.04756267  0.38094018  0.04531367 -0.98545103]"
7,25.963865823018203,3167.773813977897,"[-0.02812367  0.02839786  0.03883572  0.30242836  0.74828058  0.04853984
  0.04875307  0.04835109  0.04756267  0.38094018  0.04531367 -0.98545103]"
8,25.963865823018203,5721.290360598021,"[-0.02812367  0.02839786  0.03883572  0.30242836  0.74828058  0.04853984
  0.04875307  0.04835109  0.04756267  0.38094018  0.04531367 -0.98545103]"
9,25.963865823018203,377.9418319367426,"[-0.02812367  0.02839786  0.03883572  0.30242836  0.74828058  0.04853984
  0.04875307  0.04835109  0.04756267  0.38094018  0.04531367 -0.98545103]"
10,25.940087411783466,13548.103438400844,"[-0.02798025  0.02845927  0.03891371  0.30249048  0.74812505  0.04862986
  0.04884453  0.04844359  0.04765589  0.3809292   0.0454074  -0.9853794 ]"
11,25.892837897758408,145.24857418773757,"[-0.02799647  0.02849615  0.03892946  0.30250951  0.74815742  0.04868037
  0.04891544  0.04853584  0.04776968  0.38106438  0.04556359 -0.98520266]"
12,25.79887591083836,144.32644778545514,"[-0.02803119  0.02856964  0.03896051  0.30254643  0.74822088  0.04878091
  0.04905689  0.04872012  0.04799722  0.38133552  0.04587615 -0.98484931]"
13,25.613114514645865,142.94822893501046,"[-0.0281125   0.02871232  0.03901793  0.30261868  0.74834619  0.04897706
  0.04933481  0.04908472  0.04844836  0.38188271  0.04650354 -0.98413997]"
14,25.25049090254751,142.1347643623199,"[-0.02827983  0.02895122  0.03907883  0.3027633   0.74859424  0.04932406
  0.04985526  0.04979596  0.04934528  0.38301791  0.04776539 -0.98271014]"
15,24.59250499042307,137.92149316801206,"[-0.0296186   0.02895016  0.03884929  0.3023399   0.74854581  0.0497992
  0.05071469  0.05103055  0.05102165  0.38532105  0.05041522 -0.97996399]"
16,23.790649805342607,126.82946192483794,"[-0.03521432  0.02891     0.03801575  0.29967322  0.74608567  0.04925617
  0.05045188  0.05211555  0.05178319  0.3890908   0.05228562 -0.9733482 ]"
17,22.511180076879594,165.05472047256194,"[-0.03771581  0.03132312  0.03690665  0.28952268  0.74900661  0.04644363
  0.05488184  0.04832642  0.05503239  0.38851511  0.05642461 -0.9578467 ]"
18,22.188568969390964,265.0207933977264,"[-0.0233731   0.04152846  0.03488881  0.28510004  0.76588687  0.05894201
  0.05529706  0.03926626  0.0593013   0.41075827  0.06052358 -0.97665232]"
19,21.79410370199254,293.9836140540521,"[-0.00738907  0.02543986  0.03967839  0.29304302  0.77921758  0.06562376
  0.06992063  0.04280198  0.06774955  0.42054079  0.07501686 -0.99437652]"
20,21.79410370199254,4564.177869552079,"[-0.00738907  0.02543986  0.03967839  0.29304302  0.77921758  0.06562376
  0.06992063  0.04280198  0.06774955  0.42054079  0.07501686 -0.99437652]"
21,21.410289122044816,282.65288613893057,"[-0.00982801  0.02554473  0.03797364  0.28810899  0.77643073  0.06881188
  0.07197914  0.04184217  0.07106163  0.41884983  0.08066301 -0.99177587]"
22,21.271068829836366,134.8757421912381,"[-0.01396249  0.02928627  0.04404971  0.28328754  0.77500726  0.07316466
  0.07718778  0.04789426  0.07852842  0.41192017  0.08981004 -1.00024079]"
23,20.56642257041412,105.30389433091625,"[-0.01485683  0.02839056  0.04367608  0.28420572  0.78406236  0.07570946
  0.08297849  0.04509727  0.08486054  0.41147068  0.09852239 -0.98658535]"
24,19.884096761114915,100.8224390482852,"[-0.01070821  0.03151181  0.05651402  0.268901    0.76068305  0.07915613
  0.08959088  0.0587461   0.09666036  0.40063914  0.11484995 -0.98494025]"
25,19.884096761114915,155.3426208443959,"[-0.01070821  0.03151181  0.05651402  0.268901    0.76068305  0.07915613
  0.08959088  0.0587461   0.09666036  0.40063914  0.11484995 -0.98494025]"
26,19.69867022365981,248.40014158234194,"[-0.0169226   0.04295043  0.05996984  0.26276253  0.75551694  0.08639082
  0.09616383  0.0562928   0.09908581  0.40873221  0.11580846 -0.98887085]"
27,19.69867022365981,380.8016928332986,"[-0.0169226   0.04295043  0.05996984  0.26276253  0.75551694  0.08639082
  0.09616383  0.0562928   0.09908581  0.40873221  0.11580846 -0.98887085]"
28,19.590483735542218,296.04370799071586,"[-0.01652685  0.04438119  0.05840203  0.26111593  0.75489275  0.08657048
  0.09297542  0.05860774  0.0983056   0.40986958  0.11672645 -0.98780881]"
29,19.590483735542218,435.0975804422485,"[-0.01652685  0.04438119  0.05840203  0.26111593  0.75489275  0.08657048
  0.09297542  0.05860774  0.0983056   0.40986958  0.11672645 -0.98780881]"
30,19.5675357833867,76.41987467439381,"[-0.0156604   0.04484747  0.05827623  0.26086683  0.75480168  0.08589967
  0.09320006  0.05881839  0.09838449  0.41012896  0.11656243 -0.98780738]"
31,19.47846442734835,36.381641804770474,"[-0.01543672  0.04604506  0.05768623  0.25991067  0.75386021  0.08500426
  0.09319559  0.05887142  0.09851317  0.41071764  0.11713791 -0.98651651]"
32,19.3090577336806,38.33644324078905,"[-0.01569342  0.04814041  0.05634576  0.25755866  0.75231168  0.08325485
  0.09247463  0.05891342  0.09853236  0.41207077  0.11807188 -0.98392343]"
33,19.067208903580514,56.25854570091742,"[-0.01671551  0.05146939  0.05780465  0.25383618  0.7486212   0.08124409
  0.09577535  0.0545129   0.10036456  0.41350808  0.11838266 -0.97870637]"
