problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,0.07190626948195153,0.3299817341666922,1000,1103,1001,False,Max iteration
QING,100,0.04241538939822951,1.4916069352526322,1000,1101,1001,False,Max iteration
LUKSAN21LS,100,92.49808632056389,0.38889257221814766,1000,1101,1001,False,Max iteration
VANDANMSLS,22,10.546696747444672,0.0012902906236600192,1000,1023,1001,False,Max iteration
SENSORS,100,-2106.0,2.8331770289069444e-06,1000,1101,1001,False,Max iteration
COATING,134,24.23792208305364,13.057976784146394,1000,1135,1001,False,Max iteration
DMN15333LS,99,20345.024834367996,3.0209115699611444,78,177,78,False,TR radius too small
DIAMON3DLS,99,1643500.3439139198,1.014732172219556e-07,1,100,1,True,First order condition met
LUKSAN22LS,100,24876.812262398063,725885936.924604,33,133,33,False,TR radius too small
CHNROSNB,50,44.35658935717045,3.543282378730274,1000,1051,1001,False,Max iteration
HYDCAR6LS,29,9.91993793167903,3.154370096020602,1000,1030,1001,False,Max iteration
TOINTQOR,50,1175.4722221461727,5.842168589960337e-06,216,266,216,False,TR radius too small
STRTCHDV,10,2.322728109919151e-09,9.888046627783423e-07,429,439,429,True,First order condition met
STRATEC,10,,,1,12,2,False,Objective is NaN
HILBERTB,10,3.3868098271776213e-15,9.165783517870868e-07,11,21,11,True,First order condition met
DMN15332LS,66,1788.2395614459188,414.0521648365933,1000,1067,1001,False,Max iteration
LUKSAN15LS,100,27015.846760787113,3.0028414679199988e+16,27,127,27,False,TR radius too small
METHANL8LS,31,3.695230603928213,29.62967065728633,1000,1032,1001,False,Max iteration
LUKSAN17LS,100,405007.441120189,10688.05640514232,1000,1101,1001,False,Max iteration
TOINTPSP,50,225.56137298078022,0.06512803001535941,1000,1051,1001,False,Max iteration
METHANB8LS,31,0.0033482228546993175,0.3259804836011687,1000,1032,1001,False,Max iteration
WATSON,12,0.001084286532120888,0.012683628825389983,1000,1013,1001,False,Max iteration
LUKSAN13LS,98,26390.791233226795,53.489131410183,1000,1099,1001,False,Max iteration
DMN37143LS,99,569.1184995020144,3.8486347472181784e-07,3,102,3,True,First order condition met
LUKSAN11LS,100,399.41784162785933,15.820815853011643,1000,1101,1001,False,Max iteration
HATFLDGLS,25,0.0005267269194055837,0.005722313327032494,1000,1026,1001,False,Max iteration
DIAMON2DLS,66,1661863.116181928,4.721936631736918e-07,2,68,2,True,First order condition met
ERRINRSM,50,152873.0724054592,3648971499.801927,28,78,28,False,TR radius too small
LUKSAN16LS,100,,,1,102,2,False,Objective is NaN
ERRINROS,50,110181.77599999998,327989689859.92566,28,78,28,False,TR radius too small
TOINTGOR,50,1373.905460664794,7.69638462087971e-05,1000,1051,1001,False,Max iteration
OSBORNEB,11,0.04200719858944199,0.009088786001025688,1000,1012,1001,False,Max iteration
HYDC20LS,99,1341.6625208673881,3.150791389556969e+129,26,125,26,False,TR radius too small
LUKSAN14LS,98,124.45895444702644,0.25170435154392795,1000,1099,1001,False,Max iteration
MANCINO,100,1103212552873.3533,7.379519206051516e-08,42,142,42,True,First order condition met
DMN15103LS,99,1643458.4117641035,6.951225807613584e-08,2,101,2,True,First order condition met
DMN37142LS,66,3184.971824535239,10331.639660772056,1000,1067,1001,False,Max iteration
TRIGON1,10,0.08698938125020243,0.012265904305958388,1000,1011,1001,False,Max iteration
PARKCH,15,,,1,17,2,False,Objective is NaN
CHNRSNBM,50,662.3136276157535,586.3408198368395,1000,1051,1001,False,Max iteration
TRIGON2,10,2.8307791908285345,0.004517530908236786,1000,1011,1001,False,Max iteration
LUKSAN12LS,98,32160.0,1591154791.7058291,26,124,26,False,TR radius too small
