problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,32562.50000467878,8850004.283637563,26,128,1,False,TR radius too small
QING,100,260427.08681899303,1990071151.8124847,27,127,1,False,TR radius too small
LUKSAN21LS,100,97.2295933151521,0.2382766479587902,1000,1101,1,False,Max iteration
VANDANMSLS,22,11.741931963154398,0.008549220831506289,1000,1023,1,False,Max iteration
SENSORS,100,-2055.896099919782,4492.627004020607,768,868,1,False,TR radius too small
COATING,134,14980.145338210761,1493219.429990238,37,171,1,False,TR radius too small
DMN15333LS,99,278493.0501917586,6.379795654410662e-07,1,100,1,True,First order condition met
DIAMON3DLS,99,1643460.4174601429,3.526527894570803e-09,2,101,1,True,First order condition met
LUKSAN22LS,100,24876.85770597442,6634080457.090069,26,126,1,False,TR radius too small
CHNROSNB,50,7635.839999999999,59660349796.95578,26,76,1,False,TR radius too small
HYDCAR6LS,29,542.8458104499023,13684899.419681413,29,58,1,False,TR radius too small
TOINTQOR,50,1175.474367007388,2.117174561755355,692,742,1,False,TR radius too small
STRTCHDV,10,1.4453184902626245e-09,6.149496810940033e-07,543,553,1,True,First order condition met
STRATEC,10,,,2,13,1,False,Objective is NaN
HILBERTB,10,,inf,140,151,1,False,Objective is NaN
DMN15332LS,66,292073.436849307,1.3484146828798184e-07,2,68,1,True,First order condition met
LUKSAN15LS,100,27015.846760787113,5.214175979671725e+33,27,127,1,False,TR radius too small
METHANL8LS,31,4345.0997644961435,92123449663.21432,28,59,1,False,TR radius too small
LUKSAN17LS,100,1635152.8414391452,7.284052154236501e-10,1,101,1,True,First order condition met
TOINTPSP,50,403.28163556730885,69.30290827569253,1000,1051,1,False,Max iteration
METHANB8LS,31,0.9794658171883923,19518331487.12129,31,62,1,False,TR radius too small
WATSON,12,0.005927658074906937,0.39707145635638874,1000,1013,1,False,Max iteration
LUKSAN13LS,98,64352.0,291393568754.5033,26,124,1,False,TR radius too small
DMN37143LS,99,569.1165647560107,7.687783209901354e-08,1,100,1,True,First order condition met
LUKSAN11LS,100,514.8550272864543,81719387.58076052,58,158,1,False,TR radius too small
HATFLDGLS,25,0.005391490293903686,0.02813148608690735,1000,1026,1,False,Max iteration
DIAMON2DLS,66,1662009.095420437,6.9014382439702206e-09,1,67,1,True,First order condition met
ERRINRSM,50,152873.0724054592,10841244155.641361,28,78,1,False,TR radius too small
LUKSAN16LS,100,,,1,102,1,False,Objective is NaN
ERRINROS,50,110181.77599999998,23576877357.896423,28,78,1,False,TR radius too small
TOINTGOR,50,1415.3839840358787,7.362288919409169,1000,1051,1,False,Max iteration
OSBORNEB,11,0.04143227335571256,0.0072060212854331805,1000,1012,1,False,Max iteration
HYDC20LS,99,1305.8483522543047,1.47278411222185e+136,26,125,1,False,TR radius too small
LUKSAN14LS,98,26880.0,216707224819.90515,26,124,1,False,TR radius too small
MANCINO,100,1103212569430.8875,1.4048281927814891e-08,1,101,1,True,First order condition met
DMN15103LS,99,1643475.2929821603,1.3475061719536583e-08,2,101,1,True,First order condition met
DMN37142LS,66,105128.43035727645,8.978569296782138e-07,1,67,1,True,First order condition met
TRIGON1,10,0.5200157345631369,0.0006896241820828196,1000,1011,1,False,Max iteration
PARKCH,15,,,1,17,1,False,Objective is NaN
CHNRSNBM,50,8633.49433156,9979592821.210606,26,76,1,False,TR radius too small
TRIGON2,10,5.975016006546201,0.7378535806125489,1000,1011,1,False,Max iteration
LUKSAN12LS,98,32160.0,7.450296574111822e+18,26,124,1,False,TR radius too small
