iter,funcval,gradnorm,x
0,1341.6625208673881,6114.223287400061,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
1,1305.8483522543047,4.6073898073351944e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
2,1305.8483522543047,2.981090391958683e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
3,1305.8483522543047,3.6320342431083656e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
4,1305.8483522543047,3.2299988246859855e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
5,1305.8483522543047,3.677495491161113e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
6,1305.8483522543047,3.554554235179984e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
7,1305.8483522543047,3.6402576683656905e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
8,1305.8483522543047,3.6237623006988405e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
9,1305.8483522543047,2.479338881168015e+136,"[ 9.99999993e+01 -5.44773013e-07  3.00000557e-01  9.99989616e-02
  1.00000001e+02  4.17875147e-07  2.99998709e-01  8.99999981e-01
  9.99999998e+01  9.99975579e-03  2.99999553e-01  9.00000395e-01
  9.99999977e+01  1.99994504e-02  4.00000097e-01  8.00000435e-01
  1.00000000e+02  4.99993680e-02  4.00000558e-01  8.00000778e-01
  1.00000001e+02  7.00013386e-02  4.50000024e-01  7.99999712e-01
  1.00000002e+02  8.99991307e-02  5.00001147e-01  6.99999964e-01
  1.00000001e+02  1.00000213e-01  5.00001066e-01  7.00001207e-01
  1.00000001e+02  1.49998635e-01  4.99998421e-01  5.99999128e-01
  1.00000000e+02  1.99998412e-01  4.99998403e-01  5.99998968e-01
  9.99999984e+01  2.50000490e-01  6.00000905e-01  5.00001427e-01
  1.00000001e+02  2.99999382e-01  5.99999378e-01  4.99999030e-01
  1.00000000e+02  3.50000349e-01  5.99999711e-01  4.99998724e-01
  9.99999985e+01  4.00000466e-01  6.00000130e-01  3.99999663e-01
  1.00000001e+02  4.00001192e-01  6.99998655e-01  4.00000515e-01
  9.99999994e+01  4.20001340e-01  7.00000778e-01  2.99996669e-01
  1.00000001e+02  4.49999950e-01  7.49999412e-01  3.00001348e-01
  1.00000000e+02  4.50000702e-01  7.49999307e-01  2.00002074e-01
  9.99999993e+01  5.00002425e-01  8.00000173e-01  1.00000061e-01
  9.99999993e+01  4.99999530e-01  7.99999431e-01  1.14760698e-06
  3.00000000e+02 -5.89661101e+01  3.00000001e+02  3.00000001e+02
  2.99999999e+02  2.99999999e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  3.00000000e+02  2.99999999e+02  3.00000000e+02
  3.00000000e+02  2.99999998e+02  2.99999998e+02  3.00000002e+02
  3.00000001e+02  3.00000000e+02  2.99999999e+02]"
