iter,funcval,gradnorm,x
0,704.1073340916507,3153.4032907486476,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
1,543.0444140759272,3928953.1791218156,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
2,543.0444140759272,1526971.704000504,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
3,543.0444140759272,1728457.530446618,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
4,543.0444140759272,434431.30745283765,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
5,543.0444140759272,863339.6945302332,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
6,543.0444140759272,348727.4626141482,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
7,543.0444140759272,453819.8632802624,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
8,543.0444140759272,409545.0576409485,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
9,543.0444140759272,1167470.4545616729,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
10,543.0444140759272,377060.66837545234,"[ 1.00000001e+02  2.02797507e-07  2.00001469e-01  9.00001964e-01
  9.99999991e+01  1.51662870e-06  1.99997714e-01  8.00000111e-01
  1.00000000e+02  4.99987641e-02  3.00002937e-01  8.00000680e-01
  1.00000001e+02  9.99993696e-02  2.99997832e-01  5.99998393e-01
  9.99999995e+01  2.99999043e-01  4.99999245e-01  2.99998916e-01
  9.99999992e+01  5.99999558e-01  6.00001167e-01 -4.51757695e-07
  3.00000000e+02  3.00000000e+02  3.00000000e+02  2.99999999e+02
  8.31751939e+01]"
11,542.9034942018952,34627.99744132645,"[ 1.00000070e+02 -2.58871748e-05  2.00060310e-01  8.99967126e-01
  9.99999742e+01 -1.15349411e-04  2.00027707e-01  7.99974372e-01
  1.00000013e+02  4.98175014e-02  3.00046778e-01  7.99960678e-01
  1.00000052e+02  1.00192967e-01  3.00059503e-01  6.00012991e-01
  9.99999722e+01  3.00082987e-01  4.99954842e-01  3.00039906e-01
  1.00000007e+02  6.00045477e-01  5.99973396e-01 -4.43504508e-05
  3.00000020e+02  3.00000064e+02  2.99999994e+02  3.00000026e+02
  8.31754004e+01]"
12,542.8506627630686,70898.40210754842,"[ 1.00000041e+02 -6.68568196e-05  1.99991654e-01  9.00070083e-01
  1.00000071e+02 -2.32798219e-04  2.00057126e-01  7.99978682e-01
  9.99999801e+01  4.96854393e-02  2.99991461e-01  7.99924250e-01
  9.99999714e+01  1.00107656e-01  3.00100224e-01  6.00059358e-01
  1.00000007e+02  3.00109637e-01  5.00109721e-01  2.99992639e-01
  1.00000023e+02  5.99964770e-01  6.00047002e-01  8.82242415e-05
  3.00000016e+02  2.99999930e+02  3.00000011e+02  2.99999983e+02
  8.31755030e+01]"
13,542.8506627630686,810503.4057122256,"[ 1.00000041e+02 -6.68568196e-05  1.99991654e-01  9.00070083e-01
  1.00000071e+02 -2.32798219e-04  2.00057126e-01  7.99978682e-01
  9.99999801e+01  4.96854393e-02  2.99991461e-01  7.99924250e-01
  9.99999714e+01  1.00107656e-01  3.00100224e-01  6.00059358e-01
  1.00000007e+02  3.00109637e-01  5.00109721e-01  2.99992639e-01
  1.00000023e+02  5.99964770e-01  6.00047002e-01  8.82242415e-05
  3.00000016e+02  2.99999930e+02  3.00000011e+02  2.99999983e+02
  8.31755030e+01]"
14,542.8506627630686,2592345.297950404,"[ 1.00000041e+02 -6.68568196e-05  1.99991654e-01  9.00070083e-01
  1.00000071e+02 -2.32798219e-04  2.00057126e-01  7.99978682e-01
  9.99999801e+01  4.96854393e-02  2.99991461e-01  7.99924250e-01
  9.99999714e+01  1.00107656e-01  3.00100224e-01  6.00059358e-01
  1.00000007e+02  3.00109637e-01  5.00109721e-01  2.99992639e-01
  1.00000023e+02  5.99964770e-01  6.00047002e-01  8.82242415e-05
  3.00000016e+02  2.99999930e+02  3.00000011e+02  2.99999983e+02
  8.31755030e+01]"
15,542.8506627630686,4623217.728488675,"[ 1.00000041e+02 -6.68568196e-05  1.99991654e-01  9.00070083e-01
  1.00000071e+02 -2.32798219e-04  2.00057126e-01  7.99978682e-01
  9.99999801e+01  4.96854393e-02  2.99991461e-01  7.99924250e-01
  9.99999714e+01  1.00107656e-01  3.00100224e-01  6.00059358e-01
  1.00000007e+02  3.00109637e-01  5.00109721e-01  2.99992639e-01
  1.00000023e+02  5.99964770e-01  6.00047002e-01  8.82242415e-05
  3.00000016e+02  2.99999930e+02  3.00000011e+02  2.99999983e+02
  8.31755030e+01]"
16,542.8458104499023,367094.610940046,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
17,542.8458104499023,548005.960899664,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
18,542.8458104499023,878342.5944123111,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
19,542.8458104499023,2972176.9411387816,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
20,542.8458104499023,3061123.6109814374,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
21,542.8458104499023,3787818.607848009,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
22,542.8458104499023,999209.7563621262,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
23,542.8458104499023,1185826.9268791145,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
24,542.8458104499023,1320857.7413509497,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
25,542.8458104499023,6257170.406778085,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
26,542.8458104499023,8400748.221595675,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
27,542.8458104499023,8046170.311355771,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
28,542.8458104499023,8366208.705354521,"[ 1.00000036e+02 -6.57607117e-05  1.99992824e-01  9.00069779e-01
  1.00000070e+02 -2.32722915e-04  2.00058596e-01  7.99979165e-01
  9.99999815e+01  4.96846731e-02  2.99992151e-01  7.99922960e-01
  9.99999738e+01  1.00107294e-01  3.00100383e-01  6.00060618e-01
  1.00000006e+02  3.00109859e-01  5.00109972e-01  2.99993377e-01
  1.00000023e+02  5.99965203e-01  6.00047669e-01  8.87077065e-05
  3.00000016e+02  2.99999930e+02  3.00000013e+02  2.99999984e+02
  8.31755033e+01]"
