iter,funcval,gradnorm,x
0,249363278553.55652,55260.22519707279,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
1,4345.0997644961435,513430828975.6758,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
2,4345.0997644961435,13232625295.010199,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
3,4345.0997644961435,594222973265.2567,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
4,4345.0997644961435,5762382458.891076,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
5,4345.0997644961435,85033655320.1502,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
6,4345.0997644961435,22773264611.038692,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
7,4345.0997644961435,56608910679.74436,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
8,4345.0997644961435,29716997849.407616,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
9,4345.0997644961435,75826883862.86813,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
