iter,funcval,gradnorm,x
0,165674769.77092922,2292.0732972573105,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
1,328350.0,15005347.440258032,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
2,328350.0,13068963.874810632,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1.]"
3,311277.1669791828,42897.02169875212,"[-0.54729078 -0.40700677  2.33754339 -0.55036781 -0.55316248  2.34211189
 -0.53698246 -0.53894754 -0.53158488  2.33923258 -0.53519014 -0.5358282
 -0.53569642  2.33912502 -0.53550291  2.33529275  2.33698568 -0.53099526
 -0.52522237 -0.53337179 -0.52342486 -0.53350018 -0.53642468  2.33479102
  2.33393162 -0.52904825  2.32843109 -0.5304288  -0.53118393  2.33107637
 -0.52579459  2.3384627   2.32908148 -0.52912874  2.32284576 -0.52696003
  2.32738239 -0.52889297 -0.51887484  2.32784903  2.33059075 -0.52365668
 -0.51988492  2.32123263  2.32447532 -0.51848889  2.3242126  -0.52098984
 -0.5214664   2.31860765 -0.5189396  -0.5182951  -0.51836964 -0.51524971
  2.3198907  -0.51704816 -0.51648443 -0.51814206  2.31834321  2.3144487
  2.3176946  -0.51095274  2.31397178 -0.51258996  2.31393335 -0.5176372
  2.3133083   2.3143671  -0.50526837  2.31729106  2.31236833 -0.50452493
  2.31347062 -0.50560239  2.31423302  2.30548278 -0.51262225  2.3031469
 -0.50475954 -0.50348163 -0.50453733  2.30792789 -0.50691142 -0.5047277
 -0.50355285 -0.5021354   2.31369212 -0.5056103   2.30720145  2.30346483
  2.30019612  2.30649758 -0.50799924  2.3006247   2.30042168  2.29603746
  2.29673062 -0.50097344  2.29810356 -0.49921656]"
4,260427.08681899303,743835.3961405654,"[ 0.76637455 -2.75592309  3.92304277  0.85107205  0.91832348  3.7758482
  0.56468805  0.61466833  0.45212254  3.83280354  0.54536402  0.56543655
  0.56788345  3.81187814  0.57426141  3.90744535  3.85405737  0.4873954
  0.35989591  0.55247703  0.32926338  0.56607075  0.63815371  3.87346912
  3.89159721  0.48586247  4.03495162  0.52844102  0.55109805  3.94223439
  0.43827191  3.72254534  3.98059403  0.53108487  4.14580124  0.49216169
  4.00460333  0.5473045   0.32153046  3.97323275  3.88966484  0.44863634
  0.36679869  4.13728256  4.03878607  0.35071828  4.03414767  0.41961417
  0.43608453  4.17591494  0.38843301  0.378921    0.3861001   0.31894377
  4.10884587  0.37175924  0.36410229  0.40807247  4.12877303  4.23437505
  4.13517467  0.26220801  4.22979168  0.31151916  4.21869785  0.43995968
  4.22448146  4.18794876  0.16683366  4.09197575  4.22710727  0.16578873
  4.18321029  0.20226211  4.14914533  4.39547564  0.38343193  4.45105135
  0.20990703  0.18521699  0.21568735  4.28789958  0.28261907  0.23670161
  0.21447457  0.18646164  4.09151841  0.2795012   4.26604197  4.36809994
  4.45702563  4.26800855  0.36306644  4.42607037  4.42583474  4.5476781
  4.52122313  0.225213    4.46876851  0.19464301]"
5,260427.08681899303,917894.6293978865,"[ 0.76637455 -2.75592309  3.92304277  0.85107205  0.91832348  3.7758482
  0.56468805  0.61466833  0.45212254  3.83280354  0.54536402  0.56543655
  0.56788345  3.81187814  0.57426141  3.90744535  3.85405737  0.4873954
  0.35989591  0.55247703  0.32926338  0.56607075  0.63815371  3.87346912
  3.89159721  0.48586247  4.03495162  0.52844102  0.55109805  3.94223439
  0.43827191  3.72254534  3.98059403  0.53108487  4.14580124  0.49216169
  4.00460333  0.5473045   0.32153046  3.97323275  3.88966484  0.44863634
  0.36679869  4.13728256  4.03878607  0.35071828  4.03414767  0.41961417
  0.43608453  4.17591494  0.38843301  0.378921    0.3861001   0.31894377
  4.10884587  0.37175924  0.36410229  0.40807247  4.12877303  4.23437505
  4.13517467  0.26220801  4.22979168  0.31151916  4.21869785  0.43995968
  4.22448146  4.18794876  0.16683366  4.09197575  4.22710727  0.16578873
  4.18321029  0.20226211  4.14914533  4.39547564  0.38343193  4.45105135
  0.20990703  0.18521699  0.21568735  4.28789958  0.28261907  0.23670161
  0.21447457  0.18646164  4.09151841  0.2795012   4.26604197  4.36809994
  4.45702563  4.26800855  0.36306644  4.42607037  4.42583474  4.5476781
  4.52122313  0.225213    4.46876851  0.19464301]"
6,260427.08681899303,770744.8463487232,"[ 0.76637455 -2.75592309  3.92304277  0.85107205  0.91832348  3.7758482
  0.56468805  0.61466833  0.45212254  3.83280354  0.54536402  0.56543655
  0.56788345  3.81187814  0.57426141  3.90744535  3.85405737  0.4873954
  0.35989591  0.55247703  0.32926338  0.56607075  0.63815371  3.87346912
  3.89159721  0.48586247  4.03495162  0.52844102  0.55109805  3.94223439
  0.43827191  3.72254534  3.98059403  0.53108487  4.14580124  0.49216169
  4.00460333  0.5473045   0.32153046  3.97323275  3.88966484  0.44863634
  0.36679869  4.13728256  4.03878607  0.35071828  4.03414767  0.41961417
  0.43608453  4.17591494  0.38843301  0.378921    0.3861001   0.31894377
  4.10884587  0.37175924  0.36410229  0.40807247  4.12877303  4.23437505
  4.13517467  0.26220801  4.22979168  0.31151916  4.21869785  0.43995968
  4.22448146  4.18794876  0.16683366  4.09197575  4.22710727  0.16578873
  4.18321029  0.20226211  4.14914533  4.39547564  0.38343193  4.45105135
  0.20990703  0.18521699  0.21568735  4.28789958  0.28261907  0.23670161
  0.21447457  0.18646164  4.09151841  0.2795012   4.26604197  4.36809994
  4.45702563  4.26800855  0.36306644  4.42607037  4.42583474  4.5476781
  4.52122313  0.225213    4.46876851  0.19464301]"
7,260427.08681899303,11611559.225873355,"[ 0.76637455 -2.75592309  3.92304277  0.85107205  0.91832348  3.7758482
  0.56468805  0.61466833  0.45212254  3.83280354  0.54536402  0.56543655
  0.56788345  3.81187814  0.57426141  3.90744535  3.85405737  0.4873954
  0.35989591  0.55247703  0.32926338  0.56607075  0.63815371  3.87346912
  3.89159721  0.48586247  4.03495162  0.52844102  0.55109805  3.94223439
  0.43827191  3.72254534  3.98059403  0.53108487  4.14580124  0.49216169
  4.00460333  0.5473045   0.32153046  3.97323275  3.88966484  0.44863634
  0.36679869  4.13728256  4.03878607  0.35071828  4.03414767  0.41961417
  0.43608453  4.17591494  0.38843301  0.378921    0.3861001   0.31894377
  4.10884587  0.37175924  0.36410229  0.40807247  4.12877303  4.23437505
  4.13517467  0.26220801  4.22979168  0.31151916  4.21869785  0.43995968
  4.22448146  4.18794876  0.16683366  4.09197575  4.22710727  0.16578873
  4.18321029  0.20226211  4.14914533  4.39547564  0.38343193  4.45105135
  0.20990703  0.18521699  0.21568735  4.28789958  0.28261907  0.23670161
  0.21447457  0.18646164  4.09151841  0.2795012   4.26604197  4.36809994
  4.45702563  4.26800855  0.36306644  4.42607037  4.42583474  4.5476781
  4.52122313  0.225213    4.46876851  0.19464301]"
8,260427.08681899303,6993608.020633282,"[ 0.76637455 -2.75592309  3.92304277  0.85107205  0.91832348  3.7758482
  0.56468805  0.61466833  0.45212254  3.83280354  0.54536402  0.56543655
  0.56788345  3.81187814  0.57426141  3.90744535  3.85405737  0.4873954
  0.35989591  0.55247703  0.32926338  0.56607075  0.63815371  3.87346912
  3.89159721  0.48586247  4.03495162  0.52844102  0.55109805  3.94223439
  0.43827191  3.72254534  3.98059403  0.53108487  4.14580124  0.49216169
  4.00460333  0.5473045   0.32153046  3.97323275  3.88966484  0.44863634
  0.36679869  4.13728256  4.03878607  0.35071828  4.03414767  0.41961417
  0.43608453  4.17591494  0.38843301  0.378921    0.3861001   0.31894377
  4.10884587  0.37175924  0.36410229  0.40807247  4.12877303  4.23437505
  4.13517467  0.26220801  4.22979168  0.31151916  4.21869785  0.43995968
  4.22448146  4.18794876  0.16683366  4.09197575  4.22710727  0.16578873
  4.18321029  0.20226211  4.14914533  4.39547564  0.38343193  4.45105135
  0.20990703  0.18521699  0.21568735  4.28789958  0.28261907  0.23670161
  0.21447457  0.18646164  4.09151841  0.2795012   4.26604197  4.36809994
  4.45702563  4.26800855  0.36306644  4.42607037  4.42583474  4.5476781
  4.52122313  0.225213    4.46876851  0.19464301]"
9,260427.08681899303,21039087.552979484,"[ 0.76637455 -2.75592309  3.92304277  0.85107205  0.91832348  3.7758482
  0.56468805  0.61466833  0.45212254  3.83280354  0.54536402  0.56543655
  0.56788345  3.81187814  0.57426141  3.90744535  3.85405737  0.4873954
  0.35989591  0.55247703  0.32926338  0.56607075  0.63815371  3.87346912
  3.89159721  0.48586247  4.03495162  0.52844102  0.55109805  3.94223439
  0.43827191  3.72254534  3.98059403  0.53108487  4.14580124  0.49216169
  4.00460333  0.5473045   0.32153046  3.97323275  3.88966484  0.44863634
  0.36679869  4.13728256  4.03878607  0.35071828  4.03414767  0.41961417
  0.43608453  4.17591494  0.38843301  0.378921    0.3861001   0.31894377
  4.10884587  0.37175924  0.36410229  0.40807247  4.12877303  4.23437505
  4.13517467  0.26220801  4.22979168  0.31151916  4.21869785  0.43995968
  4.22448146  4.18794876  0.16683366  4.09197575  4.22710727  0.16578873
  4.18321029  0.20226211  4.14914533  4.39547564  0.38343193  4.45105135
  0.20990703  0.18521699  0.21568735  4.28789958  0.28261907  0.23670161
  0.21447457  0.18646164  4.09151841  0.2795012   4.26604197  4.36809994
  4.45702563  4.26800855  0.36306644  4.42607037  4.42583474  4.5476781
  4.52122313  0.225213    4.46876851  0.19464301]"
