iter,funcval,gradnorm,x
0,-56.48140005456502,84.77691215447473,"[0.0100002  0.01999917 0.02999706 0.03999935 0.0499999  0.06000228
 0.06999936 0.08       0.08999945 0.09999983 0.11000171 0.12000094
 0.12999902 0.14000082 0.14999926 0.15999995 0.17000115 0.18000181
 0.18999948 0.19999821 0.21000125 0.21999872 0.22999832 0.23999923
 0.25000133 0.26000212 0.27000239 0.2799993  0.2900002  0.29999862
 0.30999905 0.31999854 0.32999922 0.33999903 0.34999992 0.36000037
 0.36999946 0.37999825 0.38999904 0.40000019 0.4100011  0.41999947
 0.42999934 0.4400002  0.44999848 0.46000015 0.47000059 0.4799998
 0.48999838 0.50000009 0.50999938 0.52000004 0.53000127 0.54000063
 0.55000001 0.55999922 0.5700023  0.58000036 0.58999979 0.60000173
 0.60999991 0.62000071 0.63000022 0.64000019 0.64999804 0.65999951
 0.66999863 0.67999949 0.68999987 0.70000019 0.70999999 0.71999956
 0.73000088 0.73999953 0.74999984 0.75999921 0.77000027 0.77999984
 0.78999806 0.80000168 0.8100008  0.82000113 0.83000173 0.83999995
 0.85000029 0.86000053 0.8700008  0.88000007 0.89000133 0.89999924
 0.91000092 0.91999998 0.92999875 0.9400014  0.950001   0.9600003
 0.96999985 0.98000096 0.98999946 4.52942305]"
1,-404.7257857684969,12.677906328971648,"[-0.92028523  0.20578063  0.21458521 -0.72611274 -0.66360989 -0.60228485
  0.24050686 -0.48354376  0.24859379 -0.37022953 -0.31566926 -0.26262367
 -0.21105294 -0.16101188 -0.11252605  0.26043217  0.26095103  0.26137784
  0.26179112  0.10587851  0.14468119  0.26369683  0.21731576  0.2662135
  0.26806773  0.31403281  0.34305639  0.27666296  0.28083121  0.42060603
  0.44338499  0.46469857  0.48452628  0.31381577  0.52000406  0.53567108
  0.55007361  0.56322086  0.37249634  0.5859294   0.59562241  0.60424702
  0.44199619  0.46283179  0.62439377  0.62942286  0.53413511  0.56095248
  0.64026689  0.64270353  0.64463551  0.64618166  0.64737419  0.75440178
  0.79217379  0.64961585  0.87239637  0.91484593  0.65136674  0.65213643
  1.05142743  0.65452273  1.14984776  0.65831897  1.25395947  0.66416581
  0.6680592   1.42014448  0.67793886  0.6840938   0.69113433  1.65846432
  0.70813023  1.78385639  0.72938237  0.74172773  0.75526821  0.77008191
  0.78618605  0.80363511  2.24688165  2.31512448  0.86436524  2.45241451
  0.91219267  0.93838424  2.65922688  0.99540989  1.0262914   1.05875661
  1.0928      3.00023298  3.06713388  3.13335984  1.24502023  1.28705208
  3.32724284  3.38999066  1.42251122  7.04150485]"
2,-892.205331572705,68.25154278270051,"[-2.73522405e+00  5.76957130e-01  5.83387774e-01 -2.22941218e+00
 -2.06638494e+00 -1.90640249e+00  5.81311508e-01 -1.59679706e+00
  5.65690798e-01 -1.30187763e+00 -1.16018928e+00 -1.02273087e+00
 -8.89415086e-01 -7.60437246e-01 -6.35892557e-01  4.61557988e-01
  4.43135608e-01  4.24427428e-01  4.05671820e-01 -8.26403937e-02
  1.37482538e-02  3.51338582e-01  1.91857481e-01  3.18813431e-01
  3.04327565e-01  4.22676050e-01  4.90020432e-01  2.69962465e-01
  2.62416394e-01  6.63518253e-01  7.12119150e-01  7.56307968e-01
  7.96014513e-01  2.61204196e-01  8.62819722e-01  8.89962415e-01
  9.13283745e-01  9.32808549e-01  3.37334989e-01  9.61002569e-01
  9.70072787e-01  9.75912980e-01  4.66076921e-01  5.08649128e-01
  9.76100705e-01  9.71061669e-01  6.62696351e-01  7.23154172e-01
  9.43139188e-01  9.30276213e-01  9.15897187e-01  9.00356646e-01
  8.83755303e-01  1.18241508e+00  1.27524857e+00  8.29971863e-01
  1.47455085e+00  1.58098478e+00  7.74782051e-01  7.56960654e-01
  1.92678779e+00  7.23903095e-01  2.17820731e+00  6.95119062e-01
  2.44550198e+00  6.72532005e-01  6.64163503e-01  2.87377630e+00
  6.53728552e-01  6.52168209e-01  6.53272301e-01  3.48881908e+00
  6.64241504e-01  3.81188620e+00  6.88006006e-01  7.05056612e-01
  7.25699171e-01  7.50171957e-01  7.78530115e-01  8.10932915e-01
  4.99527342e+00  5.16786859e+00  9.33427894e-01  5.51331589e+00
  1.03727068e+00  1.09609020e+00  6.02869805e+00  1.22782494e+00
  1.30089882e+00  1.37880621e+00  1.46153189e+00  6.86312884e+00
  7.02430870e+00  7.18296005e+00  1.84168504e+00  1.94898232e+00
  7.64198779e+00  7.78869630e+00  2.29992037e+00  1.37889587e+01]"
3,-892.205331572705,176.5207466969757,"[-2.73522405e+00  5.76957130e-01  5.83387774e-01 -2.22941218e+00
 -2.06638494e+00 -1.90640249e+00  5.81311508e-01 -1.59679706e+00
  5.65690798e-01 -1.30187763e+00 -1.16018928e+00 -1.02273087e+00
 -8.89415086e-01 -7.60437246e-01 -6.35892557e-01  4.61557988e-01
  4.43135608e-01  4.24427428e-01  4.05671820e-01 -8.26403937e-02
  1.37482538e-02  3.51338582e-01  1.91857481e-01  3.18813431e-01
  3.04327565e-01  4.22676050e-01  4.90020432e-01  2.69962465e-01
  2.62416394e-01  6.63518253e-01  7.12119150e-01  7.56307968e-01
  7.96014513e-01  2.61204196e-01  8.62819722e-01  8.89962415e-01
  9.13283745e-01  9.32808549e-01  3.37334989e-01  9.61002569e-01
  9.70072787e-01  9.75912980e-01  4.66076921e-01  5.08649128e-01
  9.76100705e-01  9.71061669e-01  6.62696351e-01  7.23154172e-01
  9.43139188e-01  9.30276213e-01  9.15897187e-01  9.00356646e-01
  8.83755303e-01  1.18241508e+00  1.27524857e+00  8.29971863e-01
  1.47455085e+00  1.58098478e+00  7.74782051e-01  7.56960654e-01
  1.92678779e+00  7.23903095e-01  2.17820731e+00  6.95119062e-01
  2.44550198e+00  6.72532005e-01  6.64163503e-01  2.87377630e+00
  6.53728552e-01  6.52168209e-01  6.53272301e-01  3.48881908e+00
  6.64241504e-01  3.81188620e+00  6.88006006e-01  7.05056612e-01
  7.25699171e-01  7.50171957e-01  7.78530115e-01  8.10932915e-01
  4.99527342e+00  5.16786859e+00  9.33427894e-01  5.51331589e+00
  1.03727068e+00  1.09609020e+00  6.02869805e+00  1.22782494e+00
  1.30089882e+00  1.37880621e+00  1.46153189e+00  6.86312884e+00
  7.02430870e+00  7.18296005e+00  1.84168504e+00  1.94898232e+00
  7.64198779e+00  7.78869630e+00  2.29992037e+00  1.37889587e+01]"
4,-892.205331572705,78.39624458874952,"[-2.73522405e+00  5.76957130e-01  5.83387774e-01 -2.22941218e+00
 -2.06638494e+00 -1.90640249e+00  5.81311508e-01 -1.59679706e+00
  5.65690798e-01 -1.30187763e+00 -1.16018928e+00 -1.02273087e+00
 -8.89415086e-01 -7.60437246e-01 -6.35892557e-01  4.61557988e-01
  4.43135608e-01  4.24427428e-01  4.05671820e-01 -8.26403937e-02
  1.37482538e-02  3.51338582e-01  1.91857481e-01  3.18813431e-01
  3.04327565e-01  4.22676050e-01  4.90020432e-01  2.69962465e-01
  2.62416394e-01  6.63518253e-01  7.12119150e-01  7.56307968e-01
  7.96014513e-01  2.61204196e-01  8.62819722e-01  8.89962415e-01
  9.13283745e-01  9.32808549e-01  3.37334989e-01  9.61002569e-01
  9.70072787e-01  9.75912980e-01  4.66076921e-01  5.08649128e-01
  9.76100705e-01  9.71061669e-01  6.62696351e-01  7.23154172e-01
  9.43139188e-01  9.30276213e-01  9.15897187e-01  9.00356646e-01
  8.83755303e-01  1.18241508e+00  1.27524857e+00  8.29971863e-01
  1.47455085e+00  1.58098478e+00  7.74782051e-01  7.56960654e-01
  1.92678779e+00  7.23903095e-01  2.17820731e+00  6.95119062e-01
  2.44550198e+00  6.72532005e-01  6.64163503e-01  2.87377630e+00
  6.53728552e-01  6.52168209e-01  6.53272301e-01  3.48881908e+00
  6.64241504e-01  3.81188620e+00  6.88006006e-01  7.05056612e-01
  7.25699171e-01  7.50171957e-01  7.78530115e-01  8.10932915e-01
  4.99527342e+00  5.16786859e+00  9.33427894e-01  5.51331589e+00
  1.03727068e+00  1.09609020e+00  6.02869805e+00  1.22782494e+00
  1.30089882e+00  1.37880621e+00  1.46153189e+00  6.86312884e+00
  7.02430870e+00  7.18296005e+00  1.84168504e+00  1.94898232e+00
  7.64198779e+00  7.78869630e+00  2.29992037e+00  1.37889587e+01]"
5,-892.205331572705,56.99682033857402,"[-2.73522405e+00  5.76957130e-01  5.83387774e-01 -2.22941218e+00
 -2.06638494e+00 -1.90640249e+00  5.81311508e-01 -1.59679706e+00
  5.65690798e-01 -1.30187763e+00 -1.16018928e+00 -1.02273087e+00
 -8.89415086e-01 -7.60437246e-01 -6.35892557e-01  4.61557988e-01
  4.43135608e-01  4.24427428e-01  4.05671820e-01 -8.26403937e-02
  1.37482538e-02  3.51338582e-01  1.91857481e-01  3.18813431e-01
  3.04327565e-01  4.22676050e-01  4.90020432e-01  2.69962465e-01
  2.62416394e-01  6.63518253e-01  7.12119150e-01  7.56307968e-01
  7.96014513e-01  2.61204196e-01  8.62819722e-01  8.89962415e-01
  9.13283745e-01  9.32808549e-01  3.37334989e-01  9.61002569e-01
  9.70072787e-01  9.75912980e-01  4.66076921e-01  5.08649128e-01
  9.76100705e-01  9.71061669e-01  6.62696351e-01  7.23154172e-01
  9.43139188e-01  9.30276213e-01  9.15897187e-01  9.00356646e-01
  8.83755303e-01  1.18241508e+00  1.27524857e+00  8.29971863e-01
  1.47455085e+00  1.58098478e+00  7.74782051e-01  7.56960654e-01
  1.92678779e+00  7.23903095e-01  2.17820731e+00  6.95119062e-01
  2.44550198e+00  6.72532005e-01  6.64163503e-01  2.87377630e+00
  6.53728552e-01  6.52168209e-01  6.53272301e-01  3.48881908e+00
  6.64241504e-01  3.81188620e+00  6.88006006e-01  7.05056612e-01
  7.25699171e-01  7.50171957e-01  7.78530115e-01  8.10932915e-01
  4.99527342e+00  5.16786859e+00  9.33427894e-01  5.51331589e+00
  1.03727068e+00  1.09609020e+00  6.02869805e+00  1.22782494e+00
  1.30089882e+00  1.37880621e+00  1.46153189e+00  6.86312884e+00
  7.02430870e+00  7.18296005e+00  1.84168504e+00  1.94898232e+00
  7.64198779e+00  7.78869630e+00  2.29992037e+00  1.37889587e+01]"
6,-931.2418538746584,162.05956272690312,"[-2.68971708e+00  6.00737661e-01  6.07084259e-01 -2.21251584e+00
 -2.05795864e+00 -1.90570096e+00  6.03959988e-01 -1.60895202e+00
  5.87358769e-01 -1.32310689e+00 -1.18449359e+00 -1.04914648e+00
 -9.17014374e-01 -7.88333865e-01 -6.63257555e-01  4.77164725e-01
  4.57551423e-01  4.37582017e-01  4.17502135e-01 -9.74609411e-02
  2.84561669e-03  3.58945359e-01  1.89517892e-01  3.23529119e-01
  3.07626634e-01  4.33858632e-01  5.05612024e-01  2.69328338e-01
  2.60658726e-01  6.91220181e-01  7.43341363e-01  7.90741171e-01
  8.33309998e-01  2.56032137e-01  9.04757755e-01  9.33640353e-01
  9.58329753e-01  9.78840968e-01  3.33928969e-01  1.00788948e+00
  1.01686266e+00  1.02226884e+00  4.68292325e-01  5.12783072e-01
  1.01938436e+00  1.01282131e+00  6.73426207e-01  7.36249531e-01
  9.79185802e-01  9.64137262e-01  9.47469992e-01  9.29580535e-01
  9.10585687e-01  1.20793594e+00  1.30199692e+00  8.49605097e-01
  1.50245144e+00  1.60868525e+00  7.87634037e-01  7.67715739e-01
  1.95010512e+00  7.30818726e-01  2.19502771e+00  6.98688372e-01
  2.45275397e+00  6.73324189e-01  6.63798655e-01  2.86113144e+00
  6.51501269e-01  6.49252008e-01  6.49832414e-01  3.44185457e+00
  6.60275887e-01  3.74646406e+00  6.84258133e-01  7.01720584e-01
  7.22992245e-01  7.48333795e-01  7.77814427e-01  8.11623552e-01
  4.88292686e+00  5.05388189e+00  9.40310667e-01  5.40188653e+00
  1.05031324e+00  1.11296166e+00  5.93810197e+00  1.25412814e+00
  1.33293849e+00  1.41735466e+00  1.50743213e+00  6.85819836e+00
  7.04414867e+00  7.22990199e+00  1.92718873e+00  2.04737410e+00
  7.78271304e+00  7.96419253e+00  2.44559131e+00  1.38333651e+01]"
7,-979.618309835852,90.0619388152552,"[-2.64891627  0.6561442   0.66226179 -2.22146691 -2.08095495 -1.94114239
  0.65633383 -1.66398495  0.6371856  -1.39030705 -1.25499321 -1.12115255
 -0.98882116 -0.85833469 -0.72997035  0.51219481  0.48979447  0.46690255
  0.44378292 -0.13064808 -0.02132114  0.37568758  0.1844167   0.33385244
  0.31483148  0.4578176   0.53886987  0.26795209  0.25684944  0.74971433
  0.8091035   0.86311048  0.91155217  0.24487384  0.99249576  1.02492852
  1.05240593  1.07492562  0.32656407  1.10571286  1.1144887   1.11901182
  0.4731218   0.52182348  1.10986848  1.10019535  0.69720044  0.76543429
  1.05486739  1.03533061  1.01395455  0.99122021  0.96727612  1.26831492
  1.36633773  0.89133014  1.57254189  1.68031714  0.81512234  0.79076944
  2.01963578  0.74570695  2.25659885  0.70640465  2.50052818  0.67504318
  0.6630054   2.87717885  0.64664579  0.64288743  0.6423184   3.39843573
  0.65160575  3.66920672  0.67606726  0.69443487  0.71708658  0.74432886
  0.77625798  0.81312247  4.70953754  4.87507633  0.95512865  5.22281304
  1.07820366  1.14890634  5.79089137  1.30972678  1.40038457  1.49816328
  1.60324777  6.86816694  7.10222207  7.34148131  2.10274882  2.24861162
  8.08511925  8.33924553  2.74037034 13.95246754]"
8,-993.0292040890623,459.93251359753685,"[-2.29160183  0.68532383  0.6916346  -1.91051942 -1.79816696 -1.69031854
  0.68766201 -1.48258017  0.6696826  -1.27719883 -1.17305434 -1.06732501
 -0.95956625 -0.84972182 -0.73786276  0.5434893   0.51976422  0.49520142
  0.4700627  -0.16109571 -0.04604268  0.39406307  0.17830624  0.34577513
  0.32333769  0.49109735  0.58669342  0.26623512  0.25203608  0.8403957
  0.91288053  0.97903775  1.03846264  0.23022391  1.13748793  1.17677297
  1.20966856  1.23611062  0.31707701  1.27030431  1.27869208  1.28148387
  0.47891748  0.53236435  1.26015647  1.24448497  0.72162061  0.79364294
  1.17696895  1.14908043  1.11904827  1.0875331   1.05475465  1.29151549
  1.38147195  0.95302956  1.56326955  1.6544724   0.85382897  0.82267575
  1.92687056  0.76560167  2.10734916  0.71636372  2.28984816  0.67719175
  0.66203104  2.57950688  0.64082033  0.63532881  0.63346428  3.04079333
  0.64147252  3.3267468   0.6664603   0.68583499  0.71004973  0.73949908
  0.77435127  0.81499245  4.73642146  4.98686547  0.97492371  5.50871878
  1.11753721  1.20107131  6.29749559  1.39527558  1.50723655  1.62992128
  1.76390538  7.37148087  7.51653201  7.63152608  2.42783177  2.62893526
  7.78404257  7.7705624   3.32448735 14.00115213]"
9,-1052.4650607031244,60.57924961490158,"[-2.3735602   0.7358975   0.74168101 -2.09474432 -1.99907191 -1.89985463
  0.73163248 -1.68870581  0.70871097 -1.4593535  -1.33823147 -1.21362791
 -1.08601142 -0.95619412 -0.82498499  0.56175484  0.53526033  0.50809981
  0.48057002 -0.17749777 -0.05505935  0.39883901  0.17746826  0.34800973
  0.32467236  0.48931332  0.58214136  0.26609305  0.25171877  0.82396996
  0.89207883  0.9539554   1.00935617  0.22998234  1.10149831  1.13810885
  1.16886365  1.1937434   0.31668939  1.22657339  1.23511759  1.23860337
  0.47969817  0.53420028  1.22210339  1.20877096  0.7303738   0.80643489
  1.14964079  1.12477788  1.09779289  1.06925793  1.03935507  1.35518457
  1.45851381  0.94514102  1.6704394   1.77785738  0.85111458  0.82110731
  2.09839023  0.76548802  2.30445189  0.71674658  2.50038904  0.67736477
  0.66193138  2.77298556  0.64003436  0.63420417  0.6320507   3.11585824
  0.63974068  3.30198196  0.66486518  0.68448276  0.70903387  0.73888128
  0.77414845  0.81514678  4.40830534  4.66762698  0.97481779  5.27844885
  1.11470646  1.19554001  6.37617858  1.38048746  1.48536944  1.59899867
  1.72174966  8.09440231  8.30444469  8.4344346   2.3178246   2.49776987
  8.14943073  7.73766338  3.13956033 14.59219645]"
