iter,funcval,gradnorm,x
0,13014.983901823442,595.9818737849241,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
1,5073.786371010433,2269.1542539239094,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
2,4834.431753283813,1883.3551872348596,"[ 1.61739826  1.20838278  3.73382601  0.25072685  3.66300447  1.59370376
  0.19807541 -1.79537123  1.1744553  -2.19494279  3.90854951  1.71181254
 -1.11565605 -1.67904762  1.17902694  2.17270184  1.11909285  1.21854709
 -2.07534207 -1.17877464 -0.29619162  1.85447335  1.68333507 -0.24784993
  0.31075928  2.22688301 -0.29959731 -0.39515872  1.23566271 -2.2311675
 -1.1411243   0.24430312  3.55284816 -0.38320259 -3.55802709  1.23976101
 -1.33267423  0.2771196   0.26018438  1.98303244  1.55039579 -2.06376197
  2.20919201  3.82406823  3.81157237  1.7721735  -3.81897533  3.83339324
  1.22329716  3.82918147]"
3,3880.4023051960103,107.8392041199346,"[ 0.63658496  0.38343233  2.24126096 -0.14809765  2.17815358  0.62135412
 -0.16645325 -0.75317741  0.36279569 -1.0248513   2.39655975  0.69799059
 -0.32702482 -0.67654511  0.36559196  1.00908845  0.32912569  0.38959678
 -0.94152056 -0.36543183  0.12578663  0.79254756  0.67933851  0.14937742
 -0.11797269  1.0477688   0.12394439  0.07064657  0.39999428 -1.05087307
 -0.3425302  -0.15093383  2.08347064  0.077383   -2.08772013  0.40248799
 -0.45895151 -0.13560061 -0.14379013  0.8788351   0.59378078 -0.93360089
  1.03503849  2.32062789  2.3097244   0.73778669 -2.31619013  2.32877239
  0.39248518  2.32509078]"
4,3880.4023051960103,327.8165857517642,"[ 0.63658496  0.38343233  2.24126096 -0.14809765  2.17815358  0.62135412
 -0.16645325 -0.75317741  0.36279569 -1.0248513   2.39655975  0.69799059
 -0.32702482 -0.67654511  0.36559196  1.00908845  0.32912569  0.38959678
 -0.94152056 -0.36543183  0.12578663  0.79254756  0.67933851  0.14937742
 -0.11797269  1.0477688   0.12394439  0.07064657  0.39999428 -1.05087307
 -0.3425302  -0.15093383  2.08347064  0.077383   -2.08772013  0.40248799
 -0.45895151 -0.13560061 -0.14379013  0.8788351   0.59378078 -0.93360089
  1.03503849  2.32062789  2.3097244   0.73778669 -2.31619013  2.32877239
  0.39248518  2.32509078]"
5,3755.728521928424,347.2995013171598,"[ 0.06323908 -0.12020677  3.00387872 -0.04760906  2.87490393  0.0483393
 -0.01199637 -0.19195196 -0.1302137  -0.57275328  3.30556259  0.12795168
  0.14608863 -0.10450909 -0.1288564   0.54740435 -0.14518293 -0.11714173
 -0.44392639  0.12894781  0.06615769  0.24054461  0.10750247  0.04616467
 -0.07062918  0.6104856   0.06717825  0.09046113 -0.11179993 -0.61568272
  0.13940998 -0.04433821  2.68027158  0.08791385 -2.68888401 -0.11048737
  0.07846103 -0.05934579 -0.05216334  0.35457441  0.02274324 -0.43230679
  0.58940566  3.15991074  3.13894444  0.17358473 -3.15139862  3.17550266
 -0.11566731  3.16845983]"
6,3269.901417487948,276.9597055762949,"[ 6.39680097e-01 -2.75695419e-04  2.85961916e+00 -2.22809544e+00
  2.75801698e+00  6.06411331e-01 -2.34571303e+00 -8.76255899e-01
 -6.20301627e-02 -1.32116269e+00  3.13518666e+00  7.68141281e-01
  1.72870249e-01 -7.24267437e-01 -5.35652555e-02  1.29816206e+00
 -1.66224410e-01  1.78599777e-02 -1.19709538e+00  5.40499656e-02
  2.10116526e+00  9.49278877e-01  7.30035261e-01  2.23566930e+00
 -2.05845962e+00  1.35437286e+00  2.09109092e+00  1.80992457e+00
  4.81257063e-02 -1.35886045e+00  1.24228247e-01 -2.24494120e+00
  2.61721489e+00  1.84452304e+00 -2.62314241e+00  5.53338914e-02
 -2.12310618e-01 -2.15590664e+00 -2.20282628e+00  1.09787021e+00
  5.44764835e-01 -1.18489377e+00  1.33596573e+00  2.99499055e+00
  2.97582770e+00  8.46780370e-01 -2.98717085e+00  3.00944614e+00
  2.63094174e-02  3.00289311e+00]"
7,3269.901417487948,344.3210180551883,"[ 6.39680097e-01 -2.75695419e-04  2.85961916e+00 -2.22809544e+00
  2.75801698e+00  6.06411331e-01 -2.34571303e+00 -8.76255899e-01
 -6.20301627e-02 -1.32116269e+00  3.13518666e+00  7.68141281e-01
  1.72870249e-01 -7.24267437e-01 -5.35652555e-02  1.29816206e+00
 -1.66224410e-01  1.78599777e-02 -1.19709538e+00  5.40499656e-02
  2.10116526e+00  9.49278877e-01  7.30035261e-01  2.23566930e+00
 -2.05845962e+00  1.35437286e+00  2.09109092e+00  1.80992457e+00
  4.81257063e-02 -1.35886045e+00  1.24228247e-01 -2.24494120e+00
  2.61721489e+00  1.84452304e+00 -2.62314241e+00  5.53338914e-02
 -2.12310618e-01 -2.15590664e+00 -2.20282628e+00  1.09787021e+00
  5.44764835e-01 -1.18489377e+00  1.33596573e+00  2.99499055e+00
  2.97582770e+00  8.46780370e-01 -2.98717085e+00  3.00944614e+00
  2.63094174e-02  3.00289311e+00]"
8,3269.901417487948,294.1542043068956,"[ 6.39680097e-01 -2.75695419e-04  2.85961916e+00 -2.22809544e+00
  2.75801698e+00  6.06411331e-01 -2.34571303e+00 -8.76255899e-01
 -6.20301627e-02 -1.32116269e+00  3.13518666e+00  7.68141281e-01
  1.72870249e-01 -7.24267437e-01 -5.35652555e-02  1.29816206e+00
 -1.66224410e-01  1.78599777e-02 -1.19709538e+00  5.40499656e-02
  2.10116526e+00  9.49278877e-01  7.30035261e-01  2.23566930e+00
 -2.05845962e+00  1.35437286e+00  2.09109092e+00  1.80992457e+00
  4.81257063e-02 -1.35886045e+00  1.24228247e-01 -2.24494120e+00
  2.61721489e+00  1.84452304e+00 -2.62314241e+00  5.53338914e-02
 -2.12310618e-01 -2.15590664e+00 -2.20282628e+00  1.09787021e+00
  5.44764835e-01 -1.18489377e+00  1.33596573e+00  2.99499055e+00
  2.97582770e+00  8.46780370e-01 -2.98717085e+00  3.00944614e+00
  2.63094174e-02  3.00289311e+00]"
9,3250.400430440483,449.70141117058716,"[ 0.55031923 -0.03996242  2.92646828 -2.07560027  2.78874304  0.51733588
 -1.6760232  -0.79019681 -0.09585479 -1.20067294  3.24591537  0.679875
  0.19759014 -0.63531063 -0.08816867  1.18344683 -0.19143092 -0.02363651
 -1.10096285  0.08859781  2.12808547  0.86430854  0.64115501  2.06667778
 -2.12016215  1.22461627  2.12640092  1.9806593   0.00352267 -1.22777412
  0.15269919 -2.05455411  2.5829471   2.00599489 -2.59184786  0.00998825
 -0.15005468 -2.12358525 -2.09977896  1.01048747  0.45706254 -1.09028561
  1.21147794  3.09230262  3.07004492  0.76012112 -3.08325102  3.10884868
 -0.01604613  3.10137456]"
10,3220.819340143826,500.14936355605164,"[ 0.44696962 -0.25112824  2.89994771 -1.99211696  2.82363761  0.40866989
 -1.71148747 -0.72436379 -0.3127339  -1.30373223  3.16007382  0.59633839
  0.42095284 -0.54505877 -0.30433881  1.27126584 -0.41453942 -0.2328494
 -1.13122548  0.30482902  2.01303722  0.81266919  0.55178888  1.98645654
 -2.00023758  1.3507907   2.01015284  1.85403136 -0.20212822 -1.35714858
  0.37380757 -1.97862476  2.73055707  1.87859047 -2.73430986 -0.19477812
  0.03083682 -2.01797518 -2.0067897   0.99947457  0.33801407 -1.1146998
  1.32467867  3.01827697  3.000327    0.68918929 -3.01092673  3.03207191
 -0.2242967   3.02578997]"
11,3220.819340143826,1096.0435293149894,"[ 0.44696962 -0.25112824  2.89994771 -1.99211696  2.82363761  0.40866989
 -1.71148747 -0.72436379 -0.3127339  -1.30373223  3.16007382  0.59633839
  0.42095284 -0.54505877 -0.30433881  1.27126584 -0.41453942 -0.2328494
 -1.13122548  0.30482902  2.01303722  0.81266919  0.55178888  1.98645654
 -2.00023758  1.3507907   2.01015284  1.85403136 -0.20212822 -1.35714858
  0.37380757 -1.97862476  2.73055707  1.87859047 -2.73430986 -0.19477812
  0.03083682 -2.01797518 -2.0067897   0.99947457  0.33801407 -1.1146998
  1.32467867  3.01827697  3.000327    0.68918929 -3.01092673  3.03207191
 -0.2242967   3.02578997]"
12,3220.819340143826,329.95210528974536,"[ 0.44696962 -0.25112824  2.89994771 -1.99211696  2.82363761  0.40866989
 -1.71148747 -0.72436379 -0.3127339  -1.30373223  3.16007382  0.59633839
  0.42095284 -0.54505877 -0.30433881  1.27126584 -0.41453942 -0.2328494
 -1.13122548  0.30482902  2.01303722  0.81266919  0.55178888  1.98645654
 -2.00023758  1.3507907   2.01015284  1.85403136 -0.20212822 -1.35714858
  0.37380757 -1.97862476  2.73055707  1.87859047 -2.73430986 -0.19477812
  0.03083682 -2.01797518 -2.0067897   0.99947457  0.33801407 -1.1146998
  1.32467867  3.01827697  3.000327    0.68918929 -3.01092673  3.03207191
 -0.2242967   3.02578997]"
13,3220.819340143826,761.2165464903353,"[ 0.44696962 -0.25112824  2.89994771 -1.99211696  2.82363761  0.40866989
 -1.71148747 -0.72436379 -0.3127339  -1.30373223  3.16007382  0.59633839
  0.42095284 -0.54505877 -0.30433881  1.27126584 -0.41453942 -0.2328494
 -1.13122548  0.30482902  2.01303722  0.81266919  0.55178888  1.98645654
 -2.00023758  1.3507907   2.01015284  1.85403136 -0.20212822 -1.35714858
  0.37380757 -1.97862476  2.73055707  1.87859047 -2.73430986 -0.19477812
  0.03083682 -2.01797518 -2.0067897   0.99947457  0.33801407 -1.1146998
  1.32467867  3.01827697  3.000327    0.68918929 -3.01092673  3.03207191
 -0.2242967   3.02578997]"
14,3219.9008658799653,568.5407474492346,"[ 0.44611893 -0.25206954  2.90164082 -1.99476311  2.82585747  0.40773366
 -1.71324636 -0.72437758 -0.31363035 -1.29978416  3.15837577  0.59593331
  0.42171995 -0.5444856  -0.30524211  1.26804132 -0.41531668 -0.2338019
 -1.13027461  0.305732    2.01438282  0.81289293  0.55123731  1.98910473
 -2.00078998  1.34566682  2.01133162  1.84882443 -0.20309815 -1.35185449
  0.37464141 -1.98126023  2.7310538   1.87421534 -2.73494729 -0.19575199
  0.03189898 -2.02012433 -2.0093514   0.99953378  0.33695892 -1.11393015
  1.32022534  3.01818224  3.00050258  0.68909491 -3.01094305  3.03177768
 -0.22525419  3.02558545]"
15,3218.9872065479203,533.1185588210828,"[ 0.44322649 -0.25229148  2.89820386 -1.99535816  2.82208811  0.40509658
 -1.72976575 -0.71890019 -0.31390012 -1.29537689  3.16199605  0.59179402
  0.42237424 -0.54081867 -0.30550005  1.26265971 -0.41593627 -0.23402861
 -1.12249178  0.30598934  2.01272613  0.80645011  0.54751056  1.99012219
 -1.99969667  1.3429747   2.00976504  1.85637633 -0.20335181 -1.34942262
  0.37507641 -1.98285514  2.73222625  1.8802367  -2.73577182 -0.19601445
  0.03258253 -2.01853011 -2.00882664  0.99156903  0.33473621 -1.10603261
  1.31653741  3.01809197  2.99985378  0.6840007  -3.01062192  3.03210975
 -0.22548647  3.02572648]"
16,3218.9872065479203,1827.3401483004354,"[ 0.44322649 -0.25229148  2.89820386 -1.99535816  2.82208811  0.40509658
 -1.72976575 -0.71890019 -0.31390012 -1.29537689  3.16199605  0.59179402
  0.42237424 -0.54081867 -0.30550005  1.26265971 -0.41593627 -0.23402861
 -1.12249178  0.30598934  2.01272613  0.80645011  0.54751056  1.99012219
 -1.99969667  1.3429747   2.00976504  1.85637633 -0.20335181 -1.34942262
  0.37507641 -1.98285514  2.73222625  1.8802367  -2.73577182 -0.19601445
  0.03258253 -2.01853011 -2.00882664  0.99156903  0.33473621 -1.10603261
  1.31653741  3.01809197  2.99985378  0.6840007  -3.01062192  3.03210975
 -0.22548647  3.02572648]"
17,3218.536506151578,260.1774412020232,"[ 0.44247684 -0.25294498  2.8961618  -1.99691362  2.82032231  0.40431473
 -1.73047721 -0.71914188 -0.31426077 -1.29505387  3.16365274  0.59140829
  0.42181295 -0.54026103 -0.30590703  1.262851   -0.41544488 -0.23474373
 -1.12402864  0.30639588  2.01398728  0.80722268  0.54697258  1.99177009
 -2.00121582  1.34177986  2.01108088  1.85740563 -0.20414322 -1.34809904
  0.37498514 -1.9846235   2.73251088  1.88174297 -2.73594384 -0.19682095
  0.03343787 -2.0196407  -2.01012837  0.99322892  0.33393943 -1.1076385
  1.31584389  3.01736117  2.99884567  0.68404636 -3.00977409  3.0316015
 -0.22622534  3.02511619]"
18,3217.3558099286333,229.82796785634338,"[ 0.44430292 -0.2539877   2.89529136 -1.99992208  2.81877587  0.40593712
 -1.73160674 -0.72072257 -0.31600681 -1.29381476  3.16124683  0.59356998
  0.42547257 -0.54241358 -0.30754688  1.26092005 -0.41896742 -0.23562189
 -1.12111521  0.3080374   2.01763089  0.80791464  0.54913403  1.99461
 -2.00446677  1.34189663  2.01464524  1.85958674 -0.20479564 -1.34843215
  0.37770236 -1.98723789  2.73103664  1.88366827 -2.73441236 -0.19742504
  0.03352487 -2.02346102 -2.01358782  0.99142713  0.33513463 -1.1047845
  1.31515631  3.01657984  2.99815243  0.68587542 -3.00903346  3.03072992
 -0.22703612  3.02428797]"
19,3213.8212653769965,477.4056620983449,"[ 0.44493091 -0.25133676  2.89383303 -1.99831907  2.82218622  0.40709458
 -1.73535742 -0.71728459 -0.31615424 -1.29390253  3.16971026  0.59168815
  0.43537902 -0.54141465 -0.30723571  1.26317861 -0.42809805 -0.2324184
 -1.12523353  0.30773219  2.02334163  0.80453245  0.54801676  1.99085815
 -2.00444903  1.33723626  2.01915109  1.86288665 -0.20093779 -1.3429696
  0.38249646 -1.98067478  2.72865445  1.87871293 -2.7327998  -0.1934438
  0.02938812 -2.03231422 -2.01787734  0.991971    0.33705305 -1.10859121
  1.31337781  3.01264522  2.9937924   0.68271336 -3.00488544  3.02732418
 -0.22362447  3.02062052]"
20,3206.9531766744512,164.06887044066673,"[ 0.44506431 -0.24998943  2.87903986 -1.99847259  2.80711351  0.40740398
 -1.7459152  -0.71692576 -0.31828009 -1.28520468  3.16878805  0.59119701
  0.45040755 -0.54109165 -0.30878124  1.25722712 -0.44207297 -0.23041385
 -1.12627856  0.30928481  2.03865292  0.80483842  0.54766739  1.98639078
 -2.00692786  1.32379663  2.03175607  1.86916323 -0.19818511 -1.32882191
  0.3906602  -1.97017541  2.72450537  1.86820896 -2.72794769 -0.19055507
  0.02665486 -2.05488115 -2.0307273   0.99409554  0.3376353  -1.1100029
  1.30267746  3.00515829  2.9850966   0.68222165 -2.99690136  3.02073338
 -0.22137783  3.01362662]"
21,3190.3450600988836,167.70857763851433,"[ 0.45365086 -0.24895494  2.86208952 -2.00984957  2.81453688  0.41626332
 -1.75612143 -0.71481425 -0.32481151 -1.27127324  3.20721459  0.59546081
  0.47996032 -0.54740229 -0.314127    1.24897116 -0.46990101 -0.22774349
 -1.12409527  0.31464587  2.05506136  0.79896125  0.55374063  1.99581186
 -2.01714014  1.29719272  2.04686996  1.87165686 -0.19342379 -1.30004073
  0.40856332 -1.97700176  2.70295319  1.86472809 -2.71012736 -0.18537075
  0.01897999 -2.07509599 -2.04733212  0.98775215  0.3462597  -1.1074283
  1.28381122  2.97499101  2.95274462  0.6818974  -2.96562697  2.99334584
 -0.21806461  2.98485862]"
22,3160.800889531302,295.31103368023423,"[ 0.46958721 -0.2268606   2.81223652 -2.04561271  2.76192204  0.43717537
 -1.74734965 -0.6847849  -0.33050643 -1.26379206  3.17932864  0.58494741
  0.57241596 -0.54666227 -0.31541612  1.26217396 -0.55582122 -0.19979183
 -1.15715319  0.31599298  2.0481162   0.76624703  0.55172257  2.04264427
 -2.04105527  1.24550437  2.04657468  1.85799733 -0.15815586 -1.24097822
  0.45693208 -2.03775563  2.69908146  1.89013147 -2.70377399 -0.14865715
 -0.02375492 -2.05143059 -2.05092934  0.98844871  0.3736536  -1.13776654
  1.25882462  2.96390226  2.93656362  0.65587026 -2.95255237  2.9854117
 -0.18783762  2.9755793 ]"
23,3137.10713337068,556.9449274375659,"[ 0.36869406 -0.16134289  2.86312675 -2.08878395  2.73491923  0.33551467
 -1.73457603 -0.75112806 -0.29040221 -1.18412328  3.23338042  0.54381311
  0.73041623 -0.47457105 -0.26954859  1.13725552 -0.69422742 -0.13330486
 -1.11293742  0.27018255  2.04198202  0.90150234  0.48309779  2.09220553
 -2.07981559  1.30013524  2.05155794  1.87956706 -0.09470351 -1.32076937
  0.49655841 -2.09054962  2.68472756  1.8844212  -2.67312709 -0.08652864
 -0.0355402  -2.01501463 -2.05960813  1.11047801  0.28222258 -1.11686528
  1.2281367   2.91485345  2.90919099  0.69078583 -2.91222624  2.92157371
 -0.12172857  2.91820406]"
24,3084.3133927588838,152.77959783535456,"[ 0.38590497 -0.13220167  2.71934438 -2.1830798   2.69316607  0.35388626
 -1.78893253 -0.74645882 -0.28639072 -1.1710419   3.13559873  0.55190338
  0.86878844 -0.48665193 -0.26095921  1.14993429 -0.81758544 -0.10012914
 -1.13653849  0.2616476   2.08903877  0.88833303  0.49470534  2.19300357
 -2.16565629  1.22565064  2.10825056  1.93932948 -0.0574741  -1.23567062
  0.54879796 -2.19604948  2.60736206  1.92891418 -2.61162552 -0.04864967
 -0.06817164 -2.03611982 -2.1225126   1.1023746   0.30184022 -1.13639928
  1.19140951  2.80852388  2.78567237  0.68984077 -2.79863525  2.82887145
 -0.087169    2.81931236]"
25,3031.0729336216364,274.3989507994403,"[ 0.47719773 -0.14168015  2.83401951 -2.30236961  2.32920689  0.47154266
 -1.99126442 -0.64581342 -0.3778708  -1.06936653  2.95670311  0.51339364
  0.85326275 -0.49317179 -0.3429958   1.03663861 -0.83411075 -0.08435305
 -1.18653702  0.34387855  2.18687435  0.81925949  0.49508969  2.33724239
 -2.22417901  1.21422019  2.19103388  1.924448   -0.00341858 -1.2436934
  0.66410289 -2.3864952   2.56679945  2.1627966  -2.46244766  0.01401956
 -0.22757126 -2.18951059 -2.2240814   1.20752513  0.45302443 -1.20594111
  1.11826501  2.58517419  2.66656397  0.59533631 -2.61845501  2.5275352
 -0.06033987  2.55292   ]"
26,3031.0729336216364,624.1685139367976,"[ 0.47719773 -0.14168015  2.83401951 -2.30236961  2.32920689  0.47154266
 -1.99126442 -0.64581342 -0.3778708  -1.06936653  2.95670311  0.51339364
  0.85326275 -0.49317179 -0.3429958   1.03663861 -0.83411075 -0.08435305
 -1.18653702  0.34387855  2.18687435  0.81925949  0.49508969  2.33724239
 -2.22417901  1.21422019  2.19103388  1.924448   -0.00341858 -1.2436934
  0.66410289 -2.3864952   2.56679945  2.1627966  -2.46244766  0.01401956
 -0.22757126 -2.18951059 -2.2240814   1.20752513  0.45302443 -1.20594111
  1.11826501  2.58517419  2.66656397  0.59533631 -2.61845501  2.5275352
 -0.06033987  2.55292   ]"
27,2993.38597306312,373.02792547839476,"[ 0.52967798 -0.1705153   2.62336715 -2.36134341  2.38938055  0.52368533
 -2.06673944 -0.56589566 -0.34931167 -0.97013604  2.87617439  0.51954882
  0.86864057 -0.52465807 -0.32271193  0.91410191 -0.82731599 -0.12504313
 -1.2058653   0.32345095  2.2108331   0.71858955  0.52380613  2.38468097
 -2.29530007  1.24208568  2.22623616  2.02079723 -0.05676232 -1.29925369
  0.59776009 -2.41256708  2.52376107  2.09516038 -2.34355944 -0.04132829
 -0.18543556 -2.19897421 -2.27399712  1.26185733  0.49580031 -1.24355273
  1.05947131  2.54747858  2.53582785  0.53816088 -2.54000014  2.57019165
 -0.10531395  2.55859133]"
28,2993.38597306312,591.1922507847834,"[ 0.52967798 -0.1705153   2.62336715 -2.36134341  2.38938055  0.52368533
 -2.06673944 -0.56589566 -0.34931167 -0.97013604  2.87617439  0.51954882
  0.86864057 -0.52465807 -0.32271193  0.91410191 -0.82731599 -0.12504313
 -1.2058653   0.32345095  2.2108331   0.71858955  0.52380613  2.38468097
 -2.29530007  1.24208568  2.22623616  2.02079723 -0.05676232 -1.29925369
  0.59776009 -2.41256708  2.52376107  2.09516038 -2.34355944 -0.04132829
 -0.18543556 -2.19897421 -2.27399712  1.26185733  0.49580031 -1.24355273
  1.05947131  2.54747858  2.53582785  0.53816088 -2.54000014  2.57019165
 -0.10531395  2.55859133]"
29,2993.38597306312,1658.0307646314163,"[ 0.52967798 -0.1705153   2.62336715 -2.36134341  2.38938055  0.52368533
 -2.06673944 -0.56589566 -0.34931167 -0.97013604  2.87617439  0.51954882
  0.86864057 -0.52465807 -0.32271193  0.91410191 -0.82731599 -0.12504313
 -1.2058653   0.32345095  2.2108331   0.71858955  0.52380613  2.38468097
 -2.29530007  1.24208568  2.22623616  2.02079723 -0.05676232 -1.29925369
  0.59776009 -2.41256708  2.52376107  2.09516038 -2.34355944 -0.04132829
 -0.18543556 -2.19897421 -2.27399712  1.26185733  0.49580031 -1.24355273
  1.05947131  2.54747858  2.53582785  0.53816088 -2.54000014  2.57019165
 -0.10531395  2.55859133]"
