iter,funcval,gradnorm,x
0,2335.2875000000004,195.93867343535894,"[-7.50817807e-07  4.70363544e-07 -7.08619872e-07 -1.17955543e-06
  3.13579288e-07 -3.12310775e-07  5.53594054e-07 -8.25417216e-07
  2.04487457e-07  8.52643175e-08 -1.02459784e-06  5.22347298e-07
  1.09361120e-06  3.66708612e-08  7.75877609e-07  1.08402003e-06
 -1.64129797e-07  4.79705999e-07  6.31558513e-07 -1.08654337e-06
  1.03090138e+01 -7.19779995e-07  1.40255577e-06 -1.37983335e-06
  1.32918745e-06 -1.05228502e-06  1.25819870e-06  6.40235366e-07
 -1.49152340e-06  1.48118391e-06  3.63162169e-08 -5.64532354e-08
  6.77697932e-07 -6.46875495e-07 -1.51093117e-07  8.67423249e-08
  1.21300715e-06 -2.18470889e-07  9.58758556e-07  1.13876844e-06
  1.20270707e-06  9.80437741e-08 -2.93654734e-07  1.64949199e-06
 -9.79680849e-07  4.27474461e-07 -1.27924364e-06 -8.16890202e-07
  5.36043348e-07  8.47199858e-07]"
1,2303.475530844913,371.53897657052966,"[-7.50817807e-07  4.70363544e-07 -7.08619872e-07 -1.17955543e-06
  3.13579288e-07 -3.12310775e-07  5.53594054e-07 -8.25417216e-07
  2.04487457e-07  8.52643175e-08 -1.02459784e-06  5.22347298e-07
  1.09361120e-06  3.66708612e-08  7.75877609e-07  1.08402003e-06
 -1.64129797e-07  4.79705999e-07  6.31558513e-07 -1.08654337e-06
  1.03090138e+01 -7.19779995e-07  1.40255577e-06 -1.37983335e-06
  1.32918745e-06 -1.05228502e-06  1.25819870e-06  6.40235366e-07
 -1.49152340e-06  1.48118391e-06  3.63162169e-08 -5.64532354e-08
  6.77697932e-07 -6.46875495e-07 -1.51093117e-07  8.67423249e-08
  1.21300715e-06 -2.18470889e-07  9.58758556e-07  1.13876844e-06
  1.20270707e-06  9.80437741e-08 -2.93654734e-07  1.64949199e-06
 -9.79680849e-07  4.27474461e-07 -1.27924364e-06 -8.16890202e-07
  5.36043348e-07  8.47199858e-07]"
2,1950.7304141683655,204.66253925341053,"[-0.46099074 -0.60634528  1.32722135  0.23020039 -0.21652323 -0.16228765
  0.36145911  0.71854759  0.38857143  0.39100265  1.25491963 -0.46879805
  1.26631795  1.2371238   0.41551664  0.38639848  0.08183477  0.30898003
 -0.66986416 -0.14488393  8.18295309 -0.19587422  0.66474184  0.4829472
 -0.71020169  0.78064187  0.40601369 -0.21833864  0.41121606  0.6072301
  0.45900425 -0.46314134  1.20782586  0.96870599 -1.23449177 -0.31351329
 -0.51085511  0.23104818 -0.53396888 -0.24852427  0.66580979 -0.3608649
 -0.52711729  1.24234702  1.03797331 -1.23276578  0.05968842 -0.30551257
 -0.01340444 -0.18729139]"
3,1950.7304141683655,105.1618433020666,"[-0.46099074 -0.60634528  1.32722135  0.23020039 -0.21652323 -0.16228765
  0.36145911  0.71854759  0.38857143  0.39100265  1.25491963 -0.46879805
  1.26631795  1.2371238   0.41551664  0.38639848  0.08183477  0.30898003
 -0.66986416 -0.14488393  8.18295309 -0.19587422  0.66474184  0.4829472
 -0.71020169  0.78064187  0.40601369 -0.21833864  0.41121606  0.6072301
  0.45900425 -0.46314134  1.20782586  0.96870599 -1.23449177 -0.31351329
 -0.51085511  0.23104818 -0.53396888 -0.24852427  0.66580979 -0.3608649
 -0.52711729  1.24234702  1.03797331 -1.23276578  0.05968842 -0.30551257
 -0.01340444 -0.18729139]"
4,1950.7304141683655,77.71239128136371,"[-0.46099074 -0.60634528  1.32722135  0.23020039 -0.21652323 -0.16228765
  0.36145911  0.71854759  0.38857143  0.39100265  1.25491963 -0.46879805
  1.26631795  1.2371238   0.41551664  0.38639848  0.08183477  0.30898003
 -0.66986416 -0.14488393  8.18295309 -0.19587422  0.66474184  0.4829472
 -0.71020169  0.78064187  0.40601369 -0.21833864  0.41121606  0.6072301
  0.45900425 -0.46314134  1.20782586  0.96870599 -1.23449177 -0.31351329
 -0.51085511  0.23104818 -0.53396888 -0.24852427  0.66580979 -0.3608649
 -0.52711729  1.24234702  1.03797331 -1.23276578  0.05968842 -0.30551257
 -0.01340444 -0.18729139]"
5,1950.7304141683655,89.71720546353889,"[-0.46099074 -0.60634528  1.32722135  0.23020039 -0.21652323 -0.16228765
  0.36145911  0.71854759  0.38857143  0.39100265  1.25491963 -0.46879805
  1.26631795  1.2371238   0.41551664  0.38639848  0.08183477  0.30898003
 -0.66986416 -0.14488393  8.18295309 -0.19587422  0.66474184  0.4829472
 -0.71020169  0.78064187  0.40601369 -0.21833864  0.41121606  0.6072301
  0.45900425 -0.46314134  1.20782586  0.96870599 -1.23449177 -0.31351329
 -0.51085511  0.23104818 -0.53396888 -0.24852427  0.66580979 -0.3608649
 -0.52711729  1.24234702  1.03797331 -1.23276578  0.05968842 -0.30551257
 -0.01340444 -0.18729139]"
6,1937.8028937072452,81.86106437723494,"[-0.44417279 -0.5908904   1.38289401  0.21842501 -0.20528385 -0.1533982
  0.34582762  0.70692673  0.37245829  0.37485199  1.29865454 -0.45195657
  1.31187479  1.2780628   0.39904048  0.37031984  0.07703512  0.29459762
 -0.65626749 -0.13682075  8.12643967 -0.18548805  0.65096568  0.46609013
 -0.69820747  0.77225787  0.38965224 -0.20702678  0.39478982  0.5917958
  0.44219385 -0.44631588  1.24429056  0.97520059 -1.27502242 -0.29900711
 -0.49407067  0.21924039 -0.5173505  -0.23606817  0.6520705  -0.34524522
 -0.51043962  1.28410047  1.05189916 -1.27302872  0.05612887 -0.29122699
 -0.0125648  -0.17727504]"
7,1912.0929137171718,79.28791553406028,"[-0.40983556 -0.5625277   1.48913929  0.19106299 -0.17897806 -0.13199111
  0.31199448  0.68848022  0.33811322  0.34047472  1.38469092 -0.41773908
  1.40101697  1.35931443  0.3644652   0.33600549  0.06497962  0.26255607
 -0.63296221 -0.11722584  8.01557639 -0.1609137   0.62719907  0.43214825
 -0.67886816  0.76122027  0.35512661 -0.18057671  0.36023244  0.56349376
  0.40782963 -0.41200946  1.31783391  0.99452673 -1.35557327 -0.26676904
 -0.46089363  0.19181531 -0.48502798 -0.20740402  0.62839891 -0.31142638
 -0.4778431   1.36674828  1.08524131 -1.35311999  0.04708357 -0.25934123
 -0.01034723 -0.15346847]"
8,1856.036991303588,84.37338233127947,"[-3.37184713e-01 -5.37929744e-01  1.61644963e+00  9.73568667e-02
 -8.71355576e-02 -5.17535683e-02  2.19501810e-01  7.08416302e-01
  2.49642827e-01  2.52418621e-01  1.52101306e+00 -3.47185406e-01
  1.53631632e+00  1.49691031e+00  2.81067529e-01  2.47169291e-01
  1.54295495e-02  1.65705236e-01 -6.33277490e-01 -4.22127605e-02
  7.82348426e+00 -7.26811080e-02  6.25466981e-01  3.65561528e-01
 -6.95433710e-01  8.05946701e-01  2.69823127e-01 -8.84633393e-02
  2.75956840e-01  5.39232980e-01  3.34656255e-01 -3.39930773e-01
  1.45666364e+00  1.10304346e+00 -1.49332425e+00 -1.70102111e-01
 -4.02732106e-01  9.80068779e-02 -4.34385488e-01 -1.11837535e-01
  6.27090872e-01 -2.18857945e-01 -4.24924428e-01  1.50401060e+00
  1.20960187e+00 -1.49097008e+00  9.03409611e-03 -1.62373435e-01
 -3.33782946e-04 -6.70225518e-02]"
9,1761.4087767956719,86.28442416194386,"[-1.86725701e-01 -5.28713887e-01  1.67821546e+00 -1.27084909e-01
  1.33497887e-01  1.42938204e-01  8.34176266e-03  8.26641532e-01
  5.12432324e-02  5.53091488e-02  1.70792604e+00 -2.02974794e-01
  1.70585647e+00  1.70910108e+00  9.82717412e-02  4.76307648e-02
 -1.06230871e-01 -6.09639606e-02 -6.95939377e-01  1.40308624e-01
  7.68907459e+00  1.40153201e-01  6.82267964e-01  2.33138924e-01
 -8.04201819e-01  9.92174804e-01  8.12057359e-02  1.32736674e-01
  9.04843860e-02  5.30996909e-01  1.82638413e-01 -1.91177223e-01
  1.70559293e+00  1.43363632e+00 -1.70906281e+00  5.57370034e-02
 -2.95229907e-01 -1.26636492e-01 -3.49026424e-01  1.16061877e-01
  6.85107184e-01 -7.45220844e-03 -3.32870477e-01  1.70901403e+00
  1.55379482e+00 -1.70901957e+00 -8.46674131e-02  6.48659770e-02
  2.45689914e-02  1.41832653e-01]"
