iter,funcval,gradnorm,x
1,6703.90767364094,9479.582430375085,"[-0.65040717  0.73770824  1.41549026  0.25657219  0.36046904  0.42780133
  1.07392379 -0.29680116 -0.41630483 -0.15589384  0.27039537  0.20306308
 -0.15277248 -0.17462203 -0.21832113 -0.12557202 -0.24507569 -0.8550795
 -0.62097716  0.14643261  0.26727401 -0.50949986 -0.08187291  0.16694443
  0.63782457  0.61642093 -0.17551385  0.20306308  0.91740965  1.98759179
 -0.15277248 -0.15277248  1.17380746  2.62301243  0.52723909  0.7167505
 -0.08187291  0.28823174  0.56826273  0.67706458  1.08730107  0.11165169
  0.09247759  0.28198901  0.83937554  0.09247759 -0.08187291 -0.22545568
 -0.45911211 -0.18621567]"
2,6703.90767364094,9479.582430375085,"[-0.65040717  0.73770824  1.41549026  0.25657219  0.36046904  0.42780133
  1.07392379 -0.29680116 -0.41630483 -0.15589384  0.27039537  0.20306308
 -0.15277248 -0.17462203 -0.21832113 -0.12557202 -0.24507569 -0.8550795
 -0.62097716  0.14643261  0.26727401 -0.50949986 -0.08187291  0.16694443
  0.63782457  0.61642093 -0.17551385  0.20306308  0.91740965  1.98759179
 -0.15277248 -0.15277248  1.17380746  2.62301243  0.52723909  0.7167505
 -0.08187291  0.28823174  0.56826273  0.67706458  1.08730107  0.11165169
  0.09247759  0.28198901  0.83937554  0.09247759 -0.08187291 -0.22545568
 -0.45911211 -0.18621567]"
3,776.6111558225776,840.2970370957489,"[-0.56921173  0.78194952  0.72575999  0.31322689  0.37351957  0.56362417
  0.69116649 -0.28980061 -0.3858203  -0.1230566   0.25926731  0.21750458
 -0.13250983 -0.1524842  -0.19486517 -0.10398559 -0.22197406 -0.83416906
 -0.57832911  0.14685891  0.27844142 -0.48183198 -0.05980474  0.20602862
  0.59062884  0.59151797 -0.145207    0.26295784  1.10669262  0.13697416
 -0.15139298 -0.0020214   1.90925883  1.45127491  0.49683981  0.63701352
 -0.0511441   0.30949967  0.54987144  0.75105118  0.74445879  0.14817148
  0.11501745  0.35985015  0.64144413  0.12537383 -0.06196615 -0.2053941
 -0.42168979 -0.16514365]"
4,776.6111558225776,840.2970370957489,"[-0.56921173  0.78194952  0.72575999  0.31322689  0.37351957  0.56362417
  0.69116649 -0.28980061 -0.3858203  -0.1230566   0.25926731  0.21750458
 -0.13250983 -0.1524842  -0.19486517 -0.10398559 -0.22197406 -0.83416906
 -0.57832911  0.14685891  0.27844142 -0.48183198 -0.05980474  0.20602862
  0.59062884  0.59151797 -0.145207    0.26295784  1.10669262  0.13697416
 -0.15139298 -0.0020214   1.90925883  1.45127491  0.49683981  0.63701352
 -0.0511441   0.30949967  0.54987144  0.75105118  0.74445879  0.14817148
  0.11501745  0.35985015  0.64144413  0.12537383 -0.06196615 -0.2053941
 -0.42168979 -0.16514365]"
5,346.1358084863086,783.9790383740808,"[-0.44298675  0.52774084  0.71729771  0.33655755  0.39652055  0.56293968
  0.64326986 -0.28609367 -0.33550973 -0.08636007  0.22524892  0.22073574
 -0.11642388 -0.12693236 -0.16639764 -0.07793768 -0.1954744  -0.79202206
 -0.50389075  0.12752365  0.2898027  -0.4362039  -0.03712934  0.22997835
  0.52101294  0.6200554  -0.11640154  0.33682498  0.51979266  0.15602985
 -0.13472165  0.30853584  0.92929958  1.33915732  0.60616304  0.60563521
 -0.03217737  0.30736954  0.55551334  0.71009334  0.71310964  0.16393579
  0.12811705  0.38219426  0.54087311  0.14305387 -0.04505364 -0.18627914
 -0.35551859 -0.1404713 ]"
6,346.1358084863086,783.9790383740808,"[-0.44298675  0.52774084  0.71729771  0.33655755  0.39652055  0.56293968
  0.64326986 -0.28609367 -0.33550973 -0.08636007  0.22524892  0.22073574
 -0.11642388 -0.12693236 -0.16639764 -0.07793768 -0.1954744  -0.79202206
 -0.50389075  0.12752365  0.2898027  -0.4362039  -0.03712934  0.22997835
  0.52101294  0.6200554  -0.11640154  0.33682498  0.51979266  0.15602985
 -0.13472165  0.30853584  0.92929958  1.33915732  0.60616304  0.60563521
 -0.03217737  0.30736954  0.55551334  0.71009334  0.71310964  0.16393579
  0.12811705  0.38219426  0.54087311  0.14305387 -0.04505364 -0.18627914
 -0.35551859 -0.1404713 ]"
7,203.16585862440292,328.7865515415801,"[-0.30031376  0.38238476  0.48807625  0.38429804  0.44321529  0.56299604
  0.5331237  -0.27215413 -0.26356763 -0.03378563  0.19379247  0.23164333
 -0.08543271 -0.08599087 -0.12159022 -0.0382496  -0.15229791 -0.73228966
 -0.39977438  0.1179449   0.30931399 -0.36864512  0.0013107   0.26104798
  0.47271497  0.61824284 -0.05539058  0.3614601   0.21325605  0.18138455
 -0.08265986  0.46752907  1.14629647  1.22412655  0.68299803  0.60059236
  0.01010108  0.32090813  0.55472621  0.67103468  0.60829198  0.20116889
  0.16235955  0.39356887  0.41805495  0.1785112  -0.01414439 -0.15310028
 -0.264634   -0.1023622 ]"
8,136.54034477614493,183.36551119547462,"[-0.01093534 -0.12896402  0.30337579  0.44689944  0.58919872  0.26643163
  0.63476898 -0.23006798 -0.07436617  0.06497669  0.11117127  0.22225693
 -0.01295168  0.0069643  -0.01606072  0.04127338 -0.04690236 -0.55161514
 -0.10791614  0.09557172  0.33359853 -0.17579549  0.08224471  0.26676662
  0.42102631  0.55846177  0.12609324  0.11234292 -0.07803026  0.04796477
  0.0806353   0.91994328  1.05814904  1.10220744  0.92407389  0.75719471
  0.133228    0.3258544   0.51571598  0.36378652  0.66591262  0.28715314
  0.25114929  0.17696465  0.34717101  0.25643957  0.04991401 -0.07912379
 -0.02614819 -0.02761875]"
9,136.54034477614493,183.36551119547462,"[-0.01093534 -0.12896402  0.30337579  0.44689944  0.58919872  0.26643163
  0.63476898 -0.23006798 -0.07436617  0.06497669  0.11117127  0.22225693
 -0.01295168  0.0069643  -0.01606072  0.04127338 -0.04690236 -0.55161514
 -0.10791614  0.09557172  0.33359853 -0.17579549  0.08224471  0.26676662
  0.42102631  0.55846177  0.12609324  0.11234292 -0.07803026  0.04796477
  0.0806353   0.91994328  1.05814904  1.10220744  0.92407389  0.75719471
  0.133228    0.3258544   0.51571598  0.36378652  0.66591262  0.28715314
  0.25114929  0.17696465  0.34717101  0.25643957  0.04991401 -0.07912379
 -0.02614819 -0.02761875]"
10,109.59115022455553,130.77244806032988,"[ 0.00121314  0.05471684  0.24946361  0.43106469  0.53793414  0.39377498
  0.43222007 -0.23662629 -0.02497176  0.0529449   0.09457727  0.17525959
  0.00608805  0.022316    0.00709678  0.04084148 -0.01154443 -0.47040007
 -0.03311891  0.11028649  0.30376664 -0.10352943  0.0835436   0.22512442
  0.39369924  0.54432741  0.12825777  0.02198523  0.00652836  0.18034902
  0.29308539  0.60819401  1.077297    1.10429202  0.94565024  0.73556007
  0.21477623  0.29967017  0.39578057  0.48099144  0.45526534  0.3266244
  0.25337135  0.11712963  0.31010685  0.25891473  0.05568827 -0.0585102
  0.01235304 -0.01188533]"
