iter,funcval,gradnorm,x
1,2596.9873959424344,2394.6296025107563,"[-0.15931561  1.0804818  -0.13083112 -0.78855884 -0.69037938  0.11441344
  1.254186    1.33353998  0.2004478  -0.69002475 -0.78410345 -0.18810582
  0.97540988  1.47546864  0.56112194 -0.5233788  -0.8256699  -0.43421036
  0.64075416  1.4862701   0.91258871 -0.28498818 -0.81596829 -0.61770715
  0.29224034  1.36570887  1.21096732  0.01875154 -0.7503706  -0.74106852
 -0.03354646  1.13313529  1.41555442  0.36799274 -0.62078654 -0.8098983
 -0.3111271   0.82290033  1.49735514  0.72965891 -0.42046643 -0.82766653
 -0.52801044  0.47667739  1.4453581   1.06172096 -0.14987044 -0.7926371
 -0.68268382 -0.54727792]"
2,2596.9873959424344,2394.6296025107563,"[-0.15931561  1.0804818  -0.13083112 -0.78855884 -0.69037938  0.11441344
  1.254186    1.33353998  0.2004478  -0.69002475 -0.78410345 -0.18810582
  0.97540988  1.47546864  0.56112194 -0.5233788  -0.8256699  -0.43421036
  0.64075416  1.4862701   0.91258871 -0.28498818 -0.81596829 -0.61770715
  0.29224034  1.36570887  1.21096732  0.01875154 -0.7503706  -0.74106852
 -0.03354646  1.13313529  1.41555442  0.36799274 -0.62078654 -0.8098983
 -0.3111271   0.82290033  1.49735514  0.72965891 -0.42046643 -0.82766653
 -0.52801044  0.47667739  1.4453581   1.06172096 -0.14987044 -0.7926371
 -0.68268382 -0.54727792]"
3,1061.6036031107624,915.1434597271236,"[ 0.78687968 -0.36434945  0.01410404 -0.62988297 -0.43457076  0.80738101
  0.40352505  0.55239072  0.5359217  -0.54472314 -0.59403038  0.45406112
  1.06156329 -0.1575771   0.26326926 -0.41513603 -0.66187838  0.04246639
  0.98376421  0.06495837 -0.21123933 -0.16923261 -0.65704881 -0.30221995
  0.92231638 -0.17850492  0.80621542  0.29745909 -0.5947796  -0.52255219
  0.65773434  0.88107678 -0.02029449  0.564789   -0.49139478 -0.63576724
  0.26014724  1.02771702  0.1004252  -0.13667476 -0.32271632 -0.6678664
 -0.13330307  0.96968783 -0.23239096  0.26694472  0.02420528 -0.63379563
 -0.40374763 -0.27577267]"
4,1061.6036031107624,915.1434597271236,"[ 0.78687968 -0.36434945  0.01410404 -0.62988297 -0.43457076  0.80738101
  0.40352505  0.55239072  0.5359217  -0.54472314 -0.59403038  0.45406112
  1.06156329 -0.1575771   0.26326926 -0.41513603 -0.66187838  0.04246639
  0.98376421  0.06495837 -0.21123933 -0.16923261 -0.65704881 -0.30221995
  0.92231638 -0.17850492  0.80621542  0.29745909 -0.5947796  -0.52255219
  0.65773434  0.88107678 -0.02029449  0.564789   -0.49139478 -0.63576724
  0.26014724  1.02771702  0.1004252  -0.13667476 -0.32271632 -0.6678664
 -0.13330307  0.96968783 -0.23239096  0.26694472  0.02420528 -0.63379563
 -0.40374763 -0.27577267]"
5,516.4496478909136,499.4889048980854,"[ 0.98860674 -0.4749638   0.30687701 -0.41275735  0.00989089  0.91442393
  0.58196318  0.96281318  0.59850342 -0.36379281 -0.26164894  0.93390217
  0.32454995 -0.05101779  0.48411997 -0.17047659 -0.41778179  0.64484012
  0.42268061  0.27947517  0.156909    0.17656011 -0.43510536  0.22745982
  0.66014596  0.26587561  0.29787426  0.37154252 -0.39464108 -0.12957324
  0.96343613  0.78328506  0.36341218  0.75558717 -0.30802605 -0.35621664
  0.83119172  0.36666822  0.30565965  0.23928811 -0.00279615 -0.43822482
  0.45648561  0.50389862 -0.14474963  0.46888528  0.38530721 -0.42024286
 -0.05352304  0.05527716]"
6,516.4496478909136,499.4889048980854,"[ 0.98860674 -0.4749638   0.30687701 -0.41275735  0.00989089  0.91442393
  0.58196318  0.96281318  0.59850342 -0.36379281 -0.26164894  0.93390217
  0.32454995 -0.05101779  0.48411997 -0.17047659 -0.41778179  0.64484012
  0.42268061  0.27947517  0.156909    0.17656011 -0.43510536  0.22745982
  0.66014596  0.26587561  0.29787426  0.37154252 -0.39464108 -0.12957324
  0.96343613  0.78328506  0.36341218  0.75558717 -0.30802605 -0.35621664
  0.83119172  0.36666822  0.30565965  0.23928811 -0.00279615 -0.43822482
  0.45648561  0.50389862 -0.14474963  0.46888528  0.38530721 -0.42024286
 -0.05352304  0.05527716]"
7,343.0063502724147,313.9956037963823,"[ 0.90973444 -0.38812861  0.23977763 -0.32583326  0.24234925  0.77829217
  0.75639507  0.36731618  0.55079879 -0.30069992 -0.03159765  0.45105038
  0.45363871  0.02536136  0.28281705 -0.08778922 -0.27115846  0.56078302
  0.53402404  0.14406765  0.19226577  0.28569088 -0.33605721  0.36731298
  0.58158754  0.17250564  0.48651062  0.14583701 -0.3139967   0.12171917
  0.68066342  0.82529276  0.58230095  0.65014367 -0.25763226 -0.16773747
  0.5529803   0.54134537  0.14589539  0.28892907  0.10796158 -0.3184858
  0.49102156  0.50533532 -0.0782604   0.24993279  0.48526168 -0.33817288
  0.07293962  0.18330156]"
8,343.0063502724147,313.9956037963823,"[ 0.90973444 -0.38812861  0.23977763 -0.32583326  0.24234925  0.77829217
  0.75639507  0.36731618  0.55079879 -0.30069992 -0.03159765  0.45105038
  0.45363871  0.02536136  0.28281705 -0.08778922 -0.27115846  0.56078302
  0.53402404  0.14406765  0.19226577  0.28569088 -0.33605721  0.36731298
  0.58158754  0.17250564  0.48651062  0.14583701 -0.3139967   0.12171917
  0.68066342  0.82529276  0.58230095  0.65014367 -0.25763226 -0.16773747
  0.5529803   0.54134537  0.14589539  0.28892907  0.10796158 -0.3184858
  0.49102156  0.50533532 -0.0782604   0.24993279  0.48526168 -0.33817288
  0.07293962  0.18330156]"
9,265.661546417885,239.22936734246215,"[ 0.75415821 -0.33605363  0.25175021 -0.25352603  0.38640628  0.77183595
  0.58170723  0.53929022  0.67806292 -0.25325984  0.07015602  0.48513454
  0.37325544 -0.01651014  0.30510965 -0.01896857 -0.16757334  0.57790674
  0.46879451  0.10513876  0.20335577  0.37150558 -0.25882308  0.4507478
  0.47824468  0.24672253  0.36892146  0.30409353 -0.24233303  0.25075687
  0.77477603  0.70046884  0.66462452  0.79172691 -0.21929479 -0.05812366
  0.57361367  0.4546782   0.14284029  0.28719406  0.19834799 -0.22740841
  0.52672673  0.44707255 -0.1222217   0.2582929   0.52629276 -0.27706125
  0.16108551  0.28803286]"
10,217.20732142381954,297.22399047389246,"[ 0.40851343 -0.31651157  0.21328697 -0.150936    0.53947649  0.39487717
  0.94464876  0.9703717   0.79652397 -0.2220931   0.19895533  0.41256114
  0.13269047 -0.17647244  0.27295924  0.07033929 -0.02330548  0.50096423
  0.2275081  -0.08163755  0.28496392  0.47269639 -0.15187734  0.45604315
  0.37556272  0.11364151  0.34691282  0.54827703 -0.16748999  0.44529967
  0.50312596  1.02923822  1.01201556  0.8090194  -0.20954259  0.09108718
  0.47210596  0.23072745 -0.00263765  0.33830351  0.33406574 -0.10000704
  0.48855065  0.25460215 -0.25343894  0.23898876  0.52994341 -0.19786727
  0.25341432  0.44036262]"
