iter,funcval,gradnorm,x
1,14981.054583983307,23816.6344484668,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
2,14981.054583983307,23816.6344484668,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]"
3,4207.9245241722865,10721.437674117373,"[0.9638646  0.94081609 0.75950996 0.60701029 0.96819129 0.94719945
 0.79099396 0.65347565 0.99121244 0.99084321 0.99039057 0.99088236
 0.9913074  0.99129731 0.99099932 0.99163616 0.99002185 0.99104004
 0.99124531 0.99083475 0.99088924 0.98657826 0.98920453 0.98690875
 0.98648231 0.98714131 0.98742945 0.98821038 0.98706085 0.98768464
 0.98812608 0.98962867 0.98848132 0.99309911 0.99337352 0.99333693
 0.9931068  0.99359268 0.99379217 0.99311207 0.99337107 0.99385884
 0.99349997 0.99239148 0.99255595 0.99251524 0.99193494 0.99232501
 0.99226735 0.99275402 0.99188236 0.99224647 0.99200505 0.99223327
 0.99174433 0.9918206  0.99171131 0.99208552 0.99198311 0.99177181
 0.99143648 0.99160649 0.99206896 0.99191713 0.98879009 0.98970241
 0.98933218 0.98908865 0.98925259 0.98930127 0.98911458 0.99698482
 0.99688296 0.99677133 0.99688684 0.99705653 0.99700803 0.99691943
 0.99709937 0.99678065 0.99694236 0.9969977  0.99692342 0.99691461
 0.99613388 0.99674271 0.9962638  0.99614689 0.99628145 0.99639472
 0.9965159  0.99628063 0.99637301 0.99646963 0.9968435  0.99653106
 0.99738477 0.99747157 0.99747117 0.99740393 0.99754543 0.9975973
 0.9973919  0.99746745 0.99764946 0.99752323 0.99750974 0.99755522
 0.99754139 0.99740279 0.99750355 0.99748066 0.99760188 0.99738053
 0.99748743 0.99742093 0.99746484 0.99734607 0.99737097 0.99733196
 0.99743503 0.99752567 0.99749967 0.99739038 0.9974429  0.99755018
 0.99751442 0.99720042 0.99734703 0.99720987 0.99724276 0.99721112
 0.99728644 0.99719122]"
4,1751.9616060157566,2449.242644866629,"[0.9089301  0.89142086 0.36140207 0.23793648 0.9194259  0.84464657
 0.66355811 0.27611812 1.0586422  1.05840719 1.06296419 1.05576798
 1.05792617 1.05533397 1.05772876 1.05565339 1.06597464 1.06107415
 1.05906848 1.0593143  1.06180445 1.13992009 1.12790294 1.1399783
 1.14042217 1.13846984 1.1399219  1.13306392 1.14161723 1.13493428
 1.13330341 1.12309371 1.12936414 1.01853995 1.01609789 1.02204309
 1.02186802 1.01884443 1.01556465 1.01979837 1.01574576 1.02005385
 1.02119936 1.07876844 1.07532299 1.07717764 1.08184065 1.0801851
 1.08055615 1.07417315 1.08162313 1.08052145 1.0817606  1.07703991
 1.08134604 1.08497207 1.08292813 1.08402278 1.09258066 1.09620316
 1.09766861 1.09863753 1.09439401 1.09546    1.22462737 1.2167435
 1.21575868 1.22240915 1.21875023 1.21874461 1.21761839 1.04745826
 1.04655547 1.04710472 1.04575936 1.04650617 1.04637939 1.04675679
 1.0473491  1.0455143  1.04790481 1.04762351 1.04607917 1.04758564
 1.06021309 1.06190613 1.05981083 1.05953652 1.06047359 1.06055618
 1.06119081 1.06096428 1.06111091 1.061643   1.06131627 1.06158934
 1.03840196 1.03797774 1.0402735  1.03954098 1.03964725 1.03894475
 1.0389203  1.03788077 1.04048942 1.04030217 1.05356089 1.05270591
 1.05335961 1.05308582 1.05361046 1.05377451 1.05302725 1.05306944
 1.0533948  1.053254   1.05253503 1.05256019 1.05397009 1.05318228
 1.05448487 1.05428772 1.05428472 1.05455269 1.05508174 1.05509489
 1.05497866 1.07585654 1.07735782 1.07791821 1.07657811 1.07801284
 1.07610841 1.07703302]"
5,1751.9616060157566,2449.242644866629,"[0.9089301  0.89142086 0.36140207 0.23793648 0.9194259  0.84464657
 0.66355811 0.27611812 1.0586422  1.05840719 1.06296419 1.05576798
 1.05792617 1.05533397 1.05772876 1.05565339 1.06597464 1.06107415
 1.05906848 1.0593143  1.06180445 1.13992009 1.12790294 1.1399783
 1.14042217 1.13846984 1.1399219  1.13306392 1.14161723 1.13493428
 1.13330341 1.12309371 1.12936414 1.01853995 1.01609789 1.02204309
 1.02186802 1.01884443 1.01556465 1.01979837 1.01574576 1.02005385
 1.02119936 1.07876844 1.07532299 1.07717764 1.08184065 1.0801851
 1.08055615 1.07417315 1.08162313 1.08052145 1.0817606  1.07703991
 1.08134604 1.08497207 1.08292813 1.08402278 1.09258066 1.09620316
 1.09766861 1.09863753 1.09439401 1.09546    1.22462737 1.2167435
 1.21575868 1.22240915 1.21875023 1.21874461 1.21761839 1.04745826
 1.04655547 1.04710472 1.04575936 1.04650617 1.04637939 1.04675679
 1.0473491  1.0455143  1.04790481 1.04762351 1.04607917 1.04758564
 1.06021309 1.06190613 1.05981083 1.05953652 1.06047359 1.06055618
 1.06119081 1.06096428 1.06111091 1.061643   1.06131627 1.06158934
 1.03840196 1.03797774 1.0402735  1.03954098 1.03964725 1.03894475
 1.0389203  1.03788077 1.04048942 1.04030217 1.05356089 1.05270591
 1.05335961 1.05308582 1.05361046 1.05377451 1.05302725 1.05306944
 1.0533948  1.053254   1.05253503 1.05256019 1.05397009 1.05318228
 1.05448487 1.05428772 1.05428472 1.05455269 1.05508174 1.05509489
 1.05497866 1.07585654 1.07735782 1.07791821 1.07657811 1.07801284
 1.07610841 1.07703302]"
6,1496.7711422346517,1356.757606717416,"[0.92021577 0.92731246 0.40046529 0.41964571 0.91005977 0.82929957
 0.69148939 0.33403678 0.985239   0.98184086 0.98323553 0.97908016
 0.9852297  0.98215771 0.98234983 0.98548319 0.98352107 0.98661714
 0.98603981 0.98290342 0.98615296 1.03740748 1.04697695 1.04045851
 1.03723062 1.04072481 1.04480768 1.04393591 1.04348943 1.04151266
 1.04347502 1.04510685 1.04214446 0.95475972 0.95422881 0.9608943
 0.95877115 0.95935022 0.95716471 0.95634552 0.95380349 0.96304365
 0.96134458 1.01705246 1.01457292 1.01633321 1.01660148 1.01812836
 1.01804503 1.01500343 1.01593971 1.01781359 1.01715016 1.01369991
 1.01437937 1.01921523 1.01596016 1.02042996 1.02805695 1.03026623
 1.02901449 1.03159076 1.03086191 1.03072599 1.14565572 1.14542264
 1.14112545 1.14598102 1.1436612  1.143948   1.14114348 1.03409906
 1.03212471 1.03177097 1.03124581 1.03356251 1.03302354 1.03270582
 1.03495277 1.02988394 1.03422825 1.03439343 1.03184499 1.03359989
 1.04085881 1.04845716 1.04146591 1.04010077 1.04249002 1.04356811
 1.04555234 1.04303067 1.04414423 1.04569396 1.04875946 1.04624701
 1.02684876 1.02707267 1.02981311 1.02834659 1.02968019 1.02929245
 1.02752759 1.02691858 1.03156268 1.0302656  1.04640323 1.04577672
 1.04643877 1.04485948 1.046381   1.04638074 1.04657299 1.04463159
 1.04598102 1.04521048 1.04478199 1.04373341 1.04561124 1.04432602
 1.04680924 1.04774939 1.0474944  1.04683844 1.04793563 1.04893072
 1.04846908 1.06920548 1.07255975 1.07197756 1.07052892 1.0720408
 1.07042085 1.07068411]"
7,1280.8005849228439,1117.892593940048,"[0.92998329 1.02148365 0.16373771 0.56416987 0.87487557 0.66630361
 1.03218873 0.14187067 0.82821788 0.81317965 0.81134156 0.80475259
 0.8298934  0.82023469 0.81634701 0.83561836 0.8075636  0.83057421
 0.83143651 0.81759614 0.82699795 0.9180461  0.98740374 0.93400828
 0.91772216 0.93692635 0.95325138 0.96166046 0.94340419 0.94711402
 0.95874332 0.98646288 0.95985861 0.76170694 0.7638828  0.78378298
 0.77464173 0.78288828 0.77854997 0.76674063 0.76263535 0.79795291
 0.78796458 0.92468114 0.92032346 0.92472409 0.9166532  0.92734626
 0.92607093 0.92481047 0.91432788 0.92509698 0.91968187 0.91242436
 0.90714784 0.92293875 0.91194017 0.93039014 0.93809961 0.94086051
 0.93180741 0.9419889  0.94754591 0.94457706 1.21574911 1.23104891
 1.21243891 1.22174308 1.21842409 1.22036888 1.20894868 1.07274846
 1.06505238 1.06224957 1.06244202 1.07208684 1.06973456 1.06745533
 1.07705432 1.05641747 1.07245854 1.07382531 1.06464102 1.07008374
 1.08019657 1.1133687  1.08389627 1.07787532 1.087516   1.09259553
 1.1008396  1.08919537 1.09418227 1.10061186 1.1160366  1.10335812
 1.05604833 1.05797389 1.0665257  1.06093568 1.06713407 1.06669274
 1.0582654  1.05742533 1.0744954  1.0686255  1.1207131  1.11937525
 1.12127331 1.1142103  1.12050811 1.12016999 1.12256458 1.11310686
 1.11901816 1.1155568  1.11491396 1.10980622 1.11606157 1.1113903
 1.12082616 1.12665846 1.12553015 1.12174551 1.12603254 1.13078125
 1.12879326 1.19112762 1.2042469  1.19998534 1.19605945 1.20023453
 1.19636124 1.19555064]"
8,1280.8005849228439,1117.892593940048,"[0.92998329 1.02148365 0.16373771 0.56416987 0.87487557 0.66630361
 1.03218873 0.14187067 0.82821788 0.81317965 0.81134156 0.80475259
 0.8298934  0.82023469 0.81634701 0.83561836 0.8075636  0.83057421
 0.83143651 0.81759614 0.82699795 0.9180461  0.98740374 0.93400828
 0.91772216 0.93692635 0.95325138 0.96166046 0.94340419 0.94711402
 0.95874332 0.98646288 0.95985861 0.76170694 0.7638828  0.78378298
 0.77464173 0.78288828 0.77854997 0.76674063 0.76263535 0.79795291
 0.78796458 0.92468114 0.92032346 0.92472409 0.9166532  0.92734626
 0.92607093 0.92481047 0.91432788 0.92509698 0.91968187 0.91242436
 0.90714784 0.92293875 0.91194017 0.93039014 0.93809961 0.94086051
 0.93180741 0.9419889  0.94754591 0.94457706 1.21574911 1.23104891
 1.21243891 1.22174308 1.21842409 1.22036888 1.20894868 1.07274846
 1.06505238 1.06224957 1.06244202 1.07208684 1.06973456 1.06745533
 1.07705432 1.05641747 1.07245854 1.07382531 1.06464102 1.07008374
 1.08019657 1.1133687  1.08389627 1.07787532 1.087516   1.09259553
 1.1008396  1.08919537 1.09418227 1.10061186 1.1160366  1.10335812
 1.05604833 1.05797389 1.0665257  1.06093568 1.06713407 1.06669274
 1.0582654  1.05742533 1.0744954  1.0686255  1.1207131  1.11937525
 1.12127331 1.1142103  1.12050811 1.12016999 1.12256458 1.11310686
 1.11901816 1.1155568  1.11491396 1.10980622 1.11606157 1.1113903
 1.12082616 1.12665846 1.12553015 1.12174551 1.12603254 1.13078125
 1.12879326 1.19112762 1.2042469  1.19998534 1.19605945 1.20023453
 1.19636124 1.19555064]"
9,1118.8033879765667,842.7458790147289,"[0.95259878 1.06446587 0.12362997 0.53358735 0.85219309 0.63428233
 1.00624583 0.13914625 0.77970603 0.76448298 0.76181374 0.75544365
 0.7824433  0.77239994 0.76721313 0.78932076 0.7584792  0.78235708
 0.78345389 0.770908   0.77839702 0.85262796 0.9306212  0.87200331
 0.85456582 0.87342887 0.89000818 0.89962576 0.87854718 0.88445962
 0.89594431 0.92912697 0.89796527 0.71928945 0.72239135 0.74217718
 0.7330909  0.74255708 0.73828766 0.72437078 0.7212484  0.75872633
 0.74769755 0.85505679 0.85261412 0.85620916 0.84549498 0.85799929
 0.85620549 0.85819426 0.84361304 0.85530654 0.8492151  0.84277427
 0.83546387 0.8511844  0.84065544 0.8593091  0.84708596 0.84795279
 0.83719718 0.84762034 0.85615339 0.85222047 1.05997693 1.08071059
 1.06100627 1.0672819  1.06584072 1.06905056 1.05677446 1.06763245
 1.05871024 1.0550025  1.05602817 1.0671061  1.06449246 1.06159911
 1.07286121 1.04833694 1.06697977 1.06881    1.05815688 1.06421953
 1.06922498 1.10801498 1.07341551 1.06652417 1.07765163 1.08348362
 1.09334658 1.07938306 1.08544256 1.09296988 1.11173515 1.09641937
 1.05219207 1.05473513 1.06404458 1.05748889 1.06508278 1.06497444
 1.0546386  1.05411048 1.07363375 1.06653513 1.12396648 1.12277851
 1.12476049 1.11614796 1.12358952 1.12311445 1.12654318 1.11478466
 1.12187277 1.11767225 1.11742233 1.11107054 1.11787636 1.11260598
 1.1234792  1.13178501 1.13034399 1.12562146 1.13052233 1.1363591
 1.13398852 1.19435027 1.20964384 1.20435643 1.19998622 1.20443965
 1.2006932  1.1993876 ]"
10,898.7193477908739,1292.4802166934423,"[ 1.03680287  1.11954304  0.39445489  0.46169116  0.87179764  0.5318122
  1.48211204 -0.03896806  0.6721134   0.65436955  0.6494448   0.64342133
  0.67708202  0.66519854  0.65693703  0.68688165  0.64614681  0.67527323
  0.67716111  0.66474003  0.67008761  0.72319366  0.82624934  0.75059233
  0.72873715  0.75008612  0.76961367  0.78269989  0.75384688  0.76413428
  0.77722975  0.82414334  0.78109452  0.61771704  0.62311319  0.6446733
  0.63437122  0.64757932  0.64330878  0.62341997  0.62201385  0.66765956
  0.65320023  0.72489945  0.72532541  0.72801401  0.71154314  0.72860744
  0.72571776  0.73338397  0.71005219  0.72487453  0.71682148  0.71104305
  0.69935388  0.71685236  0.70570559  0.72714292  0.68315857  0.68128636
  0.6663368   0.67850533  0.69276003  0.68683125  0.83307766  0.86281087
  0.83841002  0.84266202  0.84260528  0.84889903  0.83311888  1.0554361
  1.04325939  1.03738241  1.04021302  1.05529957  1.05180284  1.04737512
  1.0629799   1.02877147  1.05398033  1.05692211  1.04249351  1.05024438
  1.04664473  1.09998925  1.05234632  1.04299304  1.05812113  1.06619333
  1.07991481  1.06024558  1.06873681  1.07913151  1.10610365  1.08416942
  1.04142228  1.04550061  1.05699534  1.04796164  1.05904554  1.05964701
  1.04451519  1.04466769  1.07073656  1.06050289  1.13430583  1.13326858
  1.1355955   1.1233047   1.13359288  1.13279392  1.13843898  1.12127009
  1.1313085   1.12529515  1.12571825  1.11644251  1.12495561  1.11799061
  1.13266137  1.14753211  1.14552385  1.13852657  1.14510184  1.15342794
  1.15014672  1.21943406  1.23966293  1.23176002  1.2267632   1.23175818
  1.22800134  1.22546777]"
