iter,funcval,gradnorm,x
1,266138.3502007448,3897322.9716811515,"[ 1.01956655e+00  5.61031103e-02  1.18931154e-02  1.97346789e-02
  4.26960104e-01  1.84085981e-02  7.97816739e-01  2.50956470e-02
  2.16776504e-01  1.45748640e-02  2.68518902e+00  2.39020960e-01
  8.01934384e-01  5.45251975e-03  2.26031708e+00  5.43701885e-02
  1.43270921e+01  8.10899421e+00  1.21402135e+01  5.86316018e+00
  2.74868783e-01  1.82390916e-02  2.41730362e-01  1.87073525e-02
  1.16246833e+00  6.07406616e-02  1.76033603e-01  1.78629096e-02
  1.13940045e-01  1.82460634e-02  3.74044116e+00  5.78634222e-01
  8.31669182e-01  4.20544955e-02  1.57688937e-01  1.93093502e-02
  3.85663734e-01  2.23836148e-02  9.21237191e-01  4.72662619e-02
  2.58439879e-01  1.89644852e-02  2.06720786e+00  1.85227606e-01
  1.94129285e+00  1.61057203e-01  1.48084923e+00  9.73172797e-02
  4.79211868e-01  2.53530465e-02  4.92062543e-01  2.48318425e-02
  3.28075067e-01  2.18317442e-02  8.38420584e-01  4.61412663e-02
  4.58571465e-01  3.17837388e-02  4.89461295e-01  3.31016396e-02
  9.78582463e-01 -4.51415428e-02 -1.87987001e-02  2.01588501e-02
  2.64795275e-01  2.20309291e-02]"
2,148032.28789509932,80226.08031604119,"[ 0.98778152  0.15782126 -0.02596056  0.01758663  0.35853856  0.22958667
  0.72357344  0.43158768  0.1483288   0.0872867   2.64396111  0.4649275
  0.61984833  9.94244014  2.2004523   0.83865778 14.32169948  8.11786135
 12.13289526  5.87676773  0.22972748  0.15021166  0.19602384  0.12447977
  1.12089912  0.18829693  0.13109935  0.06096672  0.07323097  0.03644998
  3.71133596  0.6125929   0.78636506  0.16839547  0.11033147  0.04396467
  0.33809573  0.10578018  0.87194244  0.14147906  0.20527402  0.09016834
  2.02650321  0.21568264  1.89820407  0.21958941  1.43099432  0.24047031
  0.41543812  0.2152371   0.44120486  0.1352196   0.28963355  0.07263442
  0.80516193  0.12070075  0.42370772  0.17311946  0.45532453  0.17982747
  0.97696278 -0.28123002 -0.06323327  0.02112495  0.23964282  0.06652623]"
3,111957.35648769066,377114.45743246813,"[ 0.12104236  1.55870132 -1.52652691 -0.03509917 -0.63663042  0.78854386
 -0.0862864   0.85775534 -1.12805746  0.47632979  1.82964421  1.53663825
  0.44037839  9.94673845  1.4256094   1.18669923 14.10497958  7.84293064
 11.83858833  5.96279433 -1.0666731   0.44456394 -1.17342319  0.43134715
 -0.34726076  1.72632999 -1.60667051  0.45866585 -1.7221724   0.33839572
  2.44396317  2.65231774 -0.92894368  0.85604434 -1.82324812  0.29822902
 -1.57265322  0.48953853 -1.07966888  1.39094812 -1.8866781   0.53619524
  0.13799935  2.9607713   0.07452843  2.65480664 -0.30176098  1.98112063
 -1.32253873  0.73433205 -1.31920463  0.73031794 -1.41909153  0.47411669
 -0.62946587  0.59239963 -0.4980422   0.26089744 -0.4398536   0.26807458
  1.747539   -1.17373509 -2.042313    0.09628643 -0.92731033  0.1836859 ]"
4,111957.35648769066,377114.45743246813,"[ 0.12104236  1.55870132 -1.52652691 -0.03509917 -0.63663042  0.78854386
 -0.0862864   0.85775534 -1.12805746  0.47632979  1.82964421  1.53663825
  0.44037839  9.94673845  1.4256094   1.18669923 14.10497958  7.84293064
 11.83858833  5.96279433 -1.0666731   0.44456394 -1.17342319  0.43134715
 -0.34726076  1.72632999 -1.60667051  0.45866585 -1.7221724   0.33839572
  2.44396317  2.65231774 -0.92894368  0.85604434 -1.82324812  0.29822902
 -1.57265322  0.48953853 -1.07966888  1.39094812 -1.8866781   0.53619524
  0.13799935  2.9607713   0.07452843  2.65480664 -0.30176098  1.98112063
 -1.32253873  0.73433205 -1.31920463  0.73031794 -1.41909153  0.47411669
 -0.62946587  0.59239963 -0.4980422   0.26089744 -0.4398536   0.26807458
  1.747539   -1.17373509 -2.042313    0.09628643 -0.92731033  0.1836859 ]"
5,71397.29006301599,37446.02693503215,"[ 0.13907696  1.55877438 -1.43274362 -2.42415323 -0.61859233  0.78160961
 -0.06645253  0.85713755 -1.11212721  0.44790076  1.85191519  1.53166331
  0.44709129  9.94646002  1.45190692  1.18033444 14.11341716  7.82895501
 11.84954429  5.94322436 -1.01359985  0.47290775 -1.11943469  0.46238136
 -0.3158531   1.73065437 -1.54560959  0.51282288 -1.65597685  0.40034541
  2.46754629  2.63403141 -0.87477992  0.88811608 -1.73866882  0.45709977
 -1.50165433  0.58564207 -1.03955707  1.41215958 -1.82188952  0.62071145
  0.1598613   2.95987577  0.09807691  2.65426345 -0.2728494   1.98420001
 -1.2762885   0.75714578 -1.27501005  0.75062601 -1.37386364  0.49185023
 -0.58889658  0.60049522 -0.46430827  0.26912169 -0.40728087  0.27415192
  1.71716977 -1.18938967 -1.92172802  0.73598787 -0.88424205  0.21588433]"
6,32754.740763871174,17149.330325242387,"[ 0.17608537  1.88163513 -2.00667202 -2.44955257 -0.56385229  0.90656518
  0.04235056  0.94866042 -1.0976147   0.47139788  1.94697509  1.66225651
  0.48349764  9.81286285  1.60691717  1.10257898 14.15825503  7.79824387
 11.90575795  5.87647278 -0.71231845  0.83280752 -0.82792773  0.85713295
 -0.29595405  2.1281938  -1.3081066   1.13412672 -1.38568977  1.11383774
  2.44607854  2.91009981 -0.72322999  1.27296501 -1.49816965  1.17412511
 -1.30905734  1.16023589 -1.06425245  1.8844758  -1.70223142  1.2467954
 -0.03136155  3.59377831 -0.06124393  3.21725668 -0.3564394   2.41549607
 -1.18752619  1.1162434  -1.20728245  1.11482998 -1.26918058  0.83497338
 -0.47217793  0.79717236 -0.30534125  0.34977268 -0.25496601  0.33408756
  1.52141501 -1.62870125 -1.78834791  1.33587927 -0.68236516  0.51705972]"
7,15565.707014065374,9296.204557196324,"[ 0.53003976  2.61799811 -3.63988397 -2.60065313  0.05833379  1.40675793
  0.78608264  1.13217703 -0.31275471  1.21851179  2.50421487  1.69908135
  0.67276519  9.75824878  2.51743504  0.2930179  14.39298749  7.83643949
 12.21140163  5.63490745 -0.0588477   0.95317657 -0.26010337  1.01563656
 -0.13271119  3.02342191 -1.25981457  1.10567152 -1.48249342  0.76471253
  2.59542883  3.55627441 -0.42766511  1.66308562 -1.63564521  0.95443438
 -1.25622255  1.31897681 -1.10648555  2.83679426 -1.77681753  1.72235703
 -0.41029344  5.16129799 -0.34278715  4.60968234 -0.41162204  3.47018975
 -0.78360407  1.93179533 -0.82985009  1.99561294 -0.7127667   1.80276831
  0.28901649  1.24839234  0.72782645  0.3900889   0.79050115  0.37789406
  0.92948029 -2.47804027 -1.79429518  1.68912805  0.12422212  0.4036322 ]"
8,15565.707014065374,9296.204557196324,"[ 0.53003976  2.61799811 -3.63988397 -2.60065313  0.05833379  1.40675793
  0.78608264  1.13217703 -0.31275471  1.21851179  2.50421487  1.69908135
  0.67276519  9.75824878  2.51743504  0.2930179  14.39298749  7.83643949
 12.21140163  5.63490745 -0.0588477   0.95317657 -0.26010337  1.01563656
 -0.13271119  3.02342191 -1.25981457  1.10567152 -1.48249342  0.76471253
  2.59542883  3.55627441 -0.42766511  1.66308562 -1.63564521  0.95443438
 -1.25622255  1.31897681 -1.10648555  2.83679426 -1.77681753  1.72235703
 -0.41029344  5.16129799 -0.34278715  4.60968234 -0.41162204  3.47018975
 -0.78360407  1.93179533 -0.82985009  1.99561294 -0.7127667   1.80276831
  0.28901649  1.24839234  0.72782645  0.3900889   0.79050115  0.37789406
  0.92948029 -2.47804027 -1.79429518  1.68912805  0.12422212  0.4036322 ]"
9,14169.365635697433,3996.035209409643,"[ 5.76757170e-01  2.59159143e+00 -3.65386921e+00 -2.58417048e+00
  1.09604104e-01  1.44096310e+00  7.98901831e-01  1.23747541e+00
 -2.13078734e-01  1.31402012e+00  2.54572827e+00  1.73890328e+00
  6.91745396e-01  9.57881029e+00  2.27422085e+00  2.53491962e+00
  1.44122732e+01  7.85191690e+00  1.22391818e+01  5.60827628e+00
  6.41201261e-03  7.61777749e-01 -2.07975711e-01  8.28554662e-01
 -8.47774259e-02  2.97879592e+00 -1.25302772e+00  8.90724515e-01
 -1.46356845e+00  6.04520452e-01  2.65611292e+00  3.49348976e+00
 -3.65427943e-01  1.55070897e+00 -1.59040346e+00  8.79087754e-01
 -1.23602053e+00  1.18821326e+00 -1.06645058e+00  2.78479989e+00
 -1.78832619e+00  1.58584211e+00 -3.68666566e-01  5.12310758e+00
 -2.97469336e-01  4.57452459e+00 -3.55818370e-01  3.43992304e+00
 -7.05198116e-01  1.91200155e+00 -7.51676367e-01  1.98334361e+00
 -6.21813728e-01  1.81342420e+00  3.91119889e-01  1.23664211e+00
  5.09332237e-01  9.09649388e-01  5.65320019e-01  9.83463467e-01
  9.03594857e-01 -2.40972067e+00 -1.79140046e+00  1.55599813e+00
 -7.50345163e-02  2.56758431e-01]"
10,14169.365635697433,3996.035209409643,"[ 5.76757170e-01  2.59159143e+00 -3.65386921e+00 -2.58417048e+00
  1.09604104e-01  1.44096310e+00  7.98901831e-01  1.23747541e+00
 -2.13078734e-01  1.31402012e+00  2.54572827e+00  1.73890328e+00
  6.91745396e-01  9.57881029e+00  2.27422085e+00  2.53491962e+00
  1.44122732e+01  7.85191690e+00  1.22391818e+01  5.60827628e+00
  6.41201261e-03  7.61777749e-01 -2.07975711e-01  8.28554662e-01
 -8.47774259e-02  2.97879592e+00 -1.25302772e+00  8.90724515e-01
 -1.46356845e+00  6.04520452e-01  2.65611292e+00  3.49348976e+00
 -3.65427943e-01  1.55070897e+00 -1.59040346e+00  8.79087754e-01
 -1.23602053e+00  1.18821326e+00 -1.06645058e+00  2.78479989e+00
 -1.78832619e+00  1.58584211e+00 -3.68666566e-01  5.12310758e+00
 -2.97469336e-01  4.57452459e+00 -3.55818370e-01  3.43992304e+00
 -7.05198116e-01  1.91200155e+00 -7.51676367e-01  1.98334361e+00
 -6.21813728e-01  1.81342420e+00  3.91119889e-01  1.23664211e+00
  5.09332237e-01  9.09649388e-01  5.65320019e-01  9.83463467e-01
  9.03594857e-01 -2.40972067e+00 -1.79140046e+00  1.55599813e+00
 -7.50345163e-02  2.56758431e-01]"
