iter,funcval,gradnorm,x
1,47284.39720218859,123799.81191934078,"[ 6.75187585e-01  1.54642280e-01  6.48311860e-01  9.85086654e-02
  5.94678002e-01  8.93991427e-02  1.29627553e+00  4.95636534e-01
 -1.72075840e-02  1.94920960e-02  1.22479359e+00  4.02900114e-01
  2.11756509e-01 -8.58156134e-03  1.19752666e+00  2.76458006e-01
  4.51943765e+00  7.15268359e+00  4.38552650e+00  6.94220397e+00
  7.39443851e-02  1.98575185e-02  2.36911904e-01  2.83224556e-02
  7.03458340e-01  1.75104479e-01  1.99103969e-01  1.79518833e-02
 -6.90786140e-02  2.57271209e-02  1.37956419e+00  7.05286725e-01
  2.37314461e-01  3.49494076e-02  5.91412169e-02  1.96078563e-02
  2.03665274e-02  1.93621968e-02  4.16767916e-01  7.12168946e-02
  2.59493622e-01  3.23761817e-02  8.22723731e-01  2.50834745e-01
  1.01124052e+00  3.70726752e-01  7.82676200e-01  2.15243161e-01
  2.33924610e-01  3.02104386e-02  4.94593292e-01  8.79449466e-02
  2.68298190e-01  3.68232254e-02  3.78561988e-01  6.58518290e-02
  1.60764673e-01  3.59936283e-02  2.89519144e-01  5.79449792e-02
  1.64949521e-01 -2.84194791e-02  3.85466033e-03  1.97646060e-02
  1.58792644e-01  2.72758628e-02]"
2,39617.107573021654,5445410.781679036,"[ 1.74333931e-01  7.62410160e-01 -1.35034169e-01  1.91125025e+00
 -2.23208497e-01  1.70174625e+00  9.01384341e-01  9.73011729e-01
 -8.54850715e-01 -2.67478319e-02  7.89817451e-01  9.08615057e-01
  2.39551349e-01 -8.58792260e+00  7.63166661e-01  4.63916230e-01
  4.43066936e+00  7.20393682e+00  4.29355698e+00  6.99586201e+00
 -7.06165487e-01  4.95509106e-01 -5.16081974e-01  1.33256575e+00
  1.99207897e-01  4.67225046e-01 -5.26226391e-01  1.69008035e+00
 -6.24705025e-01 -3.62435001e-03  9.75631184e-01  8.80558280e-01
 -3.38380539e-01  5.34247712e-01 -5.15163867e-01  1.41196388e-01
 -4.81621389e-01  1.15166788e-02 -2.29107921e-01  4.43725961e-01
 -5.33371477e-01  1.03681865e+00  2.79508443e-01  4.68420745e-01
  4.98291942e-01  6.61057011e-01  2.01241518e-01  6.25375585e-01
 -6.10961794e-01  1.04372209e+00 -1.95761714e-01  5.78930366e-01
 -4.35257392e-01  6.26799791e-01 -1.25510300e-01  1.78335683e-01
 -2.88490559e-01  4.73471763e-01 -1.04808975e-01  5.29867694e-01
  4.18229673e-01 -2.09100196e-01 -5.30135712e-01  1.73336910e-02
 -2.52668469e-01  3.45460548e-01]"
3,39617.107573021654,5445410.781679036,"[ 1.74333931e-01  7.62410160e-01 -1.35034169e-01  1.91125025e+00
 -2.23208497e-01  1.70174625e+00  9.01384341e-01  9.73011729e-01
 -8.54850715e-01 -2.67478319e-02  7.89817451e-01  9.08615057e-01
  2.39551349e-01 -8.58792260e+00  7.63166661e-01  4.63916230e-01
  4.43066936e+00  7.20393682e+00  4.29355698e+00  6.99586201e+00
 -7.06165487e-01  4.95509106e-01 -5.16081974e-01  1.33256575e+00
  1.99207897e-01  4.67225046e-01 -5.26226391e-01  1.69008035e+00
 -6.24705025e-01 -3.62435001e-03  9.75631184e-01  8.80558280e-01
 -3.38380539e-01  5.34247712e-01 -5.15163867e-01  1.41196388e-01
 -4.81621389e-01  1.15166788e-02 -2.29107921e-01  4.43725961e-01
 -5.33371477e-01  1.03681865e+00  2.79508443e-01  4.68420745e-01
  4.98291942e-01  6.61057011e-01  2.01241518e-01  6.25375585e-01
 -6.10961794e-01  1.04372209e+00 -1.95761714e-01  5.78930366e-01
 -4.35257392e-01  6.26799791e-01 -1.25510300e-01  1.78335683e-01
 -2.88490559e-01  4.73471763e-01 -1.04808975e-01  5.29867694e-01
  4.18229673e-01 -2.09100196e-01 -5.30135712e-01  1.73336910e-02
 -2.52668469e-01  3.45460548e-01]"
4,39617.107573021654,5445410.781679036,"[ 1.74333931e-01  7.62410160e-01 -1.35034169e-01  1.91125025e+00
 -2.23208497e-01  1.70174625e+00  9.01384341e-01  9.73011729e-01
 -8.54850715e-01 -2.67478319e-02  7.89817451e-01  9.08615057e-01
  2.39551349e-01 -8.58792260e+00  7.63166661e-01  4.63916230e-01
  4.43066936e+00  7.20393682e+00  4.29355698e+00  6.99586201e+00
 -7.06165487e-01  4.95509106e-01 -5.16081974e-01  1.33256575e+00
  1.99207897e-01  4.67225046e-01 -5.26226391e-01  1.69008035e+00
 -6.24705025e-01 -3.62435001e-03  9.75631184e-01  8.80558280e-01
 -3.38380539e-01  5.34247712e-01 -5.15163867e-01  1.41196388e-01
 -4.81621389e-01  1.15166788e-02 -2.29107921e-01  4.43725961e-01
 -5.33371477e-01  1.03681865e+00  2.79508443e-01  4.68420745e-01
  4.98291942e-01  6.61057011e-01  2.01241518e-01  6.25375585e-01
 -6.10961794e-01  1.04372209e+00 -1.95761714e-01  5.78930366e-01
 -4.35257392e-01  6.26799791e-01 -1.25510300e-01  1.78335683e-01
 -2.88490559e-01  4.73471763e-01 -1.04808975e-01  5.29867694e-01
  4.18229673e-01 -2.09100196e-01 -5.30135712e-01  1.73336910e-02
 -2.52668469e-01  3.45460548e-01]"
5,11097.692036145327,87849.52706712527,"[ 0.17426378  0.7624317  -0.13504425  1.91125376 -0.22322291  1.70174559
  0.90133439  0.97309447 -0.85338122 -0.0498965   0.78976421  0.90869503
  0.23954413 -8.58795346  0.76307324  0.46402811  4.43067771  7.20392704
  4.29356581  6.99585189 -0.70618679  0.49546016 -0.51607087  1.33256424
  0.19918704  0.46727011 -0.52620071  1.69009082 -0.6174738  -0.62638828
  0.97568248  0.88053997 -0.33823071  0.53434063 -0.51470464  0.14182207
 -0.47900489  0.05409725 -0.22888328  0.44382982 -0.53327397  1.03687608
  0.27968485  0.46837765  0.49841851  0.6610211   0.20136194  0.62536608
 -0.61087008  1.04376312 -0.19564675  0.57894113 -0.43514966  0.62682409
 -0.12537264  0.17835483 -0.28840367  0.47348633 -0.10472603  0.52987351
  0.41819963 -0.20935638 -0.52806896  0.03668764 -0.25255913  0.34548114]"
6,4687.787066650131,54558.77594747544,"[ 0.16993314  0.76373382 -0.13505812  1.91080571 -0.22348181  1.70109988
  0.89850296  0.97876724 -0.79624251 -0.52041531  0.78677019  0.91418062
  0.23894877 -8.58672159  0.75706192  0.47316021  4.4313813   7.20384602
  4.29430784  6.99572469 -0.70502295  0.49362248 -0.51415918  1.33239211
  0.20186242  0.46816402 -0.52354161  1.69042616 -0.62163352 -0.64547889
  0.9808486   0.87680024 -0.32686943  0.54005938 -0.48618614  0.18111994
 -0.41397105  0.02426664 -0.21413201  0.44945398 -0.52604258  1.0401499
  0.29130948  0.46594983  0.50696531  0.65896498  0.20949048  0.62472938
 -0.60432571  1.04586282 -0.18786521  0.57936294 -0.42781439  0.6280108
 -0.11627209  0.17956097 -0.28255515  0.4742226  -0.0991457   0.53005899
  0.41717092 -0.22311987 -0.45262781  0.42504073 -0.24528561  0.34666535]"
7,4687.787066650131,54558.77594747544,"[ 0.16993314  0.76373382 -0.13505812  1.91080571 -0.22348181  1.70109988
  0.89850296  0.97876724 -0.79624251 -0.52041531  0.78677019  0.91418062
  0.23894877 -8.58672159  0.75706192  0.47316021  4.4313813   7.20384602
  4.29430784  6.99572469 -0.70502295  0.49362248 -0.51415918  1.33239211
  0.20186242  0.46816402 -0.52354161  1.69042616 -0.62163352 -0.64547889
  0.9808486   0.87680024 -0.32686943  0.54005938 -0.48618614  0.18111994
 -0.41397105  0.02426664 -0.21413201  0.44945398 -0.52604258  1.0401499
  0.29130948  0.46594983  0.50696531  0.65896498  0.20949048  0.62472938
 -0.60432571  1.04586282 -0.18786521  0.57936294 -0.42781439  0.6280108
 -0.11627209  0.17956097 -0.28255515  0.4742226  -0.0991457   0.53005899
  0.41717092 -0.22311987 -0.45262781  0.42504073 -0.24528561  0.34666535]"
8,2709.1847686899964,6130.541076756371,"[ 0.16319956  0.76618238 -0.13279312  1.90934305 -0.22163826  1.69929522
  0.89518617  0.9897077  -0.7813753  -0.56415161  0.78330599  0.92449949
  0.23665996 -8.58149475  0.74865333  0.4881484   4.43404707  7.20594293
  4.29710474  6.99760225 -0.70159699  0.48325794 -0.50694419  1.33153538
  0.20834163  0.47209552 -0.5144954   1.69083791 -0.63316989 -0.64846721
  0.99541769  0.86971079 -0.29748589  0.55258875 -0.42170846  0.26850277
 -0.17562529  0.03619923 -0.17604639  0.46091042 -0.50504118  1.04795107
  0.32381187  0.45953888  0.53299385  0.65213887  0.23514834  0.62208461
 -0.58383675  1.05221961 -0.16234632  0.58129981 -0.40343811  0.63314249
 -0.08334389  0.18413816 -0.26194441  0.47730993 -0.07958243  0.53081087
  0.41170916 -0.25404568 -0.40897515  0.31295408 -0.21941748  0.35147411]"
9,2445.624621570747,11153.304498416797,"[ 0.11750462  0.77755342 -0.14003429  1.90690137 -0.2317575   1.69469132
  0.86263874  1.03743095 -0.71141437 -0.68368922  0.748873    0.96973854
  0.23253696 -8.57900501  0.69216885  0.54788263  4.4388164   7.20516119
  4.30217751  6.99647211 -0.72024053  0.43890289 -0.50351725  1.32623424
  0.19743085  0.49130122 -0.50158826  1.69122388 -0.64405604 -0.66019833
  1.01881797  0.86195847 -0.23295763  0.58052373 -0.29716357  0.40437859
  0.25898536  0.03476429 -0.07942757  0.48702627 -0.45301581  1.07016795
  0.41374794  0.43725203  0.60908701  0.62680856  0.31289332  0.61111489
 -0.52533886  1.0756861  -0.08186369  0.58948128 -0.32533004  0.65537684
  0.03672201  0.19873884 -0.18807133  0.49233067 -0.00996532  0.5347366
  0.41085037 -0.38428077 -0.27912337  0.37790645 -0.12556219  0.37208388]"
10,1955.8313669760907,2148.321893969393,"[ 4.75314601e-04  7.87426405e-01 -1.95693546e-01  1.88552122e+00
 -2.94456317e-01  1.67125898e+00  7.59404967e-01  1.10341624e+00
 -5.70115455e-01 -6.18708677e-01  6.39944820e-01  1.03098071e+00
  2.46615743e-01 -8.49642925e+00  5.50547682e-01  6.13878734e-01
  4.42297188e+00  7.19283352e+00  4.28589935e+00  6.98500738e+00
 -8.37692163e-01  3.75793631e-01 -5.78991014e-01  1.29329939e+00
  6.37959655e-02  5.21467613e-01 -5.60054117e-01  1.66037279e+00
 -5.24042857e-01 -6.54441403e-01  9.27157726e-01  9.21885356e-01
 -3.22893522e-01  5.67458396e-01 -3.76995051e-01  4.33013293e-01
 -5.62343511e-02  3.20032447e-02 -1.47211262e-01  4.91964674e-01
 -4.97542830e-01  1.05465772e+00  3.61786821e-01  4.51870320e-01
  5.86507984e-01  6.20195609e-01  3.04668439e-01  6.01524471e-01
 -5.37160162e-01  1.07701745e+00 -7.32367362e-02  5.93091199e-01
 -3.09420349e-01  6.73475118e-01  1.17818401e-01  2.09049635e-01
 -1.39348002e-01  5.10400121e-01  3.34512079e-02  5.34517432e-01
  4.67301215e-01 -5.95643808e-01 -4.12742298e-01  3.82787122e-01
 -6.24614089e-02  3.95229721e-01]"
