iter,funcval,gradnorm,x
1,110181.77599999998,121214.8483038994,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]"
2,34168.816155373446,38301.208330946625,"[-0.99866518 -0.91235483 -0.29028451 -0.91413514 -0.79680542 -0.95084087
 -0.4509732  -0.95352206 -0.97663818 -0.96587303 -0.88829916 -0.85705698
 -0.94522123 -0.94530208 -0.95323167 -0.95288848 -0.91599135 -0.99806129
 -0.99719506 -0.94411411 -0.77352398 -0.99142019 -0.94495889 -0.91446678
 -0.85544827 -0.65602399 -0.9757472  -0.85705698 -0.94126132  0.21899257
 -0.94522123 -0.94522123 -0.94031259  0.72416996 -0.88734878 -0.65565275
 -0.94495889 -0.91401799 -0.77241026 -0.8867944  -0.49745648 -0.91467138
 -0.8889575  -0.94361252 -0.65519901 -0.8889575  -0.94495889 -0.91591875
 -0.99517901 -0.89002997]"
3,34168.816155373446,38301.208330946625,"[-0.99866518 -0.91235483 -0.29028451 -0.91413514 -0.79680542 -0.95084087
 -0.4509732  -0.95352206 -0.97663818 -0.96587303 -0.88829916 -0.85705698
 -0.94522123 -0.94530208 -0.95323167 -0.95288848 -0.91599135 -0.99806129
 -0.99719506 -0.94411411 -0.77352398 -0.99142019 -0.94495889 -0.91446678
 -0.85544827 -0.65602399 -0.9757472  -0.85705698 -0.94126132  0.21899257
 -0.94522123 -0.94522123 -0.94031259  0.72416996 -0.88734878 -0.65565275
 -0.94495889 -0.91401799 -0.77241026 -0.8867944  -0.49745648 -0.91467138
 -0.8889575  -0.94361252 -0.65519901 -0.8889575  -0.94495889 -0.91591875
 -0.99517901 -0.89002997]"
4,13357.079652293047,19092.646416423766,"[-0.99555056 -0.73306373 -0.21301837 -0.73602117 -0.50548785 -0.83941536
 -0.2867467  -0.84316509 -0.91548385 -0.88004236 -0.66914418 -0.60444418
 -0.81632192 -0.81602022 -0.83982934 -0.83895874 -0.73559135 -0.99267645
 -0.98963011 -0.81384074 -0.47568442 -0.96851303 -0.81494765 -0.73203781
 -0.60333242 -0.37375995 -0.91452127 -0.60375958 -0.81503873  0.07062387
 -0.8220979  -0.81584083 -0.80429161  0.58356548 -0.68104415 -0.37277113
 -0.81683254 -0.73171509 -0.47384304 -0.67124899 -0.30347859 -0.73523799
 -0.67060384 -0.81452404 -0.37170697 -0.67249773 -0.81553928 -0.73541569
 -0.98270509 -0.67297308]"
5,3804.3592071190324,11053.326006528985,"[-0.98364752 -0.278783    0.08533141 -0.3009506  -0.52296931 -0.39035292
 -0.13154213 -0.38414113 -0.58107655 -0.47013722 -0.31779398 -0.39275221
 -0.34076176 -0.33272876 -0.37144685 -0.37249891 -0.28585947 -0.95639806
 -0.9427994  -0.33658196 -0.55641803 -0.82899829 -0.32900437 -0.2899451
 -0.39959088 -0.54092439 -0.59809405 -0.3829999  -0.34912295  0.22399822
 -0.34432103 -0.33318894 -0.32316465  0.48414147 -0.32941239 -0.53780117
 -0.34837089 -0.29393697 -0.55999234 -0.33141528 -0.23604531 -0.29822784
 -0.31723927 -0.35007801 -0.5362409  -0.32609205 -0.34019256 -0.2860066
 -0.91228772 -0.3123342 ]"
6,3804.3592071190324,11053.326006528985,"[-0.98364752 -0.278783    0.08533141 -0.3009506  -0.52296931 -0.39035292
 -0.13154213 -0.38414113 -0.58107655 -0.47013722 -0.31779398 -0.39275221
 -0.34076176 -0.33272876 -0.37144685 -0.37249891 -0.28585947 -0.95639806
 -0.9427994  -0.33658196 -0.55641803 -0.82899829 -0.32900437 -0.2899451
 -0.39959088 -0.54092439 -0.59809405 -0.3829999  -0.34912295  0.22399822
 -0.34432103 -0.33318894 -0.32316465  0.48414147 -0.32941239 -0.53780117
 -0.34837089 -0.29393697 -0.55999234 -0.33141528 -0.23604531 -0.29822784
 -0.31723927 -0.35007801 -0.5362409  -0.32609205 -0.34019256 -0.2860066
 -0.91228772 -0.3123342 ]"
7,2301.387707201177,7286.506119625818,"[-0.97587914 -0.24692193  0.11155665 -0.28214268 -0.5702014  -0.13794625
 -0.15476986 -0.12559134 -0.26180541 -0.16362718 -0.4457896  -0.48520192
 -0.13013274 -0.11812385 -0.11586623 -0.12011572 -0.26817523 -0.89093932
 -0.86850533 -0.10629248 -0.5353941  -0.62361346 -0.10781543 -0.28101444
 -0.49982926 -0.26782978 -0.28286544 -0.48371925 -0.13212538  0.04103336
 -0.12273338 -0.11992698 -0.09668991  0.42436412 -0.43281778 -0.26316032
 -0.13627709 -0.27801586 -0.53299639 -0.4496502  -0.04485699 -0.28654863
 -0.44763143 -0.1320284  -0.26107809 -0.45045207 -0.1328821  -0.26830308
 -0.80393878 -0.43216598]"
8,2301.387707201177,7286.506119625818,"[-0.97587914 -0.24692193  0.11155665 -0.28214268 -0.5702014  -0.13794625
 -0.15476986 -0.12559134 -0.26180541 -0.16362718 -0.4457896  -0.48520192
 -0.13013274 -0.11812385 -0.11586623 -0.12011572 -0.26817523 -0.89093932
 -0.86850533 -0.10629248 -0.5353941  -0.62361346 -0.10781543 -0.28101444
 -0.49982926 -0.26782978 -0.28286544 -0.48371925 -0.13212538  0.04103336
 -0.12273338 -0.11992698 -0.09668991  0.42436412 -0.43281778 -0.26316032
 -0.13627709 -0.27801586 -0.53299639 -0.4496502  -0.04485699 -0.28654863
 -0.44763143 -0.1320284  -0.26107809 -0.45045207 -0.1328821  -0.26830308
 -0.80393878 -0.43216598]"
9,1846.0700668374052,6368.609251613478,"[-0.97010446 -0.32832204  0.10362662 -0.36181115 -0.34109313 -0.04346558
 -0.18714225 -0.0287345  -0.07793178 -0.00513236 -0.48078715 -0.48726562
 -0.08419913 -0.07081441 -0.02404903 -0.02877451 -0.35640403 -0.82634801
 -0.7998651  -0.03903487 -0.3525972  -0.46627613 -0.05297997 -0.36641531
 -0.49266487 -0.31335403 -0.09525016 -0.4931801  -0.07884316  0.05173138
 -0.06340657 -0.07374189 -0.02847703  0.41430389 -0.47033263 -0.30159898
 -0.08822728 -0.36187371 -0.34886426 -0.48498964 -0.09749216 -0.36756534
 -0.47826517 -0.07975903 -0.29711693 -0.4813433  -0.08721798 -0.35594027
 -0.70277656 -0.46900988]"
10,1846.0700668374052,6368.609251613478,"[-0.97010446 -0.32832204  0.10362662 -0.36181115 -0.34109313 -0.04346558
 -0.18714225 -0.0287345  -0.07793178 -0.00513236 -0.48078715 -0.48726562
 -0.08419913 -0.07081441 -0.02404903 -0.02877451 -0.35640403 -0.82634801
 -0.7998651  -0.03903487 -0.3525972  -0.46627613 -0.05297997 -0.36641531
 -0.49266487 -0.31335403 -0.09525016 -0.4931801  -0.07884316  0.05173138
 -0.06340657 -0.07374189 -0.02847703  0.41430389 -0.47033263 -0.30159898
 -0.08822728 -0.36187371 -0.34886426 -0.48498964 -0.09749216 -0.36756534
 -0.47826517 -0.07975903 -0.29711693 -0.4813433  -0.08721798 -0.35594027
 -0.70277656 -0.46900988]"
