iter,funcval,gradnorm,x
1,152873.0724054592,131834.3590874508,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]"
2,19093.22637579142,19577.644703900427,"[-0.99643964 -0.3369129  -0.85542723 -0.99311404 -0.99696251 -0.95215426
 -0.57013881 -0.24445219 -0.73531473 -0.98240709 -0.99780581 -0.9797927
 -0.72766948 -0.2423597  -0.57824009 -0.956013   -0.99755959 -0.99144173
 -0.84916369 -0.33124109 -0.41302827 -0.90092299 -0.99560545 -0.99589804
 -0.92657231 -0.48113756 -0.28370706 -0.8046733  -0.9893766  -0.99750515
 -0.96785954 -0.64708389 -0.23138245 -0.66502983 -0.97270846 -0.99783218
 -0.98658955 -0.79008069 -0.27392696 -0.49931655 -0.93463002 -0.99695141
 -0.99407482 -0.89070846 -0.39654727 -0.34511043 -0.86143517 -0.99348792
 -0.99686571 -0.95250685]"
3,10609.423680701577,18463.016568620496,"[-0.99212524 -0.35664228  0.43767025 -0.89419193 -0.95339666 -0.36355555
  0.39364736 -0.56977461  0.70831343 -0.73868372 -0.96574395 -0.71155176
  0.71972879 -0.5728613   0.40175357 -0.39671647 -0.96179789 -0.87388504
  0.46801898 -0.38777016 -0.15792379  0.14418366 -0.93183803 -0.93791699
 -0.09091583  0.08595423 -0.49986977  0.62945171 -0.83876806 -0.96134163
 -0.55453022  0.61055003 -0.58934405  0.63110352 -0.60632345 -0.96605309
 -0.80529524  0.66903445 -0.51739309  0.1345379  -0.16039598 -0.95242365
 -0.91159978  0.21485844 -0.20004114 -0.35717523  0.40599328 -0.89980514
 -0.95190408 -0.34403226]"
4,10609.423680701577,18463.016568620496,"[-0.99212524 -0.35664228  0.43767025 -0.89419193 -0.95339666 -0.36355555
  0.39364736 -0.56977461  0.70831343 -0.73868372 -0.96574395 -0.71155176
  0.71972879 -0.5728613   0.40175357 -0.39671647 -0.96179789 -0.87388504
  0.46801898 -0.38777016 -0.15792379  0.14418366 -0.93183803 -0.93791699
 -0.09091583  0.08595423 -0.49986977  0.62945171 -0.83876806 -0.96134163
 -0.55453022  0.61055003 -0.58934405  0.63110352 -0.60632345 -0.96605309
 -0.80529524  0.66903445 -0.51739309  0.1345379  -0.16039598 -0.95242365
 -0.91159978  0.21485844 -0.20004114 -0.35717523  0.40599328 -0.89980514
 -0.95190408 -0.34403226]"
5,4121.127576613188,16035.887333502473,"[-0.98724179 -0.23509577  0.22503638 -0.81476034 -0.91677409 -0.19382759
 -0.13472927 -0.23000736 -0.31264596 -0.59915463 -0.93554515 -0.5424323
 -0.33644929 -0.23096635 -0.14949154 -0.23779905 -0.92739744 -0.77762483
  0.24111849 -0.28050531 -0.18363241  0.19575399 -0.87579828 -0.89077758
  0.05142381 -0.32235937 -0.27707374  0.19134019 -0.7316482  -0.92918636
 -0.3723877  -0.30948437 -0.73309834 -0.32085229 -0.44887776 -0.93533671
 -0.6689852   0.08574368 -0.21341765 -0.27204381 -0.01085992 -0.9108846
 -0.84387857  0.2191943  -0.07440015 -0.21488475  0.22041883 -0.8236181
 -0.91431685 -0.17762167]"
6,4121.127576613188,16035.887333502473,"[-0.98724179 -0.23509577  0.22503638 -0.81476034 -0.91677409 -0.19382759
 -0.13472927 -0.23000736 -0.31264596 -0.59915463 -0.93554515 -0.5424323
 -0.33644929 -0.23096635 -0.14949154 -0.23779905 -0.92739744 -0.77762483
  0.24111849 -0.28050531 -0.18363241  0.19575399 -0.87579828 -0.89077758
  0.05142381 -0.32235937 -0.27707374  0.19134019 -0.7316482  -0.92918636
 -0.3723877  -0.30948437 -0.73309834 -0.32085229 -0.44887776 -0.93533671
 -0.6689852   0.08574368 -0.21341765 -0.27204381 -0.01085992 -0.9108846
 -0.84387857  0.2191943  -0.07440015 -0.21488475  0.22041883 -0.8236181
 -0.91431685 -0.17762167]"
7,4121.127576613188,16035.887333502473,"[-0.98724179 -0.23509577  0.22503638 -0.81476034 -0.91677409 -0.19382759
 -0.13472927 -0.23000736 -0.31264596 -0.59915463 -0.93554515 -0.5424323
 -0.33644929 -0.23096635 -0.14949154 -0.23779905 -0.92739744 -0.77762483
  0.24111849 -0.28050531 -0.18363241  0.19575399 -0.87579828 -0.89077758
  0.05142381 -0.32235937 -0.27707374  0.19134019 -0.7316482  -0.92918636
 -0.3723877  -0.30948437 -0.73309834 -0.32085229 -0.44887776 -0.93533671
 -0.6689852   0.08574368 -0.21341765 -0.27204381 -0.01085992 -0.9108846
 -0.84387857  0.2191943  -0.07440015 -0.21488475  0.22041883 -0.8236181
 -0.91431685 -0.17762167]"
8,1802.3038308391556,5508.437356589661,"[-0.98643322 -0.19610537  0.19772564 -0.79932009 -0.9092913  -0.16075801
 -0.15697809 -0.27248458 -0.28662344 -0.57264296 -0.92953745 -0.51395101
 -0.29828468 -0.27280684 -0.17040929 -0.20489569 -0.92049453 -0.75965355
  0.21644458 -0.2471038  -0.13115987  0.19111754 -0.86472838 -0.88097997
  0.07429297 -0.32993241 -0.33070821  0.20146135 -0.71135284 -0.92273594
 -0.33985328 -0.27751024 -0.49164097 -0.2859386  -0.41834138 -0.92920189
 -0.64583332  0.10685144 -0.28688107 -0.29109663  0.01644071 -0.90258481
 -0.83023461  0.20686557 -0.03737045 -0.17417053  0.19249169 -0.80876104
 -0.9066253  -0.14457582]"
9,1638.6220731515518,6095.129239123154,"[-0.98303138 -0.19126202  0.17627608 -0.71482318 -0.86603508 -0.13244956
 -0.20611824 -0.3128006  -0.16237449 -0.47901629 -0.89264124 -0.42927256
 -0.14775196 -0.30709672 -0.2105483  -0.17727215 -0.87692325 -0.67090607
  0.1795266  -0.17517503 -0.20399091  0.22253109 -0.79888667 -0.82583392
  0.12027006 -0.03509962 -0.20688981  0.18336289 -0.61654283 -0.88441356
 -0.2860948  -0.1397738  -0.37510921 -0.14297147 -0.35451748 -0.89067096
 -0.55250838  0.09838743 -0.52253873 -0.13795242  0.05517268 -0.85110003
 -0.75660512  0.2079805  -0.01653149 -0.23064702  0.17509612 -0.72627103
 -0.86231476 -0.11771502]"
10,1638.6220731515518,6095.129239123154,"[-0.98303138 -0.19126202  0.17627608 -0.71482318 -0.86603508 -0.13244956
 -0.20611824 -0.3128006  -0.16237449 -0.47901629 -0.89264124 -0.42927256
 -0.14775196 -0.30709672 -0.2105483  -0.17727215 -0.87692325 -0.67090607
  0.1795266  -0.17517503 -0.20399091  0.22253109 -0.79888667 -0.82583392
  0.12027006 -0.03509962 -0.20688981  0.18336289 -0.61654283 -0.88441356
 -0.2860948  -0.1397738  -0.37510921 -0.14297147 -0.35451748 -0.89067096
 -0.55250838  0.09838743 -0.52253873 -0.13795242  0.05517268 -0.85110003
 -0.75660512  0.2079805  -0.01653149 -0.23064702  0.17509612 -0.72627103
 -0.86231476 -0.11771502]"
