iter,funcval,gradnorm,x
1,27.0,49.558046773455466,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1.]"
2,27.0,49.558046773455466,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1.]"
3,6.499965358479687,16.46794169127772,"[0.97477705 0.94955411 0.97477705 0.97477705 0.97477705 0.97477705
 0.97477705 0.97477705 0.97477705 0.97477705 0.97477705 0.97477705
 1.60535073 0.97477705 0.97477705 0.97477705 0.97477705 0.97477705
 0.97477705 0.97477705 0.97477705 0.97477705 0.97477705 0.94955411
 0.92433116]"
4,3.534507939402764,7.29532970453614,"[0.97508105 0.52306259 0.92681161 0.91042096 0.92680064 0.92680064
 0.92680064 0.92680064 0.92680064 0.92680064 1.33629264 0.39015361
 1.86884733 0.933655   1.33629264 0.92680064 0.92680064 0.92680064
 0.92680064 0.92680064 0.92680064 0.91042096 0.89485605 0.58358304
 0.19784324]"
5,3.534507939402764,7.29532970453614,"[0.97508105 0.52306259 0.92681161 0.91042096 0.92680064 0.92680064
 0.92680064 0.92680064 0.92680064 0.92680064 1.33629264 0.39015361
 1.86884733 0.933655   1.33629264 0.92680064 0.92680064 0.92680064
 0.92680064 0.92680064 0.92680064 0.91042096 0.89485605 0.58358304
 0.19784324]"
6,1.9752443274168507,3.299180179004043,"[1.03450208 0.60116564 0.92599237 0.80633851 0.90226474 0.89197114
 0.9077361  0.85599186 0.88681468 0.69791662 0.96064941 0.625118
 1.78162403 0.7665483  1.29092432 0.78701231 0.99271869 0.90227294
 0.90724868 0.893488   0.88839998 0.83103374 0.77936646 0.59523817
 0.36470803]"
7,1.3727182600382508,3.1613616622653953,"[ 1.34252101  0.29735161  0.87328933  0.52208077  0.79141538  0.68680242
  0.76880289  0.6304338   0.77593706  0.32594096  0.6518216  -0.01575389
  1.67545607  0.51944532  1.2719601   0.73491348  1.05796571  0.69189963
  0.82252943  0.72972256  0.70241134  0.56958553  0.44711688  0.48511208
  0.43273127]"
8,0.9779487459860331,2.5096336765508385,"[ 1.332891    0.41689791  0.8749184   0.56785448  0.78805667  0.66838179
  0.75655287  0.63479303  0.73652093  0.42458713  0.62300888 -0.02857361
  1.67665029  0.40543332  1.22908999  0.72293155  0.96968704  0.73300855
  0.81133664  0.70686382  0.69848201  0.61156163  0.53159529  0.50197839
  0.38435714]"
9,0.9779487459860331,2.5096336765508385,"[ 1.332891    0.41689791  0.8749184   0.56785448  0.78805667  0.66838179
  0.75655287  0.63479303  0.73652093  0.42458713  0.62300888 -0.02857361
  1.67665029  0.40543332  1.22908999  0.72293155  0.96968704  0.73300855
  0.81133664  0.70686382  0.69848201  0.61156163  0.53159529  0.50197839
  0.38435714]"
10,0.7427188679240678,2.531918164176656,"[ 1.33095403  0.5448176   0.85192817  0.6769617   0.74834261  0.637884
  0.70609199  0.62409691  0.59572255  0.62384098  0.3474212  -0.05696159
  1.68224362  0.32475581  1.01587513  0.45635473  0.78608846  0.70081487
  0.73471716  0.68479514  0.68916425  0.68882779  0.69666517  0.61403569
  0.48608208]"
11,0.7427188679240678,2.531918164176656,"[ 1.33095403  0.5448176   0.85192817  0.6769617   0.74834261  0.637884
  0.70609199  0.62409691  0.59572255  0.62384098  0.3474212  -0.05696159
  1.68224362  0.32475581  1.01587513  0.45635473  0.78608846  0.70081487
  0.73471716  0.68479514  0.68916425  0.68882779  0.69666517  0.61403569
  0.48608208]"
12,0.4791303094759483,1.8146432778014518,"[ 1.29544458  0.40991504  0.83713551  0.63351747  0.72078399  0.67278555
  0.67805315  0.65041987  0.58840924  0.51297054  0.36754702 -0.17996695
  1.64323259  0.30313226  0.94490323  0.58898579  0.7600842   0.62623233
  0.69814836  0.6883954   0.69981776  0.67069873  0.65192348  0.56081148
  0.4008215 ]"
13,0.395249991762385,1.9133038555506012,"[ 1.18366166  0.41381997  0.72161639  0.55049661  0.60773869  0.63985239
  0.55313574  0.62237572  0.60465698  0.4162245   0.26209527 -0.36008797
  1.57485028  0.17192999  0.71126463  0.46197652  0.56626467  0.54175154
  0.57178912  0.61345356  0.62184217  0.60729116  0.58390604  0.51356653
  0.3973573 ]"
14,0.36049859782926064,1.7815327178447498,"[ 1.18140097  0.39786228  0.70584715  0.56664106  0.60543644  0.61371568
  0.57367228  0.61134185  0.58102     0.43753234  0.25230518 -0.34214583
  1.57464435  0.18940543  0.72700554  0.48844562  0.57863085  0.54930048
  0.57560779  0.6031682   0.60738246  0.59724179  0.58140213  0.51612593
  0.39425112]"
15,0.36049859782926064,1.7815327178447498,"[ 1.18140097  0.39786228  0.70584715  0.56664106  0.60543644  0.61371568
  0.57367228  0.61134185  0.58102     0.43753234  0.25230518 -0.34214583
  1.57464435  0.18940543  0.72700554  0.48844562  0.57863085  0.54930048
  0.57560779  0.6031682   0.60738246  0.59724179  0.58140213  0.51612593
  0.39425112]"
16,0.2572618772038274,0.818342880080287,"[ 1.03527731  0.42595114  0.66677412  0.52881271  0.58180819  0.56203823
  0.55300493  0.50807684  0.43231872  0.40364649  0.31127776 -0.31947086
  1.53358477  0.31494178  0.72544115  0.4999365   0.58603075  0.52626442
  0.55784959  0.56355852  0.56564713  0.55310886  0.53333583  0.46864347
  0.34246688]"
17,0.16529079052514026,0.7035306292261099,"[ 0.67925711  0.33964958  0.51068987  0.42099671  0.50764865  0.48888419
  0.35862926  0.42925065  0.470789    0.39222437  0.15343421 -0.50705613
  1.44040104  0.21610202  0.55635431  0.43422075  0.53454961  0.42410369
  0.46110604  0.4835075   0.49363228  0.47102644  0.4515796   0.40113436
  0.32012965]"
18,0.09750850421711477,0.6326947194302297,"[ 0.52621109  0.3326839   0.38239891  0.38941126  0.39955829  0.37627441
  0.33777398  0.37671716  0.35314523  0.30204458  0.12042034 -0.60005804
  1.38256397  0.18789883  0.4702747   0.39546331  0.39050046  0.38844792
  0.38716748  0.39057213  0.39817154  0.39663027  0.39060441  0.38179475
  0.33666647]"
19,0.09750850421711477,0.6326947194302297,"[ 0.52621109  0.3326839   0.38239891  0.38941126  0.39955829  0.37627441
  0.33777398  0.37671716  0.35314523  0.30204458  0.12042034 -0.60005804
  1.38256397  0.18789883  0.4702747   0.39546331  0.39050046  0.38844792
  0.38716748  0.39057213  0.39817154  0.39663027  0.39060441  0.38179475
  0.33666647]"
20,0.08209546057742982,0.4179981348622612,"[ 0.60576659  0.33184975  0.39830986  0.29468133  0.32159272  0.33885134
  0.31941988  0.32310326  0.31262674  0.32011678  0.12775017 -0.5874922
  1.32621578  0.16981084  0.43640469  0.33972265  0.29786117  0.2888439
  0.34127182  0.312096    0.30752352  0.32527651  0.3111817   0.30503733
  0.24076735]"
21,0.044822588269963534,0.2715529740607405,"[ 0.44691049  0.30237661  0.3009947   0.28629896  0.28976071  0.28648331
  0.27071188  0.28209658  0.28185201  0.27581758  0.10180405 -0.66119378
  1.28518214  0.14580025  0.34815434  0.30044067  0.28282732  0.29070783
  0.29158392  0.27386839  0.27650424  0.28563438  0.2808686   0.28042415
  0.23625656]"
