iter,funcval,gradnorm,x
1,1341.6625208673881,7179.322216382548,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
2,1341.6625208673881,7179.322216382548,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
3,1341.6625208673881,7179.322216382548,"[1.0e+02 0.0e+00 3.0e-01 1.0e-01 1.0e+02 0.0e+00 3.0e-01 9.0e-01 1.0e+02
 1.0e-02 3.0e-01 9.0e-01 1.0e+02 2.0e-02 4.0e-01 8.0e-01 1.0e+02 5.0e-02
 4.0e-01 8.0e-01 1.0e+02 7.0e-02 4.5e-01 8.0e-01 1.0e+02 9.0e-02 5.0e-01
 7.0e-01 1.0e+02 1.0e-01 5.0e-01 7.0e-01 1.0e+02 1.5e-01 5.0e-01 6.0e-01
 1.0e+02 2.0e-01 5.0e-01 6.0e-01 1.0e+02 2.5e-01 6.0e-01 5.0e-01 1.0e+02
 3.0e-01 6.0e-01 5.0e-01 1.0e+02 3.5e-01 6.0e-01 5.0e-01 1.0e+02 4.0e-01
 6.0e-01 4.0e-01 1.0e+02 4.0e-01 7.0e-01 4.0e-01 1.0e+02 4.2e-01 7.0e-01
 3.0e-01 1.0e+02 4.5e-01 7.5e-01 3.0e-01 1.0e+02 4.5e-01 7.5e-01 2.0e-01
 1.0e+02 5.0e-01 8.0e-01 1.0e-01 1.0e+02 5.0e-01 8.0e-01 0.0e+00 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02
 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02 3.0e+02]"
4,658.8850944131977,2977.597528349827,"[ 1.00000638e+02  1.12223908e-01  3.56629559e-01  1.27394872e-01
  9.99993402e+01 -4.91698169e-02  2.56692926e-01  8.64644306e-01
  1.00000125e+02  1.90216011e-02  3.08889574e-01  9.07480498e-01
  9.99999517e+01  1.65881582e-02  3.97577174e-01  7.98537406e-01
  1.00000097e+02  5.66230480e-02  4.03794730e-01  8.02072764e-01
  9.99999028e+01  6.39205980e-02  4.45965890e-01  7.97264594e-01
  1.00000031e+02  9.18523588e-02  5.01728336e-01  7.01543210e-01
  9.99999752e+01  9.86083106e-02  4.99151635e-01  6.99409427e-01
  1.00000133e+02  1.57630967e-01  5.03975634e-01  6.02081689e-01
  9.99999803e+01  1.98709389e-01  4.98098147e-01  5.98007309e-01
  9.99999160e+01  2.46032004e-01  5.97980803e-01  4.99131672e-01
  1.00000073e+02  3.03353215e-01  6.02144636e-01  5.01346243e-01
  9.99998028e+01  3.41757893e-01  5.95594954e-01  4.97694499e-01
  1.00000227e+02  4.09454880e-01  6.05699602e-01  4.03375355e-01
  9.99996584e+01  3.86747414e-01  6.92387879e-01  3.95706740e-01
  1.00000380e+02  4.35107197e-01  7.08911984e-01  3.05248683e-01
  9.99995727e+01  4.33933522e-01  7.40507060e-01  2.94368453e-01
  1.00000405e+02  4.65798474e-01  7.59425991e-01  2.05634561e-01
  9.99996643e+01  4.87299816e-01  7.92161929e-01  9.51191485e-02
  1.00000024e+02  5.01626042e-01  8.02061179e-01  1.96373248e-03
  2.99999956e+02  2.99999995e+02  3.00000001e+02  2.99999999e+02
  3.00000002e+02  2.99999997e+02  3.00000000e+02  2.99999999e+02
  3.00000005e+02  3.00000000e+02  2.99999996e+02  3.00000003e+02
  2.99999989e+02  3.00000012e+02  2.99999980e+02  3.00000021e+02
  2.99999974e+02  3.00000025e+02  2.99999979e+02]"
5,641.8080373086982,5370.303300799601,"[ 1.00002852e+02  3.30559814e-01  4.69894161e-01  1.84514007e-01
  1.00000053e+02  4.51393088e-02  2.64544455e-01  8.36450672e-01
  9.99987285e+01 -8.55725656e-02  2.34486641e-01  8.54623149e-01
  1.00000443e+02  5.23264741e-02  4.26967607e-01  8.22497420e-01
  1.00000023e+02  5.12101221e-02  3.98340777e-01  7.96864556e-01
  9.99999427e+01  6.69119329e-02  4.47469862e-01  7.97738543e-01
  9.99998231e+01  7.88415014e-02  4.94947940e-01  6.98609839e-01
  1.00000217e+02  1.13900691e-01  5.08583919e-01  7.04939091e-01
  1.00000353e+02  1.69222155e-01  5.07693108e-01  6.02571359e-01
  1.00000065e+02  2.02877194e-01  4.97649829e-01  5.95251980e-01
  9.99997771e+01  2.39251440e-01  5.93547651e-01  4.96811211e-01
  9.99998205e+01  2.92355911e-01  5.97657814e-01  4.99809024e-01
  9.99998297e+01  3.43822634e-01  5.97753512e-01  4.99651113e-01
  9.99999486e+01  3.97669631e-01  6.00647540e-01  4.01185801e-01
  9.99998372e+01  3.94925725e-01  6.97029446e-01  3.98789367e-01
  1.00000120e+02  4.24595632e-01  7.03515336e-01  3.02363683e-01
  9.99998360e+01  4.44382639e-01  7.46460381e-01  2.97831871e-01
  1.00000257e+02  4.59778807e-01  7.55549575e-01  2.02980147e-01
  9.99991479e+01  4.69083902e-01  7.83873915e-01  9.17760677e-02
  1.00000063e+02  5.04434911e-01  8.05646063e-01  5.46500879e-03
  2.99999990e+02  2.99999984e+02  2.99999981e+02  3.00000005e+02
  3.00000001e+02  2.99999999e+02  2.99999992e+02  3.00000008e+02
  3.00000016e+02  3.00000007e+02  2.99999990e+02  2.99999989e+02
  2.99999989e+02  2.99999995e+02  2.99999990e+02  3.00000006e+02
  2.99999990e+02  3.00000016e+02  2.99999942e+02]"
6,641.8080373086982,5370.303300799601,"[ 1.00002852e+02  3.30559814e-01  4.69894161e-01  1.84514007e-01
  1.00000053e+02  4.51393088e-02  2.64544455e-01  8.36450672e-01
  9.99987285e+01 -8.55725656e-02  2.34486641e-01  8.54623149e-01
  1.00000443e+02  5.23264741e-02  4.26967607e-01  8.22497420e-01
  1.00000023e+02  5.12101221e-02  3.98340777e-01  7.96864556e-01
  9.99999427e+01  6.69119329e-02  4.47469862e-01  7.97738543e-01
  9.99998231e+01  7.88415014e-02  4.94947940e-01  6.98609839e-01
  1.00000217e+02  1.13900691e-01  5.08583919e-01  7.04939091e-01
  1.00000353e+02  1.69222155e-01  5.07693108e-01  6.02571359e-01
  1.00000065e+02  2.02877194e-01  4.97649829e-01  5.95251980e-01
  9.99997771e+01  2.39251440e-01  5.93547651e-01  4.96811211e-01
  9.99998205e+01  2.92355911e-01  5.97657814e-01  4.99809024e-01
  9.99998297e+01  3.43822634e-01  5.97753512e-01  4.99651113e-01
  9.99999486e+01  3.97669631e-01  6.00647540e-01  4.01185801e-01
  9.99998372e+01  3.94925725e-01  6.97029446e-01  3.98789367e-01
  1.00000120e+02  4.24595632e-01  7.03515336e-01  3.02363683e-01
  9.99998360e+01  4.44382639e-01  7.46460381e-01  2.97831871e-01
  1.00000257e+02  4.59778807e-01  7.55549575e-01  2.02980147e-01
  9.99991479e+01  4.69083902e-01  7.83873915e-01  9.17760677e-02
  1.00000063e+02  5.04434911e-01  8.05646063e-01  5.46500879e-03
  2.99999990e+02  2.99999984e+02  2.99999981e+02  3.00000005e+02
  3.00000001e+02  2.99999999e+02  2.99999992e+02  3.00000008e+02
  3.00000016e+02  3.00000007e+02  2.99999990e+02  2.99999989e+02
  2.99999989e+02  2.99999995e+02  2.99999990e+02  3.00000006e+02
  2.99999990e+02  3.00000016e+02  2.99999942e+02]"
7,365.25557183572204,2159.9166923535495,"[ 1.00002660e+02  3.20269221e-01  4.65254067e-01  1.82700930e-01
  1.00000072e+02  4.67194423e-02  2.66987300e-01  8.38604110e-01
  9.99990976e+01 -4.00606307e-02  2.56867845e-01  8.64954960e-01
  9.99998711e+01  1.47753725e-02  4.00745001e-01  8.04455256e-01
  1.00000241e+02  6.60538772e-02  4.10408780e-01  8.06097809e-01
  9.99998341e+01  6.00261790e-02  4.42584524e-01  7.94272138e-01
  9.99999329e+01  8.57290225e-02  4.99158219e-01  7.01274092e-01
  1.00000147e+02  1.09815296e-01  5.05571283e-01  7.02715524e-01
  1.00000393e+02  1.71458000e-01  5.09300649e-01  6.03753742e-01
  1.00000069e+02  2.03087190e-01  4.97475042e-01  5.94871469e-01
  9.99997678e+01  2.38797078e-01  5.93224490e-01  4.96664936e-01
  9.99998506e+01  2.93697018e-01  5.98377511e-01  5.00167790e-01
  9.99997175e+01  3.39110638e-01  5.95265829e-01  4.98370935e-01
  1.00000060e+02  4.02322885e-01  6.03557296e-01  4.02963431e-01
  9.99996823e+01  3.88886064e-01  6.93505065e-01  3.96781873e-01
  1.00000272e+02  4.30592163e-01  7.07160619e-01  3.04570974e-01
  9.99997096e+01  4.39535292e-01  7.43433242e-01  2.95935001e-01
  1.00000246e+02  4.59600388e-01  7.55978151e-01  2.03560080e-01
  9.99991366e+01  4.68716852e-01  7.83793325e-01  9.18155690e-02
  1.00000064e+02  5.04487663e-01  8.05720629e-01  5.55406667e-03
  2.99999978e+02  2.99999984e+02  2.99999967e+02  2.99999991e+02
  3.00000005e+02  2.99999996e+02  2.99999996e+02  3.00000005e+02
  3.00000018e+02  3.00000007e+02  2.99999989e+02  2.99999990e+02
  2.99999982e+02  3.00000001e+02  2.99999981e+02  3.00000014e+02
  2.99999982e+02  3.00000015e+02  2.99999941e+02]"
8,292.44030843057214,2208.7001326268246,"[ 1.00001857e+02  2.87265450e-01  4.52083373e-01  1.79041212e-01
  1.00000887e+02  1.15141585e-01  3.05333602e-01  8.58292785e-01
  1.00000063e+02  5.43766959e-02  2.93053750e-01  8.73397422e-01
  9.99995422e+01 -8.58437027e-03  3.70058159e-01  7.76304568e-01
  9.99996285e+01  2.50780063e-02  3.90886974e-01  7.97064344e-01
  1.00000225e+02  8.57971766e-02  4.62092062e-01  8.08404044e-01
  9.99999361e+01  8.53817822e-02  4.96100496e-01  6.98072920e-01
  1.00000202e+02  1.13420018e-01  5.06607759e-01  7.02327342e-01
  1.00000406e+02  1.71630034e-01  5.08848248e-01  6.03397945e-01
  1.00000155e+02  2.07806228e-01  4.99596384e-01  5.95159309e-01
  9.99997760e+01  2.39137556e-01  5.92567653e-01  4.96247342e-01
  9.99997888e+01  2.90761079e-01  5.96962354e-01  4.99387947e-01
  9.99994954e+01  3.30163565e-01  5.90997743e-01  4.96540794e-01
  1.00000108e+02  4.04133486e-01  6.06201480e-01  4.05187918e-01
  9.99994770e+01  3.81485878e-01  6.89188301e-01  3.94637967e-01
  1.00000497e+02  4.39062209e-01  7.12603183e-01  3.07920036e-01
  9.99994016e+01  4.28074170e-01  7.36707367e-01  2.92019346e-01
  1.00000053e+02  4.53163600e-01  7.54243129e-01  2.03736718e-01
  9.99990312e+01  4.65408874e-01  7.83163155e-01  9.22911202e-02
  1.00000070e+02  5.05044818e-01  8.06474436e-01  6.38548136e-03
  2.99999914e+02  3.00000003e+02  2.99999973e+02  2.99999993e+02
  2.99999985e+02  3.00000005e+02  2.99999997e+02  3.00000009e+02
  3.00000018e+02  3.00000012e+02  2.99999990e+02  2.99999987e+02
  2.99999969e+02  3.00000002e+02  2.99999968e+02  3.00000027e+02
  2.99999964e+02  3.00000000e+02  2.99999932e+02]"
9,292.44030843057214,2208.7001326268246,"[ 1.00001857e+02  2.87265450e-01  4.52083373e-01  1.79041212e-01
  1.00000887e+02  1.15141585e-01  3.05333602e-01  8.58292785e-01
  1.00000063e+02  5.43766959e-02  2.93053750e-01  8.73397422e-01
  9.99995422e+01 -8.58437027e-03  3.70058159e-01  7.76304568e-01
  9.99996285e+01  2.50780063e-02  3.90886974e-01  7.97064344e-01
  1.00000225e+02  8.57971766e-02  4.62092062e-01  8.08404044e-01
  9.99999361e+01  8.53817822e-02  4.96100496e-01  6.98072920e-01
  1.00000202e+02  1.13420018e-01  5.06607759e-01  7.02327342e-01
  1.00000406e+02  1.71630034e-01  5.08848248e-01  6.03397945e-01
  1.00000155e+02  2.07806228e-01  4.99596384e-01  5.95159309e-01
  9.99997760e+01  2.39137556e-01  5.92567653e-01  4.96247342e-01
  9.99997888e+01  2.90761079e-01  5.96962354e-01  4.99387947e-01
  9.99994954e+01  3.30163565e-01  5.90997743e-01  4.96540794e-01
  1.00000108e+02  4.04133486e-01  6.06201480e-01  4.05187918e-01
  9.99994770e+01  3.81485878e-01  6.89188301e-01  3.94637967e-01
  1.00000497e+02  4.39062209e-01  7.12603183e-01  3.07920036e-01
  9.99994016e+01  4.28074170e-01  7.36707367e-01  2.92019346e-01
  1.00000053e+02  4.53163600e-01  7.54243129e-01  2.03736718e-01
  9.99990312e+01  4.65408874e-01  7.83163155e-01  9.22911202e-02
  1.00000070e+02  5.05044818e-01  8.06474436e-01  6.38548136e-03
  2.99999914e+02  3.00000003e+02  2.99999973e+02  2.99999993e+02
  2.99999985e+02  3.00000005e+02  2.99999997e+02  3.00000009e+02
  3.00000018e+02  3.00000012e+02  2.99999990e+02  2.99999987e+02
  2.99999969e+02  3.00000002e+02  2.99999968e+02  3.00000027e+02
  2.99999964e+02  3.00000000e+02  2.99999932e+02]"
10,211.7590654452668,653.55717635406,"[1.00002412e+02 3.26048445e-01 4.73283017e-01 1.90602967e-01
 1.00001016e+02 1.25362298e-01 3.03197710e-01 8.50510411e-01
 1.00000007e+02 5.09944529e-02 2.88726992e-01 8.69057067e-01
 9.99998718e+01 2.41342031e-02 3.85444904e-01 7.83586015e-01
 9.99997990e+01 4.31229880e-02 3.94292970e-01 7.94094659e-01
 9.99996567e+01 5.43931064e-02 4.42358325e-01 7.95742552e-01
 1.00000026e+02 9.48892092e-02 5.05204266e-01 7.06052972e-01
 1.00000282e+02 1.18850770e-01 5.08499210e-01 7.02397166e-01
 1.00000423e+02 1.72294312e-01 5.08229015e-01 6.02563861e-01
 1.00000157e+02 2.07944769e-01 4.99327457e-01 5.94398007e-01
 9.99997692e+01 2.38890605e-01 5.92225990e-01 4.96281245e-01
 9.99997449e+01 2.88772683e-01 5.96115223e-01 4.98998907e-01
 9.99994942e+01 3.30436782e-01 5.91206385e-01 4.96724992e-01
 9.99999539e+01 3.97714171e-01 6.03504741e-01 4.04045306e-01
 9.99995784e+01 3.86350308e-01 6.91879202e-01 3.96381944e-01
 1.00000241e+02 4.29265178e-01 7.07653111e-01 3.05405841e-01
 9.99994545e+01 4.30802658e-01 7.38987117e-01 2.93840007e-01
 9.99999145e+01 4.47983517e-01 7.51656321e-01 2.02417767e-01
 9.99989255e+01 4.61859819e-01 7.82041933e-01 9.22506915e-02
 1.00000077e+02 5.05610360e-01 8.07226803e-01 7.17921291e-03
 2.99999928e+02 3.00000013e+02 2.99999972e+02 2.99999990e+02
 2.99999984e+02 2.99999982e+02 2.99999992e+02 3.00000012e+02
 3.00000020e+02 3.00000012e+02 2.99999990e+02 2.99999984e+02
 2.99999969e+02 2.99999992e+02 2.99999974e+02 3.00000011e+02
 2.99999966e+02 2.99999991e+02 2.99999924e+02]"
