iter,funcval,gradnorm,x
1,15389.451822408286,724.6010300040782,"[ 0.4241343  -0.25756032 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
 -1.00674945 -0.7131483 ]"
2,15389.451822408286,724.6010300040782,"[ 0.4241343  -0.25756032 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
  0.41738485  0.02929138 -1.26322862  0.41738485  0.02929138 -1.26322862
 -1.00674945 -0.7131483 ]"
3,8267.536717058052,2739.524602852513,"[-0.08148807  0.69527622 -1.64654535  1.08145509  0.4455728  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050479  0.88981988  0.41349663 -1.87679465
 -0.40683186 -0.19966889]"
4,8267.536717058052,2739.524602852513,"[-0.08148807  0.69527622 -1.64654535  1.08145509  0.4455728  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050478  1.07154033  0.4455399  -1.64050478
  1.07154033  0.4455399  -1.64050479  0.88981988  0.41349663 -1.87679465
 -0.40683186 -0.19966889]"
5,6676.940788841972,3561.7660477486465,"[-0.12083603  0.51679604 -2.05790705  0.89105132  0.67723256 -1.92451437
  0.80759896  0.67379732 -1.92557964  0.8081017   0.67374181 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810188  0.67377489 -1.94597525
  0.81756325  0.68156017 -1.77494718  0.87048161  0.56115378 -1.75911826
 -0.52189024 -0.20837112]"
6,6676.940788841972,3561.7660477486465,"[-0.12083603  0.51679604 -2.05790705  0.89105132  0.67723256 -1.92451437
  0.80759896  0.67379732 -1.92557964  0.8081017   0.67374181 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810192  0.67374179 -1.92557986
  0.80810192  0.67374179 -1.92557986  0.80810188  0.67377489 -1.94597525
  0.81756325  0.68156017 -1.77494718  0.87048161  0.56115378 -1.75911826
 -0.52189024 -0.20837112]"
7,6406.609606645177,3176.44987029167,"[-0.21747495  0.089796   -2.18157732  0.8184279   0.83786269 -1.8091905
  0.93826552  0.73638586 -1.81684533  0.93645596  0.73556328 -1.81685847
  0.93646192  0.73556899 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646238  0.73556907 -1.81685841
  0.93646481  0.73555878 -1.81686704  0.93716763  0.72757292 -1.74604648
  0.84823721  0.77340809 -1.44559019  0.56203108  0.83242907 -1.53699204
 -0.73907464 -0.23349075]"
8,6406.609606645177,3176.44987029167,"[-0.21747495  0.089796   -2.18157732  0.8184279   0.83786269 -1.8091905
  0.93826552  0.73638586 -1.81684533  0.93645596  0.73556328 -1.81685847
  0.93646192  0.73556899 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646237  0.73556908 -1.81685841
  0.93646237  0.73556908 -1.81685841  0.93646238  0.73556907 -1.81685841
  0.93646481  0.73555878 -1.81686704  0.93716763  0.72757292 -1.74604648
  0.84823721  0.77340809 -1.44559019  0.56203108  0.83242907 -1.53699204
 -0.73907464 -0.23349075]"
9,6222.1096644696545,3319.2893234438325,"[-0.26464146 -0.03593742 -2.20324816  0.8084459   0.8806552  -1.84578663
  0.90513014  0.81114438 -1.85757618  0.90966387  0.81052576 -1.85762292
  0.90970222  0.81052943 -1.85762267  0.90970201  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.90970202  0.81052965 -1.85762267
  0.90970202  0.81052965 -1.85762267  0.909702    0.8105296  -1.85762296
  0.90967845  0.81051584 -1.85774196  0.90538972  0.80966705 -1.85060497
  0.94836367  0.82895351 -1.12698123  0.44115368  0.83184763 -1.48865936
 -0.78633213 -0.24291741]"
10,6050.346947599172,3969.4440914407414,"[-0.34270516 -0.12253549 -2.30734615  1.00232683  0.91712683 -1.82159111
  0.98493995  0.8263533  -1.82857013  0.96116356  0.8351493  -1.82859013
  0.96180109  0.83527259 -1.82859021  0.9618057   0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527226 -1.82859018  0.96180561  0.83527226 -1.82859018
  0.96180561  0.83527227 -1.82859018  0.96180292  0.83527626 -1.82859456
  0.96143339  0.83600757 -1.82927769  0.99376548  0.81290855 -2.31642634
  1.06320045  1.00345426 -0.26605833 -0.16251972  0.7424175  -1.47039778
 -0.8041888  -0.2528386 ]"
