iter,funcval,gradnorm,x
1,1073932817078.7238,2908212768.2665415,"[ 1.00013165e+02  9.40124932e+01  8.82571970e+01  8.27419558e+01
  7.74616484e+01  7.24111870e+01  6.75854717e+01  6.29793739e+01
  5.85877307e+01  5.44053449e+01  5.04269906e+01  4.66474220e+01
  4.30613883e+01  3.96636514e+01  3.64490047e+01  3.34122924e+01
  3.05484239e+01  2.78523801e+01  2.53192091e+01  2.29440084e+01
  2.07218951e+01  1.86479677e+01  1.67172680e+01  1.49247542e+01
  1.32652938e+01  1.17336810e+01  1.03246723e+01  9.03301998e+00
  7.85348546e+00  6.78083553e+00  5.80988100e+00  4.93566569e+00
  4.15384363e+00  3.46093632e+00  2.85359656e+00  2.32602975e+00
  1.86690498e+00  1.46109780e+00  1.10041975e+00  7.93153227e-01
  5.52308779e-01  3.73330403e-01  2.40772060e-01  1.43800597e-01
  7.17339173e-02  2.10784122e-02 -1.03252975e-02 -2.69552842e-02
 -3.37856276e-02 -3.57422048e-02 -3.77030720e-02 -4.45416881e-02
 -6.10174870e-02 -9.13556799e-02 -1.38869772e-01 -2.08053236e-01
 -3.06482150e-01 -4.41662057e-01 -6.25196779e-01 -8.70080041e-01
 -1.17529937e+00 -1.53053281e+00 -1.93418453e+00 -2.39613225e+00
 -2.92826166e+00 -3.53863845e+00 -4.23221695e+00 -5.01321176e+00
 -5.88622955e+00 -6.85626731e+00 -7.92843152e+00 -9.10780473e+00
 -1.03994656e+01 -1.18085423e+01 -1.33402237e+01 -1.49997226e+01
 -1.67922202e+01 -1.87228247e+01 -2.07965582e+01 -2.30183733e+01
 -2.53931875e+01 -2.79259228e+01 -3.06215390e+01 -3.34850550e+01
 -3.65215547e+01 -3.97361809e+01 -4.31341211e+01 -4.67205880e+01
 -5.05008010e+01 -5.44799695e+01 -5.86632814e+01 -6.30558965e+01
 -6.76629446e+01 -7.24895276e+01 -7.75407243e+01 -8.28215969e+01
 -8.83371978e+01 -9.40925756e+01 -1.00092782e+02 -1.06342871e+02]"
2,1016559501515.596,2829113645.09016,"[ 9.50689255e+01  8.93637200e+01  8.38926771e+01  7.86505750e+01
  7.36325605e+01  6.88338012e+01  6.42494064e+01  5.98743984e+01
  5.57037031e+01  5.17321543e+01  4.79545110e+01  4.43654874e+01
  4.09597958e+01  3.77321979e+01  3.46775598e+01  3.17909039e+01
  2.90674462e+01  2.65026098e+01  2.40920056e+01  2.18313748e+01
  1.97164978e+01  1.77430831e+01  1.59066614e+01  1.42025145e+01
  1.26256666e+01  1.11709439e+01  9.83307680e+00  8.60679045e+00
  7.48683153e+00  6.46796087e+00  5.54510166e+00  4.71395249e+00
  3.97210703e+00  3.31961617e+00  2.75637039e+00  2.27461021e+00
  1.85147286e+00  1.45335115e+00  1.06328953e+00  7.19213875e-01
  4.76691416e-01  3.22768433e-01  2.20080759e-01  1.49333867e-01
  9.31736010e-02  4.98981332e-02  2.22478460e-02  7.50785934e-03
  1.37302843e-03 -4.94880957e-04 -2.37914641e-03 -8.58290124e-03
 -2.31973511e-02 -4.91033013e-02 -8.64799542e-02 -1.36418872e-01
 -2.08640992e-01 -3.15524814e-01 -4.76805258e-01 -7.28386655e-01
 -1.06719102e+00 -1.44346356e+00 -1.83770527e+00 -2.26959892e+00
 -2.76451314e+00 -3.33691992e+00 -3.99184393e+00 -4.73154580e+00
 -5.55924454e+00 -6.47938093e+00 -7.49681052e+00 -8.61634496e+00
 -9.84276602e+00 -1.11809807e+01 -1.26360731e+01 -1.42132149e+01
 -1.59175092e+01 -1.77538611e+01 -1.97269285e+01 -2.18411571e+01
 -2.41008747e+01 -2.65104047e+01 -2.90741665e+01 -3.17967420e+01
 -3.46828999e+01 -3.77375840e+01 -4.09658739e+01 -4.43729325e+01
 -4.79639508e+01 -5.17440995e+01 -5.57184924e+01 -5.98921655e+01
 -6.42700681e+01 -6.88570675e+01 -7.36579612e+01 -7.86774946e+01
 -8.39203811e+01 -8.93913196e+01 -9.50950123e+01 -1.01036174e+02]"
3,906561833545.656,2670770306.634934,"[ 8.51702970e+01  8.00573053e+01  7.51561432e+01  7.04617026e+01
  6.59695830e+01  6.16753742e+01  5.75745171e+01  5.36622595e+01
  4.99336498e+01  4.63835586e+01  4.30067289e+01  3.97978509e+01
  3.67516610e+01  3.38630538e+01  3.11271957e+01  2.85396230e+01
  2.60963037e+01  2.37936407e+01  2.16284019e+01  1.95975725e+01
  1.76981425e+01  1.59268690e+01  1.42800693e+01  1.27535091e+01
  1.13424295e+01  1.00417045e+01  8.84605599e+00  7.75020613e+00
  6.74889802e+00  5.83692549e+00  5.00965392e+00  4.26464388e+00
  3.60408543e+00  3.03492793e+00  2.56102990e+00  2.16778743e+00
  1.81246959e+00  1.42913355e+00  9.71409455e-01  5.53195598e-01
  3.32984910e-01  2.34770989e-01  1.83758093e-01  1.53254818e-01
  1.24844975e-01  9.70791182e-02  7.71191121e-02  6.60294854e-02
  6.13010217e-02  5.97938377e-02  5.82482321e-02  5.32733125e-02
  4.15944010e-02  2.13028950e-02 -5.40608142e-03 -3.35213946e-02
 -6.40536617e-02 -1.12757650e-01 -2.08475793e-01 -4.23727617e-01
 -8.23559950e-01 -1.26105996e+00 -1.64810181e+00 -2.02585355e+00
 -2.44730558e+00 -2.94215237e+00 -3.51842982e+00 -4.17524233e+00
 -4.91252121e+00 -5.73309820e+00 -6.64119610e+00 -7.64113980e+00
 -8.73714313e+00 -9.93359914e+00 -1.12352668e+01 -1.26471584e+01
 -1.41742348e+01 -1.58211036e+01 -1.75918596e+01 -1.94901067e+01
 -2.15191261e+01 -2.36821125e+01 -2.59824014e+01 -2.84236371e+01
 -3.10098530e+01 -3.37454708e+01 -3.66352351e+01 -3.96841096e+01
 -4.28971606e+01 -4.62794481e+01 -4.98359388e+01 -5.35714480e+01
 -5.74906106e+01 -6.15978806e+01 -6.58975500e+01 -7.03937828e+01
 -7.50906551e+01 -7.99921964e+01 -8.51024272e+01 -9.04253876e+01]"
4,705570555975.4019,2354191579.2927184,"[ 65.33531008  61.41292042  57.65750594  54.06393896  50.62839385
  47.3469755   44.21550504  41.22948401  38.38412953  35.67445828
  33.0954141   30.64202901  28.30960654  26.09390779  23.99131393
  21.99893613  20.11463838  18.33694556  16.66482371  15.09734654
  13.63329905  12.27080539  11.00708295   9.83840332   8.76027118
   7.76773632   6.855677     6.0189225    5.25230959   4.55121351
   3.91350403   3.34338548   2.85444084   2.46336935   2.169291
   1.93735499   1.70077897   1.34202729   0.70472708   0.19503395
   0.1102655    0.11370947   0.12741793   0.13856344   0.14512158
   0.14586533   0.14331642   0.14104118   0.14016803   0.14027441
   0.1403287    0.13891794   0.13413899   0.12420295   0.11046095
   0.09774777   0.08785216   0.08043219   0.09712191   0.09295634
  -0.21801246  -0.8374289   -1.2681141   -1.57011358  -1.85712206
  -2.19305949  -2.60430027  -3.09134725  -3.64752625  -4.27000969
  -4.96030501  -5.72156525  -6.55706378  -7.47013005  -8.46452742
  -9.54454383 -10.71466924 -11.97908553 -13.34124756 -14.8037252
 -16.36833193 -18.03645633 -19.80946658 -21.68907095 -23.67755789
 -25.77789262 -27.9936837  -30.32905437 -32.78846198 -35.37650387
 -38.09774042 -40.95655581 -43.95706535 -47.10307259 -50.39806935
 -53.84527071 -57.44767274 -61.20812151 -65.12938426 -69.214212  ]"
5,379262820541.86145,1726046427.4437218,"[ 2.55747998e+01  2.40623164e+01  2.26186680e+01  2.12405909e+01
  1.99251888e+01  1.86693788e+01  1.74699106e+01  1.63234745e+01
  1.52268440e+01  1.41770353e+01  1.31714715e+01  1.22081348e+01
  1.12856912e+01  1.04035647e+01  9.56193745e+00  8.76165616e+00
  8.00402985e+00  7.29052853e+00  6.62241816e+00  6.00039660e+00
  5.42430742e+00  4.89299218e+00  4.40429332e+00  3.95516676e+00
  3.54184022e+00  3.16000560e+00  2.80518306e+00  2.47362323e+00
  2.16430717e+00  1.88245888e+00  1.64367120e+00  1.47336712e+00
  1.39068856e+00  1.38112058e+00  1.40020103e+00  1.40514098e+00
  1.33912776e+00  9.84674846e-01 -1.74870636e-01 -1.38261151e-01
 -9.88790238e-03  3.06660942e-02  5.42675439e-02  7.06905876e-02
  8.37890773e-02  9.66281678e-02  1.08184158e-01  1.16164383e-01
  1.20648908e-01  1.23178076e-01  1.25851962e-01  1.31131842e-01
  1.41798245e-01  1.59829356e-01  1.83444824e-01  2.09434493e-01
  2.38927259e-01  2.74421429e-01  3.15166582e-01  3.70475270e-01
  4.91837790e-01  4.41707130e-01 -3.13872257e-01 -6.50926350e-01
 -8.01235118e-01 -8.82535471e-01 -9.54793517e-01 -1.06469081e+00
 -1.23088498e+00 -1.44740022e+00 -1.70277922e+00 -1.99006143e+00
 -2.30730248e+00 -2.65530273e+00 -3.03588517e+00 -3.45121489e+00
 -3.90362989e+00 -4.39549893e+00 -4.92895243e+00 -5.50556423e+00
 -6.12613205e+00 -6.79066029e+00 -7.49855567e+00 -8.24896556e+00
 -9.04115051e+00 -9.87479756e+00 -1.07502185e+01 -1.16684192e+01
 -1.26310557e+01 -1.36403100e+01 -1.46987171e+01 -1.58089780e+01
 -1.69737820e+01 -1.81956577e+01 -1.94768652e+01 -2.08193332e+01
 -2.22246405e+01 -2.36940357e+01 -2.52284874e+01 -2.68287503e+01]"
6,28264946992.4552,470400497.16405314,"[-5.37829384e+01 -5.06453441e+01 -4.75889024e+01 -4.46441170e+01
 -4.18155535e+01 -3.91029552e+01 -3.65048594e+01 -3.40195295e+01
 -3.16452262e+01 -2.93802687e+01 -2.72230255e+01 -2.51718942e+01
 -2.32253040e+01 -2.13817625e+01 -1.96399441e+01 -1.79987851e+01
 -1.64574857e+01 -1.50152632e+01 -1.36706853e+01 -1.24205179e+01
 -1.12582693e+01 -1.01729254e+01 -9.14857176e+00 -8.16554853e+00
 -7.20347625e+00 -6.24613622e+00 -5.28819422e+00 -4.34438169e+00
 -3.46091370e+00 -2.71810690e+00 -2.18775133e+00 -1.83316891e+00
 -1.50319659e+00 -1.11750332e+00 -7.30572025e-01 -4.14483432e-01
 -2.73735321e-01 -1.01939287e+00 -1.91381195e-01 -1.33351425e-01
 -2.41028254e-01 -1.73860646e-01 -1.15349554e-01 -7.25198885e-02
 -4.58215353e-02 -3.70026022e-02 -4.05831671e-02 -4.65729313e-02
 -5.02865690e-02 -5.18824029e-02 -5.38314184e-02 -6.01987748e-02
 -7.73944232e-02 -1.12059052e-01 -1.58375590e-01 -2.00219324e-01
 -2.33873624e-01 -2.58654978e-01 -2.62285444e-01 -2.59648131e-01
 -3.16126861e-01 -2.47861980e-02  2.00887159e+00  2.75692507e+00
  2.88989222e+00  3.07581472e+00  3.30512760e+00  3.46637377e+00
  3.54979342e+00  3.70301077e+00  4.07526275e+00  4.69011809e+00
  5.48223717e+00  6.37473635e+00  7.31805218e+00  8.29439529e+00
  9.30729892e+00  1.03693928e+01  1.14941165e+01  1.26920587e+01
  1.39704467e+01  1.53340660e+01  1.67864025e+01  1.83304352e+01
  1.99689916e+01  2.17048156e+01  2.35405310e+01  2.54786199e+01
  2.75214535e+01  2.96713660e+01  3.19307471e+01  3.43021258e+01
  3.67882286e+01  3.93920002e+01  4.21165844e+01  4.49652694e+01
  4.79414087e+01  5.10483309e+01  5.42892532e+01  5.76672133e+01]"
7,28264946992.4552,470400497.16405314,"[-5.37829384e+01 -5.06453441e+01 -4.75889024e+01 -4.46441170e+01
 -4.18155535e+01 -3.91029552e+01 -3.65048594e+01 -3.40195295e+01
 -3.16452262e+01 -2.93802687e+01 -2.72230255e+01 -2.51718942e+01
 -2.32253040e+01 -2.13817625e+01 -1.96399441e+01 -1.79987851e+01
 -1.64574857e+01 -1.50152632e+01 -1.36706853e+01 -1.24205179e+01
 -1.12582693e+01 -1.01729254e+01 -9.14857176e+00 -8.16554853e+00
 -7.20347625e+00 -6.24613622e+00 -5.28819422e+00 -4.34438169e+00
 -3.46091370e+00 -2.71810690e+00 -2.18775133e+00 -1.83316891e+00
 -1.50319659e+00 -1.11750332e+00 -7.30572025e-01 -4.14483432e-01
 -2.73735321e-01 -1.01939287e+00 -1.91381195e-01 -1.33351425e-01
 -2.41028254e-01 -1.73860646e-01 -1.15349554e-01 -7.25198885e-02
 -4.58215353e-02 -3.70026022e-02 -4.05831671e-02 -4.65729313e-02
 -5.02865690e-02 -5.18824029e-02 -5.38314184e-02 -6.01987748e-02
 -7.73944232e-02 -1.12059052e-01 -1.58375590e-01 -2.00219324e-01
 -2.33873624e-01 -2.58654978e-01 -2.62285444e-01 -2.59648131e-01
 -3.16126861e-01 -2.47861980e-02  2.00887159e+00  2.75692507e+00
  2.88989222e+00  3.07581472e+00  3.30512760e+00  3.46637377e+00
  3.54979342e+00  3.70301077e+00  4.07526275e+00  4.69011809e+00
  5.48223717e+00  6.37473635e+00  7.31805218e+00  8.29439529e+00
  9.30729892e+00  1.03693928e+01  1.14941165e+01  1.26920587e+01
  1.39704467e+01  1.53340660e+01  1.67864025e+01  1.83304352e+01
  1.99689916e+01  2.17048156e+01  2.35405310e+01  2.54786199e+01
  2.75214535e+01  2.96713660e+01  3.19307471e+01  3.43021258e+01
  3.67882286e+01  3.93920002e+01  4.21165844e+01  4.49652694e+01
  4.79414087e+01  5.10483309e+01  5.42892532e+01  5.76672133e+01]"
8,21920671518.011852,417155323.4150181,"[-86.85761072 -80.35503289 -75.20081688 -70.71710998 -66.72564493
 -63.15547948 -59.93915074 -56.97367814 -54.10111978 -51.09991902
 -47.76998861 -44.39811525 -42.14858835 -38.66697005 -34.41640082
 -29.63715334 -26.35256063 -22.58881757 -18.51635583 -14.5147331
 -10.80878034  -7.58708843  -5.07974084  -3.57308247  -3.34812662
  -4.56316662  -7.16476781 -10.91452388 -15.54106868 -20.53427911
 -25.24243364 -24.55800505 -24.59412168 -20.73360113 -17.5085015
 -27.08494922 -34.23963501 -11.4547862   14.51552187  29.8362644
  36.13763771  31.31942997  19.78161207  10.80660046   6.55317536
   4.59408448   3.28996181   2.55730065   2.23581008   2.13101316
   2.03595358   1.76968595   1.12062148  -0.41447928  -3.84582589
  -7.37118227  -6.81268047  -3.83654173   2.51796646   0.88227228
   0.68097148  11.26729962   2.13212515  -6.58062123  -6.78538618
  -8.79824485  -9.86558416  -8.63130591  -3.09596105   3.00714363
   6.28560915   6.67769179   5.45133621   3.81540929   2.53298931
   2.09320967   2.58970363   3.58625917   5.29738313   8.45484165
  11.53419077  16.2039217   20.49151799  23.99755757  26.65166757
  29.7780765   33.50551663  37.28504223  40.89295614  44.40031942
  47.95353669  51.67591724  55.64943749  59.92030723  64.50719775
  69.40808076  74.60603282  80.07482726  85.78480986  91.70883416]"
9,21920671518.011852,417155323.4150181,"[-86.85761072 -80.35503289 -75.20081688 -70.71710998 -66.72564493
 -63.15547948 -59.93915074 -56.97367814 -54.10111978 -51.09991902
 -47.76998861 -44.39811525 -42.14858835 -38.66697005 -34.41640082
 -29.63715334 -26.35256063 -22.58881757 -18.51635583 -14.5147331
 -10.80878034  -7.58708843  -5.07974084  -3.57308247  -3.34812662
  -4.56316662  -7.16476781 -10.91452388 -15.54106868 -20.53427911
 -25.24243364 -24.55800505 -24.59412168 -20.73360113 -17.5085015
 -27.08494922 -34.23963501 -11.4547862   14.51552187  29.8362644
  36.13763771  31.31942997  19.78161207  10.80660046   6.55317536
   4.59408448   3.28996181   2.55730065   2.23581008   2.13101316
   2.03595358   1.76968595   1.12062148  -0.41447928  -3.84582589
  -7.37118227  -6.81268047  -3.83654173   2.51796646   0.88227228
   0.68097148  11.26729962   2.13212515  -6.58062123  -6.78538618
  -8.79824485  -9.86558416  -8.63130591  -3.09596105   3.00714363
   6.28560915   6.67769179   5.45133621   3.81540929   2.53298931
   2.09320967   2.58970363   3.58625917   5.29738313   8.45484165
  11.53419077  16.2039217   20.49151799  23.99755757  26.65166757
  29.7780765   33.50551663  37.28504223  40.89295614  44.40031942
  47.95353669  51.67591724  55.64943749  59.92030723  64.50719775
  69.40808076  74.60603282  80.07482726  85.78480986  91.70883416]"
10,1269307995.8102841,99713109.7146504,"[-83.73188674 -78.30482735 -73.38899008 -68.80581593 -64.5043625
 -60.46056715 -56.65155925 -53.04674061 -49.60359298 -46.26560216
 -42.98089814 -39.80810119 -37.01332132 -34.03329032 -30.94870921
 -27.78006132 -25.06864199 -22.30194612 -19.55932479 -17.01430554
 -14.74388647 -12.75652612 -11.17683676  -9.8804192   -8.79028018
  -7.9857697   -7.43011283  -7.39879355  -7.76120868  -8.4325228
  -9.14785596  -8.40442263  -7.92132104  -6.39420257  -5.12001463
  -7.45108802  -9.0517308   -2.73796439   3.24105294   7.6294381
   9.41993467   8.29104112   5.15213744   2.98777932   2.19826936
   2.01644105   1.85065653   1.59664403   1.43366902   1.37463523
   1.32011826   1.17585277   0.97246611   0.59777983  -0.43634594
  -0.82617404  -0.66145544  -0.22823579   1.96756662   1.49414802
   1.67402032   4.13442479   2.54111914   0.66337728   0.96960312
   0.97197168   1.17981015   1.93819344   3.3433305    6.07441311
   7.20485398   8.00700321   8.66657906   9.39101478   9.96009546
  10.76301554  12.16452049  13.71121639  15.21326768  17.11807097
  19.28328596  21.9990229   24.85243404  27.6475899   30.31071
  33.19882201  36.3284776   39.54718327  42.81108878  46.15386619
  49.62304223  53.25768652  57.08632793  61.12912028  65.39953588
  69.90521878  74.64859556  79.62779679  84.83814447  90.27406927]"
