iter,funcval,gradnorm,x
1,4345.0997644961435,55260.22519707279,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
2,4345.0997644961435,55260.22519707279,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
3,4345.0997644961435,55260.22519707279,"[1.2000e+02 9.2030e-02 9.0800e-01 1.1000e+02 1.8190e-01 8.1810e-01
 1.0000e+02 2.8400e-01 7.1600e-01 8.8000e+01 3.0510e-01 6.9490e-01
 8.6000e+01 3.5660e-01 6.4340e-01 8.4000e+01 4.6800e-01 5.3200e-01
 8.0000e+01 6.5790e-01 3.4210e-01 7.6000e+01 8.7630e-01 1.2370e-01
 8.8637e+02 9.1001e+02 9.2252e+02 9.2646e+02 9.3556e+02 9.5283e+02
 9.7573e+02]"
4,3627.3458828012144,63136.992864814856,"[ 1.19998101e+02 -4.81597161e-02  8.52756845e-01  1.10000173e+02
  1.99242214e-01  8.32081675e-01  9.99996734e+01  2.65887339e-01
  7.09448476e-01  8.80005207e+01  3.32146339e-01  7.04226760e-01
  8.60000630e+01  3.58903221e-01  6.43177591e-01  8.39999921e+01
  4.67541156e-01  5.31695311e-01  7.99999005e+01  6.54386050e-01
  3.40997593e-01  7.60000037e+01  8.76555516e-01  1.23943910e-01
  8.86369942e+02  9.10010002e+02  9.22519991e+02  9.26460012e+02
  9.35560002e+02  9.52830000e+02  9.75729998e+02]"
5,936.5544520413364,26948.14857943363,"[ 1.19997677e+02 -2.98695844e-02  8.56543598e-01  1.09997944e+02
  6.08877275e-02  7.82769660e-01  9.99996484e+01  2.73374686e-01
  7.20696791e-01  8.80014012e+01  3.76284149e-01  7.19012508e-01
  8.60002701e+01  3.67655845e-01  6.44381345e-01  8.39999713e+01
  4.66299533e-01  5.30847626e-01  7.99996999e+01  6.47285735e-01
  3.38772438e-01  7.60000113e+01  8.77071029e-01  1.24437846e-01
  8.86369925e+02  9.10009937e+02  9.22519986e+02  9.26460033e+02
  9.35560007e+02  9.52830000e+02  9.75729993e+02]"
6,936.5544520413364,26948.14857943363,"[ 1.19997677e+02 -2.98695844e-02  8.56543598e-01  1.09997944e+02
  6.08877275e-02  7.82769660e-01  9.99996484e+01  2.73374686e-01
  7.20696791e-01  8.80014012e+01  3.76284149e-01  7.19012508e-01
  8.60002701e+01  3.67655845e-01  6.44381345e-01  8.39999713e+01
  4.66299533e-01  5.30847626e-01  7.99996999e+01  6.47285735e-01
  3.38772438e-01  7.60000113e+01  8.77071029e-01  1.24437846e-01
  8.86369925e+02  9.10009937e+02  9.22519986e+02  9.26460033e+02
  9.35560007e+02  9.52830000e+02  9.75729993e+02]"
7,122.35542710487073,2532.462300883865,"[ 1.19997594e+02 -3.47585585e-02  8.51988518e-01  1.09997651e+02
  7.25106429e-02  7.89814975e-01  9.99980094e+01  2.13547328e-01
  6.98801412e-01  8.80015384e+01  3.89282553e-01  7.24982451e-01
  8.60010554e+01  4.04189416e-01  6.55660563e-01  8.40000084e+01
  4.66740124e-01  5.29564538e-01  7.99993870e+01  6.35946610e-01
  3.35067573e-01  7.60000233e+01  8.77863968e-01  1.25216706e-01
  8.86369922e+02  9.10009925e+02  9.22519939e+02  9.26460035e+02
  9.35560026e+02  9.52830001e+02  9.75729986e+02]"
8,122.35542710487073,2532.462300883865,"[ 1.19997594e+02 -3.47585585e-02  8.51988518e-01  1.09997651e+02
  7.25106429e-02  7.89814975e-01  9.99980094e+01  2.13547328e-01
  6.98801412e-01  8.80015384e+01  3.89282553e-01  7.24982451e-01
  8.60010554e+01  4.04189416e-01  6.55660563e-01  8.40000084e+01
  4.66740124e-01  5.29564538e-01  7.99993870e+01  6.35946610e-01
  3.35067573e-01  7.60000233e+01  8.77863968e-01  1.25216706e-01
  8.86369922e+02  9.10009925e+02  9.22519939e+02  9.26460035e+02
  9.35560026e+02  9.52830001e+02  9.75729986e+02]"
9,79.65111104379564,615.0268172475951,"[ 1.19997516e+02 -4.15573209e-02  8.44418110e-01  1.09997609e+02
  5.68775962e-02  7.90091312e-01  9.99981207e+01  2.04500523e-01
  6.95640725e-01  8.80017612e+01  3.94412861e-01  7.27553553e-01
  8.60015810e+01  4.27160407e-01  6.62581923e-01  8.40003880e+01
  4.83365909e-01  5.33956964e-01  7.99990497e+01  6.23391801e-01
  3.30340169e-01  7.60000356e+01  8.78614560e-01  1.26047260e-01
  8.86369922e+02  9.10009925e+02  9.22519944e+02  9.26460040e+02
  9.35560038e+02  9.52830010e+02  9.75729978e+02]"
10,62.70836983397644,2207.40919071739,"[ 1.19995845e+02 -1.95588791e-02  8.28124139e-01  1.09996454e+02
  6.98963267e-02  8.24612856e-01  9.99959081e+01  2.30118862e-01
  6.98414813e-01  8.80018228e+01  4.22697912e-01  7.39700283e-01
  8.60021314e+01  4.55577870e-01  6.68626567e-01  8.40013927e+01
  5.08649996e-01  5.40623299e-01  7.99999511e+01  6.51323845e-01
  3.37527826e-01  7.60000076e+01  8.75769906e-01  1.24513983e-01
  8.86369865e+02  9.10009879e+02  9.22519864e+02  9.26460038e+02
  9.35560051e+02  9.52830038e+02  9.75729999e+02]"
11,62.70836983397644,2207.40919071739,"[ 1.19995845e+02 -1.95588791e-02  8.28124139e-01  1.09996454e+02
  6.98963267e-02  8.24612856e-01  9.99959081e+01  2.30118862e-01
  6.98414813e-01  8.80018228e+01  4.22697912e-01  7.39700283e-01
  8.60021314e+01  4.55577870e-01  6.68626567e-01  8.40013927e+01
  5.08649996e-01  5.40623299e-01  7.99999511e+01  6.51323845e-01
  3.37527826e-01  7.60000076e+01  8.75769906e-01  1.24513983e-01
  8.86369865e+02  9.10009879e+02  9.22519864e+02  9.26460038e+02
  9.35560051e+02  9.52830038e+02  9.75729999e+02]"
12,40.32658752560556,488.3309594280714,"[ 1.19996380e+02 -2.42994433e-02  8.17507409e-01  1.09996654e+02
  5.63557091e-02  8.26875881e-01  9.99965323e+01  2.23016521e-01
  7.00320883e-01  8.80022658e+01  4.24338354e-01  7.41884678e-01
  8.60025641e+01  4.72155526e-01  6.72878566e-01  8.40018931e+01
  5.30646768e-01  5.46731301e-01  8.00004515e+01  6.68712751e-01
  3.41874331e-01  7.59999890e+01  8.74100410e-01  1.23532293e-01
  8.86369888e+02  9.10009889e+02  9.22519885e+02  9.26460049e+02
  9.35560062e+02  9.52830050e+02  9.75730010e+02]"
13,24.464168507858552,1162.2417823073329,"[ 1.19992910e+02 -8.79584946e-03  8.03130073e-01  1.09993886e+02
  6.78362132e-02  8.46170041e-01  9.99899773e+01  2.39263322e-01
  7.15551999e-01  8.80011527e+01  4.51339890e-01  7.54765904e-01
  8.60022751e+01  4.99555609e-01  6.77649082e-01  8.40030280e+01
  5.62872054e-01  5.54799870e-01  8.00014988e+01  7.09667523e-01
  3.52940013e-01  7.59999465e+01  8.70351232e-01  1.21513845e-01
  8.86369760e+02  9.10009787e+02  9.22519656e+02  9.26460013e+02
  9.35560052e+02  9.52830075e+02  9.75730034e+02]"
14,5.952322166889026,47.23685177273804,"[1.19975342e+02 8.96223975e-03 7.63219008e-01 1.09988368e+02
 7.88029160e-02 8.51479353e-01 9.99775734e+01 2.45766204e-01
 7.67833924e-01 8.79975286e+01 4.91252724e-01 7.90765996e-01
 8.60004845e+01 5.65315410e-01 6.85071248e-01 8.40055042e+01
 6.36765458e-01 5.67922954e-01 8.00015180e+01 7.85217218e-01
 3.73524661e-01 7.59998593e+01 8.64716560e-01 1.20315113e-01
 8.86369125e+02 9.10009590e+02 9.22519211e+02 9.26459901e+02
 9.35560002e+02 9.52830093e+02 9.75730034e+02]"
