iter,funcval,gradnorm,x
1,291606.454938419,5017.3214752186395,"[1.         1.01745145 1.0349029  1.05235435 1.0698058  1.08725724
 1.10470869 1.12216014 1.13961159 1.15706304 1.17451449 1.19196594
 1.20941739 1.22686884 1.24432028 1.26177173 1.27922318 1.29667463
 1.31412608 1.33157753 1.34902898 1.36648043 1.38393188 1.40138332
 1.41883477 1.43628622 1.45373767 1.47118912 1.48864057 1.50609202
 1.52354347 1.54099492 1.55844636 1.57589781 1.59334926 1.61080071
 1.62825216 1.64570361 1.66315506 1.68060651 1.69805796 1.7155094
 1.73296085 1.7504123  1.76786375 1.7853152  1.80276665 1.8202181
 1.83766955 1.855121   1.87257244 1.89002389 1.90747534 1.92492679
 1.94237824 1.95982969 1.97728114 1.99473259 2.01218404 2.02963548
 2.04708693 2.06453838 2.08198983 2.09944128 2.11689273 2.13434418
 2.15179563 2.16924708 2.18669852 2.20414997 2.22160142 2.23905287
 2.25650432 2.27395577 2.29140722 2.30885867 2.32631012 2.34376156
 2.36121301 2.37866446 2.39611591 2.41356736 2.43101881 2.44847026
 2.46592171 2.48337316 2.5008246  2.51827605 2.5357275  2.55317895
 2.5706304  2.58808185 2.6055333  2.62298475 2.6404362  2.65788764
 2.67533909 2.69279054 2.71024199 2.72769344]"
2,155926.36027878735,7606.803505838725,"[1.         1.0331033  1.06673347 1.10089001 1.13557241 1.17078015
 1.20651273 1.24276965 1.27955039 1.31685444 1.3546813  1.39303046
 1.4319014  1.47129363 1.51120663 1.55163989 1.59259291 1.63406517
 1.67605617 1.7185654  1.76159236 1.80513652 1.84919739 1.89377446
 1.93886722 1.98447515 2.03059775 2.07723452 2.12438494 2.1720485
 2.2202247  2.26891303 2.31811298 2.36782404 2.41804571 2.46877747
 2.52001881 2.57176923 2.62402822 2.67679527 2.73006987 2.78385152
 2.8381397  2.89293391 2.94823363 3.00403837 3.06034761 3.11716084
 3.17447755 3.23229724 3.2906194  3.34944351 3.40876908 3.46859559
 3.52892253 3.58974939 3.65107568 3.71290087 3.77522446 3.83804594
 3.9013648  3.96518054 4.02949265 4.09430061 4.15960392 4.22540207
 4.29169455 4.35848086 4.42576048 4.4935329  4.56179763 4.63055414
 4.69980194 4.76954051 4.83976934 4.91048793 4.98169576 5.05339234
 5.12557714 5.19824966 5.2714094  5.34505585 5.41918849 5.49380681
 5.56891032 5.6444985  5.72057084 5.79712683 5.87416597 5.95168775
 6.02969166 6.10817718 6.18714382 6.26659106 6.3465184  6.42692532
 6.50781132 6.58917589 6.67101852 6.7533387 ]"
3,144687.3826960869,19283.627730757817,"[ 1.          1.0533709   1.10851381  1.16544962  1.22419861  1.28478045
  1.34721417  1.41151814  1.47771006  1.54580695  1.61582511  1.68778013
  1.76168683  1.83755931  1.91541085  1.99525395  2.07710029  2.16096071
  2.2468452   2.33476287  2.42472194  2.51672969  2.61079251  2.70691578
  2.80510395  2.90536045  3.0076877   3.11208708  3.21855891  3.32710242
  3.43771576  3.55039594  3.66513883  3.78193913  3.90079034  4.02168479
  4.14461352  4.26956635  4.39653182  4.52549714  4.65644824  4.78936965
  4.92424458  5.06105481  5.19978071  5.34040122  5.48289381  5.62723444
  5.77339759  5.92135617  6.07108156  6.22254352  6.37571022  6.5305482
  6.68702232  6.84509576  7.00472999  7.16588476  7.32851802  7.49258598
  7.658043    7.82484161  7.9929325   8.16226445  8.33278431  8.50443701
  8.6771655   8.85091076  9.0256117   9.20120524  9.37762617  9.55480722
  9.73267897  9.91116985 10.09020612 10.26971181 10.44960873 10.62981641
 10.8102521  10.99083074 11.1714649  11.35206479 11.53253822 11.71279057
 11.89272475 12.0722412  12.25123783 12.42961003 12.6072506  12.78404975
 12.95989506 13.13467145 13.30826117 13.48054376 13.65139598 13.82069187
 13.98830265 14.1540967  14.31793956 14.47969388]"
4,144687.3826960869,19283.627730757817,"[ 1.          1.0533709   1.10851381  1.16544962  1.22419861  1.28478045
  1.34721417  1.41151814  1.47771006  1.54580695  1.61582511  1.68778013
  1.76168683  1.83755931  1.91541085  1.99525395  2.07710029  2.16096071
  2.2468452   2.33476287  2.42472194  2.51672969  2.61079251  2.70691578
  2.80510395  2.90536045  3.0076877   3.11208708  3.21855891  3.32710242
  3.43771576  3.55039594  3.66513883  3.78193913  3.90079034  4.02168479
  4.14461352  4.26956635  4.39653182  4.52549714  4.65644824  4.78936965
  4.92424458  5.06105481  5.19978071  5.34040122  5.48289381  5.62723444
  5.77339759  5.92135617  6.07108156  6.22254352  6.37571022  6.5305482
  6.68702232  6.84509576  7.00472999  7.16588476  7.32851802  7.49258598
  7.658043    7.82484161  7.9929325   8.16226445  8.33278431  8.50443701
  8.6771655   8.85091076  9.0256117   9.20120524  9.37762617  9.55480722
  9.73267897  9.91116985 10.09020612 10.26971181 10.44960873 10.62981641
 10.8102521  10.99083074 11.1714649  11.35206479 11.53253822 11.71279057
 11.89272475 12.0722412  12.25123783 12.42961003 12.6072506  12.78404975
 12.95989506 13.13467145 13.30826117 13.48054376 13.65139598 13.82069187
 13.98830265 14.1540967  14.31793956 14.47969388]"
5,27431.055129739307,5754.550841328251,"[ 1.          1.05531645  1.11258648  1.17183597  1.23308975  1.29637152
  1.36170382  1.4291079   1.49860369  1.57020969  1.64394292  1.7198188
  1.79785111  1.87805186  1.96043123  2.04499745  2.13175676  2.22071325
  2.31186882  2.40522304  2.50077309  2.59851362  2.69843669  2.80053166
  2.90478506  3.01118054  3.11969872  3.23031713  3.34301011  3.45774868
  3.57450049  3.69322969  3.8138969   3.93645904  4.06086933  4.18707717
  4.31502807  4.4446636   4.57592133  4.70873474  4.84303323  4.97874205
  5.11578224  5.25407069  5.39352003  5.5340387   5.67553095  5.81789681
  5.9610322   6.10482891  6.2491747   6.39395334  6.53904475  6.68432506
  6.82966674  6.97493876  7.12000671  7.264733    7.40897706  7.55259551
  7.69544244  7.83736962  7.97822678  8.11786194  8.25612165  8.3928514
  8.52789592  8.66109956  8.79230671  8.92136223  9.04811184  9.1724026
  9.29408341  9.41300548  9.52902286  9.64199299  9.75177722  9.8582414
  9.96125644 10.06069896 10.15645184 10.24840486 10.33645534 10.42050875
 10.50047937 10.57629092 10.64787718 10.71518267 10.77816323 10.83678664
 10.89103328 10.94089665 10.98638397 11.02751671 11.06433112 11.09687867
 11.12522654 11.14945798 11.16967265 11.18598695]"
6,27431.055129739307,5754.550841328251,"[ 1.          1.05531645  1.11258648  1.17183597  1.23308975  1.29637152
  1.36170382  1.4291079   1.49860369  1.57020969  1.64394292  1.7198188
  1.79785111  1.87805186  1.96043123  2.04499745  2.13175676  2.22071325
  2.31186882  2.40522304  2.50077309  2.59851362  2.69843669  2.80053166
  2.90478506  3.01118054  3.11969872  3.23031713  3.34301011  3.45774868
  3.57450049  3.69322969  3.8138969   3.93645904  4.06086933  4.18707717
  4.31502807  4.4446636   4.57592133  4.70873474  4.84303323  4.97874205
  5.11578224  5.25407069  5.39352003  5.5340387   5.67553095  5.81789681
  5.9610322   6.10482891  6.2491747   6.39395334  6.53904475  6.68432506
  6.82966674  6.97493876  7.12000671  7.264733    7.40897706  7.55259551
  7.69544244  7.83736962  7.97822678  8.11786194  8.25612165  8.3928514
  8.52789592  8.66109956  8.79230671  8.92136223  9.04811184  9.1724026
  9.29408341  9.41300548  9.52902286  9.64199299  9.75177722  9.8582414
  9.96125644 10.06069896 10.15645184 10.24840486 10.33645534 10.42050875
 10.50047937 10.57629092 10.64787718 10.71518267 10.77816323 10.83678664
 10.89103328 10.94089665 10.98638397 11.02751671 11.06433112 11.09687867
 11.12522654 11.14945798 11.16967265 11.18598695]"
7,9418.639919911382,1983.5360736680193,"[ 1.          1.05856722  1.11940038  1.18253422  1.2480015   1.3158329
  1.38605674  1.45869883  1.53378228  1.61132725  1.69135074  1.77386641
  1.85888429  1.94641059  2.03644745  2.12899271  2.22403968  2.32157687
  2.42158781  2.52405077  2.62893855  2.73621829  2.8458512   2.95779242
  3.07199081  3.18838878  3.30692214  3.42751996  3.5501045   3.67459107
  3.80088803  3.92889673  4.05851158  4.18962     4.32210262  4.45583334
  4.59067952  4.72650223  4.86315646  5.00049152  5.13835136  5.276575
  5.41499702  5.55344811  5.6917556   5.82974418  5.96723653  6.10405406
  6.24001775  6.37494893  6.50867014  6.64100611  6.77178459  6.9008374
  7.02800132  7.15311913  7.27604055  7.39662324  7.51473372  7.63024832
  7.74305402  7.85304932  7.96014502  8.06426485  8.16534616  8.26334041
  8.35821359  8.44994652  8.53853506  8.62399013  8.70633765  8.78561835
  8.86188735  8.93521368  9.00567965  9.07338001  9.13842105  9.20091953
  9.26100145  9.31880083  9.37445823  9.42811934  9.47993337  9.5300515
  9.57862528  9.62580497  9.671738    9.71656739  9.76043032  9.80345672
  9.84576806  9.88747625  9.9286827   9.96947757 10.00993927 10.05013413
 10.09011632 10.12992803 10.16959983 10.20915134]"
8,4104.4917587911095,1794.645259715693,"[1.         1.08341413 1.17163724 1.2647772  1.36292924 1.46617421
 1.57457673 1.68818333 1.80702042 1.93109239 2.06037949 2.1948359
 2.33438769 2.47893091 2.62832972 2.78241472 2.94098135 3.10378856
 3.27055772 3.44097183 3.61467507 3.79127274 3.97033169 4.15138117
 4.33391432 4.51739009 4.70123591 4.88485093 5.06760988 5.24886763
 5.42796435 5.60423136 5.77699746 5.94559585 6.10937145 6.26768866
 6.41993923 6.56555041 6.70399295 6.834789   6.95751969 7.07183219
 7.17744611 7.27415913 7.36185161 7.44049018 7.51012998 7.57091578
 7.62308159 7.666949   7.70292405 7.73149294 7.75321634 7.76872272
 7.77870073 7.78389074 7.78507589 7.78307274 7.77872175 7.77287781
 7.76640099 7.76014757 7.7549616  7.75166698 7.75105998 7.75390245
 7.76091539 7.77277298 7.79009688 7.8134507  7.84333463 7.88017995
 7.92434348 7.97610189 8.03564578 8.10307344 8.17838446 8.26147274
 8.35211914 8.44998323 8.55459395 8.66533864 8.78144984 8.90198914
 9.02582712 9.15161875 9.27777325 9.40241785 9.52335521 9.63801469
 9.74339822 9.83602235 9.9118592  9.96627948 9.99400225 9.98905666
 9.94476158 9.85372975 9.70790266 9.49862227]"
9,4104.4917587911095,1794.645259715693,"[1.         1.08341413 1.17163724 1.2647772  1.36292924 1.46617421
 1.57457673 1.68818333 1.80702042 1.93109239 2.06037949 2.1948359
 2.33438769 2.47893091 2.62832972 2.78241472 2.94098135 3.10378856
 3.27055772 3.44097183 3.61467507 3.79127274 3.97033169 4.15138117
 4.33391432 4.51739009 4.70123591 4.88485093 5.06760988 5.24886763
 5.42796435 5.60423136 5.77699746 5.94559585 6.10937145 6.26768866
 6.41993923 6.56555041 6.70399295 6.834789   6.95751969 7.07183219
 7.17744611 7.27415913 7.36185161 7.44049018 7.51012998 7.57091578
 7.62308159 7.666949   7.70292405 7.73149294 7.75321634 7.76872272
 7.77870073 7.78389074 7.78507589 7.78307274 7.77872175 7.77287781
 7.76640099 7.76014757 7.7549616  7.75166698 7.75105998 7.75390245
 7.76091539 7.77277298 7.79009688 7.8134507  7.84333463 7.88017995
 7.92434348 7.97610189 8.03564578 8.10307344 8.17838446 8.26147274
 8.35211914 8.44998323 8.55459395 8.66533864 8.78144984 8.90198914
 9.02582712 9.15161875 9.27777325 9.40241785 9.52335521 9.63801469
 9.74339822 9.83602235 9.9118592  9.96627948 9.99400225 9.98905666
 9.94476158 9.85372975 9.70790266 9.49862227]"
10,1134.0273799712713,798.1869874574097,"[ 1.          1.10603523  1.21969485  1.3410409   1.47004579  1.60657762
  1.75038605  1.90108974  2.05816655  2.22094761  2.38861712  2.56021885
  2.73467102  2.91079022  3.087325    3.26299857  3.43655926  3.60683639
  3.77279768  3.93360364  4.0886534   4.23761627  4.38044372  4.51735767
  4.64881315  4.775436    4.89793978  5.01702925  5.13330066  5.24715104
  5.3587088   5.46779667  5.57393438  5.67638367  5.77423258  5.86650978
  5.95231547  6.03095211  6.10203829  6.16559102  6.22206636  6.27235421
  6.31772924  6.35976555  6.4002263   6.44094179  6.4836889   6.53008296
  6.58149034  6.63896621  6.703219    6.77460043  6.85311768  6.93846352
  7.03005936  7.12710609  7.22863802  7.33357558  7.44077341  7.54906117
  7.6572758   7.76428481  7.86900135  7.97039288  8.06748585  8.15936989
  8.24520475  8.32423392  8.39580816  8.45942171  8.51476244  8.56177538
  8.60073603  8.63232667  8.65770436  8.67854567  8.6970493   8.71587643
  8.73801024  8.7665223   8.8042459   8.85337508  8.91503232  8.98887517
  9.07283652  9.16310751  9.25446594  9.34101548  9.41732584  9.47985127
  9.52836944  9.56705314  9.60469852  9.65360285  9.72658415  9.83159821
  9.96334695 10.09157388 10.14753282 10.01513996]"
