iter,funcval,gradnorm,x
1,-450.14673626125517,195.46273709296608,"[0.07954755 0.15477081 0.22566974 0.29225286 0.35453721 0.41254824
 0.46631979 0.51589391 0.56132081 0.60265872 0.63997374 0.67333969
 0.70283795 0.72855728 0.75059363 0.76904995 0.78403594 0.79566788
 0.80406834 0.80936596 0.81169522 0.81119611 0.80801391 0.80229888
 0.794206   0.7838946  0.77152813 0.75727382 0.74130233 0.72378745
 0.7049058  0.68483643 0.66376053 0.64186105 0.61932238 0.59633002
 0.57307018 0.54972945 0.52649446 0.50355153 0.4810863  0.45928338
 0.43832602 0.41839575 0.39967205 0.38233199 0.36654991 0.35249707
 0.34034137 0.33024697 0.32237401 0.3168783  0.31391102 0.31361841
 0.31614151 0.32161587 0.3301713  0.34193158 0.35701425 0.37553036
 0.39758422 0.42327324 0.45268767 0.48591046 0.52301704 0.56407518
 0.60914482 0.65827795 0.71151847 0.76890207 0.83045616 0.89619976
 0.96614341 1.04028918 1.11863055 1.20115244 1.28783116 1.37863443
 1.4735214  1.57244265 1.67534028 1.78214792 1.89279084 2.00718602
 2.12524226 2.24686029 2.37193291 2.5003451  2.63197423 2.76669018
 2.90435556 3.04482585 3.18794969 3.33356904 3.4815194  3.63163011
 3.78372455 3.93762043 4.09313006 4.25006062]"
2,-1188.0749964020456,275.690885432018,"[ 0.40324706  0.7281659   0.98500056  1.18708662  1.34810613  1.48026331
  1.5933175   1.69429342  1.78765174  1.87571858  1.95921533  2.03778021
  2.11041923  2.17585973  2.23280396  2.28009461  2.31680976  2.34230666
  2.35623086  2.35850439  2.34930264  2.32902624  2.2982714   2.2578002
  2.20851103  2.15140852  2.08757237  2.01812466  1.94419561  1.86688873
  1.78724654  1.70621901  1.62463686  1.54319205  1.46242746  1.38273699
  1.30437664  1.22748605  1.15211861  1.07827796  1.00595737  0.93517872
  0.86602747  0.79868067  0.73342566  0.6706681   0.61092885  0.55483023
  0.50307289  0.45640516  0.41558702  0.38135121  0.35436376  0.3351867
  0.32424556  0.32180475  0.32795467  0.34261486  0.36555904  0.3964681
  0.43501789  0.48100778  0.53453289  0.5961975   0.6673574   0.75036463
  0.84876945  0.96741296  1.11232275  1.29031102  1.50817861  1.77146147
  2.08273071  2.43957947  2.83259639  3.24381172  3.6462618   4.00537536
  4.28275655  4.44254761  4.45987783  4.33002032  4.07599462  3.75180725
  3.43870794  3.23306186  3.22672063  3.48368834  4.01950205  4.7908513
  5.70146384  6.62584201  7.44594422  8.08957884  8.55603274  8.91669619
  9.28664101  9.77493122 10.43214539 11.21780584]"
3,-1389.5760855195456,305.77045160179955,"[ 2.23913729  2.52332889  2.33541458  2.45902132  2.84410063  3.30305007
  3.72854061  4.07853758  4.33873987  4.50569812  4.58404153  4.58737265
  4.53696995  4.45725015  4.37009761  4.29081375  4.22710067  4.18069443
  4.15024011  4.13398149  4.13136974  4.14327924  4.17094125  4.21399674
  4.26830959  4.32436762  4.36711185  4.37773027  4.33730608  4.23142428
  4.05429138  3.81094858  3.51681131  3.19474379  2.87069501  2.56922711
  2.31001796  2.10585388  1.96206879  1.87704821  1.84335063  1.84911794
  1.87962351  1.91893161  1.95166211  1.96477635  1.94918006  1.90085646
  1.82126526  1.71688441  1.59798394  1.4769118   1.36625966  1.27723346
  1.21841943  1.19498605  1.20826786  1.25566402  1.33083278  1.42421056
  1.52387031  1.61663731  1.68926622  1.72952448  1.72748222  1.67849564
  1.5914655   1.50783877  1.53179243  1.84028161  2.5666645   3.45830831
  3.73727686  3.30955081  4.07487126  6.77170984  8.5271384   8.47458956
  8.46812989  8.79337202  8.86494374  8.60344757  8.53994632  8.78066307
  8.10503872  6.94780891  6.93756035  8.39226672  8.77501037 10.30402929
 10.52992218 15.31242117 15.70809552 17.67897071 17.66910724 17.59354028
 19.30652402 22.36218065 22.65005557 24.67954268]"
4,-1389.5760855195456,305.77045160179955,"[ 2.23913729  2.52332889  2.33541458  2.45902132  2.84410063  3.30305007
  3.72854061  4.07853758  4.33873987  4.50569812  4.58404153  4.58737265
  4.53696995  4.45725015  4.37009761  4.29081375  4.22710067  4.18069443
  4.15024011  4.13398149  4.13136974  4.14327924  4.17094125  4.21399674
  4.26830959  4.32436762  4.36711185  4.37773027  4.33730608  4.23142428
  4.05429138  3.81094858  3.51681131  3.19474379  2.87069501  2.56922711
  2.31001796  2.10585388  1.96206879  1.87704821  1.84335063  1.84911794
  1.87962351  1.91893161  1.95166211  1.96477635  1.94918006  1.90085646
  1.82126526  1.71688441  1.59798394  1.4769118   1.36625966  1.27723346
  1.21841943  1.19498605  1.20826786  1.25566402  1.33083278  1.42421056
  1.52387031  1.61663731  1.68926622  1.72952448  1.72748222  1.67849564
  1.5914655   1.50783877  1.53179243  1.84028161  2.5666645   3.45830831
  3.73727686  3.30955081  4.07487126  6.77170984  8.5271384   8.47458956
  8.46812989  8.79337202  8.86494374  8.60344757  8.53994632  8.78066307
  8.10503872  6.94780891  6.93756035  8.39226672  8.77501037 10.30402929
 10.52992218 15.31242117 15.70809552 17.67897071 17.66910724 17.59354028
 19.30652402 22.36218065 22.65005557 24.67954268]"
5,-1389.5760855195456,305.77045160179955,"[ 2.23913729  2.52332889  2.33541458  2.45902132  2.84410063  3.30305007
  3.72854061  4.07853758  4.33873987  4.50569812  4.58404153  4.58737265
  4.53696995  4.45725015  4.37009761  4.29081375  4.22710067  4.18069443
  4.15024011  4.13398149  4.13136974  4.14327924  4.17094125  4.21399674
  4.26830959  4.32436762  4.36711185  4.37773027  4.33730608  4.23142428
  4.05429138  3.81094858  3.51681131  3.19474379  2.87069501  2.56922711
  2.31001796  2.10585388  1.96206879  1.87704821  1.84335063  1.84911794
  1.87962351  1.91893161  1.95166211  1.96477635  1.94918006  1.90085646
  1.82126526  1.71688441  1.59798394  1.4769118   1.36625966  1.27723346
  1.21841943  1.19498605  1.20826786  1.25566402  1.33083278  1.42421056
  1.52387031  1.61663731  1.68926622  1.72952448  1.72748222  1.67849564
  1.5914655   1.50783877  1.53179243  1.84028161  2.5666645   3.45830831
  3.73727686  3.30955081  4.07487126  6.77170984  8.5271384   8.47458956
  8.46812989  8.79337202  8.86494374  8.60344757  8.53994632  8.78066307
  8.10503872  6.94780891  6.93756035  8.39226672  8.77501037 10.30402929
 10.52992218 15.31242117 15.70809552 17.67897071 17.66910724 17.59354028
 19.30652402 22.36218065 22.65005557 24.67954268]"
6,-1739.9702935562573,216.12355140636825,"[ 2.11016971  1.64369701  1.92589311  1.71631658  1.94685233  3.84168639
  4.54500545  4.054778    3.97777448  4.25126244  4.44984104  4.45895404
  4.32647954  4.14789483  4.01028698  3.94639784  3.93882577  3.95664328
  3.97811191  3.99247762  3.99496316  3.98402527  3.96271585  3.94194313
  3.93932865  3.96602862  4.00678849  4.01961111  3.9765131   3.93813817
  4.08750644  4.46379988  4.45226661  3.38335315  2.02653408  1.6144264
  1.97469653  2.31819055  2.39624263  2.34831036  2.30940149  2.31683899
  2.35082728  2.38102423  2.39428765  2.39657334  2.39366065  2.36906381
  2.2780258   2.0733512   1.7570801   1.40444056  1.11465279  0.9374205
  0.85721527  0.83428811  0.84663701  0.90433351  1.03680721  1.2591835
  1.54039232  1.81038577  2.00598852  2.1025626   2.0979161   1.97851902
  1.73826077  1.49355916  1.5636258   2.3053148   1.6155038   4.33472686
  4.53886688  3.8668414   4.05953812  7.70534299  8.38439816  8.47807996
  8.48884106  7.93894043  7.89334084  8.23811922  8.36031455  7.95203406
  8.56210525  7.61131349  7.62367587  8.59759281  7.95829208 10.42002691
 10.22027162 14.28937582 15.70857002 18.10501961 18.10407614 18.06435739
 20.25583286 23.29476761 23.32625189 23.63724776]"
7,-1739.9702935562573,216.12355140636825,"[ 2.11016971  1.64369701  1.92589311  1.71631658  1.94685233  3.84168639
  4.54500545  4.054778    3.97777448  4.25126244  4.44984104  4.45895404
  4.32647954  4.14789483  4.01028698  3.94639784  3.93882577  3.95664328
  3.97811191  3.99247762  3.99496316  3.98402527  3.96271585  3.94194313
  3.93932865  3.96602862  4.00678849  4.01961111  3.9765131   3.93813817
  4.08750644  4.46379988  4.45226661  3.38335315  2.02653408  1.6144264
  1.97469653  2.31819055  2.39624263  2.34831036  2.30940149  2.31683899
  2.35082728  2.38102423  2.39428765  2.39657334  2.39366065  2.36906381
  2.2780258   2.0733512   1.7570801   1.40444056  1.11465279  0.9374205
  0.85721527  0.83428811  0.84663701  0.90433351  1.03680721  1.2591835
  1.54039232  1.81038577  2.00598852  2.1025626   2.0979161   1.97851902
  1.73826077  1.49355916  1.5636258   2.3053148   1.6155038   4.33472686
  4.53886688  3.8668414   4.05953812  7.70534299  8.38439816  8.47807996
  8.48884106  7.93894043  7.89334084  8.23811922  8.36031455  7.95203406
  8.56210525  7.61131349  7.62367587  8.59759281  7.95829208 10.42002691
 10.22027162 14.28937582 15.70857002 18.10501961 18.10407614 18.06435739
 20.25583286 23.29476761 23.32625189 23.63724776]"
8,-1892.6103453583655,236.76290369897623,"[ 2.15954755  1.8196009   2.18054967  1.95119913  2.18849484  4.29899704
  4.47236728  4.1571683   4.20733101  4.12478541  4.31018721  4.32399869
  4.16757053  4.11926023  4.18488095  4.22978303  4.23521909  4.22242058
  4.20709217  4.1970204   4.19530024  4.20292204  4.21806407  4.23298261
  4.2348585   4.21569261  4.1872289   4.17872535  4.20822462  4.235712
  4.14016982  4.33150717  4.31382349  3.91116543  2.19338914  1.76181664
  2.1946884   1.97395748  1.90333727  1.94510021  1.98261204  1.97528305
  1.94276184  1.91589069  1.9049074   1.90307297  1.90541372  1.92625039
  2.01393024  2.17886449  2.01534245  1.33271558  0.98497451  1.00265633
  1.05106207  1.06708038  1.05838427  1.02071967  0.97336925  1.10159171
  1.60896433  2.08613373  2.19584782  2.16405868  2.16668537  2.19515528
  1.98672617  1.51097878  1.65756272  1.98666096  1.76397983  4.17434676
  4.46084537  4.28422688  4.15449117  7.64986492  8.4480172   8.37755557
  8.36773552  8.1259148   8.03640298  8.47398719  8.46036972  8.150512
  8.2962192   7.48242558  7.50241928  8.26085818  8.16206315 10.40510753
 10.51965103 14.52863421 15.71011588 17.61065088 17.61140435 17.64560167
 20.18574787 23.15288445 23.20158426 23.81539148]"
9,-1892.6103453583655,236.76290369897623,"[ 2.15954755  1.8196009   2.18054967  1.95119913  2.18849484  4.29899704
  4.47236728  4.1571683   4.20733101  4.12478541  4.31018721  4.32399869
  4.16757053  4.11926023  4.18488095  4.22978303  4.23521909  4.22242058
  4.20709217  4.1970204   4.19530024  4.20292204  4.21806407  4.23298261
  4.2348585   4.21569261  4.1872289   4.17872535  4.20822462  4.235712
  4.14016982  4.33150717  4.31382349  3.91116543  2.19338914  1.76181664
  2.1946884   1.97395748  1.90333727  1.94510021  1.98261204  1.97528305
  1.94276184  1.91589069  1.9049074   1.90307297  1.90541372  1.92625039
  2.01393024  2.17886449  2.01534245  1.33271558  0.98497451  1.00265633
  1.05106207  1.06708038  1.05838427  1.02071967  0.97336925  1.10159171
  1.60896433  2.08613373  2.19584782  2.16405868  2.16668537  2.19515528
  1.98672617  1.51097878  1.65756272  1.98666096  1.76397983  4.17434676
  4.46084537  4.28422688  4.15449117  7.64986492  8.4480172   8.37755557
  8.36773552  8.1259148   8.03640298  8.47398719  8.46036972  8.150512
  8.2962192   7.48242558  7.50241928  8.26085818  8.16206315 10.40510753
 10.51965103 14.52863421 15.71011588 17.61065088 17.61140435 17.64560167
 20.18574787 23.15288445 23.20158426 23.81539148]"
10,-1973.3483397069153,130.25132085966607,"[ 2.16058163  1.93963819  2.21328131  2.03736969  2.08287716  4.31923186
  4.47152608  4.12613483  4.13265398  3.99861433  4.0654342   4.08389951
  3.98530655  4.01322964  4.12664583  4.11682565  4.10962269  4.10724545
  4.10766902  4.1098309   4.1103327   4.10839474  4.10700248  4.10896851
  4.1125089   4.1283605   4.12858401  4.12017095  4.13233833  4.10982831
  4.1312538   4.21937429  4.25619174  4.26428325  2.08410519  1.81293957
  2.21778464  2.11999746  2.04309528  2.12441726  2.1260684   2.12776347
  2.12274804  2.08164325  2.04991733  2.04161183  2.05180281  2.10259133
  2.12704301  2.26182394  2.34298301  1.21798568  0.85608767  0.91596468
  0.99029924  0.99057323  0.99213861  0.952821    0.86635855  0.8614198
  1.67909144  2.34797295  2.26493512  2.27203111  2.27018685  2.27574283
  2.33340272  1.48515159  1.76939207  2.12519592  1.81880601  4.14256285
  4.44109163  4.29714243  4.12717132  7.72979268  8.45028318  8.41046766
  8.4124187   8.25592498  8.07152218  8.50056743  8.46709891  8.28055233
  8.40985398  7.36783488  7.38716887  8.40679245  8.28893341 10.41393467
 10.39380203 14.62689631 15.71701303 17.74662238 17.751593   17.82607607
 20.24024198 23.09232616 23.08580832 23.88874405]"
