iter,funcval,gradnorm,x
1,2818.43764509573,47492.95111805471,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
2,2818.43764509573,47492.95111805471,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
3,2818.43764509573,47492.95111805471,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
4,2818.43764509573,47492.95111805471,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
5,2818.43764509573,47492.95111805471,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
6,2818.43764509573,47492.95111805471,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
7,2729.9816670906503,24533.580015630374,"[ 5.18340352e-06  8.21462363e-05  1.03239690e-04  2.43769899e-03
  5.72316290e-06  1.40251761e-05  7.18822406e-06 -3.91539737e-06
 -1.05981325e-05  9.99984315e-01]"
8,2698.775337219819,1920.4479858791387,"[-6.30514909e-04  4.11044754e-04  1.83938302e-03  4.96341087e-03
  8.02604938e-04  1.68732352e-03  2.58123822e-03 -5.36848343e-05
 -1.63965053e-03  9.98880146e-01]"
9,2694.86750007517,447.1010986536859,"[-1.97465449e-03  1.06876643e-03  5.23811026e-03  4.61376384e-03
  2.44733498e-03  5.15940744e-03  7.82809935e-03 -1.52276739e-04
 -4.96345115e-03  9.93578534e-01]"
10,2687.735511474941,539.6305746987389,"[-4.71552591e-03  2.65417919e-03  1.09647652e-02  4.42620233e-03
  5.83346187e-03  1.22994592e-02  1.86338354e-02 -3.07355717e-04
 -1.18162262e-02  9.82975734e-01]"
11,2674.3959350415,461.0227013878932,"[-1.03023347e-02  6.35395782e-03  1.81526556e-02  3.99927809e-03
  1.28158666e-02  2.70232922e-02  4.08389626e-02 -4.20867235e-04
 -2.59407770e-02  9.61273169e-01]"
12,2650.1908754513297,291.7636873663471,"[-2.18683592e-02  1.21246418e-02  2.16181386e-02  3.82103824e-03
  2.73343058e-02  5.78382917e-02  8.61271100e-02  2.03661795e-04
 -5.50040629e-02  9.18053146e-01]"
13,2610.8192353254162,2830.7418808268603,"[-0.04582232  0.01642413  0.01664994  0.00452403  0.05802523  0.12422903
  0.17670316  0.00510038 -0.11471848  0.83648639]"
14,2573.827555277088,4126.603187008055,"[-0.0949321  -0.00075642  0.05141398  0.00298576  0.12663906  0.27983133
  0.35244211  0.03305705 -0.2400833   0.70443953]"
15,2501.1889374467783,1994.5859430902703,"[-0.16008041  0.06923435 -0.02702128  0.00367435  0.28590744  0.67211175
  0.63334544  0.2072628  -0.50181271  0.83980006]"
16,2489.4491787457614,21700.416350859,"[ 0.40169179 -0.00237863 -0.00830784  0.00281599  0.25741407  0.91959334
  1.61628868  0.3253924  -0.90678588  1.02751891]"
17,2429.771465743884,3475.1719155262076,"[ 1.04283246e+00  2.66684327e-02 -2.38647669e-02  3.53617886e-04
  2.84209242e-01  1.49529522e+00  1.01774255e+00  9.08350324e-01
 -6.16956551e-01  8.37524830e-01]"
18,2360.6514423489452,4683.327472860474,"[ 2.43942565  0.0456852  -0.07833568 -0.00704987  0.51040985  3.3356045
  1.41925034  0.42886258  0.06482013  0.88550972]"
19,2329.2436010639617,6624.652115348175,"[ 6.1559137  -0.07879975 -0.15595482 -0.0192171  -0.17209373  6.29824072
  1.9801384   0.64169126 -1.15214313  1.172096  ]"
20,2329.2436010639617,6624.652115348175,"[ 6.1559137  -0.07879975 -0.15595482 -0.0192171  -0.17209373  6.29824072
  1.9801384   0.64169126 -1.15214313  1.172096  ]"
21,2329.2436010639617,6624.652115348175,"[ 6.1559137  -0.07879975 -0.15595482 -0.0192171  -0.17209373  6.29824072
  1.9801384   0.64169126 -1.15214313  1.172096  ]"
22,2329.2436010639617,6624.652115348175,"[ 6.1559137  -0.07879975 -0.15595482 -0.0192171  -0.17209373  6.29824072
  1.9801384   0.64169126 -1.15214313  1.172096  ]"
23,2322.7533210050356,14246.790654719563,"[ 6.13926841 -0.06422942 -0.06423994 -0.02535395 -0.13821895  6.31573706
  1.92699059  0.68066873 -1.12655328  1.07710639]"
24,2287.877414494194,8764.739451632504,"[ 6.10777845 -0.11789876 -0.13837461 -0.02035059 -0.04107384  6.32323394
  1.75964495  0.87044308 -1.05841504  0.97656691]"
25,2262.81511117244,6937.655210688307,"[ 6.1664203  -0.06650561 -0.14082092 -0.02152678  0.34747782  6.22430021
  1.6300899   1.08928275 -0.66138548  0.93823349]"
26,2262.81511117244,6937.655210688307,"[ 6.1664203  -0.06650561 -0.14082092 -0.02152678  0.34747782  6.22430021
  1.6300899   1.08928275 -0.66138548  0.93823349]"
27,2254.0332988399828,971.9908748782968,"[ 6.26413896 -0.10192332 -0.11047797 -0.02056173  0.40696343  6.12177087
  1.81573216  1.03408229 -0.49004799  1.00904166]"
28,2247.8313356477524,264.3842758465216,"[ 6.05592108 -0.05794735 -0.11246359 -0.01998587  0.39093131  6.22153122
  1.9118922   1.41816151 -0.07377964  0.93776717]"
