iter,funcval,gradnorm,x
1,7.186050012059551,58.73158601639738,[ 1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]
2,6.3195112222604655,28.875502073877993,"[ 1.42874646 -1.85749293 -1.85749293 -1.85749293 -1.85749293 -1.85749293
 -1.85749293 -1.85749293 -1.85749293 -1.42874646]"
3,6.3195112222604655,28.875502073877993,"[ 1.42874646 -1.85749293 -1.85749293 -1.85749293 -1.85749293 -1.85749293
 -1.85749293 -1.85749293 -1.85749293 -1.42874646]"
4,0.1853593511037775,2.8037667776146042,"[ 1.68233369 -2.21039328 -1.90392336 -1.90392336 -1.90392336 -1.90392336
 -1.90392336 -1.90392336 -2.21039328 -1.68233369]"
5,0.1853593511037775,2.8037667776146042,"[ 1.68233369 -2.21039328 -1.90392336 -1.90392336 -1.90392336 -1.90392336
 -1.90392336 -1.90392336 -2.21039328 -1.68233369]"
6,0.1853593511037775,2.8037667776146042,"[ 1.68233369 -2.21039328 -1.90392336 -1.90392336 -1.90392336 -1.90392336
 -1.90392336 -1.90392336 -2.21039328 -1.68233369]"
7,0.06553050876825829,1.0899194306323015,"[ 1.70022397 -2.17883207 -1.86727487 -1.92249377 -1.89702315 -1.89702315
 -1.92249377 -1.86727487 -2.17883207 -1.70022397]"
8,0.01250843241481956,0.36246065639192926,"[ 1.68195729 -2.09393091 -1.86154592 -1.98451169 -1.92506079 -1.92506079
 -1.98451169 -1.86154592 -2.09393091 -1.68195729]"
9,0.01192178126013944,0.3618949793811558,"[ 1.7450084  -2.1224884  -1.86050843 -2.0611536  -1.89569603 -1.89569603
 -2.0611536  -1.86050843 -2.1224884  -1.7450084 ]"
10,0.0053448461076227895,0.1776698275432052,"[ 1.73003386 -2.1055367  -1.86614024 -2.02922082 -1.9089609  -1.9089609
 -2.02922082 -1.86614024 -2.1055367  -1.73003386]"
11,0.0053448461076227895,0.1776698275432052,"[ 1.73003386 -2.1055367  -1.86614024 -2.02922082 -1.9089609  -1.9089609
 -2.02922082 -1.86614024 -2.1055367  -1.73003386]"
12,0.0053448461076227895,0.1776698275432052,"[ 1.73003386 -2.1055367  -1.86614024 -2.02922082 -1.9089609  -1.9089609
 -2.02922082 -1.86614024 -2.1055367  -1.73003386]"
13,0.0029894245075367865,0.0794964193615102,"[ 1.732141   -2.10074367 -1.85962279 -2.02843329 -1.91992559 -1.91992559
 -2.02843329 -1.85962279 -2.10074367 -1.732141  ]"
14,0.001551834900328503,0.04405748540062642,"[ 1.74356985 -2.09429846 -1.84181341 -2.02128501 -1.9348423  -1.9348423
 -2.02128501 -1.84181341 -2.09429846 -1.74356985]"
15,0.001551834900328503,0.04405748540062642,"[ 1.74356985 -2.09429846 -1.84181341 -2.02128501 -1.9348423  -1.9348423
 -2.02128501 -1.84181341 -2.09429846 -1.74356985]"
16,0.0012107102192417463,0.020179612425943804,"[ 1.75215755 -2.10002042 -1.84137645 -2.01501691 -1.92815159 -1.92815159
 -2.01501691 -1.84137645 -2.10002042 -1.75215755]"
17,0.001045075201460473,0.01270387237453795,"[ 1.76053033 -2.09744417 -1.84123757 -2.01621242 -1.93202799 -1.93202799
 -2.01621242 -1.84123757 -2.09744417 -1.76053033]"
18,0.0010262238408713217,0.04061864736012835,"[ 1.77547233 -2.0761379  -1.84561321 -2.01510531 -1.92394425 -1.92394425
 -2.01510531 -1.84561321 -2.0761379  -1.77547233]"
19,0.0005136739714147293,0.00895876537162532,"[ 1.79922098 -2.07235675 -1.85657852 -2.01292932 -1.93166898 -1.93166898
 -2.01292932 -1.85657852 -2.07235675 -1.79922098]"
20,0.0005136739714147293,0.00895876537162532,"[ 1.79922098 -2.07235675 -1.85657852 -2.01292932 -1.93166898 -1.93166898
 -2.01292932 -1.85657852 -2.07235675 -1.79922098]"
