iter,funcval,gradnorm,x
1,3107.15808948503,274.08923533185265,"[ 0.18527628 -0.18527628  1.93819994 -0.35704624  2.12347622  0.70364079
  0.00675317  0.23904904 -0.34659455 -0.58564359  1.9154758   0.34659455
  2.50111939  2.15452484 -0.34659455 -1.9154758  -2.50111939 -0.58564359
 -0.94658549  2.12347622  2.48441812  0.52985216  0.87725813  0.3609419
 -0.86660929  0.06932737  0.24947191  0.93593666 -0.58564359 -0.58564359
  0.         -0.3609419   2.48441812  0.94658549 -2.48441812  0.43505242
 -0.07411051 -0.43115675 -0.35704624  0.7275988  -0.16738744  2.13056683
  0.38247846  2.29795427  0.         -1.98480317 -2.50111939  1.98480317
 -2.54799427  2.29795427]"
2,3107.15808948503,274.08923533185265,"[ 0.18527628 -0.18527628  1.93819994 -0.35704624  2.12347622  0.70364079
  0.00675317  0.23904904 -0.34659455 -0.58564359  1.9154758   0.34659455
  2.50111939  2.15452484 -0.34659455 -1.9154758  -2.50111939 -0.58564359
 -0.94658549  2.12347622  2.48441812  0.52985216  0.87725813  0.3609419
 -0.86660929  0.06932737  0.24947191  0.93593666 -0.58564359 -0.58564359
  0.         -0.3609419   2.48441812  0.94658549 -2.48441812  0.43505242
 -0.07411051 -0.43115675 -0.35704624  0.7275988  -0.16738744  2.13056683
  0.38247846  2.29795427  0.         -1.98480317 -2.50111939  1.98480317
 -2.54799427  2.29795427]"
3,2261.911815624097,105.32474689298671,"[ 0.73819356 -0.47647692  1.26361841 -1.22706452  1.86048214  1.61765451
  0.05426779  1.0264717  -0.13140944 -1.08776478  0.78096313  0.544546
  1.88922111  1.32772619 -0.38209126 -1.0383735  -1.71376841 -0.92949218
 -2.39782487  1.63176496  3.03604565  1.12591869  1.71572298  1.69090332
 -1.68175964  0.20374394  0.53943431  1.62886201 -0.75357379 -0.71246245
  0.03742529 -0.89445276  3.01171495  1.86434126 -2.96995894  0.80584691
  0.05259149 -0.8719285  -0.91702378  2.14818292  0.29330821  1.58837006
 -0.50226661  1.5415961  -0.22755492 -0.75652108 -2.27388022  0.52824504
 -2.51130471  1.30237319]"
4,1959.1682006701985,199.14033116969912,"[ 1.2911296  -0.79616825 -0.90708443 -3.58808584  1.05731917  4.59720967
  0.23218475  1.29921406  0.30339904 -0.38986125  0.21891524  0.4921718
  0.70168605  0.10852204 -0.95572239 -1.54634425 -1.08788614  0.19026154
 -4.58024297 -0.10810336  4.46555336  2.4520939   3.18796027  4.80617235
 -3.13421165  1.54265717  1.26894158  2.8675438  -0.51343375 -0.43063528
  0.51258082 -2.41269167  3.70325249  4.53103093 -3.54108334  1.5832019
  0.55514135 -1.86008172 -2.37202313  5.47091329  1.16591418  2.5732252
 -1.71420455  3.15165491 -1.72703601 -0.95152057 -4.90264018 -0.81112258
 -3.83839061  1.32218124]"
5,1959.1682006701985,199.14033116969912,"[ 1.2911296  -0.79616825 -0.90708443 -3.58808584  1.05731917  4.59720967
  0.23218475  1.29921406  0.30339904 -0.38986125  0.21891524  0.4921718
  0.70168605  0.10852204 -0.95572239 -1.54634425 -1.08788614  0.19026154
 -4.58024297 -0.10810336  4.46555336  2.4520939   3.18796027  4.80617235
 -3.13421165  1.54265717  1.26894158  2.8675438  -0.51343375 -0.43063528
  0.51258082 -2.41269167  3.70325249  4.53103093 -3.54108334  1.5832019
  0.55514135 -1.86008172 -2.37202313  5.47091329  1.16591418  2.5732252
 -1.71420455  3.15165491 -1.72703601 -0.95152057 -4.90264018 -0.81112258
 -3.83839061  1.32218124]"
6,1799.03077447699,152.70510711071117,"[ 0.61136385 -0.69008178 -0.30884241 -3.73719648  1.9744167   4.94187082
  0.26138845  2.32953548  0.40449593 -0.5926776   1.59263679  0.46289237
  2.28731802  1.71211581 -0.96755036 -3.45204574 -2.69813511 -0.2176663
 -5.29823144  0.60412776  5.54045375  2.22309665  2.99563013  5.71336246
 -3.07159546  1.53918994  1.2595855   2.93651832 -0.41113456 -0.55188359
  0.97732042 -2.59140238  4.25634184  4.42463972 -4.09863208  1.46229662
  0.5397704  -1.76188177 -2.25501715  6.25404994  1.66744624  3.52625637
 -2.95115487  2.79499838 -0.91515417 -0.29228195 -4.85839019 -0.65801681
 -3.8769507   1.66613859]"
7,1799.03077447699,152.70510711071117,"[ 0.61136385 -0.69008178 -0.30884241 -3.73719648  1.9744167   4.94187082
  0.26138845  2.32953548  0.40449593 -0.5926776   1.59263679  0.46289237
  2.28731802  1.71211581 -0.96755036 -3.45204574 -2.69813511 -0.2176663
 -5.29823144  0.60412776  5.54045375  2.22309665  2.99563013  5.71336246
 -3.07159546  1.53918994  1.2595855   2.93651832 -0.41113456 -0.55188359
  0.97732042 -2.59140238  4.25634184  4.42463972 -4.09863208  1.46229662
  0.5397704  -1.76188177 -2.25501715  6.25404994  1.66744624  3.52625637
 -2.95115487  2.79499838 -0.91515417 -0.29228195 -4.85839019 -0.65801681
 -3.8769507   1.66613859]"
8,1561.0888697830737,69.88057611733626,"[ 0.42516879 -0.74283947 -0.5924851  -3.87632918  1.77351803  5.39556609
  0.2649658   2.71067289  0.42023823 -0.26571854  0.88639472  0.41632898
  1.28188286  0.72805414 -1.17982352 -3.08277915 -1.93783539 -0.27864064
 -5.70657709  0.14205087  5.49365667  2.01739744  2.81391225  6.40454059
 -3.04185727  1.7680828   1.24027309  2.9244689  -0.25895718 -0.56271271
  1.15554908 -2.7257761   4.12152415  4.57092144 -3.95432128  1.34739927
  0.52401645 -1.67430182 -2.14763966  6.87296301  1.61149279  3.58612035
 -3.23424052  2.84425352 -0.88358849  0.07599081 -4.72269278 -1.00277343
 -3.19210202  1.66623087]"
9,1561.0888697830737,69.88057611733626,"[ 0.42516879 -0.74283947 -0.5924851  -3.87632918  1.77351803  5.39556609
  0.2649658   2.71067289  0.42023823 -0.26571854  0.88639472  0.41632898
  1.28188286  0.72805414 -1.17982352 -3.08277915 -1.93783539 -0.27864064
 -5.70657709  0.14205087  5.49365667  2.01739744  2.81391225  6.40454059
 -3.04185727  1.7680828   1.24027309  2.9244689  -0.25895718 -0.56271271
  1.15554908 -2.7257761   4.12152415  4.57092144 -3.95432128  1.34739927
  0.52401645 -1.67430182 -2.14763966  6.87296301  1.61149279  3.58612035
 -3.23424052  2.84425352 -0.88358849  0.07599081 -4.72269278 -1.00277343
 -3.19210202  1.66623087]"
10,1510.5597457745773,31.008557967415616,"[ 0.36968848 -0.78146149 -0.67821967 -3.96371631  1.69700562  5.69198839
  0.25610718  2.86659664  0.41093041 -0.12330652  0.68281199  0.36762893
  0.94530474  0.4273198  -1.23662125 -3.08518756 -1.70149905 -0.25300159
 -5.88094048 -0.07387582  5.52800324  1.9319158   2.76839596  6.74858572
 -3.11777264  1.85310771  1.2380825   2.9670441  -0.21087357 -0.57334461
  1.2126725  -2.81213444  4.12191608  4.69567524 -3.95545746  1.31554109
  0.51707685 -1.64802272 -2.11175174  7.21217489  1.6599523   3.83613086
 -3.40658786  2.57134418 -0.43461145  0.54667897 -4.44631809 -1.04364101
 -2.98296229  1.79129244]"
11,1503.6507208048738,90.51392841862136,"[ 0.32773987 -0.97854584 -0.90798319 -4.15543831  1.61991511  6.47336896
  0.21587399  3.31409112  0.36501486  0.11828404  1.01788355  0.29956853
  1.05481245  0.57983047 -1.53790165 -3.96969497 -2.16942478 -0.23386157
 -6.34491021 -0.4982987   5.72202424  1.71248375  2.73087926  7.43788954
 -3.4444506   1.90774332  1.23176734  3.14796908 -0.16137818 -0.66875388
  1.32897078 -3.02901729  4.16265997  4.96908638 -4.00651337  1.2551727
  0.46550274 -1.59026802 -1.9957142   8.11639341  1.74558367  4.01294668
 -3.86460806  2.72967256 -0.61233848  0.758483   -4.76318984 -1.49738444
 -1.87303888  1.66394901]"
12,1446.8971831064255,70.5675318428218,"[ 0.16568653 -1.34826467 -0.91839146 -4.25053388  2.03744333  7.98279129
  0.05439252  4.55213058  0.14868449  0.59440869  0.87420815  0.21631622
  0.46288703  0.01489672 -1.98596897 -4.82533701 -2.07307406 -0.7922374
 -7.49087526 -0.66018317  6.55551728  1.14190002  2.3087532   9.00126223
 -4.09507719  2.22847263  1.07602993  3.26377772  0.01722042 -0.57022267
  1.49158589 -3.29993257  4.29381465  5.654333   -4.21528006  1.08060427
  0.35487479 -1.33981601 -1.61571048  9.8876937   1.83496293  5.94491307
 -4.34464971  3.55724701  0.02457313  0.65603784 -5.48235003 -0.90940913
 -0.60405637  2.86463084]"
13,1446.8971831064255,70.5675318428218,"[ 0.16568653 -1.34826467 -0.91839146 -4.25053388  2.03744333  7.98279129
  0.05439252  4.55213058  0.14868449  0.59440869  0.87420815  0.21631622
  0.46288703  0.01489672 -1.98596897 -4.82533701 -2.07307406 -0.7922374
 -7.49087526 -0.66018317  6.55551728  1.14190002  2.3087532   9.00126223
 -4.09507719  2.22847263  1.07602993  3.26377772  0.01722042 -0.57022267
  1.49158589 -3.29993257  4.29381465  5.654333   -4.21528006  1.08060427
  0.35487479 -1.33981601 -1.61571048  9.8876937   1.83496293  5.94491307
 -4.34464971  3.55724701  0.02457313  0.65603784 -5.48235003 -0.90940913
 -0.60405637  2.86463084]"
14,1411.6522828421625,41.03897897135082,"[ 0.30306362 -1.11757058 -0.76755854 -4.31336606  1.43550074  8.21356809
 -0.07523349  5.23225745  0.71885773  0.50985226  0.8413983   0.30715186
  0.48810928 -0.02548203 -1.69928943 -4.89294382 -1.70775873 -0.94151152
 -7.79277457 -1.24667869  6.47201094  1.34968394  1.75483003  9.26926325
 -4.54562791  2.05765892  0.8997182   3.29744096 -0.28960467 -0.24503624
  1.4060621  -3.08027402  4.10140088  5.71468804 -4.15262953  1.19807662
  0.34194483 -1.27417724 -1.51338102 10.68951259  2.50625439  6.49433702
 -5.13751783  2.89229404  0.02466298  0.9196298  -5.62372594 -1.23374369
 -0.51287135  2.12733144]"
15,1411.6522828421625,41.03897897135082,"[ 0.30306362 -1.11757058 -0.76755854 -4.31336606  1.43550074  8.21356809
 -0.07523349  5.23225745  0.71885773  0.50985226  0.8413983   0.30715186
  0.48810928 -0.02548203 -1.69928943 -4.89294382 -1.70775873 -0.94151152
 -7.79277457 -1.24667869  6.47201094  1.34968394  1.75483003  9.26926325
 -4.54562791  2.05765892  0.8997182   3.29744096 -0.28960467 -0.24503624
  1.4060621  -3.08027402  4.10140088  5.71468804 -4.15262953  1.19807662
  0.34194483 -1.27417724 -1.51338102 10.68951259  2.50625439  6.49433702
 -5.13751783  2.89229404  0.02466298  0.9196298  -5.62372594 -1.23374369
 -0.51287135  2.12733144]"
16,1390.4463387521491,12.858926664593666,"[ 0.23163818 -1.12724812 -0.73266211 -4.17292839  1.62915154  8.57870165
 -0.08573092  4.92544972  0.53215151  0.90165252  0.99724759  0.27851337
  0.24461804 -0.22928994 -1.69576736 -5.10394136 -1.47495127 -0.81279208
 -7.561322   -1.04319194  6.73097993  1.32299303  1.47291398  9.25670217
 -4.69753411  2.12368811  0.83345667  3.20461163 -0.23076096 -0.11312193
  1.34579037 -3.08597086  3.95774601  5.86587366 -4.05388599  1.1958372
  0.33109851 -1.16991557 -1.38814763 10.97351028  2.2649658   6.60122849
 -4.77710033  3.04228725 -0.04874141  1.07999898 -5.67494911 -1.47268523
 -0.26945975  2.16788031]"
17,1387.757604647225,20.465870854050053,"[ 0.14604161 -1.04731097 -0.52717597 -3.89224454  1.30636304  9.17166654
 -0.11702129  5.60039012  0.85375878  0.77459808  1.02480614  0.56604658
  0.3810085  -0.31411742 -1.55627321 -5.46325681 -1.11408469 -1.06865111
 -7.63863954 -1.16593865  6.99555987  1.51043358  0.58785904  9.16662049
 -5.47931531  1.6847994   0.64260646  3.16840571 -0.41598522  0.13198569
  1.17501919 -3.05083806  3.66564664  5.95041286 -3.93508021  1.31663782
  0.2880756  -0.88856376 -1.02185026 11.99406705  2.1487251   7.53743453
 -4.54929574  3.01227958 -0.05974009  1.4017797  -6.05947267 -1.84215322
 -0.22752363  1.97952792]"
18,1387.757604647225,20.465870854050053,"[ 0.14604161 -1.04731097 -0.52717597 -3.89224454  1.30636304  9.17166654
 -0.11702129  5.60039012  0.85375878  0.77459808  1.02480614  0.56604658
  0.3810085  -0.31411742 -1.55627321 -5.46325681 -1.11408469 -1.06865111
 -7.63863954 -1.16593865  6.99555987  1.51043358  0.58785904  9.16662049
 -5.47931531  1.6847994   0.64260646  3.16840571 -0.41598522  0.13198569
  1.17501919 -3.05083806  3.66564664  5.95041286 -3.93508021  1.31663782
  0.2880756  -0.88856376 -1.02185026 11.99406705  2.1487251   7.53743453
 -4.54929574  3.01227958 -0.05974009  1.4017797  -6.05947267 -1.84215322
 -0.22752363  1.97952792]"
