iter,funcval,gradnorm,x
1,963.7431509344411,336.1649498906599,"[1.14989779 1.29179223 2.2134577  1.29216079 1.61270981 1.10330605
 2.07239593 1.10439124 0.92154603 1.01496499 1.38444336 1.47407437
 1.15266197 1.15281554 1.10582452 1.10331629 1.28902806 0.46212951
 0.4635116  1.15201358 1.65739735 0.68183042 1.15122347 1.28856736
 1.47483719 1.84048667 0.9178451  1.47132044 1.15317386 2.53526255
 1.15174058 1.15312267 1.15063149 2.76136202 1.38319778 1.84066572
 1.15247769 1.2928979  1.66071777 1.37619178 2.03136325 1.29455641
 1.38004116 1.15204771 1.84278493 1.38203228 1.15081919 1.29000586
 0.54868921 1.38239582]"
2,963.7431509344411,336.1649498906599,"[1.14989779 1.29179223 2.2134577  1.29216079 1.61270981 1.10330605
 2.07239593 1.10439124 0.92154603 1.01496499 1.38444336 1.47407437
 1.15266197 1.15281554 1.10582452 1.10331629 1.28902806 0.46212951
 0.4635116  1.15201358 1.65739735 0.68183042 1.15122347 1.28856736
 1.47483719 1.84048667 0.9178451  1.47132044 1.15317386 2.53526255
 1.15174058 1.15312267 1.15063149 2.76136202 1.38319778 1.84066572
 1.15247769 1.2928979  1.66071777 1.37619178 2.03136325 1.29455641
 1.38004116 1.15204771 1.84278493 1.38203228 1.15081919 1.29000586
 0.54868921 1.38239582]"
3,902.592807681882,74.12553794216575,"[ 1.52916265  1.71003179  2.85001102  1.71065724  1.8404231   1.46867872
  2.66590307  1.47024953  1.23312017  1.35472271  1.8274137   1.94087477
  1.53176738  1.53210972  0.82943349  1.46887688  1.06491354  0.62684468
  0.62912644  1.25734411  1.89602847  0.91708866  1.53024377  1.06372556
  1.92732634 -0.62601879  1.24159951  1.95232452  1.5327797   3.14169119
  1.53084646  1.53300752  1.52864276  0.48826543  1.82726807  2.39717371
  1.43994898  1.70096302  2.25618149  1.82832278  2.63068797  1.43915885
 -1.20774905  1.53151033  2.12572763  1.82455344  0.88731358  1.4337915
  1.01588991  1.55093644]"
4,679.7421834125373,190.2979724766658,"[ 2.31811854  2.54196767  3.72992555  2.54385418  2.00957304  2.23647493
  3.52631023  2.23951865  1.91904852  2.08659772  2.68193887  2.81709176
  2.31513001  2.31694717  1.13527734  2.23832472  1.45933015  1.03131657
  1.03787067  1.2923519   2.07198237  1.45945046  2.31458616  1.4537637
  2.76061598 -0.11216683  1.96545112  2.87588041  2.31935539  3.71419713
  2.31607918  2.32006026  2.30992382  1.35963319  2.69090114  3.31121426
  1.970738    2.44816022  3.32414855  2.7716545   3.53719206  1.52724438
 -1.03093846  2.3206334   2.32537159  2.68021827  1.21505379  1.52318161
  2.25805931  1.67062683]"
5,483.5711258400119,128.42562725847995,"[ 4.09447424  4.30689533  4.45435173  4.31376754  2.74450015  3.9865086
  4.46542215  3.99436454  3.56972298  3.80491403  4.41694093  4.52182524
  4.06413838  4.07208345  0.90435452  3.99503323  1.3547657   2.11621613
  2.13947986  2.07607239  2.77607516  2.83056653  4.06938393  1.33152893
  4.39156361 -0.27330366  3.67744477  4.67597629  4.08097954  3.44930668
  4.07393035  4.08381265  4.05411297  1.45040805  4.46438554  4.67976769
  3.383608    3.84373505  4.84237192  4.90270901  4.61694708  2.34528633
 -1.98560368  4.09458287  2.88399384  4.42291031  1.01581345  2.35314129
  4.58018704  2.50502035]"
6,483.5711258400119,128.42562725847995,"[ 4.09447424  4.30689533  4.45435173  4.31376754  2.74450015  3.9865086
  4.46542215  3.99436454  3.56972298  3.80491403  4.41694093  4.52182524
  4.06413838  4.07208345  0.90435452  3.99503323  1.3547657   2.11621613
  2.13947986  2.07607239  2.77607516  2.83056653  4.06938393  1.33152893
  4.39156361 -0.27330366  3.67744477  4.67597629  4.08097954  3.44930668
  4.07393035  4.08381265  4.05411297  1.45040805  4.46438554  4.67976769
  3.383608    3.84373505  4.84237192  4.90270901  4.61694708  2.34528633
 -1.98560368  4.09458287  2.88399384  4.42291031  1.01581345  2.35314129
  4.58018704  2.50502035]"
7,464.52139444764043,79.06231224711725,"[ 4.67057546  4.75811495  3.52449992  4.76811043  1.95847227  4.58252021
  3.76015155  4.59280156  4.05245125  4.45075189  4.24535057  4.78024025
  4.09369563  4.1062477   0.64329535  5.12080253  1.59752153  2.51795088
  2.7427181   1.821739    1.94052614  3.08861018  4.62919405  1.03725463
  4.59181163 -0.25875401  3.85788304  5.00791763  4.64600038  1.68333579
  4.63526012  4.6486616   4.60464297  1.02924956  4.84675372  4.42436863
  3.6141927   3.72119076  4.58923667  5.84134284  4.04240389  1.88886478
 -2.23788769  4.66729248  1.8834207   4.78222598  0.75057343  1.90236748
  1.56175885  1.9929011 ]"
8,464.52139444764043,79.06231224711725,"[ 4.67057546  4.75811495  3.52449992  4.76811043  1.95847227  4.58252021
  3.76015155  4.59280156  4.05245125  4.45075189  4.24535057  4.78024025
  4.09369563  4.1062477   0.64329535  5.12080253  1.59752153  2.51795088
  2.7427181   1.821739    1.94052614  3.08861018  4.62919405  1.03725463
  4.59181163 -0.25875401  3.85788304  5.00791763  4.64600038  1.68333579
  4.63526012  4.6486616   4.60464297  1.02924956  4.84675372  4.42436863
  3.6141927   3.72119076  4.58923667  5.84134284  4.04240389  1.88886478
 -2.23788769  4.66729248  1.8834207   4.78222598  0.75057343  1.90236748
  1.56175885  1.9929011 ]"
9,433.1916208050653,51.42682170609035,"[ 4.81836866  4.87574201  3.65476584  4.88595457  1.94796457  4.74011914
  3.82129914  4.75016342  3.60772214  4.6272658   4.57550265  4.86232214
  4.45883761  4.47224487  0.80702325  5.06240242  1.55378544  2.07919126
  2.95795737  2.41188193  1.93568259  2.88355841  4.77607154  1.21947744
  4.64058893 -0.07788447  1.96961064  5.12377361  4.79414402  2.02021262
  4.78192784  4.79580461  4.7502599   1.2388812   4.94647584  4.48045075
  3.70147306  3.46563529  4.33187579  6.30091792  4.12263884  1.85553747
 -2.07467497  4.81437237  1.90561092  4.87892353  0.91945046  1.86937148
  2.25772341  1.96067188]"
10,433.1916208050653,51.42682170609035,"[ 4.81836866  4.87574201  3.65476584  4.88595457  1.94796457  4.74011914
  3.82129914  4.75016342  3.60772214  4.6272658   4.57550265  4.86232214
  4.45883761  4.47224487  0.80702325  5.06240242  1.55378544  2.07919126
  2.95795737  2.41188193  1.93568259  2.88355841  4.77607154  1.21947744
  4.64058893 -0.07788447  1.96961064  5.12377361  4.79414402  2.02021262
  4.78192784  4.79580461  4.7502599   1.2388812   4.94647584  4.48045075
  3.70147306  3.46563529  4.33187579  6.30091792  4.12263884  1.85553747
 -2.07467497  4.81437237  1.90561092  4.87892353  0.91945046  1.86937148
  2.25772341  1.96067188]"
