iter,funcval,gradnorm,x
1,1526.4287727609412,100.09083940351918,"[ 0.24250624 -0.24250624  1.89154868 -0.46076186  2.13405492  0.84877184
  0.01212531  0.29100749 -0.38800999 -0.67901747  1.74604493  0.38800999
  2.42506241  2.03705242 -0.38800999 -1.74604493 -2.42506241 -0.67901747
 -1.14462946  2.13405492  2.5996669   0.75661947  0.99912571  0.46561198
 -0.98215028  0.14550374  0.35163405  1.12765402 -0.67901747 -0.67901747
  0.         -0.46561198  2.5996669   1.14462946 -2.5996669   0.56261448
 -0.0970025  -0.55776435 -0.46076186  0.94577434 -0.27160699  1.94004993
  0.46561198  2.21165692  0.         -1.89154868 -2.42506241  1.89154868
 -2.44446291  2.21165692]"
2,1526.4287727609412,100.09083940351918,"[ 0.24250624 -0.24250624  1.89154868 -0.46076186  2.13405492  0.84877184
  0.01212531  0.29100749 -0.38800999 -0.67901747  1.74604493  0.38800999
  2.42506241  2.03705242 -0.38800999 -1.74604493 -2.42506241 -0.67901747
 -1.14462946  2.13405492  2.5996669   0.75661947  0.99912571  0.46561198
 -0.98215028  0.14550374  0.35163405  1.12765402 -0.67901747 -0.67901747
  0.         -0.46561198  2.5996669   1.14462946 -2.5996669   0.56261448
 -0.0970025  -0.55776435 -0.46076186  0.94577434 -0.27160699  1.94004993
  0.46561198  2.21165692  0.         -1.89154868 -2.42506241  1.89154868
 -2.44446291  2.21165692]"
3,1268.8532815926378,31.070861989006744,"[ 0.76820941 -0.54963268  0.76426376 -1.40020218  1.6200619   1.89877675
  0.07033524  0.90146184 -0.23291349 -1.11481237  0.57028465  0.56728005
  1.71067412  1.11636183 -0.49380185 -0.94149818 -1.55829372 -0.90336173
 -2.63556221  1.53412649  2.90086557  1.60223635  1.8905292   1.7434602
 -1.77952574  0.33268096  0.76269441  1.80212111 -0.7956986  -0.61961242
  0.04940498 -1.12247377  3.01340255  1.85264195 -2.87832935  0.95779879
  0.06181247 -1.06923566 -1.09128795  2.33996937  0.15904455  1.4036325
 -0.27256799  1.63709125 -0.29563327 -0.86402418 -2.37913408  0.57273619
 -2.54918939  1.23877008]"
4,1268.8532815926378,31.070861989006744,"[ 0.76820941 -0.54963268  0.76426376 -1.40020218  1.6200619   1.89877675
  0.07033524  0.90146184 -0.23291349 -1.11481237  0.57028465  0.56728005
  1.71067412  1.11636183 -0.49380185 -0.94149818 -1.55829372 -0.90336173
 -2.63556221  1.53412649  2.90086557  1.60223635  1.8905292   1.7434602
 -1.77952574  0.33268096  0.76269441  1.80212111 -0.7956986  -0.61961242
  0.04940498 -1.12247377  3.01340255  1.85264195 -2.87832935  0.95779879
  0.06181247 -1.06923566 -1.09128795  2.33996937  0.15904455  1.4036325
 -0.27256799  1.63709125 -0.29563327 -0.86402418 -2.37913408  0.57273619
 -2.54918939  1.23877008]"
5,1226.8061414994572,30.55775698934103,"[ 0.76669132 -0.5706579   0.52740961 -1.91873912  1.65711227  2.58900444
  0.11393158  1.04172336 -0.11243762 -1.03257467  0.94768239  0.53228026
  1.9967224   1.41089667 -0.62295633 -1.64532741 -1.95082899 -0.69143744
 -3.35974369  1.41291619  3.34172568  2.02170834  2.23548241  2.42894913
 -2.04192543  0.6569702   0.99740149  2.07016019 -0.77121951 -0.52220437
  0.1997739  -1.52810876  3.41030303  2.14515274 -3.1745586   1.09497501
  0.18210408 -1.30172911 -1.38129348  3.02154235  0.37432425  1.91591544
 -0.52195863  2.00606863 -0.34184534 -0.94789293 -2.99235566  0.59477357
 -3.22592865  1.49667436]"
6,1201.2296411681505,36.34936565627989,"[ 0.41355282 -0.56158988 -0.0693131  -2.92129407  1.76496096  4.13888746
  0.2030348   1.71864823  0.31716324 -0.68049753  0.59854657  0.36114876
  1.28761781  0.79997399 -0.90328088 -2.43391497 -1.51297856 -0.03887753
 -5.39756645  1.0137674   4.05467359  2.63756056  2.70663927  4.20399254
 -2.28462906  1.39630099  1.47419109  2.46596766 -0.66390565 -0.45410242
  0.76024987 -2.42734067  3.89767488  2.15094206 -3.34880118  1.14293438
  0.39922857 -1.64161761 -1.67124735  4.53264105  0.91776673  2.41595645
 -1.42456609  1.53877261  0.10986278  0.28453651 -3.02089157 -0.28358026
 -3.80007909  1.2213098 ]"
7,1201.2296411681505,36.34936565627989,"[ 0.41355282 -0.56158988 -0.0693131  -2.92129407  1.76496096  4.13888746
  0.2030348   1.71864823  0.31716324 -0.68049753  0.59854657  0.36114876
  1.28761781  0.79997399 -0.90328088 -2.43391497 -1.51297856 -0.03887753
 -5.39756645  1.0137674   4.05467359  2.63756056  2.70663927  4.20399254
 -2.28462906  1.39630099  1.47419109  2.46596766 -0.66390565 -0.45410242
  0.76024987 -2.42734067  3.89767488  2.15094206 -3.34880118  1.14293438
  0.39922857 -1.64161761 -1.67124735  4.53264105  0.91776673  2.41595645
 -1.42456609  1.53877261  0.10986278  0.28453651 -3.02089157 -0.28358026
 -3.80007909  1.2213098 ]"
8,1185.8658319677445,20.364203234173562,"[ 0.71990123 -0.9489309  -0.06347921 -2.51228672  1.53400468  4.11467305
  0.11163696  2.14667404  0.08804434 -0.85008571  0.42968293  0.5189581
  1.31821986  0.68540221 -1.09295835 -2.64604226 -1.54965329 -0.14889927
 -6.52053984  1.02759484  3.27445885  2.05761839  2.70277663  3.86835541
 -2.35427636  1.13148483  1.348225    2.29169579 -0.75141781 -0.69446743
  0.67805961 -2.38105451  3.70690557  1.98922903 -3.05077597  0.99881431
  0.23202827 -1.51498242 -1.22535888  4.19144325  0.51929485  2.50017452
 -0.82250895  2.14321399 -0.2068806  -0.48751835 -3.46016991  0.10796208
 -3.23297307  1.43642611]"
9,1185.8658319677445,20.364203234173562,"[ 0.71990123 -0.9489309  -0.06347921 -2.51228672  1.53400468  4.11467305
  0.11163696  2.14667404  0.08804434 -0.85008571  0.42968293  0.5189581
  1.31821986  0.68540221 -1.09295835 -2.64604226 -1.54965329 -0.14889927
 -6.52053984  1.02759484  3.27445885  2.05761839  2.70277663  3.86835541
 -2.35427636  1.13148483  1.348225    2.29169579 -0.75141781 -0.69446743
  0.67805961 -2.38105451  3.70690557  1.98922903 -3.05077597  0.99881431
  0.23202827 -1.51498242 -1.22535888  4.19144325  0.51929485  2.50017452
 -0.82250895  2.14321399 -0.2068806  -0.48751835 -3.46016991  0.10796208
 -3.23297307  1.43642611]"
10,1176.1561198052607,3.3000913366499054,"[ 0.60108841 -0.65587427  0.03892742 -2.69570742  1.63255119  4.1194464
  0.12877553  1.89081952  0.11499824 -0.61765999  0.59023754  0.40740361
  1.24553415  0.72056429 -0.91014758 -3.00185321 -1.40215601  0.42125769
 -6.50432853  1.27983211  3.64950681  2.26682764  2.60515326  3.83977791
 -2.29908564  1.23041472  1.36732934  2.34930197 -0.79876689 -0.47123599
  0.70462504 -2.38022244  3.75998129  2.14403456 -3.13606143  1.12646076
  0.36627757 -1.60173394 -1.50623229  4.32093264  0.68340586  2.36236289
 -1.04121351  1.98843867 -0.34171073 -0.42062746 -3.51820873 -0.05408882
 -3.28049846  1.18193059]"
