problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,3.0406085830525568e-06,0.00963234758763503,999,1001,1001,False,Exceed max iterations
QING,100,3.1479401168930374e-15,8.639369762793142e-07,114,116,116,True,First order condition met
LUKSAN21LS,100,69.14714406687969,0.6274601826090103,999,1001,1001,False,Exceed max iterations
VANDANMSLS,22,7.799150412048544,1.0105111218042943e-07,68,70,70,True,First order condition met
SENSORS,100,-2106.0,9.540083215503196e-08,49,51,51,True,First order condition met
COATING,134,0.7319742288403666,0.9338778820006001,999,1001,1001,False,Exceed max iterations
DMN15333LS,99,183.54152970622368,149.6266973075397,999,1001,1001,False,Exceed max iterations
DIAMON3DLS,99,389.24891450534625,325.4136200512461,999,1001,1001,False,Exceed max iterations
LUKSAN22LS,100,868.9406311207676,0.007005373023971538,999,1001,1001,False,Exceed max iterations
CHNROSNB,50,1.7920567924008294e-12,2.639025310599616e-06,981,982,982,False,TR radius too small
HYDCAR6LS,29,0.004672537689763265,0.2205932948131065,999,1001,1001,False,Exceed max iterations
TOINTQOR,50,1175.4722221461693,8.077612187258305e-07,30,32,32,True,First order condition met
STRTCHDV,10,3.993829414981282e-10,7.944421386365491e-07,47,49,49,True,First order condition met
STRATEC,10,2212.262290907386,2.676480470504553e-05,165,166,166,False,TR radius too small
HILBERTB,10,2.3676007756297853e-14,6.908564843725751e-07,4,6,6,True,First order condition met
DMN15332LS,66,1326.7135011654232,4.6432096576720765,999,1001,1001,False,Exceed max iterations
LUKSAN15LS,100,3.5696968772296773,0.0002991909066027221,73,74,74,False,TR radius too small
METHANL8LS,31,0.0006941605637865308,0.7575212115451784,999,1001,1001,False,Exceed max iterations
LUKSAN17LS,100,0.49316129034577477,7.42481853853379e-05,999,1001,1001,False,Exceed max iterations
TOINTPSP,50,225.56040942188585,9.68842316621955e-07,81,83,83,True,First order condition met
METHANB8LS,31,3.726347646087395e-08,7.620214146486707e-07,360,362,362,True,First order condition met
WATSON,12,9.414536256887108e-08,5.547203752160427e-07,66,68,68,True,First order condition met
LUKSAN13LS,98,25188.859589645177,0.00010230071441125092,284,285,285,False,TR radius too small
DMN37143LS,99,233.8348280884917,1.1524013467134957,999,1001,1001,False,Exceed max iterations
LUKSAN11LS,100,147.0738841281346,43.80438015352933,999,1001,1001,False,Exceed max iterations
HATFLDGLS,25,1.4340727486151574e-13,8.424673985224992e-07,60,62,62,True,First order condition met
DIAMON2DLS,66,9033.788262317661,1894.0781747415438,999,1001,1001,False,Exceed max iterations
ERRINRSM,50,38.361250540491184,0.07715572040031163,999,1001,1001,False,Exceed max iterations
LUKSAN16LS,100,3.5696968772267814,5.798861805349636e-05,59,60,60,False,TR radius too small
ERRINROS,50,40.144185243117796,0.8492976361707406,999,1001,1001,False,Exceed max iterations
TOINTGOR,50,1373.9054606636444,9.799952128833035e-07,119,121,121,True,First order condition met
OSBORNEB,11,0.040137736293767316,8.840317427308974e-07,129,131,131,True,First order condition met
HYDC20LS,99,0.20782791160243674,0.3875833794703099,999,1001,1001,False,Exceed max iterations
LUKSAN14LS,98,124.69586708105638,9.717079213777769e-07,240,242,242,True,First order condition met
MANCINO,100,3.465400677526559e-11,0.01648630140076894,63,64,64,False,TR radius too small
DMN15103LS,99,389.24891450534625,325.4136200512461,999,1001,1001,False,Exceed max iterations
DMN37142LS,66,256.28427995096706,1.8398464585776226,999,1001,1001,False,Exceed max iterations
TRIGON1,10,1.9396882462424322e-14,7.803621200968348e-07,35,37,37,True,First order condition met
PARKCH,15,,,0,2,2,False,Obj is nan or +/-inf
CHNRSNBM,50,17.55405772239311,9.529530209280823e-06,881,882,882,False,TR radius too small
TRIGON2,10,5.385433533303188,8.292501324533807e-07,30,32,32,True,First order condition met
LUKSAN12LS,98,2129.075305371178,0.003182517975868089,999,1001,1001,False,Exceed max iterations
